<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL.US,D,20150708,000000,29.668,29.677,29.66,29.66,23426,0
CDL.US,D,20150709,000000,29.548,29.548,29.548,29.548,104,0
CDL.US,D,20150710,000000,29.764,29.764,29.764,29.764,104,0
CDL.US,D,20150713,000000,30.011,30.011,30.011,30.011,104,0
CDL.US,D,20150714,000000,30.101,30.101,30.101,30.101,116,0
CDL.US,D,20150724,000000,29.395,29.395,29.395,29.395,236,0
CDL.US,D,20150727,000000,29.367,29.367,29.367,29.367,1172,0
CDL.US,D,20150730,000000,30.056,30.056,30.056,30.056,583,0
CDL.US,D,20150731,000000,30.056,30.056,30.056,30.056,470,0
CDL.US,D,20150803,000000,30.084,30.084,30.084,30.084,236,0
CDL.US,D,20150804,000000,30.092,30.101,30.074,30.074,583,0
CDL.US,D,20150806,000000,29.964,29.964,29.964,29.964,1172,0
CDL.US,D,20150811,000000,30.148,30.148,30.148,30.148,416,0
CDL.US,D,20150813,000000,30.309,30.309,30.309,30.309,236,0
CDL.US,D,20150814,000000,30.437,30.437,30.309,30.404,1286,0
CDL.US,D,20150820,000000,30.143,30.143,30.049,30.049,1399,0
CDL.US,D,20150821,000000,29.535,29.535,28.184,29.483,8753,0
CDL.US,D,20150824,000000,28.728,28.728,27.882,27.882,525,0
CDL.US,D,20150831,000000,28.696,28.696,28.696,28.696,104,0
CDL.US,D,20150902,000000,28.215,28.215,28.215,28.215,104,0
CDL.US,D,20150904,000000,28.198,28.198,28.119,28.119,1282,0
CDL.US,D,20150908,000000,28.678,28.678,28.678,28.678,3505,0
CDL.US,D,20150909,000000,28.746,28.746,28.728,28.728,349,0
CDL.US,D,20150910,000000,28.323,28.323,28.323,28.323,116,0
CDL.US,D,20150911,000000,28.271,28.271,28.271,28.271,581,0
CDL.US,D,20150915,000000,28.538,28.705,28.538,28.705,929,0
CDL.US,D,20150916,000000,28.898,29.081,28.883,29.081,929,0
CDL.US,D,20150917,000000,29.518,29.518,29.227,29.227,469,0
CDL.US,D,20150918,000000,28.883,28.883,28.883,28.883,469,0
CDL.US,D,20150924,000000,28.25,28.428,28.25,28.428,468,0
CDL.US,D,20150928,000000,28.531,28.531,28.297,28.297,970,0
CDL.US,D,20150930,000000,28.638,28.638,28.638,28.638,104,0
CDL.US,D,20151007,000000,29.708,29.726,29.708,29.726,3144,0
CDL.US,D,20151008,000000,29.902,30.02,29.876,29.876,13260,0
CDL.US,D,20151009,000000,30.11,30.133,30.046,30.046,1976,0
CDL.US,D,20151012,000000,30.508,30.508,30.508,30.508,958,0
CDL.US,D,20151013,000000,29.867,29.867,29.859,29.859,348,0
CDL.US,D,20151014,000000,29.745,29.812,29.745,29.812,348,0
CDL.US,D,20151015,000000,29.947,29.991,29.947,29.991,1512,0
CDL.US,D,20151016,000000,30.149,30.149,30.149,30.149,579,0
CDL.US,D,20151019,000000,30.056,30.093,30.029,30.093,579,0
CDL.US,D,20151023,000000,30.849,30.849,30.676,30.676,2327,0
CDL.US,D,20151026,000000,30.617,30.617,30.617,30.617,104,0
CDL.US,D,20151027,000000,30.512,30.512,30.435,30.435,924,0
CDL.US,D,20151028,000000,30.598,30.598,30.598,30.598,814,0
CDL.US,D,20151029,000000,30.409,30.409,30.409,30.409,234,0
CDL.US,D,20151030,000000,30.487,30.518,30.487,30.518,700,0
CDL.US,D,20151102,000000,30.729,30.762,30.729,30.753,4006,0
CDL.US,D,20151103,000000,30.666,30.666,30.666,30.666,468,0
CDL.US,D,20151104,000000,30.701,30.701,30.701,30.701,698,0
CDL.US,D,20151105,000000,30.518,30.579,30.518,30.538,1622,0
CDL.US,D,20151106,000000,30.409,30.487,30.153,30.229,22202,0
CDL.US,D,20151109,000000,30.059,30.059,30.059,30.059,39718,0
CDL.US,D,20151113,000000,29.765,29.765,29.549,29.549,2557,0
CDL.US,D,20151116,000000,29.635,29.923,29.566,29.913,532760,0
CDL.US,D,20151117,000000,29.965,30.047,29.709,29.798,5109,0
CDL.US,D,20151118,000000,29.877,30.094,29.877,30.094,4989,0
CDL.US,D,20151119,000000,30.236,30.236,30.236,30.236,234,0
CDL.US,D,20151120,000000,30.485,30.485,30.312,30.312,3954,0
CDL.US,D,20151123,000000,30.345,30.406,30.273,30.278,6621,0
CDL.US,D,20151124,000000,30.168,30.424,30.111,30.39,5736,0
CDL.US,D,20151125,000000,30.335,30.373,30.297,30.355,14864,0
CDL.US,D,20151127,000000,30.373,30.381,30.335,30.381,813,0
CDL.US,D,20151202,000000,30.458,30.458,30.142,30.142,3682,0
CDL.US,D,20151203,000000,30.182,30.182,29.754,29.754,10912,0
CDL.US,D,20151204,000000,29.841,30.246,29.841,30.208,2325,0
CDL.US,D,20151207,000000,30.246,30.246,30.002,30.002,1509,0
CDL.US,D,20151208,000000,29.727,29.727,29.727,29.727,313,0
CDL.US,D,20151209,000000,30.111,30.111,29.666,29.789,286010,0
CDL.US,D,20151210,000000,29.822,29.832,29.65,29.701,6972,0
CDL.US,D,20151211,000000,29.362,29.487,29.272,29.287,3602,0
CDL.US,D,20151214,000000,29.252,29.278,29.022,29.202,10927,0
CDL.US,D,20151215,000000,29.595,29.772,29.538,29.538,4874,0
CDL.US,D,20151216,000000,29.798,29.86,29.693,29.693,3954,0
CDL.US,D,20151217,000000,29.693,29.781,29.666,29.718,1163,0
CDL.US,D,20151218,000000,29.262,29.304,29.262,29.262,2790,0
CDL.US,D,20151221,000000,29.297,29.362,29.194,29.244,5344,0
CDL.US,D,20151222,000000,29.371,29.675,29.33,29.675,5893,0
CDL.US,D,20151223,000000,29.935,30.159,29.935,30.159,4762,0
CDL.US,D,20151224,000000,30.066,30.124,30.066,30.094,1216,0
CDL.US,D,20151228,000000,29.985,30.049,29.926,30.049,7030,0
CDL.US,D,20151229,000000,30.281,30.349,30.259,30.291,67852,0
CDL.US,D,20151230,000000,30.498,30.498,30.178,30.178,189832,0
CDL.US,D,20151231,000000,29.959,29.959,29.764,29.764,30998,0
CDL.US,D,20160104,000000,29.422,29.461,29.218,29.461,10270,0
CDL.US,D,20160105,000000,29.38,29.567,29.37,29.567,16448,0
CDL.US,D,20160106,000000,29.298,29.399,29.251,29.251,3365,0
CDL.US,D,20160107,000000,29.01,29.01,28.687,28.687,1177,0
CDL.US,D,20160108,000000,28.793,28.806,28.447,28.447,2107,0
CDL.US,D,20160111,000000,28.642,28.642,28.307,28.596,4509,0
