<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEFA.US,D,20200625,000000,24.469,24.469,24.469,24.469,107,0
CEFA.US,D,20200626,000000,24.606,24.606,24.606,24.606,286,0
CEFA.US,D,20200707,000000,25.057,25.057,24.841,24.841,3679,0
CEFA.US,D,20200709,000000,24.763,24.764,24.763,24.764,1633,0
CEFA.US,D,20200710,000000,25.008,25.008,25.008,25.008,514,0
CEFA.US,D,20200713,000000,25.273,25.273,25.273,25.273,124,0
CEFA.US,D,20200728,000000,25.695,25.695,25.612,25.612,2976,0
CEFA.US,D,20200729,000000,25.734,25.792,25.734,25.792,1212,0
CEFA.US,D,20200730,000000,25.381,25.381,25.263,25.263,582,0
CEFA.US,D,20200803,000000,25.155,25.155,25.116,25.116,5314,0
CEFA.US,D,20200804,000000,25.116,25.406,25.116,25.406,4908,0
CEFA.US,D,20200806,000000,25.479,25.499,25.479,25.499,289,0
CEFA.US,D,20200811,000000,25.93,25.93,25.93,25.93,204,0
CEFA.US,D,20200819,000000,26.245,26.245,26.052,26.052,107,0
CEFA.US,D,20200820,000000,25.945,25.945,25.945,25.945,240,0
CEFA.US,D,20200821,000000,25.656,25.798,25.656,25.798,123,0
CEFA.US,D,20200825,000000,26.078,26.088,26.078,26.088,240,0
CEFA.US,D,20200827,000000,26.198,26.198,26.041,26.041,266,0
CEFA.US,D,20200901,000000,26.098,26.098,26.048,26.048,277,0
CEFA.US,D,20200903,000000,25.902,25.902,25.902,25.902,5117,0
CEFA.US,D,20200910,000000,25.872,25.872,25.734,25.734,3195,0
CEFA.US,D,20200915,000000,26.489,26.489,26.489,26.489,4080,0
CEFA.US,D,20200918,000000,26.078,26.078,26.078,26.078,2969,0
CEFA.US,D,20200921,000000,25.509,25.509,25.509,25.509,159,0
CEFA.US,D,20200923,000000,25.333,25.333,25.169,25.169,805,0
CEFA.US,D,20200924,000000,25.215,25.215,25.215,25.215,104,0
CEFA.US,D,20200928,000000,25.646,25.646,25.646,25.646,217,0
CEFA.US,D,20200929,000000,25.617,25.617,25.617,25.617,235,0
CEFA.US,D,20201002,000000,25.509,25.509,25.509,25.509,5749,0
CEFA.US,D,20201005,000000,25.803,25.868,25.803,25.868,3817,0
CEFA.US,D,20201006,000000,25.95,25.95,25.95,25.95,221,0
CEFA.US,D,20201014,000000,26.146,26.146,26.112,26.112,110,0
CEFA.US,D,20201019,000000,26.028,26.028,26.028,26.028,200,0
CEFA.US,D,20201026,000000,25.538,25.538,25.509,25.509,298,0
CEFA.US,D,20201028,000000,25.146,25.146,24.638,24.638,6711,0
CEFA.US,D,20201029,000000,24.764,24.764,24.764,24.764,1228,0
CEFA.US,D,20201030,000000,24.528,24.528,24.449,24.477,777,0
CEFA.US,D,20201102,000000,24.9,24.9,24.9,24.9,621,0
CEFA.US,D,20201103,000000,25.548,25.548,25.548,25.548,103,0
CEFA.US,D,20201105,000000,26.146,26.48,26.146,26.48,918,0
CEFA.US,D,20201106,000000,26.471,26.48,26.441,26.461,5068,0
CEFA.US,D,20201109,000000,27.589,27.589,27.589,27.589,104,0
CEFA.US,D,20201111,000000,27.913,27.913,27.822,27.822,552,0
CEFA.US,D,20201116,000000,28.216,28.216,28.089,28.089,2794,0
CEFA.US,D,20201124,000000,28.57,28.619,28.57,28.619,2488,0
CEFA.US,D,20201127,000000,28.903,28.961,28.903,28.961,103,0
CEFA.US,D,20201201,000000,28.943,28.968,28.943,28.968,460,0
CEFA.US,D,20201204,000000,29.512,29.512,29.217,29.325,308,0
CEFA.US,D,20201210,000000,29.325,29.325,29.253,29.253,209,0
CEFA.US,D,20201214,000000,29.286,29.286,29.286,29.286,364,0
CEFA.US,D,20201215,000000,29.158,29.158,29.158,29.158,33,0
CEFA.US,D,20201216,000000,29.247,29.247,29.247,29.247,51,0
CEFA.US,D,20201218,000000,29.728,29.728,29.728,29.728,13,0
CEFA.US,D,20201221,000000,29.306,29.306,29.233,29.233,168,0
CEFA.US,D,20201222,000000,29.247,29.247,29.19,29.222,308,0
CEFA.US,D,20201223,000000,29.07,29.07,29.07,29.07,2,0
CEFA.US,D,20201224,000000,29.365,29.512,29.365,29.512,125,0
CEFA.US,D,20201228,000000,29.825,29.825,29.729,29.729,177,0
CEFA.US,D,20201229,000000,29.61,29.61,29.61,29.61,2,0
CEFA.US,D,20201230,000000,30.065,30.065,30.06,30.06,394,0
CEFA.US,D,20201231,000000,30.006,30.006,30.006,30.006,6,0
CEFA.US,D,20210105,000000,29.976,29.976,29.976,29.976,103,0
CEFA.US,D,20210106,000000,30.491,30.553,30.49,30.553,807,0
CEFA.US,D,20210107,000000,30.184,30.184,30.184,30.184,1,0
CEFA.US,D,20210108,000000,30.441,30.441,30.441,30.441,54,0
CEFA.US,D,20210111,000000,30.52,30.56,30.52,30.56,1322,0
CEFA.US,D,20210112,000000,30.491,30.491,30.491,30.491,354,0
CEFA.US,D,20210113,000000,30.56,30.609,30.537,30.537,1929,0
CEFA.US,D,20210114,000000,30.748,30.778,30.748,30.778,1886,0
CEFA.US,D,20210119,000000,30.382,30.456,30.382,30.456,111,0
CEFA.US,D,20210120,000000,30.535,30.686,30.535,30.686,514,0
CEFA.US,D,20210121,000000,30.758,30.758,30.624,30.712,3626,0
CEFA.US,D,20210122,000000,30.492,30.613,30.492,30.613,243,0
CEFA.US,D,20210125,000000,30.481,30.537,30.481,30.537,1670,0
CEFA.US,D,20210127,000000,30.016,30.016,29.894,29.894,198,0
CEFA.US,D,20210128,000000,30.273,30.273,30.273,30.273,1815,0
CEFA.US,D,20210129,000000,29.808,29.808,29.461,29.461,1405,0
CEFA.US,D,20210204,000000,30.065,30.199,30.065,30.199,2454,0
CEFA.US,D,20210210,000000,30.876,30.886,30.807,30.807,358,0
CEFA.US,D,20210211,000000,31.003,31.065,31.003,31.064,824,0
CEFA.US,D,20210217,000000,31.337,31.433,31.337,31.433,212,0
CEFA.US,D,20210218,000000,31.124,31.361,31.124,31.361,1251,0
CEFA.US,D,20210219,000000,31.343,31.477,31.303,31.37,3893,0
CEFA.US,D,20210222,000000,31.441,31.441,31.262,31.262,2477,0
CEFA.US,D,20210223,000000,31.195,31.195,31.195,31.195,425,0
CEFA.US,D,20210224,000000,31.272,31.272,31.215,31.215,770,0
CEFA.US,D,20210225,000000,31.262,31.262,30.768,30.768,652,0
CEFA.US,D,20210226,000000,30.679,30.837,30.199,30.199,6007,0
CEFA.US,D,20210303,000000,30.688,30.688,30.496,30.496,802,0
CEFA.US,D,20210304,000000,30.58,30.58,30.094,30.094,6765,0
CEFA.US,D,20210315,000000,30.995,31.018,30.995,31.018,231,0
CEFA.US,D,20210319,000000,31.055,31.055,30.988,30.988,206,0
CEFA.US,D,20210322,000000,31.074,31.074,30.95,30.95,283,0
CEFA.US,D,20210323,000000,30.827,30.827,30.562,30.562,327,0
CEFA.US,D,20210329,000000,30.995,30.995,30.903,30.903,459,0
CEFA.US,D,20210330,000000,30.826,30.826,30.814,30.814,248,0
CEFA.US,D,20210331,000000,30.867,30.867,30.867,30.867,203,0
CEFA.US,D,20210405,000000,31.549,31.549,31.549,31.549,309,0
