<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEY.US,D,20171027,000000,22.258,22.432,22.241,22.306,121827,0
CEY.US,D,20171030,000000,22.213,22.324,22.168,22.168,17798,0
CEY.US,D,20171031,000000,22.248,22.248,22.241,22.241,1458,0
CEY.US,D,20171101,000000,22.226,22.289,22.213,22.213,9252,0
CEY.US,D,20171102,000000,22.265,22.265,22.265,22.265,676,0
CEY.US,D,20171103,000000,22.177,22.177,22.077,22.151,4508,0
CEY.US,D,20171106,000000,22.187,22.275,22.187,22.275,3292,0
CEY.US,D,20171107,000000,22.196,22.196,22.114,22.114,3951,0
CEY.US,D,20171108,000000,22.209,22.222,22.168,22.222,2270,0
CEY.US,D,20171109,000000,22.114,22.114,21.971,22.053,4657,0
CEY.US,D,20171110,000000,21.997,21.997,21.941,21.986,15630,0
CEY.US,D,20171113,000000,21.872,21.937,21.872,21.929,25970,0
CEY.US,D,20171114,000000,21.929,21.929,21.882,21.882,1892,0
CEY.US,D,20171115,000000,21.701,21.724,21.681,21.709,1662,0
CEY.US,D,20171116,000000,21.862,21.937,21.845,21.913,8793,0
CEY.US,D,20171117,000000,22.005,22.005,21.997,21.997,453,0
CEY.US,D,20171120,000000,21.804,21.813,21.804,21.804,5501,0
CEY.US,D,20171121,000000,22.104,22.104,21.989,22.061,2978,0
CEY.US,D,20171122,000000,22.131,22.141,22.086,22.118,2686,0
CEY.US,D,20171124,000000,22.114,22.131,22.114,22.131,1471,0
CEY.US,D,20171127,000000,22.131,22.131,22.086,22.086,1018,0
CEY.US,D,20171128,000000,22.044,22.104,22.014,22.014,4174,0
CEY.US,D,20171129,000000,21.981,21.981,21.892,21.919,6197,0
CEY.US,D,20171130,000000,21.951,21.951,21.902,21.902,5919,0
CEY.US,D,20171201,000000,21.882,21.882,21.818,21.818,452,0
CEY.US,D,20171204,000000,21.966,22.014,21.966,21.997,2303,0
CEY.US,D,20171205,000000,21.989,21.989,21.989,21.989,406,0
CEY.US,D,20171206,000000,21.847,21.847,21.824,21.824,338,0
CEY.US,D,20171207,000000,21.804,21.845,21.795,21.795,12438,0
CEY.US,D,20171208,000000,21.795,21.796,21.785,21.785,4514,0
CEY.US,D,20171211,000000,21.958,21.958,21.958,21.958,452,0
CEY.US,D,20171212,000000,21.93,21.961,21.93,21.961,473,0
CEY.US,D,20171213,000000,22.224,22.224,22.224,22.224,259,0
CEY.US,D,20171214,000000,22.319,22.319,22.319,22.319,224,0
CEY.US,D,20171215,000000,22.383,22.383,22.383,22.383,185,0
CEY.US,D,20171218,000000,22.866,22.866,22.681,22.689,2051,0
CEY.US,D,20171219,000000,22.681,22.681,22.584,22.584,930,0
CEY.US,D,20171220,000000,22.681,22.681,22.584,22.584,3850,0
CEY.US,D,20171221,000000,22.675,22.717,22.675,22.717,2666,0
CEY.US,D,20171222,000000,22.727,22.737,22.727,22.737,337,0
CEY.US,D,20171226,000000,22.808,22.826,22.79,22.817,2636,0
CEY.US,D,20171227,000000,22.905,22.926,22.898,22.926,1075,0
CEY.US,D,20171228,000000,23.131,23.14,23.13,23.13,2545,0
CEY.US,D,20171229,000000,23.342,23.351,23.252,23.252,57587,0
CEY.US,D,20180102,000000,23.474,23.483,23.466,23.474,2550,0
CEY.US,D,20180103,000000,23.594,23.637,23.594,23.61,9719,0
CEY.US,D,20180104,000000,23.648,23.718,23.648,23.709,3590,0
CEY.US,D,20180105,000000,23.832,23.832,23.753,23.822,3493,0
CEY.US,D,20180108,000000,23.912,23.95,23.912,23.95,642,0
CEY.US,D,20180109,000000,23.896,23.93,23.894,23.921,7463,0
CEY.US,D,20180110,000000,23.851,23.94,23.778,23.842,5084,0
CEY.US,D,20180111,000000,23.93,23.968,23.93,23.968,377,0
CEY.US,D,20180112,000000,24.158,24.196,24.158,24.196,550,0
CEY.US,D,20180116,000000,24.266,24.266,24.132,24.132,4344,0
CEY.US,D,20180117,000000,24.464,24.464,24.373,24.373,957,0
CEY.US,D,20180118,000000,24.498,24.508,24.498,24.508,1457,0
CEY.US,D,20180119,000000,24.57,24.645,24.512,24.645,8785,0
CEY.US,D,20180122,000000,24.654,24.72,24.654,24.693,2888,0
CEY.US,D,20180123,000000,24.607,24.795,24.588,24.791,5537,0
CEY.US,D,20180124,000000,24.982,24.991,24.849,24.991,6363,0
CEY.US,D,20180125,000000,25.088,25.088,24.946,24.946,876,0
CEY.US,D,20180126,000000,25.157,25.236,25.149,25.236,41219,0
CEY.US,D,20180129,000000,25.113,25.113,24.946,24.964,30147,0
CEY.US,D,20180130,000000,24.693,24.72,24.682,24.705,4413,0
CEY.US,D,20180131,000000,24.858,24.858,24.732,24.732,4258,0
CEY.US,D,20180201,000000,24.791,24.857,24.753,24.758,3782,0
CEY.US,D,20180202,000000,24.748,24.748,24.413,24.455,11170,0
CEY.US,D,20180205,000000,24.381,24.381,23.788,23.859,2028,0
CEY.US,D,20180206,000000,23.904,24.215,23.822,24.215,104393,0
CEY.US,D,20180207,000000,24.07,24.07,23.718,23.718,14828,0
CEY.US,D,20180208,000000,23.43,23.529,23.3,23.308,30554,0
CEY.US,D,20180209,000000,23.315,23.402,22.943,23.393,11626,0
CEY.US,D,20180212,000000,23.529,23.671,23.522,23.617,5870,0
CEY.US,D,20180213,000000,23.681,23.778,23.671,23.771,10001,0
CEY.US,D,20180214,000000,24.115,24.115,24.115,24.115,2336,0
CEY.US,D,20180215,000000,24.314,24.445,24.233,24.445,10527,0
CEY.US,D,20180216,000000,24.348,24.399,24.322,24.354,5201,0
CEY.US,D,20180220,000000,24.158,24.187,24.115,24.149,4346,0
CEY.US,D,20180221,000000,24.313,24.322,24.266,24.276,2955,0
CEY.US,D,20180222,000000,24.228,24.335,24.228,24.241,4423,0
CEY.US,D,20180223,000000,24.626,24.636,24.425,24.581,177967,0
CEY.US,D,20180226,000000,24.693,24.809,24.593,24.8,8560,0
CEY.US,D,20180227,000000,24.562,24.57,24.249,24.249,2333,0
CEY.US,D,20180228,000000,24.158,24.158,23.998,24.009,1710,0
CEY.US,D,20180301,000000,24.079,24.079,23.845,23.882,6787,0
CEY.US,D,20180302,000000,23.774,24.026,23.739,24.009,5600,0
CEY.US,D,20180305,000000,23.802,24.061,23.802,24.053,2479,0
CEY.US,D,20180306,000000,24.227,24.239,24.135,24.135,2180,0
CEY.US,D,20180307,000000,24.007,24.041,23.993,23.994,3287,0
CEY.US,D,20180308,000000,24.086,24.139,24.041,24.139,2877,0
CEY.US,D,20180309,000000,24.348,24.399,24.317,24.399,1360,0
CEY.US,D,20180312,000000,24.489,24.507,24.354,24.4,3572,0
CEY.US,D,20180313,000000,24.354,24.354,24.313,24.313,361,0
CEY.US,D,20180314,000000,24.33,24.33,24.2,24.2,1252,0
CEY.US,D,20180315,000000,24.19,24.265,24.189,24.265,3700,0
CEY.US,D,20180319,000000,24.024,24.024,23.958,23.958,405,0
CEY.US,D,20180320,000000,24.017,24.072,23.911,23.985,2847,0
CEY.US,D,20180321,000000,24.059,24.113,24.012,24.113,6396,0
CEY.US,D,20180322,000000,23.93,23.93,23.875,23.875,1686,0
CEY.US,D,20180323,000000,23.611,23.768,23.611,23.616,2653,0
CEY.US,D,20180326,000000,23.828,23.828,23.697,23.771,3507,0
CEY.US,D,20180327,000000,23.75,23.797,23.455,23.455,2581,0
CEY.US,D,20180328,000000,23.526,23.526,23.52,23.52,603,0
CEY.US,D,20180329,000000,23.644,23.644,23.644,23.644,955,0
CEY.US,D,20180402,000000,23.715,23.715,23.436,23.436,730,0
CEY.US,D,20180403,000000,23.678,23.759,23.645,23.759,4823,0
CEY.US,D,20180404,000000,23.715,23.715,23.715,23.715,271,0
CEY.US,D,20180405,000000,23.803,23.858,23.75,23.767,3454,0
CEY.US,D,20180406,000000,23.599,23.599,23.598,23.598,1031,0
CEY.US,D,20180409,000000,23.471,23.471,23.471,23.471,329,0
CEY.US,D,20180410,000000,23.658,23.706,23.624,23.706,418,0
CEY.US,D,20180411,000000,23.731,23.82,23.696,23.785,6097,0
CEY.US,D,20180412,000000,23.688,23.731,23.688,23.731,1348,0
CEY.US,D,20180416,000000,23.564,23.617,23.555,23.617,2209,0
CEY.US,D,20180417,000000,23.627,23.652,23.591,23.591,2710,0
CEY.US,D,20180418,000000,23.718,23.823,23.718,23.772,2135,0
CEY.US,D,20180419,000000,23.689,23.689,23.614,23.614,830,0
CEY.US,D,20180420,000000,23.428,23.473,23.397,23.397,9593,0
CEY.US,D,20180423,000000,23.391,23.391,23.348,23.348,14351,0
CEY.US,D,20180424,000000,23.547,23.547,23.096,23.096,904,0
CEY.US,D,20180425,000000,23.108,23.213,23.108,23.153,1094,0
CEY.US,D,20180427,000000,23.358,23.358,23.358,23.358,203,0
CEY.US,D,20180501,000000,23.052,23.139,22.979,23.139,2613,0
CEY.US,D,20180502,000000,23.116,23.116,23.068,23.087,6554,0
CEY.US,D,20180503,000000,22.979,22.979,22.953,22.953,371,0
CEY.US,D,20180504,000000,22.953,22.953,22.953,22.953,108,0
CEY.US,D,20180507,000000,22.833,22.833,22.787,22.787,2879,0
CEY.US,D,20180508,000000,22.81,22.81,22.762,22.762,2041,0
CEY.US,D,20180509,000000,22.738,22.738,22.531,22.665,4655,0
CEY.US,D,20180510,000000,22.721,23.007,22.721,22.949,20284,0
CEY.US,D,20180511,000000,23.126,23.126,22.827,22.864,177414,0
CEY.US,D,20180514,000000,23.062,23.069,22.962,23.062,2076,0
CEY.US,D,20180515,000000,22.782,22.782,22.665,22.707,902,0
CEY.US,D,20180516,000000,22.897,22.959,22.855,22.887,1686,0
CEY.US,D,20180517,000000,22.662,22.669,22.564,22.625,11686,0
CEY.US,D,20180518,000000,22.537,22.537,22.537,22.537,815,0
CEY.US,D,20180521,000000,22.651,22.661,22.643,22.661,1237,0
CEY.US,D,20180522,000000,22.755,22.755,22.755,22.755,215,0
CEY.US,D,20180523,000000,22.535,22.869,22.535,22.816,5747,0
CEY.US,D,20180524,000000,22.86,22.86,22.653,22.806,11249,0
CEY.US,D,20180525,000000,22.841,22.851,22.634,22.806,3523,0
CEY.US,D,20180529,000000,22.393,22.442,22.322,22.322,1835,0
CEY.US,D,20180530,000000,22.335,22.516,22.268,22.516,7127,0
CEY.US,D,20180531,000000,22.492,22.492,22.407,22.407,1523,0
CEY.US,D,20180601,000000,22.688,22.688,22.535,22.535,4959,0
CEY.US,D,20180604,000000,22.897,22.967,22.851,22.942,78664,0
CEY.US,D,20180605,000000,22.734,22.763,22.726,22.758,6595,0
CEY.US,D,20180606,000000,22.971,23.084,22.959,23.084,2933,0
CEY.US,D,20180607,000000,22.932,22.932,22.684,22.787,5293,0
CEY.US,D,20180608,000000,22.752,22.752,22.752,22.752,720,0
CEY.US,D,20180611,000000,22.976,22.976,22.842,22.959,2678,0
CEY.US,D,20180612,000000,22.816,22.816,22.816,22.816,114,0
CEY.US,D,20180613,000000,22.777,22.777,22.494,22.553,3853,0
CEY.US,D,20180614,000000,22.525,22.624,22.47,22.482,3541,0
CEY.US,D,20180615,000000,22.362,22.367,22.203,22.288,5646,0
CEY.US,D,20180618,000000,22.274,22.274,21.973,22.221,7849,0
CEY.US,D,20180619,000000,21.909,21.909,21.855,21.855,673,0
CEY.US,D,20180620,000000,22.048,22.109,21.93,21.93,4840,0
CEY.US,D,20180621,000000,21.904,21.93,21.755,21.859,12928,0
CEY.US,D,20180622,000000,21.905,21.993,21.862,21.862,5498,0
CEY.US,D,20180625,000000,21.839,21.839,21.839,21.839,466,0
CEY.US,D,20180626,000000,21.747,21.747,21.733,21.733,1155,0
CEY.US,D,20180627,000000,21.525,21.542,21.387,21.43,3650,0
CEY.US,D,20180628,000000,21.514,21.514,21.43,21.43,5937,0
CEY.US,D,20180629,000000,21.686,21.696,21.623,21.657,69599,0
CEY.US,D,20180702,000000,21.63,21.63,21.396,21.396,19635,0
CEY.US,D,20180703,000000,21.623,21.713,21.542,21.606,14928,0
CEY.US,D,20180706,000000,21.745,21.963,21.745,21.882,3268,0
