<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFA.US,D,20140707,000000,32.339,32.339,32.339,32.339,212,0
CFA.US,D,20140714,000000,32.098,32.098,32.07,32.07,436,0
CFA.US,D,20140716,000000,32.014,32.023,32.014,32.023,102750,0
CFA.US,D,20140717,000000,31.947,31.947,31.921,31.947,964,0
CFA.US,D,20140722,000000,32.126,32.126,32.108,32.108,212,0
CFA.US,D,20140724,000000,32.162,32.171,32.117,32.146,27869,0
CFA.US,D,20140729,000000,31.947,31.947,31.947,31.947,212,0
CFA.US,D,20140730,000000,31.779,31.779,31.779,31.779,231,0
CFA.US,D,20140731,000000,31.618,31.618,31.443,31.443,1733,0
CFA.US,D,20140801,000000,31.138,31.138,31.138,31.138,10630,0
CFA.US,D,20140804,000000,31.719,31.719,31.719,31.719,100,0
CFA.US,D,20140805,000000,31.23,31.23,31.13,31.166,6135,0
CFA.US,D,20140807,000000,31.05,31.05,30.949,30.949,757,0
CFA.US,D,20140812,000000,31.894,31.894,31.894,31.894,478,0
CFA.US,D,20140815,000000,31.655,31.655,31.636,31.636,860,0
CFA.US,D,20140818,000000,32.05,32.05,32.05,32.05,478,0
CFA.US,D,20140820,000000,32.218,32.265,32.218,32.218,3424,0
CFA.US,D,20140826,000000,32.551,32.559,32.506,32.506,14533,0
CFA.US,D,20140827,000000,32.496,32.496,32.488,32.488,1274,0
CFA.US,D,20140902,000000,32.679,32.679,32.541,32.561,2526,0
CFA.US,D,20140910,000000,32.488,32.488,32.488,32.488,544,0
CFA.US,D,20141001,000000,31.478,31.478,31.478,31.478,317,0
CFA.US,D,20141002,000000,31.175,31.175,31.175,31.175,226,0
CFA.US,D,20141003,000000,31.789,31.789,31.789,31.789,1601,0
CFA.US,D,20141006,000000,31.655,31.737,31.627,31.737,649,0
CFA.US,D,20141008,000000,31.599,31.599,31.599,31.599,316,0
CFA.US,D,20141010,000000,30.752,30.762,30.742,30.762,1839,0
CFA.US,D,20141013,000000,30.291,30.291,30.233,30.233,1839,0
CFA.US,D,20141015,000000,29.897,30.12,29.456,30.12,9527,0
CFA.US,D,20141016,000000,29.865,30.31,29.855,30.263,7253,0
CFA.US,D,20141017,000000,30.515,30.651,30.515,30.651,3410,0
CFA.US,D,20141022,000000,31.434,31.434,31.427,31.427,1307,0
CFA.US,D,20141023,000000,32.051,32.051,31.665,31.684,1766,0
CFA.US,D,20141024,000000,31.636,31.868,31.627,31.868,5443,0
CFA.US,D,20141027,000000,31.803,31.803,31.803,31.803,154,0
CFA.US,D,20141029,000000,32.743,32.743,32.743,32.743,435,0
CFA.US,D,20141104,000000,32.662,32.662,32.644,32.644,1410,0
CFA.US,D,20141105,000000,32.801,32.819,32.792,32.792,595,0
CFA.US,D,20141110,000000,33.201,33.201,33.201,33.201,625,0
CFA.US,D,20141113,000000,33.165,33.192,33.165,33.192,3464,0
CFA.US,D,20141117,000000,33.137,33.137,33.137,33.137,5279,0
CFA.US,D,20141120,000000,33.404,33.414,33.404,33.414,411,0
CFA.US,D,20141121,000000,33.642,33.642,33.642,33.642,100,0
CFA.US,D,20141124,000000,33.688,33.688,33.688,33.688,435,0
CFA.US,D,20141125,000000,33.679,33.679,33.679,33.679,211,0
CFA.US,D,20141126,000000,34.27,34.27,34.27,34.27,858,0
CFA.US,D,20141201,000000,33.356,33.356,33.356,33.356,211,0
CFA.US,D,20141202,000000,33.551,33.551,33.551,33.551,435,0
CFA.US,D,20141203,000000,33.791,33.8,33.791,33.8,858,0
CFA.US,D,20141204,000000,33.703,33.726,33.703,33.726,1078,0
CFA.US,D,20141208,000000,33.863,33.863,33.81,33.821,1451,0
CFA.US,D,20141210,000000,33.385,33.385,33.385,33.385,100,0
CFA.US,D,20141211,000000,33.218,33.255,33.191,33.191,435,0
CFA.US,D,20141212,000000,32.855,32.855,32.694,32.695,1249,0
CFA.US,D,20141218,000000,33.246,33.246,33.246,33.246,8962,0
CFA.US,D,20141219,000000,33.718,33.856,33.718,33.856,380,0
CFA.US,D,20141222,000000,33.996,33.996,33.996,33.996,269,0
CFA.US,D,20141230,000000,34.236,34.236,34.19,34.19,1421,0
CFA.US,D,20141231,000000,33.782,33.782,33.782,33.782,210,0
CFA.US,D,20150102,000000,33.661,33.704,33.604,33.604,1074,0
CFA.US,D,20150105,000000,33.125,33.125,33.125,33.125,100,0
CFA.US,D,20150107,000000,33.217,33.217,33.217,33.217,210,0
CFA.US,D,20150108,000000,33.68,33.829,33.68,33.829,624,0
CFA.US,D,20150109,000000,33.529,33.529,33.529,33.529,315,0
CFA.US,D,20150112,000000,33.208,33.208,33.208,33.208,210,0
CFA.US,D,20150113,000000,32.983,33.236,32.983,33.105,837,0
CFA.US,D,20150114,000000,32.909,32.92,32.909,32.92,867,0
CFA.US,D,20150115,000000,32.992,32.992,32.678,32.687,134733,0
CFA.US,D,20150116,000000,33.115,33.115,33.115,33.115,153,0
CFA.US,D,20150120,000000,32.938,32.938,32.933,32.933,692,0
CFA.US,D,20150122,000000,33.523,33.829,33.514,33.829,48682,0
CFA.US,D,20150127,000000,33.531,33.632,33.468,33.613,1706,0
CFA.US,D,20150129,000000,33.125,33.125,33.075,33.075,311,0
CFA.US,D,20150130,000000,33.19,33.19,33.19,33.19,107,0
CFA.US,D,20150203,000000,33.506,33.506,33.506,33.506,135,0
CFA.US,D,20150205,000000,34.063,34.063,34.024,34.063,1341,0
CFA.US,D,20150210,000000,33.945,33.945,33.94,33.94,1523,0
CFA.US,D,20150211,000000,34.148,34.148,34.148,34.148,100,0
CFA.US,D,20150212,000000,34.347,34.45,34.347,34.45,581,0
CFA.US,D,20150217,000000,34.655,34.71,34.601,34.62,15446,0
CFA.US,D,20150219,000000,34.392,34.72,34.392,34.69,857,0
CFA.US,D,20150220,000000,34.919,34.919,34.919,34.919,220,0
CFA.US,D,20150224,000000,35.029,35.029,35.029,35.029,100,0
CFA.US,D,20150225,000000,35.009,35.009,34.962,34.962,1956,0
CFA.US,D,20150226,000000,34.913,35.249,34.913,34.913,210,0
CFA.US,D,20150227,000000,34.904,34.904,34.904,34.904,647,0
CFA.US,D,20150303,000000,34.84,34.84,34.84,34.84,100,0
CFA.US,D,20150304,000000,34.655,34.655,34.655,34.655,100,0
CFA.US,D,20150305,000000,34.729,34.729,34.729,34.729,540,0
CFA.US,D,20150306,000000,34.328,34.328,34.318,34.318,432,0
CFA.US,D,20150309,000000,34.385,34.385,34.385,34.385,210,0
CFA.US,D,20150310,000000,33.875,33.875,33.875,33.875,100,0
CFA.US,D,20150312,000000,34.228,34.228,34.199,34.219,7432,0
CFA.US,D,20150313,000000,34.12,34.12,34.12,34.12,210,0
CFA.US,D,20150316,000000,34.45,34.45,34.45,34.45,100,0
CFA.US,D,20150317,000000,34.414,34.414,34.414,34.414,100,0
CFA.US,D,20150318,000000,34.918,34.918,34.918,34.918,2466,0
CFA.US,D,20150323,000000,35.078,35.078,35.043,35.043,644,0
CFA.US,D,20150324,000000,34.694,34.694,34.694,34.694,209,0
CFA.US,D,20150325,000000,34.379,34.379,34.24,34.24,209,0
CFA.US,D,20150326,000000,34.094,34.25,34.094,34.25,964,0
CFA.US,D,20150327,000000,34.321,34.321,34.321,34.321,100,0
CFA.US,D,20150330,000000,34.809,34.809,34.809,34.809,431,0
CFA.US,D,20150331,000000,34.694,34.714,34.694,34.714,644,0
CFA.US,D,20150401,000000,34.405,34.405,34.405,34.405,209,0
CFA.US,D,20150402,000000,34.678,34.678,34.555,34.555,431,0
CFA.US,D,20150406,000000,34.845,34.864,34.845,34.864,852,0
CFA.US,D,20150409,000000,34.762,34.762,34.762,34.762,501,0
CFA.US,D,20150410,000000,34.909,34.967,34.909,34.967,431,0
CFA.US,D,20150414,000000,34.8,34.8,34.8,34.8,209,0
CFA.US,D,20150415,000000,35.039,35.039,34.948,34.948,469,0
CFA.US,D,20150416,000000,34.889,34.889,34.889,34.889,101,0
CFA.US,D,20150417,000000,34.519,34.535,34.463,34.509,1183,0
CFA.US,D,20150420,000000,34.791,34.835,34.791,34.835,355,0
CFA.US,D,20150421,000000,34.782,34.791,34.752,34.752,2255,0
CFA.US,D,20150422,000000,34.899,34.899,34.899,34.899,538,0
CFA.US,D,20150423,000000,34.909,34.909,34.909,34.909,314,0
CFA.US,D,20150424,000000,34.918,34.918,34.918,34.918,209,0
CFA.US,D,20150427,000000,34.957,34.957,34.957,34.957,100,0
CFA.US,D,20150428,000000,34.8,34.8,34.8,34.8,100,0
CFA.US,D,20150429,000000,34.659,34.659,34.659,34.659,431,0
CFA.US,D,20150430,000000,34.321,34.321,34.321,34.321,100,0
CFA.US,D,20150504,000000,34.791,34.791,34.791,34.791,314,0
CFA.US,D,20150505,000000,34.575,34.575,34.509,34.509,314,0
CFA.US,D,20150506,000000,34.311,34.311,34.311,34.311,126,0
CFA.US,D,20150507,000000,34.395,34.395,34.395,34.395,209,0
CFA.US,D,20150508,000000,34.724,34.724,34.724,34.724,100,0
CFA.US,D,20150511,000000,34.669,34.669,34.669,34.669,100,0
CFA.US,D,20150512,000000,34.659,34.659,34.631,34.631,473,0
CFA.US,D,20150513,000000,34.555,34.555,34.555,34.555,100,0
CFA.US,D,20150514,000000,34.864,34.899,34.864,34.899,1183,0
CFA.US,D,20150518,000000,34.967,34.996,34.967,34.986,3018,0
CFA.US,D,20150519,000000,35.171,35.188,35.133,35.133,57164,0
CFA.US,D,20150521,000000,35.188,35.188,35.188,35.188,100,0
CFA.US,D,20150522,000000,35.107,35.107,35.107,35.107,209,0
CFA.US,D,20150526,000000,34.772,34.772,34.772,34.772,180,0
CFA.US,D,20150527,000000,35.043,35.043,35.043,35.043,538,0
CFA.US,D,20150528,000000,35.115,35.115,34.967,34.986,6722,0
CFA.US,D,20150529,000000,34.828,34.828,34.8,34.8,538,0
CFA.US,D,20150601,000000,34.918,35.088,34.918,34.918,1183,0
CFA.US,D,20150602,000000,34.818,34.818,34.818,34.818,209,0
CFA.US,D,20150603,000000,35.033,35.033,35.024,35.024,209,0
CFA.US,D,20150604,000000,34.649,34.649,34.649,34.649,314,0
CFA.US,D,20150605,000000,34.575,34.694,34.575,34.694,1400,0
CFA.US,D,20150608,000000,34.649,34.649,34.49,34.49,1507,0
CFA.US,D,20150609,000000,34.414,34.414,34.414,34.414,180,0
CFA.US,D,20150610,000000,34.889,34.918,34.855,34.855,1607,0
CFA.US,D,20150611,000000,35.043,35.043,34.986,34.986,786,0
CFA.US,D,20150612,000000,34.864,34.864,34.855,34.855,1183,0
CFA.US,D,20150615,000000,34.565,34.565,34.565,34.565,538,0
CFA.US,D,20150616,000000,34.793,34.793,34.793,34.793,208,0
CFA.US,D,20150617,000000,34.866,34.866,34.866,34.866,100,0
CFA.US,D,20150618,000000,35.174,35.296,35.174,35.296,208,0
CFA.US,D,20150619,000000,35.21,35.21,35.201,35.201,430,0
CFA.US,D,20150622,000000,35.277,35.277,35.277,35.277,313,0
CFA.US,D,20150623,000000,35.314,35.314,35.314,35.314,280,0
CFA.US,D,20150624,000000,35.11,35.11,35.081,35.081,850,0
CFA.US,D,20150625,000000,34.921,34.921,34.921,34.921,208,0
CFA.US,D,20150626,000000,35.027,35.027,35.027,35.027,430,0
CFA.US,D,20150629,000000,34.223,34.223,34.223,34.223,100,0
CFA.US,D,20150630,000000,34.304,34.304,34.304,34.304,296,0
CFA.US,D,20150701,000000,34.651,34.651,34.527,34.527,1180,0
CFA.US,D,20150702,000000,34.616,34.625,34.527,34.527,3643,0
CFA.US,D,20150706,000000,34.415,34.415,34.415,34.415,208,0
CFA.US,D,20150708,000000,34.026,34.026,34.026,34.026,208,0
CFA.US,D,20150709,000000,34.342,34.342,34.285,34.285,2140,0
CFA.US,D,20150710,000000,34.425,34.425,34.425,34.425,100,0
CFA.US,D,20150713,000000,34.866,34.931,34.866,34.931,850,0
CFA.US,D,20150714,000000,35.02,35.02,34.999,34.999,705,0
CFA.US,D,20150715,000000,34.999,34.999,34.999,34.999,1930,0
CFA.US,D,20150716,000000,35.257,35.257,35.054,35.054,8248,0
CFA.US,D,20150723,000000,34.96,34.96,34.96,34.96,100,0
CFA.US,D,20150724,000000,34.857,34.857,34.38,34.38,6752,0
CFA.US,D,20150727,000000,34.277,34.277,34.183,34.183,4932,0
CFA.US,D,20150728,000000,34.406,34.406,34.396,34.396,2249,0
CFA.US,D,20150730,000000,34.999,35.027,34.793,35.027,6322,0
CFA.US,D,20150731,000000,34.96,34.96,34.96,34.96,313,0
CFA.US,D,20150803,000000,34.98,34.98,34.98,34.98,1027,0
CFA.US,D,20150806,000000,34.931,34.931,34.931,34.931,236,0
CFA.US,D,20150810,000000,35.174,35.174,35.174,35.174,100,0
CFA.US,D,20150812,000000,34.527,34.837,34.527,34.837,11355,0
CFA.US,D,20150813,000000,34.847,35.007,34.837,34.892,4824,0
CFA.US,D,20150814,000000,34.95,34.95,34.921,34.931,641,0
CFA.US,D,20150817,000000,35.036,35.21,35.036,35.201,748,0
CFA.US,D,20150820,000000,34.671,34.671,34.213,34.213,1396,0
CFA.US,D,20150821,000000,33.745,33.745,33.382,33.382,2460,0
CFA.US,D,20150824,000000,32.633,32.915,31.823,31.941,7047,0
CFA.US,D,20150825,000000,32.478,32.478,32.167,32.167,1396,0
CFA.US,D,20150826,000000,32.167,32.579,31.766,32.579,8893,0
