<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFO.US,D,20140707,000000,32.404,32.404,32.294,32.305,4332,0
CFO.US,D,20140708,000000,32.163,32.163,32.118,32.125,7330,0
CFO.US,D,20140709,000000,32.185,32.208,32.179,32.208,99029,0
CFO.US,D,20140710,000000,32.1,32.1,32.074,32.074,4300,0
CFO.US,D,20140711,000000,31.975,31.975,31.975,31.975,310,0
CFO.US,D,20140714,000000,32.173,32.173,32.142,32.148,3949,0
CFO.US,D,20140715,000000,32.054,32.135,32.044,32.09,3897,0
CFO.US,D,20140716,000000,32.09,32.189,32.082,32.144,68714,0
CFO.US,D,20140717,000000,32.09,32.153,31.783,31.81,12408,0
CFO.US,D,20140718,000000,32.07,32.07,32.07,32.07,779,0
CFO.US,D,20140721,000000,32.014,32.059,31.938,32.044,1787,0
CFO.US,D,20140722,000000,32.208,32.227,32.173,32.179,1245,0
CFO.US,D,20140723,000000,32.208,32.208,32.144,32.144,48846,0
CFO.US,D,20140724,000000,32.208,32.237,32.179,32.218,35715,0
CFO.US,D,20140725,000000,32.173,32.173,32.108,32.117,3565,0
CFO.US,D,20140728,000000,32.113,32.113,32.113,32.113,2040,0
CFO.US,D,20140729,000000,32.015,32.034,31.929,31.929,1190,0
CFO.US,D,20140730,000000,31.885,31.913,31.846,31.913,3340,0
CFO.US,D,20140731,000000,31.683,31.72,31.344,31.344,22463,0
CFO.US,D,20140801,000000,31.324,31.408,31.11,31.314,15435,0
CFO.US,D,20140804,000000,31.238,31.344,31.219,31.344,2162,0
CFO.US,D,20140805,000000,31.314,31.444,31.18,31.2,6177,0
CFO.US,D,20140807,000000,31.11,31.11,31.017,31.017,1199,0
CFO.US,D,20140811,000000,31.574,31.584,31.574,31.584,4497,0
CFO.US,D,20140812,000000,31.594,31.61,31.574,31.574,2847,0
CFO.US,D,20140813,000000,31.693,31.693,31.665,31.665,5130,0
CFO.US,D,20140814,000000,31.763,31.81,31.763,31.81,73582,0
CFO.US,D,20140815,000000,31.956,31.956,31.703,31.765,93326,0
CFO.US,D,20140818,000000,32.09,32.09,32.082,32.082,1766,0
CFO.US,D,20140819,000000,32.227,32.274,32.227,32.241,3850,0
CFO.US,D,20140820,000000,32.303,32.404,32.303,32.385,16227,0
CFO.US,D,20140821,000000,32.936,32.936,32.414,32.48,20021,0
CFO.US,D,20140822,000000,32.416,32.497,32.332,32.43,21080,0
CFO.US,D,20140825,000000,32.569,32.578,32.551,32.569,6462,0
CFO.US,D,20140826,000000,32.61,32.617,32.561,32.561,159530,0
CFO.US,D,20140827,000000,32.551,32.569,32.533,32.533,15185,0
CFO.US,D,20140828,000000,32.48,32.585,32.467,32.56,38215,0
CFO.US,D,20140829,000000,32.569,32.667,32.569,32.619,2951,0
CFO.US,D,20140902,000000,32.752,32.772,32.585,32.677,39993,0
CFO.US,D,20140903,000000,32.781,32.789,32.648,32.667,42502,0
CFO.US,D,20140904,000000,32.816,32.816,32.602,32.61,37179,0
CFO.US,D,20140905,000000,32.687,32.752,32.585,32.733,24103,0
CFO.US,D,20140908,000000,32.687,32.762,32.6,32.696,20394,0
CFO.US,D,20140909,000000,32.6,32.6,32.461,32.49,8889,0
CFO.US,D,20140910,000000,32.752,32.796,32.377,32.551,17229,0
CFO.US,D,20140911,000000,32.457,32.628,32.457,32.628,11123,0
CFO.US,D,20140912,000000,32.532,32.532,32.368,32.424,17083,0
CFO.US,D,20140915,000000,32.954,32.954,32.322,32.377,26050,0
CFO.US,D,20140916,000000,32.461,32.887,32.402,32.578,457306,0
CFO.US,D,20140917,000000,33.078,33.078,32.56,32.701,51048,0
CFO.US,D,20140918,000000,32.705,32.724,32.694,32.705,10192,0
CFO.US,D,20140919,000000,32.897,32.897,32.628,32.667,1786,0
CFO.US,D,20140922,000000,33.031,33.031,32.349,32.374,14496,0
CFO.US,D,20140923,000000,32.264,32.282,32.135,32.135,16887,0
CFO.US,D,20140924,000000,32.053,32.322,32.043,32.312,3822,0
CFO.US,D,20140925,000000,31.965,32.442,31.892,31.892,23069,0
CFO.US,D,20140926,000000,31.955,32.131,31.918,32.126,14567,0
CFO.US,D,20140929,000000,31.994,32.099,31.954,32.036,43815,0
CFO.US,D,20140930,000000,32.033,32.055,31.884,31.955,18118,0
CFO.US,D,20141001,000000,31.621,31.762,31.452,31.507,14293,0
CFO.US,D,20141002,000000,31.537,31.582,31.198,31.537,119414,0
CFO.US,D,20141003,000000,31.71,31.855,31.636,31.836,23331,0
CFO.US,D,20141006,000000,31.874,31.906,31.767,31.772,48223,0
CFO.US,D,20141007,000000,31.864,31.864,31.332,31.332,10599,0
CFO.US,D,20141008,000000,31.332,31.762,31.116,31.762,8562,0
CFO.US,D,20141009,000000,31.208,31.293,31.068,31.078,14462,0
CFO.US,D,20141010,000000,31.16,31.16,30.686,30.686,11823,0
CFO.US,D,20141013,000000,30.522,30.588,30.209,30.209,19500,0
CFO.US,D,20141014,000000,30.333,30.559,30.305,30.458,1483,0
CFO.US,D,20141015,000000,30.08,30.209,29.338,30.191,17729,0
CFO.US,D,20141016,000000,29.773,30.35,29.773,30.286,57379,0
CFO.US,D,20141017,000000,30.55,30.796,30.495,30.578,8647,0
CFO.US,D,20141020,000000,30.819,30.925,30.664,30.925,10309,0
CFO.US,D,20141021,000000,31.208,31.618,31.16,31.582,7367,0
CFO.US,D,20141022,000000,31.691,31.728,31.407,31.407,6034,0
CFO.US,D,20141023,000000,31.719,31.827,31.691,31.701,7666,0
CFO.US,D,20141024,000000,31.754,31.934,31.618,31.934,14813,0
CFO.US,D,20141027,000000,31.947,31.947,31.772,31.883,17210,0
CFO.US,D,20141028,000000,32.023,32.283,32.023,32.246,24500,0
CFO.US,D,20141029,000000,32.424,32.424,32.197,32.252,10987,0
CFO.US,D,20141030,000000,32.197,32.458,32.162,32.368,5015,0
CFO.US,D,20141031,000000,32.897,32.897,32.715,32.762,6410,0
CFO.US,D,20141103,000000,32.817,32.897,32.733,32.807,10955,0
CFO.US,D,20141104,000000,32.781,32.781,32.592,32.677,13867,0
CFO.US,D,20141105,000000,32.831,32.927,32.771,32.917,9118,0
CFO.US,D,20141106,000000,32.897,33.091,32.897,33.091,13233,0
CFO.US,D,20141107,000000,33.181,33.181,33.097,33.135,14365,0
CFO.US,D,20141110,000000,33.208,33.238,33.174,33.238,19381,0
CFO.US,D,20141111,000000,33.294,33.294,33.218,33.218,2923,0
CFO.US,D,20141112,000000,33.172,33.416,33.172,33.275,6718,0
CFO.US,D,20141113,000000,33.218,33.228,33.119,33.191,6511,0
CFO.US,D,20141114,000000,33.238,33.238,33.163,33.214,22112,0
CFO.US,D,20141117,000000,33.49,33.49,33.143,33.238,19579,0
CFO.US,D,20141118,000000,33.311,33.471,33.311,33.399,8436,0
CFO.US,D,20141119,000000,33.356,33.538,33.284,33.357,6824,0
CFO.US,D,20141120,000000,33.338,33.481,33.338,33.46,13082,0
CFO.US,D,20141121,000000,33.948,33.948,33.584,33.63,6914,0
CFO.US,D,20141124,000000,33.727,33.727,33.716,33.716,679,0
CFO.US,D,20141125,000000,34.143,34.143,33.649,33.754,14291,0
CFO.US,D,20141126,000000,33.752,33.764,33.745,33.764,2100,0
CFO.US,D,20141201,000000,33.48,33.481,33.361,33.406,5443,0
CFO.US,D,20141202,000000,33.515,33.603,33.515,33.584,6631,0
CFO.US,D,20141203,000000,33.743,33.837,33.742,33.819,6472,0
CFO.US,D,20141204,000000,34.216,34.216,33.668,33.764,7658,0
CFO.US,D,20141205,000000,33.844,33.911,33.818,33.819,10732,0
CFO.US,D,20141208,000000,33.844,33.892,33.52,33.584,13839,0
CFO.US,D,20141209,000000,33.566,33.612,33.52,33.612,4673,0
CFO.US,D,20141210,000000,33.687,33.687,33.05,33.059,6356,0
CFO.US,D,20141211,000000,33.275,33.445,33.172,33.172,10431,0
CFO.US,D,20141212,000000,32.924,32.927,32.752,32.752,5999,0
CFO.US,D,20141215,000000,33.471,33.471,32.385,32.532,12446,0
CFO.US,D,20141216,000000,32.363,33.057,32.363,32.382,24424,0
CFO.US,D,20141217,000000,32.493,32.998,32.409,32.961,23445,0
CFO.US,D,20141218,000000,33.391,33.593,33.292,33.583,32935,0
CFO.US,D,20141219,000000,33.977,33.977,33.736,33.939,22725,0
CFO.US,D,20141222,000000,33.92,33.967,33.893,33.949,5846,0
CFO.US,D,20141223,000000,34.134,34.237,34.114,34.189,18515,0
CFO.US,D,20141224,000000,34.609,34.609,34.144,34.257,14511,0
CFO.US,D,20141226,000000,34.365,34.365,34.257,34.257,5464,0
CFO.US,D,20141229,000000,34.68,34.68,34.275,34.402,6710,0
CFO.US,D,20141230,000000,33.866,34.375,33.866,34.209,8070,0
CFO.US,D,20141231,000000,34.228,34.257,33.995,34.038,8190,0
CFO.US,D,20150102,000000,33.93,33.949,33.565,33.874,10956,0
CFO.US,D,20150105,000000,33.345,33.345,33.155,33.156,4323,0
CFO.US,D,20150106,000000,33.216,33.216,32.758,32.952,11280,0
CFO.US,D,20150107,000000,34.057,34.067,33.075,33.245,4888,0
CFO.US,D,20150108,000000,33.783,33.819,33.746,33.819,6642,0
CFO.US,D,20150109,000000,33.565,33.677,33.537,33.57,10078,0
CFO.US,D,20150112,000000,33.206,33.319,33.197,33.273,5732,0
CFO.US,D,20150113,000000,33.697,33.707,33.037,33.354,53725,0
CFO.US,D,20150114,000000,32.998,33.037,32.832,33.008,14001,0
CFO.US,D,20150115,000000,33.018,33.085,32.711,32.711,216389,0
CFO.US,D,20150116,000000,32.702,33.028,32.702,33.026,3918,0
CFO.US,D,20150120,000000,33.183,33.242,33.143,33.17,7765,0
CFO.US,D,20150121,000000,33.273,33.405,33.216,33.363,14758,0
CFO.US,D,20150122,000000,33.746,33.865,33.355,33.865,79382,0
CFO.US,D,20150123,000000,33.783,33.783,33.717,33.717,3222,0
CFO.US,D,20150126,000000,33.573,33.808,33.573,33.808,6966,0
CFO.US,D,20150127,000000,33.754,33.754,33.386,33.565,108365,0
CFO.US,D,20150128,000000,33.64,33.64,33.029,33.085,107133,0
CFO.US,D,20150129,000000,33.364,33.379,32.97,33.364,51252,0
CFO.US,D,20150130,000000,33.425,33.425,32.914,32.914,26065,0
CFO.US,D,20150202,000000,33.189,33.292,32.679,33.292,18612,0
CFO.US,D,20150203,000000,33.63,33.811,33.509,33.8,22395,0
CFO.US,D,20150204,000000,33.783,33.855,33.717,33.717,9208,0
CFO.US,D,20150205,000000,34.105,34.105,33.903,34.076,9834,0
CFO.US,D,20150206,000000,34.114,34.17,33.903,33.912,7434,0
CFO.US,D,20150209,000000,33.92,33.987,33.793,33.835,138512,0
CFO.US,D,20150210,000000,33.995,34.209,33.871,34.18,15193,0
CFO.US,D,20150211,000000,34.199,34.237,34.038,34.16,8886,0
CFO.US,D,20150212,000000,34.44,34.513,34.336,34.513,10271,0
CFO.US,D,20150213,000000,34.735,34.735,34.495,34.637,11666,0
CFO.US,D,20150217,000000,34.781,34.781,34.523,34.672,38688,0
CFO.US,D,20150218,000000,34.644,34.828,34.644,34.781,9785,0
CFO.US,D,20150219,000000,34.819,34.819,34.412,34.744,14540,0
CFO.US,D,20150220,000000,34.673,34.971,34.673,34.961,5976,0
CFO.US,D,20150223,000000,34.894,34.942,34.865,34.942,1037,0
CFO.US,D,20150224,000000,34.952,35.084,34.952,35.064,11710,0
CFO.US,D,20150225,000000,35.047,35.074,35.008,35.037,21670,0
CFO.US,D,20150226,000000,35.121,35.121,34.856,34.932,8795,0
CFO.US,D,20150227,000000,34.884,34.932,34.847,34.856,5795,0
CFO.US,D,20150302,000000,35.037,35.064,34.865,35.047,15829,0
CFO.US,D,20150303,000000,34.932,34.932,34.771,34.875,14968,0
CFO.US,D,20150304,000000,34.725,34.884,34.58,34.706,9369,0
CFO.US,D,20150305,000000,34.781,34.781,34.706,34.771,18417,0
CFO.US,D,20150306,000000,34.599,34.627,34.283,34.283,19058,0
CFO.US,D,20150309,000000,34.477,34.552,34.375,34.467,40170,0
CFO.US,D,20150310,000000,34.114,34.151,33.959,33.959,6467,0
CFO.US,D,20150311,000000,34.095,34.095,33.903,33.939,4953,0
CFO.US,D,20150312,000000,34.228,34.383,34.228,34.383,9803,0
CFO.US,D,20150313,000000,34.487,34.487,33.967,34.114,35219,0
CFO.US,D,20150316,000000,34.355,34.618,34.355,34.618,207421,0
CFO.US,D,20150317,000000,34.672,34.672,34.448,34.541,12995,0
CFO.US,D,20150318,000000,34.401,34.932,34.289,34.932,12995,0
CFO.US,D,20150319,000000,34.744,34.809,34.644,34.744,11061,0
CFO.US,D,20150320,000000,34.942,35.085,34.942,35.044,5030,0
CFO.US,D,20150323,000000,35.131,35.131,35.047,35.047,6982,0
CFO.US,D,20150324,000000,34.942,35.113,34.847,34.847,10523,0
CFO.US,D,20150325,000000,34.744,34.744,34.264,34.264,32864,0
CFO.US,D,20150326,000000,34.188,34.297,34.027,34.197,26960,0
CFO.US,D,20150327,000000,34.216,34.382,34.216,34.382,7410,0
CFO.US,D,20150330,000000,34.457,34.819,34.457,34.809,7410,0
