<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHB.US,D,20200928,000000,15.22,15.22,15.165,15.205,1516,0
CHB.US,D,20200929,000000,15.34,15.34,15.34,15.34,233,0
CHB.US,D,20201001,000000,15.58,15.71,15.58,15.6576,2440,0
CHB.US,D,20201002,000000,15.5,15.62,15.5,15.525,941,0
CHB.US,D,20201005,000000,15.7,15.84,15.65,15.8054,10136,0
CHB.US,D,20201006,000000,15.95,15.95,15.8,15.855,2282,0
CHB.US,D,20201007,000000,15.93,15.97,15.89,15.945,1781,0
CHB.US,D,20201008,000000,16.01,16.065,15.95,16.065,10227,0
CHB.US,D,20201009,000000,16.19,16.3298,16.19,16.27,1948,0
CHB.US,D,20201012,000000,16.55,16.6,16.5,16.505,3093,0
CHB.US,D,20201013,000000,16.6,16.6,16.52,16.545,3026,0
CHB.US,D,20201014,000000,16.45,16.4649,16.42,16.4649,1361,0
CHB.US,D,20201015,000000,16.17,16.19,16.096,16.096,889,0
CHB.US,D,20201016,000000,16.34,16.34,16.31,16.31,1631,0
CHB.US,D,20201019,000000,16.1,16.1,15.847,15.847,2011,0
CHB.US,D,20201020,000000,16.05,16.05,16.05,16.05,639,0
CHB.US,D,20201021,000000,16.15,16.2996,16.15,16.225,2356,0
CHB.US,D,20201022,000000,15.91,15.92,15.78,15.92,2251,0
CHB.US,D,20201023,000000,15.46,15.46,15.26,15.365,3800,0
CHB.US,D,20201026,000000,15.37,15.59,15.37,15.4788,1662,0
CHB.US,D,20201027,000000,15.61,15.83,15.61,15.7603,4105,0
CHB.US,D,20201028,000000,15.46,15.5117,15.45,15.5025,2093,0
CHB.US,D,20201029,000000,15.85,16,15.85,15.9308,2283,0
CHB.US,D,20201030,000000,15.68,15.7489,15.64,15.7141,2116,0
CHB.US,D,20201102,000000,15.5,15.5,15.39,15.4629,642,0
CHB.US,D,20201103,000000,15.5999,15.67,15.5999,15.65,8002,0
CHB.US,D,20201104,000000,15.72,16.07,15.72,16.0174,3348,0
CHB.US,D,20201105,000000,16.0502,16.15,16.0502,16.1138,1407,0
CHB.US,D,20201106,000000,15.46,15.69,15.45,15.69,3590,0
CHB.US,D,20201109,000000,16,16,15.78,15.8288,2762,0
CHB.US,D,20201110,000000,15.53,15.57,15.45,15.5064,5497,0
CHB.US,D,20201111,000000,15.29,15.36,15.21,15.2812,6463,0
CHB.US,D,20201112,000000,15.33,15.5,15.33,15.365,1963,0
CHB.US,D,20201113,000000,15.549,15.56,15.4543,15.5134,2888,0
CHB.US,D,20201116,000000,15.69,15.69,15.57,15.6601,4675,0
CHB.US,D,20201117,000000,15.4,15.41,15.24,15.3446,3725,0
CHB.US,D,20201118,000000,15.29,15.29,15.19,15.2,1168,0
CHB.US,D,20201119,000000,15.3001,15.34,15.3,15.3378,1988,0
CHB.US,D,20201120,000000,15.54,15.54,15.5072,15.5072,1069,0
CHB.US,D,20201123,000000,15.44,15.44,15.18,15.2403,11658,0
CHB.US,D,20201124,000000,15.2,15.2,15.02,15.0737,7483,0
CHB.US,D,20201125,000000,14.88,14.88,14.75,14.88,3972,0
CHB.US,D,20201127,000000,14.92,14.92,14.92,14.92,161,0
CHB.US,D,20201130,000000,15.18,15.18,14.9091,14.9091,1377,0
CHB.US,D,20201201,000000,15.28,15.28,15.1431,15.1777,2721,0
CHB.US,D,20201202,000000,15.04,15.07,14.95,14.99,5312,0
CHB.US,D,20201203,000000,15.27,15.38,15.27,15.3041,1347,0
CHB.US,D,20201204,000000,15.39,15.5292,15.39,15.445,1946,0
CHB.US,D,20201207,000000,15.36,15.367,15.33,15.3447,1498,0
CHB.US,D,20201208,000000,15.275,15.32,15.275,15.32,428,0
CHB.US,D,20201209,000000,14.98,15.03,14.82,14.8918,10394,0
CHB.US,D,20201210,000000,14.935,15.0399,14.935,14.9934,1990,0
CHB.US,D,20201211,000000,14.83,14.83,14.7577,14.7577,2063,0
CHB.US,D,20201214,000000,14.9,15.04,14.9,14.942,12722,0
CHB.US,D,20201215,000000,15.22,15.3711,15.22,15.3711,12140,0
CHB.US,D,20201216,000000,15.4899,15.54,15.4676,15.4676,3459,0
CHB.US,D,20201217,000000,15.82,15.9799,15.82,15.905,17818,0
CHB.US,D,20201218,000000,15.84,15.9009,15.71,15.9009,6529,0
CHB.US,D,20201221,000000,15.87,16.1299,15.87,16.12,7469,0
CHB.US,D,20201222,000000,16.239,16.24,16.2,16.2,903,0
CHB.US,D,20201223,000000,16.11,16.13,16.01,16.065,4568,0
CHB.US,D,20201224,000000,16,16.06,15.92,15.96,4465,0
CHB.US,D,20201228,000000,15.99,16.1892,15.97,16.13,6666,0
CHB.US,D,20201229,000000,16.06,16.06,15.955,15.955,2143,0
CHB.US,D,20201230,000000,16.13,16.28,16.13,16.27,2683,0
CHB.US,D,20201231,000000,16.2601,16.3615,16.2601,16.3615,2316,0
CHB.US,D,20210104,000000,16.51,16.51,16.3099,16.3378,22216,0
CHB.US,D,20210105,000000,16.485,16.6,16.485,16.5907,1340,0
CHB.US,D,20210106,000000,16.72,16.72,16.683,16.683,511,0
CHB.US,D,20210107,000000,16.49,16.58,16.415,16.58,1487,0
CHB.US,D,20210108,000000,16.83,16.93,16.8099,16.894,5984,0
CHB.US,D,20210111,000000,16.71,16.72,16.6,16.6,9929,0
CHB.US,D,20210112,000000,16.88,16.9,16.88,16.9,873,0
CHB.US,D,20210113,000000,16.83,16.83,16.7501,16.7501,1919,0
CHB.US,D,20210114,000000,16.99,17.0599,16.99,17.03,2222,0
CHB.US,D,20210115,000000,16.8682,16.95,16.7846,16.95,8011,0
CHB.US,D,20210119,000000,17.27,17.29,17.21,17.245,13081,0
CHB.US,D,20210120,000000,17.65,17.87,17.65,17.83,18623,0
CHB.US,D,20210121,000000,17.99,18.005,17.86,17.97,8576,0
CHB.US,D,20210122,000000,18.32,18.53,18.32,18.465,15692,0
CHB.US,D,20210125,000000,18.71,18.76,18.6001,18.6539,12517,0
CHB.US,D,20210126,000000,18.64,18.78,18.4226,18.53,5783,0
CHB.US,D,20210127,000000,17.95,17.95,17.77,17.85,10181,0
CHB.US,D,20210128,000000,17.29,17.55,17.29,17.49,12590,0
CHB.US,D,20210129,000000,17.48,17.509,17.355,17.38,4464,0
CHB.US,D,20210201,000000,17.71,18.01,17.71,17.94,20722,0
CHB.US,D,20210202,000000,18.26,18.38,18.26,18.38,2331,0
CHB.US,D,20210203,000000,18.59,18.79,18.59,18.76,5859,0
CHB.US,D,20210204,000000,18.62,18.68,18.529,18.61,7291,0
CHB.US,D,20210205,000000,18.88,18.885,18.83,18.845,12667,0
CHB.US,D,20210208,000000,19.16,19.25,19.16,19.2001,5697,0
CHB.US,D,20210209,000000,19.36,19.489,19.36,19.4201,11145,0
CHB.US,D,20210210,000000,19.96,20,19.78,19.83,18079,0
CHB.US,D,20210211,000000,20,20.029,19.9,19.9729,6502,0
CHB.US,D,20210212,000000,19.992,20.07,19.95,20.035,8541,0
CHB.US,D,20210216,000000,20.15,20.17,20.04,20.09,9421,0
CHB.US,D,20210217,000000,20.1,20.1,19.98,19.98,4014,0
CHB.US,D,20210218,000000,19.07,19.07,18.8801,19.05,15295,0
CHB.US,D,20210219,000000,18.85,19.02,18.85,18.95,5842,0
CHB.US,D,20210222,000000,18.23,18.23,17.99,17.99,9257,0
CHB.US,D,20210223,000000,17.93,18.2,17.83,18.1515,4643,0
CHB.US,D,20210224,000000,17.65,17.75,17.52,17.65,9755,0
CHB.US,D,20210225,000000,17.521,17.529,17.23,17.2641,5578,0
CHB.US,D,20210226,000000,17.21,17.21,16.96,17.085,7393,0
CHB.US,D,20210301,000000,17.19,17.4633,17.19,17.4633,3859,0
CHB.US,D,20210302,000000,17.17,17.17,16.98,16.98,5736,0
CHB.US,D,20210303,000000,16.95,16.96,16.76,16.76,7327,0
CHB.US,D,20210304,000000,16.38,16.38,16.0601,16.095,7972,0
CHB.US,D,20210305,000000,16.1,16.1799,16,16.07,10769,0
CHB.US,D,20210308,000000,15.75,15.75,15.24,15.285,19006,0
CHB.US,D,20210309,000000,15.35,15.61,15.18,15.5253,5433,0
CHB.US,D,20210310,000000,15.47,15.6199,15.47,15.53,28945,0
CHB.US,D,20210311,000000,15.8641,16.16,15.8641,16.11,6027,0
CHB.US,D,20210312,000000,15.64,15.64,15.595,15.595,7212,0
CHB.US,D,20210315,000000,15.44,15.479,15.343,15.4375,6201,0
CHB.US,D,20210316,000000,15.71,15.72,15.65,15.7038,2360,0
CHB.US,D,20210317,000000,15.67,15.8596,15.67,15.8596,172,0
CHB.US,D,20210318,000000,15.8,15.8,15.7847,15.7847,431,0
CHB.US,D,20210319,000000,15.66,15.8215,15.65,15.8215,1451,0
CHB.US,D,20210322,000000,15.86,15.98,15.86,15.955,1718,0
CHB.US,D,20210323,000000,15.88,15.88,15.7801,15.7801,816,0
CHB.US,D,20210324,000000,15.67,15.67,15.53,15.6,500,0
CHB.US,D,20210325,000000,15.52,15.6495,15.52,15.6495,276,0
CHB.US,D,20210326,000000,15.92,16.1501,15.92,16.1501,2476,0
CHB.US,D,20210329,000000,16.04,16.04,15.9866,15.9928,885,0
CHB.US,D,20210330,000000,16.2,16.2,16.1923,16.1923,376,0
CHB.US,D,20210331,000000,16.32,16.37,16.2,16.2304,5090,0
CHB.US,D,20210401,000000,16.57,16.57,16.4741,16.4741,13664,0
CHB.US,D,20210405,000000,16.5,16.5,16.27,16.4235,14470,0
CHB.US,D,20210406,000000,16.4,16.4,16.36,16.3884,1768,0
CHB.US,D,20210407,000000,16.29,16.375,16.28,16.3647,5534,0
CHB.US,D,20210408,000000,16.57,16.641,16.54,16.5734,5466,0
CHB.US,D,20210409,000000,16.48,16.48,16.35,16.421,5892,0
CHB.US,D,20210412,000000,16.13,16.2265,16.1,16.215,3842,0
CHB.US,D,20210413,000000,16.47,16.745,16.47,16.745,1636,0
CHB.US,D,20210414,000000,16.91,16.925,16.85,16.85,1049,0
CHB.US,D,20210415,000000,17.07,17.16,17.01,17.0702,4471,0
CHB.US,D,20210416,000000,17.05,17.05,16.82,16.97,3263,0
CHB.US,D,20210419,000000,17.19,17.23,17.141,17.22,3806,0
CHB.US,D,20210420,000000,17,17.1022,16.971,17.1022,940,0
CHB.US,D,20210421,000000,17.49,17.63,17.49,17.63,517,0
CHB.US,D,20210422,000000,17.7987,17.83,17.7987,17.83,974,0
CHB.US,D,20210423,000000,18.12,18.23,18.12,18.2,1107,0
CHB.US,D,20210426,000000,18.17,18.23,18.11,18.2299,5471,0
CHB.US,D,20210427,000000,18.39,18.525,18.39,18.46,3321,0
CHB.US,D,20210428,000000,18.99,18.99,18.8,18.895,4376,0
CHB.US,D,20210429,000000,18.76,18.76,18.6117,18.6184,1328,0
CHB.US,D,20210430,000000,18.84,18.92,18.7636,18.7636,1427,0
CHB.US,D,20210503,000000,18.71,18.76,18.63,18.75,9777,0
CHB.US,D,20210504,000000,18.321,18.34,18.3201,18.34,1066,0
CHB.US,D,20210505,000000,18.26,18.43,18.2271,18.265,6893,0
CHB.US,D,20210506,000000,18.06,18.06,17.79,17.9154,3919,0
CHB.US,D,20210507,000000,17.67,17.67,17.59,17.595,2233,0
CHB.US,D,20210510,000000,17.77,17.77,17.59,17.59,1669,0
CHB.US,D,20210511,000000,17.58,17.58,17.58,17.58,259,0
CHB.US,D,20210512,000000,18.21,18.35,18.21,18.3,2867,0
CHB.US,D,20210513,000000,18.4743,18.52,18.43,18.49,2191,0
CHB.US,D,20210514,000000,19.149,19.149,19.1,19.1,3296,0
CHB.US,D,20210517,000000,19.24,19.24,19.08,19.111,15650,0
CHB.US,D,20210518,000000,19,19.06,18.99,19.06,1435,0
CHB.US,D,20210519,000000,18.98,19.199,18.98,19.1445,4149,0
CHB.US,D,20210520,000000,19.37,19.37,19.3,19.3644,2808,0
CHB.US,D,20210521,000000,19,19,18.681,18.8752,7870,0
CHB.US,D,20210524,000000,18.78,18.88,18.78,18.8342,1756,0
CHB.US,D,20210525,000000,19.34,19.34,19.33,19.33,3856,0
CHB.US,D,20210526,000000,19.13,19.28,19.13,19.28,898,0
CHB.US,D,20210527,000000,19.36,19.36,19.36,19.36,408,0
CHB.US,D,20210528,000000,19.05,19.11,18.97,19.0589,5296,0
CHB.US,D,20210601,000000,19.65,19.75,19.65,19.69,6230,0
CHB.US,D,20210602,000000,19.53,19.53,19.34,19.39,7882,0
CHB.US,D,20210603,000000,19.01,19.01,18.82,18.845,1681,0
CHB.US,D,20210604,000000,18.98,19.0499,18.98,19.025,1952,0
CHB.US,D,20210607,000000,19.07,19.18,19.07,19.15,2904,0
CHB.US,D,20210608,000000,19.03,19.03,18.96,18.96,295,0
CHB.US,D,20210609,000000,19.03,19.03,19.03,19.03,109,0
CHB.US,D,20210610,000000,19.07,19.12,19.065,19.12,650,0
CHB.US,D,20210611,000000,19,19,19,19,226,0
CHB.US,D,20210614,000000,19,19,18.77,18.84,1039,0
CHB.US,D,20210615,000000,18.62,18.62,18.41,18.46,5454,0
CHB.US,D,20210616,000000,18.16,18.16,17.9315,17.9315,3542,0
CHB.US,D,20210617,000000,18,18.05,17.9423,17.9423,3111,0
CHB.US,D,20210618,000000,18.12,18.16,18.0336,18.0336,3903,0
CHB.US,D,20210621,000000,18.25,18.44,18.25,18.41,2972,0
CHB.US,D,20210622,000000,18.5,18.5,18.44,18.4446,2397,0
CHB.US,D,20210623,000000,18.46,18.63,18.46,18.545,2690,0
CHB.US,D,20210624,000000,18.63,18.7,18.55,18.67,1325,0
CHB.US,D,20210625,000000,18.93,18.93,18.8625,18.8625,209,0
CHB.US,D,20210628,000000,19.22,19.22,19.14,19.1478,657,0
CHB.US,D,20210629,000000,18.92,18.92,18.8247,18.8944,6423,0
CHB.US,D,20210630,000000,18.88,18.88,18.7787,18.7787,795,0
CHB.US,D,20210701,000000,18.7,18.7,18.7,18.7,631,0
CHB.US,D,20210702,000000,18.42,18.42,18.23,18.35,1514,0
CHB.US,D,20210706,000000,17.71,17.71,17.6,17.6,2038,0
CHB.US,D,20210707,000000,18.07,18.1,17.99,18.04,2720,0
CHB.US,D,20210708,000000,17.67,17.672,17.5,17.672,3622,0
CHB.US,D,20210709,000000,18.11,18.1603,18.08,18.1603,1161,0
CHB.US,D,20210712,000000,18.61,18.61,18.53,18.5595,696,0
CHB.US,D,20210713,000000,18.54,18.62,18.54,18.62,803,0
CHB.US,D,20210715,000000,18.83,18.83,18.7084,18.7084,549,0
CHB.US,D,20210716,000000,18.631,18.66,18.631,18.66,589,0
CHB.US,D,20210719,000000,18.71,18.71,18.65,18.6824,699,0
CHB.US,D,20210720,000000,18.6,18.63,18.5722,18.5722,3842,0
CHB.US,D,20210721,000000,18.91,18.949,18.82,18.9129,1900,0
CHB.US,D,20210722,000000,18.59,18.59,18.44,18.55,2728,0
CHB.US,D,20210723,000000,18.16,18.16,17.77,17.8711,16486,0
CHB.US,D,20210726,000000,17,17,16.8,16.8314,3404,0
CHB.US,D,20210727,000000,16.2,16.2,15.9,16.1021,9103,0
CHB.US,D,20210728,000000,16.8,17.2757,16.8,17.26,3865,0
CHB.US,D,20210729,000000,17.48,17.48,17.48,17.48,586,0
CHB.US,D,20210730,000000,17.53,17.53,17.48,17.52,902,0
CHB.US,D,20210803,000000,18.38,18.68,18.38,18.555,2170,0
CHB.US,D,20210804,000000,18.75,18.75,18.58,18.6377,1956,0
CHB.US,D,20210805,000000,18.5532,18.5532,18.55,18.5532,4533,0
CHB.US,D,20210806,000000,17.97,17.97,17.75,17.8337,2635,0
CHB.US,D,20210809,000000,17.9,18.1,17.9,17.96,1892,0
CHB.US,D,20210810,000000,18.08,18.08,18.08,18.08,283,0
CHB.US,D,20210811,000000,17.84,17.84,17.59,17.6165,1756,0
CHB.US,D,20210812,000000,17.3,17.33,17.255,17.255,401,0
CHB.US,D,20210813,000000,17.26,17.3217,17.25,17.3217,5014,0
CHB.US,D,20210816,000000,17.34,17.34,17.34,17.34,1073,0
CHB.US,D,20210817,000000,16.91,16.91,16.65,16.7091,780,0
CHB.US,D,20210818,000000,16.69,16.69,16.6709,16.6709,763,0
CHB.US,D,20210819,000000,16.79,16.82,16.73,16.8083,1082,0
CHB.US,D,20210820,000000,16.39,16.39,16.22,16.2612,2954,0
CHB.US,D,20210823,000000,16.51,16.84,16.51,16.84,3171,0
CHB.US,D,20210824,000000,16.98,17.05,16.98,17.05,2088,0
CHB.US,D,20210826,000000,16.72,16.72,16.72,16.72,499,0
CHB.US,D,20210827,000000,16.5,16.5307,16.4601,16.5307,437,0
CHB.US,D,20210830,000000,16.62,16.64,16.5783,16.5783,421,0
CHB.US,D,20210831,000000,16.5,16.5,16.3968,16.3968,556,0
CHB.US,D,20210901,000000,16.4781,16.68,16.46,16.68,2769,0
