<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHNA.US,D,20180815,000000,23.64,23.799,23.605,23.65,5535,0
CHNA.US,D,20180816,000000,23.719,23.976,23.451,23.751,29051,0
CHNA.US,D,20180817,000000,23.064,23.401,22.835,23.319,5383,0
CHNA.US,D,20180820,000000,23.759,23.879,23.441,23.879,1589,0
CHNA.US,D,20180821,000000,24.723,24.797,24.613,24.772,4032,0
CHNA.US,D,20180822,000000,24.563,24.678,24.534,24.673,7646,0
CHNA.US,D,20180823,000000,24.802,24.867,24.643,24.643,6913,0
CHNA.US,D,20180824,000000,24.902,25.011,24.889,25.011,4782,0
CHNA.US,D,20180827,000000,25.533,25.755,25.533,25.588,2289,0
CHNA.US,D,20180828,000000,25.389,25.389,25.194,25.194,2340,0
CHNA.US,D,20180829,000000,25.508,25.528,25.341,25.388,6072,0
CHNA.US,D,20180830,000000,25.19,25.19,24.953,24.953,4019,0
CHNA.US,D,20180904,000000,24.772,24.787,24.48,24.48,3791,0
CHNA.US,D,20180905,000000,24.345,24.345,24.098,24.246,608,0
CHNA.US,D,20180906,000000,24.156,24.176,23.531,23.531,4763,0
CHNA.US,D,20180907,000000,23.668,23.668,23.668,23.668,287,0
CHNA.US,D,20180910,000000,23.65,23.68,23.44,23.44,1526,0
CHNA.US,D,20180911,000000,23.213,23.273,22.904,23.273,4423,0
CHNA.US,D,20180912,000000,22.388,22.388,22.202,22.357,5546,0
CHNA.US,D,20180913,000000,22.455,22.455,22.348,22.348,772,0
CHNA.US,D,20180914,000000,22.198,22.344,22.198,22.243,10754,0
CHNA.US,D,20180917,000000,22.278,22.278,22.079,22.079,2145,0
CHNA.US,D,20180919,000000,22.815,22.994,22.787,22.787,2054,0
CHNA.US,D,20180920,000000,22.795,22.795,22.795,22.795,521,0
CHNA.US,D,20180921,000000,23.004,23.301,23.004,23.232,1490,0
CHNA.US,D,20180924,000000,23.034,23.034,23.034,23.034,427,0
CHNA.US,D,20180926,000000,23.054,23.5,23.054,23.153,2266,0
