<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIBR.US,D,20150708,000000,19.226,19.322,18.839,19.031,115996,0
CIBR.US,D,20150709,000000,19.341,19.783,19.206,19.264,259557,0
CIBR.US,D,20150710,000000,19.667,19.667,19.37,19.523,161976,0
CIBR.US,D,20150713,000000,19.842,20.032,19.513,19.569,150741,0
CIBR.US,D,20150714,000000,19.714,19.822,19.569,19.822,224152,0
CIBR.US,D,20150715,000000,19.928,19.928,19.513,19.589,212871,0
CIBR.US,D,20150716,000000,19.753,19.753,19.532,19.724,230430,0
CIBR.US,D,20150717,000000,19.803,19.803,19.579,19.695,227306,0
CIBR.US,D,20150720,000000,19.793,19.793,19.464,19.55,293472,0
CIBR.US,D,20150721,000000,19.599,19.648,19.303,19.389,302730,0
CIBR.US,D,20150722,000000,19.226,19.417,19.226,19.322,197763,0
CIBR.US,D,20150723,000000,19.589,19.956,19.446,19.695,261845,0
CIBR.US,D,20150724,000000,19.851,19.899,19.464,19.56,141378,0
CIBR.US,D,20150727,000000,19.417,19.417,19.012,19.08,139922,0
CIBR.US,D,20150728,000000,19.226,19.274,18.915,19.274,166346,0
CIBR.US,D,20150729,000000,19.148,19.274,18.935,19.178,159794,0
CIBR.US,D,20150730,000000,19.36,19.36,18.983,19.236,135239,0
CIBR.US,D,20150731,000000,19.332,19.351,19.178,19.188,208165,0
CIBR.US,D,20150803,000000,19.168,19.168,18.839,19.031,80875,0
CIBR.US,D,20150804,000000,18.896,19.158,18.896,19.022,94251,0
CIBR.US,D,20150805,000000,19.246,19.437,19.196,19.284,129205,0
CIBR.US,D,20150806,000000,19.351,19.351,18.726,18.812,136675,0
CIBR.US,D,20150807,000000,18.963,18.973,18.689,18.886,129100,0
CIBR.US,D,20150810,000000,19.128,19.284,19.07,19.274,96958,0
CIBR.US,D,20150811,000000,19.08,19.128,18.726,18.849,105674,0
CIBR.US,D,20150812,000000,18.746,18.756,18.331,18.706,119845,0
CIBR.US,D,20150813,000000,18.802,18.905,18.716,18.794,99766,0
CIBR.US,D,20150814,000000,18.859,18.886,18.736,18.877,104239,0
CIBR.US,D,20150817,000000,18.849,19.031,18.726,19.003,101743,0
CIBR.US,D,20150818,000000,19.061,19.061,18.802,18.82,70534,0
CIBR.US,D,20150819,000000,18.794,18.83,18.611,18.706,94251,0
CIBR.US,D,20150820,000000,18.505,18.591,17.821,17.821,148351,0
CIBR.US,D,20150821,000000,17.628,17.762,17.236,17.352,215345,0
CIBR.US,D,20150824,000000,16.033,17.275,15.398,16.688,375068,0
CIBR.US,D,20150825,000000,17.637,17.704,16.735,16.754,129519,0
CIBR.US,D,20150826,000000,17.198,17.265,16.609,17.149,197348,0
CIBR.US,D,20150827,000000,17.389,17.419,17.042,17.323,204110,0
CIBR.US,D,20150828,000000,17.285,17.448,17.256,17.342,76359,0
CIBR.US,D,20150831,000000,17.352,17.37,17.11,17.158,77715,0
CIBR.US,D,20150901,000000,16.754,16.997,16.571,16.629,89156,0
CIBR.US,D,20150902,000000,16.919,16.968,16.58,16.87,34227,0
CIBR.US,D,20150903,000000,17.042,17.1,16.852,16.88,62626,0
CIBR.US,D,20150904,000000,16.715,16.783,16.533,16.59,97789,0
CIBR.US,D,20150908,000000,16.919,17.015,16.754,17.006,36931,0
CIBR.US,D,20150909,000000,17.188,17.188,16.764,16.783,60339,0
CIBR.US,D,20150910,000000,16.889,16.997,16.735,16.87,87514,0
CIBR.US,D,20150911,000000,16.899,16.949,16.735,16.949,39218,0
CIBR.US,D,20150914,000000,16.87,16.968,16.793,16.909,66581,0
CIBR.US,D,20150915,000000,16.773,17.09,16.773,17.051,63461,0
CIBR.US,D,20150916,000000,17.13,17.198,16.997,17.198,58673,0
CIBR.US,D,20150917,000000,17.216,17.448,17.158,17.206,39427,0
CIBR.US,D,20150918,000000,17.042,17.226,17.006,17.139,59400,0
CIBR.US,D,20150921,000000,17.265,17.38,17.061,17.12,76878,0
CIBR.US,D,20150922,000000,16.929,16.968,16.698,16.852,88845,0
CIBR.US,D,20150923,000000,16.978,16.978,16.725,16.88,43691,0
CIBR.US,D,20150924,000000,16.725,16.87,16.523,16.861,39967,0
CIBR.US,D,20150925,000000,17.11,17.11,16.698,16.744,68764,0
CIBR.US,D,20150928,000000,16.668,16.773,16.206,16.294,97530,0
CIBR.US,D,20150929,000000,16.418,16.418,15.994,16.119,123798,0
CIBR.US,D,20150930,000000,16.427,16.542,16.274,16.542,36826,0
CIBR.US,D,20151001,000000,16.629,16.629,16.014,16.542,53886,0
CIBR.US,D,20151002,000000,16.38,16.88,16.294,16.832,43276,0
CIBR.US,D,20151005,000000,16.861,17.149,16.861,17.11,32945,0
CIBR.US,D,20151006,000000,17.149,17.188,16.909,17.071,29440,0
CIBR.US,D,20151007,000000,17.246,17.313,16.987,17.236,35371,0
CIBR.US,D,20151008,000000,17.295,17.295,17.08,17.236,39741,0
CIBR.US,D,20151009,000000,17.304,17.362,17.216,17.295,90405,0
CIBR.US,D,20151012,000000,17.37,17.37,17.12,17.216,32533,0
CIBR.US,D,20151013,000000,17.168,17.178,16.899,16.909,34434,0
CIBR.US,D,20151014,000000,16.968,17.006,16.715,16.842,35371,0
CIBR.US,D,20151015,000000,16.958,17.206,16.949,17.188,80106,0
CIBR.US,D,20151016,000000,17.275,17.275,17.12,17.256,34539,0
CIBR.US,D,20151019,000000,17.236,17.448,17.206,17.323,184863,0
CIBR.US,D,20151020,000000,17.332,17.332,17.13,17.206,85385,0
CIBR.US,D,20151021,000000,17.236,17.236,16.735,16.773,75424,0
CIBR.US,D,20151022,000000,17.006,17.295,17.006,17.216,62836,0
CIBR.US,D,20151023,000000,17.226,17.226,16.949,17.08,117453,0
CIBR.US,D,20151026,000000,17.061,17.188,17.006,17.08,42443,0
CIBR.US,D,20151027,000000,17.042,17.09,16.889,17.025,74902,0
CIBR.US,D,20151028,000000,17.042,17.399,16.88,17.399,98725,0
CIBR.US,D,20151029,000000,17.236,17.236,16.997,17.061,131806,0
CIBR.US,D,20151030,000000,17.198,17.352,17.198,17.295,71885,0
CIBR.US,D,20151102,000000,17.332,17.573,17.304,17.506,74260,0
CIBR.US,D,20151103,000000,17.456,17.666,17.332,17.563,71679,0
CIBR.US,D,20151104,000000,17.6,17.772,17.596,17.637,109977,0
CIBR.US,D,20151105,000000,17.486,17.486,17.158,17.216,82602,0
CIBR.US,D,20151106,000000,17.246,17.496,17.168,17.456,55970,0
CIBR.US,D,20151109,000000,17.466,17.466,17.13,17.246,70317,0
CIBR.US,D,20151110,000000,17.158,17.236,16.968,17.09,102157,0
CIBR.US,D,20151111,000000,17.246,17.246,16.978,17.09,53264,0
CIBR.US,D,20151112,000000,17.042,17.285,17.032,17.11,63668,0
CIBR.US,D,20151113,000000,17.025,17.025,16.773,16.813,39116,0
CIBR.US,D,20151116,000000,16.889,17.11,16.88,17.09,60547,0
CIBR.US,D,20151117,000000,17.1,17.285,17.09,17.149,38598,0
CIBR.US,D,20151118,000000,17.226,17.38,17.13,17.323,36619,0
CIBR.US,D,20151119,000000,17.438,17.582,17.429,17.544,39637,0
CIBR.US,D,20151120,000000,17.592,17.628,17.496,17.554,76359,0
CIBR.US,D,20151123,000000,17.592,17.592,17.476,17.496,43900,0
CIBR.US,D,20151124,000000,17.466,17.714,17.448,17.647,81558,0
CIBR.US,D,20151125,000000,17.744,17.83,17.686,17.772,92172,0
CIBR.US,D,20151127,000000,17.85,17.917,17.762,17.879,18205,0
CIBR.US,D,20151130,000000,18.101,18.189,17.85,17.917,76047,0
CIBR.US,D,20151201,000000,18.16,18.214,18.043,18.17,43704,0
