<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CID.US,D,20150820,000000,28.158,28.174,28.158,28.174,12810,0
CID.US,D,20150821,000000,27.546,27.546,27.546,27.546,119,0
CID.US,D,20150824,000000,26.906,26.906,26.906,26.906,183,0
CID.US,D,20150825,000000,26.952,26.952,26.952,26.952,119,0
CID.US,D,20150826,000000,26.814,26.814,26.806,26.806,862,0
CID.US,D,20150827,000000,27.39,27.39,27.39,27.39,119,0
CID.US,D,20150831,000000,27.213,27.256,27.213,27.256,243,0
CID.US,D,20150901,000000,26.518,26.518,26.435,26.435,987,0
CID.US,D,20150903,000000,26.702,26.702,26.672,26.672,243,0
CID.US,D,20150904,000000,26.377,26.386,26.282,26.289,1227,0
CID.US,D,20150910,000000,27.112,27.112,27.112,27.112,119,0
CID.US,D,20150911,000000,26.972,26.978,26.958,26.958,1227,0
CID.US,D,20150915,000000,26.898,26.898,26.89,26.89,862,0
CID.US,D,20150917,000000,29.386,29.386,27.476,27.476,616,0
CID.US,D,20150922,000000,26.128,26.137,26.128,26.137,735,0
CID.US,D,20150925,000000,26.362,26.369,26.362,26.369,1105,0
CID.US,D,20150929,000000,25.748,25.748,25.72,25.72,1222,0
CID.US,D,20150930,000000,26.162,26.162,26.162,26.162,119,0
CID.US,D,20151002,000000,26.626,26.626,26.626,26.626,119,0
CID.US,D,20151006,000000,27.314,27.314,27.314,27.314,735,0
CID.US,D,20151008,000000,27.666,27.683,27.666,27.683,1105,0
CID.US,D,20151009,000000,28.054,28.14,28.054,28.14,1716,0
CID.US,D,20151012,000000,28.356,28.356,28.106,28.113,1063,0
CID.US,D,20151013,000000,27.788,27.788,27.788,27.788,367,0
CID.US,D,20151014,000000,27.937,27.937,27.813,27.928,1469,0
CID.US,D,20151015,000000,28.267,28.267,28.267,28.267,735,0
CID.US,D,20151019,000000,27.788,27.788,27.788,27.788,119,0
CID.US,D,20151022,000000,28.206,28.206,28.206,28.206,614,0
CID.US,D,20151023,000000,28.421,28.421,28.421,28.421,614,0
CID.US,D,20151026,000000,28.284,28.284,28.284,28.284,119,0
CID.US,D,20151027,000000,28.284,28.293,28.005,28.005,1469,0
CID.US,D,20151030,000000,27.914,27.914,27.904,27.904,367,0
CID.US,D,20151102,000000,27.874,27.874,27.862,27.862,244,0
CID.US,D,20151103,000000,27.796,28.115,27.796,28.108,2947,0
CID.US,D,20151105,000000,27.85,27.85,27.706,27.706,2212,0
CID.US,D,20151106,000000,27.684,27.684,27.37,27.422,19998,0
CID.US,D,20151109,000000,27.37,27.37,27.065,27.065,46287,0
CID.US,D,20151113,000000,26.697,26.704,26.697,26.704,614,0
CID.US,D,20151116,000000,27.025,30.224,26.689,27.075,448231,0
CID.US,D,20151117,000000,27.042,27.042,27.042,27.042,119,0
CID.US,D,20151118,000000,27.11,27.309,27.059,27.309,4773,0
CID.US,D,20151120,000000,27.687,27.687,27.492,27.492,5146,0
CID.US,D,20151123,000000,27.373,27.373,27.238,27.238,2085,0
CID.US,D,20151124,000000,27.092,27.278,27.067,27.245,3533,0
CID.US,D,20151125,000000,27.221,27.309,27.189,27.189,6979,0
CID.US,D,20151202,000000,27.39,27.39,27.39,27.39,641,0
CID.US,D,20151203,000000,27.615,27.615,27.181,27.245,1687,0
CID.US,D,20151204,000000,27.264,27.522,27.264,27.492,9798,0
CID.US,D,20151207,000000,27.335,27.335,27.335,27.335,242,0
CID.US,D,20151208,000000,26.853,26.853,26.853,26.853,485,0
CID.US,D,20151209,000000,26.521,26.521,26.521,26.521,366,0
CID.US,D,20151210,000000,26.714,26.74,26.674,26.683,4039,0
CID.US,D,20151211,000000,26.224,26.224,26.215,26.215,1466,0
CID.US,D,20151214,000000,26.063,26.163,26.063,26.098,919,0
CID.US,D,20151215,000000,26.355,26.364,26.25,26.25,980,0
CID.US,D,20151216,000000,26.432,26.769,26.394,26.769,2575,0
