<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIL.US,D,20150820,000000,30.679,30.724,30.661,30.661,1688,0
CIL.US,D,20150821,000000,30.161,30.161,29.852,29.852,337,0
CIL.US,D,20150824,000000,29.441,29.441,29.441,29.441,166,0
CIL.US,D,20150825,000000,29.646,29.646,29.646,29.646,103,0
CIL.US,D,20150826,000000,29.228,29.228,29.228,29.228,223,0
CIL.US,D,20150827,000000,30.064,30.243,30.064,30.151,784,0
CIL.US,D,20150831,000000,29.942,29.942,29.89,29.907,561,0
CIL.US,D,20150901,000000,29.052,29.061,29.052,29.061,673,0
CIL.US,D,20150910,000000,29.627,29.719,29.627,29.719,223,0
CIL.US,D,20150917,000000,30.482,30.489,30.482,30.489,223,0
CIL.US,D,20150930,000000,28.852,28.852,28.852,28.852,103,0
CIL.US,D,20151002,000000,29.472,29.472,29.472,29.472,103,0
CIL.US,D,20151008,000000,30.326,30.326,30.326,30.326,337,0
CIL.US,D,20151009,000000,30.563,30.563,30.563,30.563,103,0
CIL.US,D,20151012,000000,30.535,30.535,30.535,30.535,560,0
CIL.US,D,20151013,000000,30.332,30.332,30.332,30.332,103,0
CIL.US,D,20151014,000000,30.306,30.306,30.306,30.306,103,0
CIL.US,D,20151015,000000,30.678,30.678,30.678,30.678,103,0
CIL.US,D,20151016,000000,30.777,30.806,30.777,30.806,223,0
CIL.US,D,20151019,000000,30.619,30.619,30.619,30.619,223,0
CIL.US,D,20151023,000000,31.278,31.278,31.259,31.269,337,0
CIL.US,D,20151026,000000,31.176,31.176,31.176,31.176,103,0
CIL.US,D,20151105,000000,30.92,30.92,30.92,30.92,560,0
CIL.US,D,20151106,000000,30.668,31.472,30.481,30.768,13009,0
CIL.US,D,20151109,000000,30.412,30.412,30.412,30.412,103,0
CIL.US,D,20151111,000000,30.599,30.668,30.599,30.66,783,0
CIL.US,D,20151112,000000,30.298,30.358,30.298,30.341,783,0
CIL.US,D,20151113,000000,30.134,30.143,30.053,30.062,2689,0
CIL.US,D,20151116,000000,30.498,31.215,29.897,30.368,314953,0
CIL.US,D,20151117,000000,30.412,30.472,30.35,30.377,1010,0
CIL.US,D,20151118,000000,30.421,30.526,30.385,30.463,1911,0
CIL.US,D,20151119,000000,30.741,30.844,30.741,30.825,4371,0
CIL.US,D,20151120,000000,30.825,30.844,30.741,30.796,46662,0
CIL.US,D,20151123,000000,30.66,30.678,30.609,30.609,6730,0
CIL.US,D,20151124,000000,30.394,30.609,30.394,30.571,672,0
CIL.US,D,20151125,000000,30.66,30.741,30.571,30.571,3593,0
CIL.US,D,20151202,000000,31.104,31.104,30.777,30.777,1118,0
CIL.US,D,20151203,000000,30.758,30.758,30.526,30.526,3388,0
CIL.US,D,20151204,000000,30.66,30.883,30.65,30.883,898,0
CIL.US,D,20151208,000000,30.193,30.193,30.193,30.193,142,0
CIL.US,D,20151211,000000,29.672,29.672,29.605,29.605,337,0
