<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIZ.US,D,20141007,000000,30.366,30.775,30.309,30.317,3556,0
CIZ.US,D,20141008,000000,29.918,30.366,29.918,30.366,792,0
CIZ.US,D,20141009,000000,30.385,30.385,30.017,30.017,2800,0
CIZ.US,D,20141010,000000,29.637,29.637,29.606,29.606,450,0
CIZ.US,D,20141013,000000,29.209,30.246,29.209,30.246,6650,0
CIZ.US,D,20141014,000000,29.383,29.427,29.383,29.427,2111,0
CIZ.US,D,20141015,000000,28.86,29.128,28.654,29.128,2630,0
CIZ.US,D,20141016,000000,28.835,29.028,28.762,29.028,2134,0
CIZ.US,D,20141020,000000,29.532,29.622,29.228,29.622,3456,0
CIZ.US,D,20141022,000000,29.928,30.158,29.751,29.751,6347,0
CIZ.US,D,20141023,000000,30.105,30.158,30.053,30.053,1465,0
CIZ.US,D,20141024,000000,30.871,30.871,30.264,30.264,964,0
CIZ.US,D,20141027,000000,30.027,30.098,30.027,30.082,3043,0
CIZ.US,D,20141028,000000,31.541,31.541,30.357,30.385,1020,0
CIZ.US,D,20141029,000000,30.632,30.632,30.347,30.359,3818,0
CIZ.US,D,20141030,000000,30.401,30.58,30.401,30.511,3726,0
CIZ.US,D,20141031,000000,30.889,30.959,30.846,30.959,1600,0
CIZ.US,D,20141103,000000,30.419,30.749,30.419,30.749,921,0
CIZ.US,D,20141104,000000,30.366,30.552,30.366,30.536,17869,0
CIZ.US,D,20141105,000000,30.588,30.649,30.588,30.632,39829,0
CIZ.US,D,20141106,000000,30.552,30.58,30.487,30.487,3896,0
CIZ.US,D,20141110,000000,30.705,30.709,30.705,30.709,1762,0
CIZ.US,D,20141111,000000,30.881,30.881,30.808,30.808,909,0
CIZ.US,D,20141112,000000,30.669,30.687,30.669,30.687,1993,0
CIZ.US,D,20141113,000000,31.181,31.181,30.696,30.757,15119,0
CIZ.US,D,20141114,000000,30.836,30.908,30.821,30.908,11423,0
CIZ.US,D,20141117,000000,30.749,30.766,30.696,30.766,16703,0
CIZ.US,D,20141118,000000,31.02,31.02,30.993,30.993,1734,0
CIZ.US,D,20141119,000000,30.908,30.916,30.908,30.916,1175,0
CIZ.US,D,20141120,000000,30.766,30.862,30.766,30.854,2087,0
CIZ.US,D,20141121,000000,31.012,31.02,30.963,30.963,1302,0
CIZ.US,D,20141124,000000,31.11,31.11,31.11,31.11,105,0
CIZ.US,D,20141125,000000,31.346,31.346,31.244,31.274,1113,0
CIZ.US,D,20141126,000000,31.347,31.347,31.347,31.347,105,0
CIZ.US,D,20141201,000000,30.976,31.02,30.959,30.985,1625,0
CIZ.US,D,20141202,000000,30.976,31.029,30.976,31.029,765,0
CIZ.US,D,20141203,000000,31.003,31.013,31.003,31.013,433,0
CIZ.US,D,20141204,000000,30.935,30.935,30.935,30.935,605,0
CIZ.US,D,20141205,000000,30.95,31.047,30.916,30.959,7973,0
CIZ.US,D,20141208,000000,30.791,31.055,30.765,30.765,7418,0
CIZ.US,D,20141209,000000,30.536,30.536,30.526,30.536,1449,0
CIZ.US,D,20141210,000000,30.401,30.401,30.138,30.138,2385,0
CIZ.US,D,20141211,000000,30.167,30.167,30.167,30.167,208,0
CIZ.US,D,20141212,000000,29.928,29.937,29.697,29.697,1064,0
CIZ.US,D,20141215,000000,29.985,29.985,29.985,29.985,347,0
CIZ.US,D,20141216,000000,29.757,30.156,29.749,29.775,6168,0
CIZ.US,D,20141217,000000,29.757,29.899,29.713,29.899,2578,0
CIZ.US,D,20141218,000000,30.291,30.34,30.291,30.34,1610,0
CIZ.US,D,20141219,000000,30.501,30.525,30.34,30.34,2573,0
CIZ.US,D,20141222,000000,30.333,30.641,30.333,30.641,2038,0
CIZ.US,D,20141223,000000,31.013,31.013,30.621,30.749,7522,0
CIZ.US,D,20141224,000000,31.234,31.234,30.364,30.587,4133,0
CIZ.US,D,20141226,000000,30.968,30.968,30.648,30.648,387,0
CIZ.US,D,20141229,000000,30.604,30.641,30.374,30.374,1129,0
CIZ.US,D,20141230,000000,30.364,30.418,30.364,30.391,1357,0
CIZ.US,D,20141231,000000,30.262,30.299,30.253,30.253,1818,0
CIZ.US,D,20150102,000000,30.58,30.58,30.58,30.58,243,0
CIZ.US,D,20150105,000000,29.317,29.574,29.317,29.574,3395,0
CIZ.US,D,20150106,000000,29.441,29.441,29.15,29.222,1702,0
CIZ.US,D,20150107,000000,29.449,29.449,29.449,29.449,225,0
CIZ.US,D,20150108,000000,29.584,29.584,29.574,29.575,4721,0
CIZ.US,D,20150109,000000,29.512,29.619,29.503,29.619,1138,0
CIZ.US,D,20150112,000000,29.804,29.804,29.318,29.318,858,0
CIZ.US,D,20150113,000000,30.041,30.041,29.73,29.839,84289,0
CIZ.US,D,20150114,000000,29.55,29.55,29.55,29.55,500,0
CIZ.US,D,20150115,000000,29.723,29.723,29.671,29.671,2280,0
CIZ.US,D,20150116,000000,29.704,29.925,29.704,29.925,622,0
CIZ.US,D,20150120,000000,30.146,30.146,30.111,30.111,649,0
CIZ.US,D,20150121,000000,30.165,30.218,30.165,30.218,924,0
CIZ.US,D,20150122,000000,30.808,30.808,30.166,30.324,985,0
CIZ.US,D,20150123,000000,30.299,30.299,30.154,30.154,831,0
CIZ.US,D,20150126,000000,30.34,30.472,30.34,30.472,792,0
CIZ.US,D,20150127,000000,30.418,30.543,30.374,30.472,7890,0
CIZ.US,D,20150128,000000,30.968,30.968,30.436,30.444,1699,0
CIZ.US,D,20150129,000000,30.364,30.543,30.364,30.543,3038,0
CIZ.US,D,20150130,000000,30.272,30.346,30.272,30.325,107276,0
CIZ.US,D,20150202,000000,30.492,30.561,30.253,30.561,9445,0
CIZ.US,D,20150203,000000,30.723,30.774,30.723,30.741,2115,0
CIZ.US,D,20150204,000000,30.756,30.862,30.733,30.733,1189,0
CIZ.US,D,20150205,000000,31.129,31.129,30.4,31.013,2040,0
CIZ.US,D,20150206,000000,30.808,30.808,30.55,30.578,2242,0
CIZ.US,D,20150209,000000,30.561,30.58,30.492,30.492,5289,0
CIZ.US,D,20150210,000000,30.733,30.808,30.723,30.723,2597,0
CIZ.US,D,20150211,000000,30.561,30.641,30.525,30.581,3028,0
CIZ.US,D,20150212,000000,30.916,31.075,30.695,31.065,1783,0
CIZ.US,D,20150213,000000,31.199,31.25,31.182,31.182,3144,0
CIZ.US,D,20150217,000000,31.159,31.173,31.159,31.173,894,0
CIZ.US,D,20150218,000000,31.348,31.5,31.29,31.445,4474,0
CIZ.US,D,20150219,000000,31.464,31.534,31.437,31.437,4624,0
CIZ.US,D,20150220,000000,31.575,31.711,31.575,31.703,2303,0
CIZ.US,D,20150223,000000,31.461,31.565,31.445,31.565,3502,0
CIZ.US,D,20150224,000000,31.55,31.762,31.55,31.688,5662,0
CIZ.US,D,20150225,000000,31.703,31.963,31.703,31.954,149640,0
CIZ.US,D,20150226,000000,31.754,31.762,31.563,31.563,3234,0
CIZ.US,D,20150227,000000,31.666,31.762,31.655,31.711,6645,0
CIZ.US,D,20150302,000000,31.816,31.826,31.754,31.826,2377,0
CIZ.US,D,20150303,000000,31.729,31.729,31.51,31.62,10867,0
CIZ.US,D,20150304,000000,31.445,31.491,31.392,31.445,5436,0
CIZ.US,D,20150305,000000,31.612,31.612,31.409,31.5,8379,0
CIZ.US,D,20150306,000000,31.455,31.455,31.013,31.039,11326,0
CIZ.US,D,20150309,000000,31.084,31.268,31.084,31.084,1020,0
CIZ.US,D,20150310,000000,30.668,30.862,30.418,30.51,10415,0
CIZ.US,D,20150311,000000,30.595,30.621,30.501,30.621,2377,0
CIZ.US,D,20150312,000000,30.899,30.899,30.741,30.881,2946,0
CIZ.US,D,20150313,000000,30.641,30.756,30.501,30.756,21059,0
CIZ.US,D,20150316,000000,30.908,31.039,30.741,31.003,15852,0
CIZ.US,D,20150317,000000,30.869,31.207,30.788,30.797,5543,0
CIZ.US,D,20150318,000000,30.967,31.517,30.86,31.517,5543,0
CIZ.US,D,20150319,000000,31.165,31.215,31.037,31.127,4748,0
CIZ.US,D,20150320,000000,31.844,31.844,31.745,31.753,2044,0
CIZ.US,D,20150323,000000,31.753,31.953,31.753,31.953,1581,0
CIZ.US,D,20150324,000000,31.962,32.06,31.923,31.923,1808,0
CIZ.US,D,20150325,000000,31.978,31.988,31.564,31.664,11873,0
CIZ.US,D,20150326,000000,31.39,31.558,31.39,31.549,7464,0
CIZ.US,D,20150327,000000,31.532,31.619,31.532,31.619,2259,0
CIZ.US,D,20150330,000000,31.592,31.647,31.549,31.628,1467,0
CIZ.US,D,20150331,000000,31.257,31.346,31.249,31.249,7688,0
CIZ.US,D,20150401,000000,31.673,31.673,31.223,31.309,13005,0
CIZ.US,D,20150402,000000,31.601,31.736,31.601,31.719,8934,0
CIZ.US,D,20150406,000000,32.276,32.302,31.997,32.116,4636,0
CIZ.US,D,20150407,000000,32.079,32.558,32.012,32.069,3440,0
CIZ.US,D,20150408,000000,32.327,32.894,32.089,32.116,5992,0
CIZ.US,D,20150409,000000,32.167,32.336,32.14,32.327,51182,0
CIZ.US,D,20150410,000000,32.148,32.327,32.148,32.327,3505,0
CIZ.US,D,20150413,000000,32.194,32.194,32.098,32.148,5653,0
CIZ.US,D,20150414,000000,32.362,32.391,32.293,32.293,3279,0
CIZ.US,D,20150415,000000,32.548,32.548,32.257,32.504,3139,0
CIZ.US,D,20150416,000000,33.139,33.139,32.478,32.591,5998,0
CIZ.US,D,20150417,000000,32.391,33.052,32.125,32.302,12441,0
CIZ.US,D,20150420,000000,32.41,32.458,32.359,32.359,2027,0
CIZ.US,D,20150421,000000,32.56,32.887,32.56,32.69,6949,0
CIZ.US,D,20150422,000000,32.666,32.758,32.62,32.758,3280,0
CIZ.US,D,20150423,000000,32.62,32.894,32.62,32.894,448,0
CIZ.US,D,20150424,000000,33.085,33.094,32.982,33.06,12665,0
CIZ.US,D,20150427,000000,33.222,33.451,33.203,33.203,14363,0
CIZ.US,D,20150428,000000,33.06,33.203,33.06,33.188,3279,0
CIZ.US,D,20150429,000000,33.068,33.407,32.887,33.018,4408,0
CIZ.US,D,20150430,000000,32.894,32.936,32.726,32.785,2717,0
CIZ.US,D,20150501,000000,32.956,32.956,32.841,32.887,2827,0
CIZ.US,D,20150504,000000,33.068,33.077,32.964,33.052,15832,0
CIZ.US,D,20150505,000000,32.903,32.903,32.459,32.504,19453,0
CIZ.US,D,20150506,000000,32.717,32.717,32.437,32.444,6280,0
CIZ.US,D,20150507,000000,32.567,32.577,32.526,32.567,1880,0
CIZ.US,D,20150508,000000,33.06,33.195,33.025,33.149,5767,0
CIZ.US,D,20150511,000000,33,33,33,33,1700,0
CIZ.US,D,20150512,000000,32.821,32.911,32.821,32.868,5694,0
CIZ.US,D,20150513,000000,33.213,33.213,32.929,33.043,6450,0
CIZ.US,D,20150514,000000,33.24,33.31,33.203,33.203,5543,0
CIZ.US,D,20150515,000000,33.302,33.461,33.302,33.398,12742,0
CIZ.US,D,20150518,000000,33.317,33.503,33.276,33.385,12518,0
CIZ.US,D,20150519,000000,33.495,33.495,33.286,33.302,6107,0
CIZ.US,D,20150520,000000,33.31,33.354,33.295,33.354,3392,0
CIZ.US,D,20150521,000000,33.37,33.486,33.195,33.426,2827,0
CIZ.US,D,20150522,000000,33.317,33.354,33.25,33.317,3392,0
CIZ.US,D,20150526,000000,33,33,32.758,32.766,2967,0
CIZ.US,D,20150527,000000,32.831,33.06,32.831,33.043,5090,0
CIZ.US,D,20150528,000000,32.699,32.929,32.699,32.887,4027,0
CIZ.US,D,20150529,000000,32.548,32.709,32.451,32.666,6558,0
CIZ.US,D,20150601,000000,32.494,32.666,32.494,32.657,4183,0
CIZ.US,D,20150602,000000,32.639,32.86,32.639,32.813,6260,0
CIZ.US,D,20150603,000000,32.813,32.911,32.813,32.877,8029,0
CIZ.US,D,20150604,000000,32.766,32.813,32.558,32.567,3505,0
CIZ.US,D,20150605,000000,32.211,32.276,32.108,32.276,2375,0
CIZ.US,D,20150608,000000,32.194,32.203,32.034,32.185,7801,0
CIZ.US,D,20150609,000000,32.042,32.108,31.974,32.069,3863,0
CIZ.US,D,20150610,000000,32.478,32.647,32.478,32.478,4450,0
CIZ.US,D,20150611,000000,32.69,32.69,32.558,32.639,3959,0
CIZ.US,D,20150612,000000,37.834,37.834,32.302,32.302,5316,0
CIZ.US,D,20150615,000000,31.93,31.93,31.93,31.93,339,0
CIZ.US,D,20150616,000000,32.037,32.171,31.924,32.171,4933,0
CIZ.US,D,20150617,000000,31.924,32.01,31.771,31.771,7621,0
CIZ.US,D,20150618,000000,32.272,32.45,32.263,32.282,4260,0
CIZ.US,D,20150619,000000,32.272,32.333,32.237,32.325,6504,0
CIZ.US,D,20150622,000000,32.477,32.823,32.477,32.718,1687,0
CIZ.US,D,20150623,000000,32.823,32.827,32.814,32.814,1097,0
CIZ.US,D,20150624,000000,32.735,32.759,32.6,32.639,4933,0
CIZ.US,D,20150625,000000,32.7,32.735,32.69,32.69,22648,0
CIZ.US,D,20150626,000000,32.657,32.657,32.503,32.503,3141,0
CIZ.US,D,20150629,000000,32.019,32.019,31.674,31.674,4595,0
CIZ.US,D,20150630,000000,31.924,31.924,31.654,31.684,17383,0
CIZ.US,D,20150701,000000,31.854,31.854,31.665,31.827,9304,0
CIZ.US,D,20150702,000000,31.754,31.762,31.71,31.762,1687,0
CIZ.US,D,20150706,000000,31.298,31.388,31.152,31.228,5047,0
CIZ.US,D,20150707,000000,31.041,31.068,30.676,31.058,7061,0
CIZ.US,D,20150708,000000,30.773,30.773,30.459,30.558,5832,0
CIZ.US,D,20150709,000000,30.952,30.952,30.712,30.808,3700,0
CIZ.US,D,20150710,000000,31.61,31.702,31.525,31.619,3362,0
CIZ.US,D,20150713,000000,31.873,31.873,31.788,31.788,2132,0
