<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLOU.US,D,20190417,000000,15.18,15.18,14.75,14.791,1410684,0
CLOU.US,D,20190418,000000,14.901,14.901,14.541,14.771,993568,0
CLOU.US,D,20190422,000000,14.771,15.031,14.761,15.031,324255,0
CLOU.US,D,20190423,000000,15.1,15.27,15.081,15.238,453272,0
CLOU.US,D,20190424,000000,15.31,15.35,15.21,15.24,492474,0
CLOU.US,D,20190425,000000,15.39,15.43,15.22,15.37,601540,0
CLOU.US,D,20190426,000000,15.46,15.58,15.22,15.58,519618,0
CLOU.US,D,20190429,000000,15.59,15.71,15.555,15.64,1075615,0
CLOU.US,D,20190430,000000,15.64,15.727,15.5,15.62,562054,0
CLOU.US,D,20190501,000000,15.73,15.73,15.43,15.43,83000,0
CLOU.US,D,20190502,000000,15.52,15.64,15.35,15.5,308994,0
CLOU.US,D,20190503,000000,15.65,15.779,15.57,15.76,180255,0
CLOU.US,D,20190506,000000,15.52,15.75,15.4,15.749,153338,0
CLOU.US,D,20190507,000000,15.7,15.7,15.19,15.39,557342,0
CLOU.US,D,20190508,000000,15.25,15.31,15.14,15.25,414539,0
CLOU.US,D,20190509,000000,15.18,15.27,14.841,15.239,355531,0
CLOU.US,D,20190510,000000,15.29,15.48,15.001,15.45,319405,0
CLOU.US,D,20190513,000000,15.24,15.24,14.671,14.691,507109,0
CLOU.US,D,20190514,000000,14.841,15.09,14.821,15.001,170790,0
CLOU.US,D,20190515,000000,15.031,15.345,14.961,15.3,1068023,0
CLOU.US,D,20190516,000000,15.4,15.83,15.353,15.73,530880,0
CLOU.US,D,20190517,000000,15.73,15.8,15.55,15.55,384562,0
CLOU.US,D,20190520,000000,15.42,15.42,15.19,15.27,256634,0
CLOU.US,D,20190521,000000,15.39,15.525,15.39,15.47,212934,0
CLOU.US,D,20190522,000000,15.47,15.62,15.44,15.5,499767,0
CLOU.US,D,20190523,000000,15.44,15.44,15.12,15.19,240394,0
CLOU.US,D,20190524,000000,15.34,15.416,15.253,15.31,111467,0
CLOU.US,D,20190528,000000,15.41,15.696,15.41,15.45,2528056,0
CLOU.US,D,20190529,000000,15.43,15.43,15.09,15.16,3694452,0
CLOU.US,D,20190530,000000,15.26,15.34,15.14,15.26,701933,0
CLOU.US,D,20190531,000000,15.15,15.25,15.031,15.09,239745,0
CLOU.US,D,20190603,000000,15.14,15.14,14.361,14.431,1812441,0
CLOU.US,D,20190604,000000,14.611,14.921,14.441,14.921,803086,0
CLOU.US,D,20190605,000000,15.061,15.24,14.921,15.2,161430,0
CLOU.US,D,20190606,000000,15.21,15.41,15.125,15.33,1254535,0
CLOU.US,D,20190607,000000,15.44,15.639,15.44,15.61,106476,0
CLOU.US,D,20190610,000000,15.7,15.94,15.64,15.64,290683,0
CLOU.US,D,20190611,000000,15.82,15.83,15.308,15.44,301321,0
CLOU.US,D,20190612,000000,15.44,15.51,15.36,15.49,273672,0
CLOU.US,D,20190613,000000,15.59,15.59,15.49,15.55,135198,0
CLOU.US,D,20190614,000000,15.56,15.56,15.34,15.41,204600,0
CLOU.US,D,20190617,000000,15.48,15.74,15.48,15.64,142503,0
CLOU.US,D,20190618,000000,15.72,15.95,15.72,15.84,96180,0
CLOU.US,D,20190619,000000,15.86,16.124,15.81,16.11,483891,0
CLOU.US,D,20190620,000000,16.34,16.44,16.16,16.27,1101698,0
CLOU.US,D,20190621,000000,16.27,16.27,16.07,16.09,955580,0
CLOU.US,D,20190624,000000,16.17,16.17,15.84,15.84,293507,0
CLOU.US,D,20190625,000000,15.89,15.89,15.43,15.43,664657,0
CLOU.US,D,20190626,000000,15.58,15.72,15.45,15.489,68368,0
CLOU.US,D,20190627,000000,15.55,15.79,15.48,15.79,77173,0
CLOU.US,D,20190628,000000,15.79,15.885,15.66,15.82,90730,0
CLOU.US,D,20190701,000000,16.07,16.19,15.905,16,207571,0
CLOU.US,D,20190702,000000,16.03,16.21,16.01,16.205,756484,0
CLOU.US,D,20190703,000000,16.21,16.39,16.21,16.37,200871,0
CLOU.US,D,20190705,000000,16.37,16.44,16.14,16.42,591549,0
CLOU.US,D,20190708,000000,16.34,16.42,16.26,16.4,417380,0
CLOU.US,D,20190709,000000,16.34,16.58,16.34,16.56,234428,0
CLOU.US,D,20190710,000000,16.63,16.799,16.63,16.689,334432,0
CLOU.US,D,20190711,000000,16.699,16.759,16.59,16.679,435514,0
CLOU.US,D,20190712,000000,16.709,16.737,16.519,16.699,337472,0
CLOU.US,D,20190715,000000,16.709,16.789,16.64,16.769,236650,0
CLOU.US,D,20190716,000000,16.789,16.799,16.55,16.57,369789,0
CLOU.US,D,20190717,000000,16.57,16.759,16.57,16.659,289786,0
CLOU.US,D,20190718,000000,16.59,16.63,16.45,16.6,217528,0
CLOU.US,D,20190719,000000,16.689,16.789,16.44,16.44,204675,0
CLOU.US,D,20190722,000000,16.48,16.64,16.48,16.56,174894,0
