<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLRG.US,D,20171213,000000,23.461,23.48,23.377,23.377,153064,0
CLRG.US,D,20171214,000000,23.572,23.572,23.265,23.265,1165526,0
CLRG.US,D,20171215,000000,23.387,23.518,23.387,23.458,53794,0
CLRG.US,D,20171218,000000,23.649,23.649,23.629,23.629,57149,0
CLRG.US,D,20171219,000000,23.659,23.688,23.639,23.659,60451,0
CLRG.US,D,20171220,000000,23.697,23.697,23.58,23.609,55135,0
CLRG.US,D,20171221,000000,23.715,23.715,23.659,23.659,264179,0
CLRG.US,D,20171222,000000,23.659,23.659,23.572,23.619,2498,0
CLRG.US,D,20171226,000000,23.678,23.678,23.572,23.59,2600,0
CLRG.US,D,20171227,000000,23.609,23.843,23.575,23.59,59535,0
CLRG.US,D,20171228,000000,23.62,23.62,23.62,23.62,212,0
CLRG.US,D,20171229,000000,23.65,23.65,23.65,23.65,106,0
CLRG.US,D,20180102,000000,23.873,23.873,23.556,23.556,3390,0
CLRG.US,D,20180103,000000,23.64,23.667,23.64,23.66,1907,0
CLRG.US,D,20180104,000000,23.939,23.939,23.886,23.892,1539,0
CLRG.US,D,20180108,000000,23.997,24.034,23.997,24.034,2696,0
CLRG.US,D,20180109,000000,24.121,24.202,24.121,24.146,5075,0
CLRG.US,D,20180110,000000,24.126,24.247,24.106,24.192,2450,0
CLRG.US,D,20180111,000000,24.341,24.341,24.341,24.341,203,0
CLRG.US,D,20180112,000000,24.5,24.566,24.491,24.552,1614,0
CLRG.US,D,20180116,000000,24.633,24.633,24.51,24.547,1521,0
CLRG.US,D,20180117,000000,24.67,24.771,24.658,24.771,2341,0
CLRG.US,D,20180118,000000,24.668,24.695,24.668,24.695,758483,0
CLRG.US,D,20180119,000000,24.761,24.81,24.746,24.771,4771,0
CLRG.US,D,20180122,000000,24.91,25.032,24.91,25.032,2149,0
CLRG.US,D,20180123,000000,25.032,25.11,25.032,25.11,3889,0
CLRG.US,D,20180124,000000,25.996,25.996,25.074,25.088,73414,0
CLRG.US,D,20180125,000000,25.057,25.09,24.995,24.995,3094,0
CLRG.US,D,20180126,000000,25.147,25.305,25.147,25.305,3409,0
CLRG.US,D,20180129,000000,25.36,25.36,25.171,25.171,5873,0
CLRG.US,D,20180130,000000,25.128,25.128,24.839,24.839,9623,0
CLRG.US,D,20180131,000000,24.848,24.883,24.801,24.801,1557737,0
CLRG.US,D,20180201,000000,24.948,24.958,24.947,24.958,1756,0
CLRG.US,D,20180202,000000,24.781,24.781,24.405,24.405,1574053,0
CLRG.US,D,20180205,000000,24.314,24.387,23.707,23.834,1353590,0
