<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNCR.US,D,20151015,000000,25.151,28.216,24.918,28.216,138650,0
CNCR.US,D,20151016,000000,26.562,26.649,25.93,26.251,218406,0
CNCR.US,D,20151019,000000,26.465,27.107,25.56,26.465,111413,0
CNCR.US,D,20151020,000000,26.649,26.659,25.56,25.754,60130,0
CNCR.US,D,20151021,000000,25.813,26.182,24.947,25.511,49231,0
CNCR.US,D,20151022,000000,25.94,26.094,25.209,25.637,24256,0
CNCR.US,D,20151023,000000,26.017,26.367,25.851,26.319,27339,0
CNCR.US,D,20151026,000000,26.679,26.756,25.948,26.465,17164,0
CNCR.US,D,20151027,000000,26.61,26.951,26.367,26.951,30320,0
CNCR.US,D,20151028,000000,27.457,27.759,26.513,27.759,50567,0
CNCR.US,D,20151029,000000,27.933,28.03,27.107,27.136,29908,0
CNCR.US,D,20151030,000000,27.437,27.437,26.679,26.902,22817,0
CNCR.US,D,20151102,000000,27.36,28.391,26.922,28.391,54514,0
CNCR.US,D,20151103,000000,28.946,29.062,27.856,28.994,83251,0
CNCR.US,D,20151104,000000,29.286,29.286,28.507,29.111,34694,0
CNCR.US,D,20151105,000000,29.433,29.433,28.488,28.878,26106,0
CNCR.US,D,20151106,000000,29.383,29.383,28.353,28.878,34637,0
CNCR.US,D,20151109,000000,29.052,29.306,28.761,29.266,24140,0
CNCR.US,D,20151110,000000,29.209,29.443,29.042,29.433,24564,0
CNCR.US,D,20151111,000000,29.675,29.744,28.829,28.829,27751,0
CNCR.US,D,20151112,000000,28.916,28.916,28.177,28.177,15828,0
CNCR.US,D,20151113,000000,28.431,28.878,27.749,28.567,14183,0
CNCR.US,D,20151116,000000,28.411,28.731,27.768,28.323,22611,0
CNCR.US,D,20151117,000000,28.79,28.878,28.167,28.488,19323,0
CNCR.US,D,20151118,000000,28.703,29.092,28.507,29.092,10073,0
CNCR.US,D,20151119,000000,29.617,29.617,28.468,28.644,13259,0
CNCR.US,D,20151120,000000,28.78,28.966,28.595,28.799,11100,0
CNCR.US,D,20151123,000000,28.819,29.539,28.771,29.383,28058,0
CNCR.US,D,20151124,000000,29.452,29.452,28.858,29.344,15828,0
CNCR.US,D,20151125,000000,29.666,30.182,29.559,30.084,43064,0
CNCR.US,D,20151127,000000,30.308,30.415,30.162,30.318,22611,0
CNCR.US,D,20151130,000000,30.649,30.649,29.675,29.958,36178,0
CNCR.US,D,20151201,000000,30.386,30.386,29.413,29.801,26926,0
CNCR.US,D,20151202,000000,30.25,30.318,29.695,29.734,20669,0
CNCR.US,D,20151203,000000,29.744,29.954,28.625,28.878,16204,0
CNCR.US,D,20151204,000000,28.946,29.383,28.731,29.335,14492,0
CNCR.US,D,20151207,000000,29.627,29.627,27.963,28.07,25489,0
CNCR.US,D,20151208,000000,28.119,28.448,27.624,28.313,12255,0
CNCR.US,D,20151209,000000,28.353,28.353,27.136,27.331,36178,0
CNCR.US,D,20151210,000000,27.214,27.749,27.214,27.613,28367,0
CNCR.US,D,20151211,000000,27.331,27.467,26.747,26.776,30320,0
CNCR.US,D,20151214,000000,26.756,26.756,25.958,26.222,14654,0
CNCR.US,D,20151215,000000,26.902,26.902,26.425,26.816,11408,0
CNCR.US,D,20151216,000000,27.184,28.06,27.146,27.992,27133,0
CNCR.US,D,20151217,000000,28.226,28.459,27.341,27.486,29497,0
CNCR.US,D,20151218,000000,27.584,27.778,27.427,27.477,16240,0
CNCR.US,D,20151221,000000,28.05,28.05,27.243,27.593,6988,0
CNCR.US,D,20151222,000000,27.709,27.729,27.379,27.495,5520,0
CNCR.US,D,20151223,000000,27.749,28.235,27.584,28.099,11820,0
CNCR.US,D,20151224,000000,28.654,28.654,28.182,28.329,7996,0
CNCR.US,D,20151228,000000,28.838,28.838,27.584,27.661,10726,0
CNCR.US,D,20151229,000000,27.823,28.3,27.823,28.243,16091,0
CNCR.US,D,20151230,000000,28.477,28.477,28.097,28.331,2869,0
CNCR.US,D,20151231,000000,28.281,28.281,27.852,27.852,7782,0
CNCR.US,D,20160104,000000,27.892,27.892,26.661,26.856,21989,0
CNCR.US,D,20160105,000000,27.061,27.081,26.548,26.721,10074,0
CNCR.US,D,20160106,000000,26.476,26.476,25.401,25.638,19535,0
CNCR.US,D,20160107,000000,25.333,25.333,24.161,24.161,27292,0
CNCR.US,D,20160108,000000,25.567,25.567,23.682,23.75,30970,0
CNCR.US,D,20160111,000000,23.731,23.855,21.924,22.461,40227,0
CNCR.US,D,20160112,000000,22.96,23.639,22.119,22.881,20630,0
CNCR.US,D,20160113,000000,23.165,23.203,21.177,21.197,25212,0
CNCR.US,D,20160114,000000,21.544,22.128,20.489,21.846,24774,0
CNCR.US,D,20160115,000000,20.684,21.387,20.542,21.362,23638,0
CNCR.US,D,20160119,000000,21.387,21.787,20.313,20.782,18330,0
CNCR.US,D,20160120,000000,19.59,21.739,19.59,21.46,29638,0
CNCR.US,D,20160121,000000,21.377,22.022,21.231,21.338,7339,0
CNCR.US,D,20160122,000000,23.33,23.33,21.524,21.739,27898,0
CNCR.US,D,20160125,000000,21.876,22.178,21.709,21.709,25382,0
CNCR.US,D,20160126,000000,21.358,21.68,20.93,21.534,6574,0
CNCR.US,D,20160127,000000,21.564,21.564,20.508,20.548,8050,0
CNCR.US,D,20160128,000000,20.216,20.293,19.786,19.796,14607,0
CNCR.US,D,20160129,000000,19.561,20.284,19.561,20.244,10837,0
CNCR.US,D,20160201,000000,20.411,20.612,19.905,20.567,9858,0
CNCR.US,D,20160202,000000,20.586,20.586,19.661,19.893,5167,0
CNCR.US,D,20160203,000000,20.079,20.079,19.033,19.517,7575,0
CNCR.US,D,20160204,000000,19.512,20.45,19.512,19.959,2974,0
CNCR.US,D,20160205,000000,19.679,19.679,19.209,19.235,20313,0
CNCR.US,D,20160208,000000,18.272,18.663,18.138,18.408,14423,0
CNCR.US,D,20160209,000000,18.164,18.669,17.947,18.653,9403,0
CNCR.US,D,20160210,000000,18.553,19.132,18.536,18.536,10566,0
