<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COMT.US,D,20141020,000000,40.747,40.82,40.702,40.82,2541,0
COMT.US,D,20141021,000000,41.059,41.208,41.059,41.208,366,0
COMT.US,D,20141023,000000,40.828,41.167,40.828,41.153,5602,0
COMT.US,D,20141024,000000,40.869,40.965,40.869,40.962,1129,0
COMT.US,D,20141027,000000,40.464,40.464,40.338,40.338,1377,0
COMT.US,D,20141028,000000,40.804,41.16,40.772,41.16,2911,0
COMT.US,D,20141029,000000,41.45,41.45,41.387,41.387,1689,0
COMT.US,D,20141030,000000,41.087,41.087,40.795,41.064,4335,0
COMT.US,D,20141031,000000,40.715,40.965,40.546,40.949,3480,0
COMT.US,D,20141103,000000,41.055,41.055,40.529,40.529,1507,0
COMT.US,D,20141104,000000,40.28,40.28,39.997,40.013,1945,0
COMT.US,D,20141105,000000,40.013,40.314,40.013,40.314,476,0
COMT.US,D,20141106,000000,40.085,40.376,40.053,40.368,5937,0
COMT.US,D,20141107,000000,40.715,40.828,40.635,40.658,5337,0
COMT.US,D,20141110,000000,40.941,40.941,40.306,40.322,5785,0
COMT.US,D,20141111,000000,40.297,40.398,40.215,40.398,2568,0
COMT.US,D,20141112,000000,40.538,40.538,40.158,40.222,8026,0
COMT.US,D,20141113,000000,39.931,39.972,39.44,39.448,5198,0
COMT.US,D,20141114,000000,39.875,39.931,39.875,39.931,3628,0
COMT.US,D,20141117,000000,39.851,40.021,39.753,40.021,3115,0
COMT.US,D,20141118,000000,39.947,39.947,39.818,39.859,1573,0
COMT.US,D,20141119,000000,40.044,40.044,39.777,39.777,662,0
COMT.US,D,20141120,000000,40.044,40.044,40.044,40.044,504,0
COMT.US,D,20141121,000000,40.545,40.546,40.301,40.301,824,0
COMT.US,D,20141124,000000,40.247,40.247,40.15,40.15,265,0
COMT.US,D,20141125,000000,40.247,40.314,39.911,39.911,2303,0
COMT.US,D,20141126,000000,39.77,39.77,39.77,39.77,617,0
COMT.US,D,20141128,000000,37.751,38.373,37.525,37.525,7857,0
COMT.US,D,20141201,000000,37.008,37.655,37.008,37.655,2078,0
COMT.US,D,20141202,000000,37.714,37.714,37.462,37.462,1555,0
COMT.US,D,20141203,000000,37.597,37.623,37.437,37.623,1705,0
COMT.US,D,20141204,000000,37.356,37.381,37.218,37.226,1456,0
COMT.US,D,20141205,000000,37.195,37.195,37.065,37.065,804,0
COMT.US,D,20141208,000000,37.389,37.389,36.097,36.266,2594,0
COMT.US,D,20141209,000000,36.136,36.136,36.136,36.136,299,0
COMT.US,D,20141210,000000,35.611,35.611,35.572,35.572,1215,0
COMT.US,D,20141212,000000,35.167,35.167,34.726,34.726,1062,0
COMT.US,D,20141215,000000,34.726,34.726,33.94,33.94,4086,0
COMT.US,D,20141216,000000,36.534,36.534,33.797,33.797,1091,0
COMT.US,D,20141222,000000,34.487,34.487,34.36,34.36,960,0
COMT.US,D,20141223,000000,34.408,34.803,34.408,34.734,1824,0
COMT.US,D,20141224,000000,37.175,37.175,34.22,34.341,99245,0
COMT.US,D,20141226,000000,34.577,34.577,34.251,34.399,6910,0
COMT.US,D,20141229,000000,34.442,34.442,33.901,34,6047,0
COMT.US,D,20141230,000000,34.75,34.75,33.928,33.935,2537,0
COMT.US,D,20141231,000000,33.538,33.665,33.525,33.531,9783,0
COMT.US,D,20150102,000000,33.476,34.091,33.406,33.442,15259,0
COMT.US,D,20150105,000000,33.214,33.214,32.642,32.66,18802,0
COMT.US,D,20150106,000000,32.566,32.566,32.223,32.223,2171,0
COMT.US,D,20150107,000000,32.231,32.231,32.231,32.231,402,0
COMT.US,D,20150108,000000,32.653,32.653,32.385,32.442,1908,0
COMT.US,D,20150109,000000,32.792,32.792,32.376,32.385,1053,0
COMT.US,D,20150112,000000,31.712,32.054,31.707,31.707,2154,0
COMT.US,D,20150113,000000,31.704,31.704,31.704,31.704,399,0
COMT.US,D,20150115,000000,32.297,32.297,31.648,31.648,1533,0
COMT.US,D,20150116,000000,32.273,32.279,31.932,32.279,2636,0
COMT.US,D,20150120,000000,31.745,31.745,31.673,31.68,1603,0
COMT.US,D,20150121,000000,32.012,32.05,31.834,32.05,3219,0
COMT.US,D,20150122,000000,32.118,32.118,31.746,31.761,2746,0
COMT.US,D,20150126,000000,31.761,32.164,31.452,31.664,2323,0
COMT.US,D,20150127,000000,31.052,31.865,31.052,31.865,3234,0
COMT.US,D,20150128,000000,31.181,31.181,31.134,31.134,490,0
COMT.US,D,20150129,000000,31.873,31.873,30.82,31.044,1676,0
COMT.US,D,20150130,000000,31.069,31.188,31.069,31.188,1079,0
COMT.US,D,20150202,000000,32.061,32.481,32.012,32.468,2436,0
COMT.US,D,20150203,000000,33.075,33.864,33.019,33.529,3405,0
COMT.US,D,20150204,000000,34.099,34.099,32.836,32.84,4312,0
