<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSA.US,D,20150708,000000,32.73,32.73,32.73,32.73,531,0
CSA.US,D,20150709,000000,33.434,33.434,33.434,33.434,100,0
CSA.US,D,20150710,000000,33.021,33.077,33.021,33.077,2549,0
CSA.US,D,20150714,000000,33.533,33.533,33.533,33.533,126,0
CSA.US,D,20150716,000000,33.496,33.496,33.434,33.434,531,0
CSA.US,D,20150724,000000,32.503,32.503,32.503,32.503,205,0
CSA.US,D,20150727,000000,32.344,32.344,32.005,32.005,314,0
CSA.US,D,20150729,000000,32.467,32.467,32.467,32.467,100,0
CSA.US,D,20150731,000000,32.644,32.644,32.644,32.644,314,0
CSA.US,D,20150804,000000,32.531,32.531,32.457,32.484,1383,0
CSA.US,D,20150807,000000,32.193,32.193,32.193,32.193,314,0
CSA.US,D,20150811,000000,32.344,32.344,32.344,32.344,178,0
CSA.US,D,20150812,000000,32.233,32.233,32.233,32.233,100,0
CSA.US,D,20150817,000000,32.616,32.616,32.616,32.616,1060,0
CSA.US,D,20150818,000000,32.522,32.522,32.522,32.522,1060,0
CSA.US,D,20150820,000000,31.902,31.93,31.902,31.93,744,0
CSA.US,D,20150821,000000,31.355,31.355,31.355,31.355,1274,0
CSA.US,D,20150824,000000,30.611,30.935,30.054,30.064,1649,0
CSA.US,D,20150825,000000,29.793,30.719,29.793,29.793,636,0
CSA.US,D,20150826,000000,30.015,30.094,30.015,30.015,205,0
CSA.US,D,20150827,000000,30.709,30.709,30.709,30.709,100,0
CSA.US,D,20150828,000000,30.975,30.975,30.975,30.975,100,0
CSA.US,D,20150831,000000,31.091,31.091,31.082,31.082,314,0
CSA.US,D,20150902,000000,30.545,30.555,30.545,30.555,205,0
CSA.US,D,20150910,000000,30.926,30.926,30.908,30.908,3301,0
CSA.US,D,20150923,000000,30.605,30.605,30.605,30.605,205,0
CSA.US,D,20150925,000000,30.549,30.587,30.549,30.587,3608,0
CSA.US,D,20150929,000000,29.906,29.906,29.906,29.906,3179,0
CSA.US,D,20150930,000000,30.228,30.228,30.228,30.228,100,0
CSA.US,D,20151001,000000,29.923,30.037,29.85,30.037,1271,0
