<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSB.US,D,20150708,000000,29.427,29.453,29.403,29.403,23619,0
CSB.US,D,20150709,000000,30.129,30.129,30.129,30.129,106,0
CSB.US,D,20150710,000000,29.397,29.397,29.397,29.397,593,0
CSB.US,D,20150713,000000,29.951,29.96,29.951,29.96,237,0
CSB.US,D,20150714,000000,30.061,30.061,30.061,30.061,106,0
CSB.US,D,20150727,000000,28.792,28.792,28.654,28.654,237,0
CSB.US,D,20150729,000000,29.055,29.055,29.055,29.055,106,0
CSB.US,D,20150731,000000,29.033,29.033,29.033,29.033,352,0
CSB.US,D,20150818,000000,29.417,29.417,29.417,29.417,236,0
CSB.US,D,20150820,000000,28.845,28.893,28.845,28.893,1650,0
CSB.US,D,20150824,000000,28.022,28.022,28.022,28.022,106,0
CSB.US,D,20150825,000000,27.339,27.996,27.339,27.339,590,0
CSB.US,D,20150826,000000,27.09,27.09,27.09,27.09,708,0
CSB.US,D,20150828,000000,27.891,27.962,27.891,27.962,236,0
CSB.US,D,20150831,000000,28.046,28.107,28.046,28.107,351,0
CSB.US,D,20150901,000000,27.762,27.762,27.475,27.475,821,0
CSB.US,D,20150902,000000,27.539,27.539,27.364,27.439,2120,0
CSB.US,D,20150910,000000,27.709,27.709,27.7,27.7,964,0
CSB.US,D,20150915,000000,27.931,27.931,27.635,27.635,1293,0
CSB.US,D,20150916,000000,27.95,28.028,27.95,28.028,821,0
CSB.US,D,20150921,000000,27.914,27.922,27.914,27.922,938,0
CSB.US,D,20150924,000000,27.255,27.349,27.255,27.349,1790,0
CSB.US,D,20150925,000000,27.552,27.552,27.434,27.434,1171,0
CSB.US,D,20150929,000000,26.895,26.895,26.895,26.895,3521,0
CSB.US,D,20150930,000000,27.102,27.102,27.093,27.093,819,0
CSB.US,D,20151002,000000,27.255,27.255,27.255,27.255,106,0
CSB.US,D,20151005,000000,27.696,27.837,27.696,27.827,653,0
CSB.US,D,20151006,000000,27.903,27.903,27.903,27.903,705,0
CSB.US,D,20151008,000000,28.335,28.542,28.335,28.535,1057,0
CSB.US,D,20151013,000000,28.858,28.858,28.858,28.858,349,0
CSB.US,D,20151014,000000,28.335,28.335,28.335,28.335,106,0
CSB.US,D,20151023,000000,29.05,29.05,28.849,28.849,1056,0
CSB.US,D,20151026,000000,28.832,28.832,28.832,28.832,586,0
CSB.US,D,20151029,000000,28.761,28.761,28.761,28.761,235,0
CSB.US,D,20151102,000000,29.145,29.145,29.138,29.138,296,0
CSB.US,D,20151103,000000,29.027,29.217,28.956,29.217,467,0
CSB.US,D,20151105,000000,29.186,29.186,29.186,29.186,586,0
CSB.US,D,20151106,000000,29.128,29.161,28.931,29.161,16522,0
CSB.US,D,20151109,000000,28.855,28.94,28.813,28.931,31650,0
CSB.US,D,20151110,000000,29.059,29.059,29.042,29.042,818,0
CSB.US,D,20151111,000000,28.956,28.956,28.948,28.948,586,0
CSB.US,D,20151112,000000,28.68,28.68,28.472,28.472,235,0
CSB.US,D,20151113,000000,28.232,28.232,28.232,28.232,106,0
CSB.US,D,20151116,000000,28.264,28.547,28.223,28.547,318728,0
CSB.US,D,20151117,000000,28.481,28.734,28.39,28.443,65214,0
CSB.US,D,20151118,000000,28.561,28.743,28.547,28.743,6792,0
CSB.US,D,20151119,000000,28.841,28.841,28.803,28.813,349,0
CSB.US,D,20151120,000000,29.109,29.118,29.042,29.118,4920,0
CSB.US,D,20151123,000000,29.118,29.168,29.059,29.145,3749,0
CSB.US,D,20151124,000000,29.076,29.298,28.975,29.298,4714,0
CSB.US,D,20151125,000000,29.46,29.46,29.217,29.335,10656,0
CSB.US,D,20151202,000000,29.578,29.578,29.379,29.379,423,0
CSB.US,D,20151203,000000,29.529,29.529,29.016,29.016,2607,0
CSB.US,D,20151204,000000,29.018,29.161,29.018,29.093,703,0
CSB.US,D,20151207,000000,28.77,28.77,28.77,28.77,1169,0
CSB.US,D,20151210,000000,28.463,28.463,28.39,28.39,703,0
CSB.US,D,20151211,000000,27.941,27.941,27.941,27.941,106,0
CSB.US,D,20151214,000000,27.7,27.83,27.641,27.754,1254,0
CSB.US,D,20151215,000000,27.973,28.126,27.973,28.09,932,0
CSB.US,D,20151216,000000,28.278,28.278,28.278,28.278,932,0
CSB.US,D,20151217,000000,28.463,28.463,28.463,28.463,235,0
CSB.US,D,20151218,000000,27.973,27.973,27.973,27.973,106,0
CSB.US,D,20151221,000000,27.922,27.922,27.914,27.914,467,0
CSB.US,D,20151222,000000,27.914,27.914,27.914,27.914,473,0
CSB.US,D,20151223,000000,28.662,28.716,28.662,28.716,1286,0
CSB.US,D,20151228,000000,28.613,28.613,28.613,28.613,212,0
CSB.US,D,20151229,000000,28.855,28.907,28.855,28.899,13925,0
CSB.US,D,20151230,000000,28.878,28.889,28.813,28.813,62433,0
CSB.US,D,20151231,000000,28.419,28.538,28.301,28.301,6514,0
CSB.US,D,20160104,000000,27.916,27.916,27.581,27.701,7801,0
CSB.US,D,20160105,000000,27.739,27.763,27.606,27.749,5404,0
CSB.US,D,20160106,000000,27.548,27.624,27.523,27.624,3111,0
CSB.US,D,20160107,000000,27.22,27.22,26.876,26.876,960,0
CSB.US,D,20160108,000000,26.952,26.952,26.765,26.765,1089,0
CSB.US,D,20160111,000000,26.623,26.711,26.475,26.676,940,0
CSB.US,D,20160113,000000,26.543,26.543,26.018,26.018,506,0
CSB.US,D,20160114,000000,26.324,26.334,26.304,26.334,1020,0
CSB.US,D,20160115,000000,25.664,26.015,25.664,26.015,1184,0
CSB.US,D,20160119,000000,25.985,26.082,25.849,25.916,2437,0
CSB.US,D,20160120,000000,25.531,25.916,25.531,25.916,3047,0
CSB.US,D,20160121,000000,25.901,26.092,25.901,25.901,3128,0
CSB.US,D,20160122,000000,25.908,26.139,25.908,26.056,491,0
CSB.US,D,20160125,000000,26.046,26.046,26.046,26.046,3838,0
CSB.US,D,20160126,000000,25.651,26.276,25.651,26.253,11497,0
CSB.US,D,20160127,000000,26.252,26.487,26.252,26.487,463,0
CSB.US,D,20160129,000000,26.663,27.054,26.663,27.054,347,0
CSB.US,D,20160201,000000,27.036,27.105,27.007,27.105,159916,0
CSB.US,D,20160202,000000,26.815,26.815,26.723,26.723,1020,0
CSB.US,D,20160203,000000,26.745,26.907,26.52,26.831,2062,0
CSB.US,D,20160204,000000,26.866,26.954,26.866,26.949,5304,0
CSB.US,D,20160205,000000,26.663,26.663,26.663,26.663,142,0
CSB.US,D,20160208,000000,26.481,26.481,26.481,26.481,234,0
CSB.US,D,20160209,000000,26.699,26.699,26.586,26.602,1306,0
CSB.US,D,20160210,000000,26.716,26.925,26.699,26.805,9526,0
CSB.US,D,20160211,000000,26.192,26.36,26.192,26.36,445,0
CSB.US,D,20160212,000000,26.555,26.555,26.555,26.555,398,0
CSB.US,D,20160216,000000,26.868,27.057,26.86,27.057,97468,0
CSB.US,D,20160219,000000,27.445,27.445,27.445,27.445,3565,0
CSB.US,D,20160229,000000,28.071,28.071,28.071,28.071,4006,0
CSB.US,D,20160301,000000,28.125,28.221,28.125,28.221,6651,0
CSB.US,D,20160302,000000,28.142,28.325,28.142,28.325,773,0
CSB.US,D,20160303,000000,28.384,28.384,28.384,28.384,296,0
CSB.US,D,20160304,000000,28.939,28.939,28.867,28.867,853,0
CSB.US,D,20160307,000000,29.219,29.219,29.179,29.179,531,0
CSB.US,D,20160308,000000,29.004,29.014,28.883,28.936,7845,0
CSB.US,D,20160309,000000,29.041,29.047,28.986,29.047,920,0
CSB.US,D,20160314,000000,29.083,29.152,29.083,29.152,464,0
CSB.US,D,20160315,000000,29.047,29.047,28.978,29.023,95486,0
CSB.US,D,20160316,000000,28.893,29.125,28.893,29.125,637,0
CSB.US,D,20160317,000000,29.507,29.656,29.507,29.655,2922,0
CSB.US,D,20160318,000000,29.852,29.869,29.75,29.808,1372,0
CSB.US,D,20160321,000000,29.715,29.749,29.715,29.749,1167,0
CSB.US,D,20160322,000000,29.463,29.601,29.463,29.596,39066,0
CSB.US,D,20160323,000000,29.361,29.361,29.237,29.299,10918,0
CSB.US,D,20160324,000000,29.046,29.254,28.987,29.254,533,0
CSB.US,D,20160328,000000,29.33,29.33,29.33,29.33,405,0
CSB.US,D,20160329,000000,29.445,29.665,29.445,29.665,580,0
CSB.US,D,20160330,000000,30.169,30.169,30.144,30.144,1272,0
CSB.US,D,20160331,000000,30.206,30.206,30.129,30.153,1060,0
CSB.US,D,20160401,000000,29.956,30.162,29.936,30.162,63779,0
CSB.US,D,20160404,000000,30.162,30.162,30.162,30.162,345,0
CSB.US,D,20160405,000000,29.534,29.534,29.534,29.534,107,0
CSB.US,D,20160406,000000,29.61,29.61,29.61,29.61,519,0
CSB.US,D,20160407,000000,29.26,29.26,29.048,29.048,1943,0
CSB.US,D,20160408,000000,29.533,29.533,29.217,29.217,1745,0
CSB.US,D,20160412,000000,29.573,29.573,29.397,29.533,583,0
CSB.US,D,20160414,000000,30.231,30.234,30.23,30.23,2081,0
CSB.US,D,20160415,000000,30.244,30.318,30.244,30.309,766,0
CSB.US,D,20160418,000000,30.352,30.389,30.335,30.389,2245,0
CSB.US,D,20160420,000000,30.426,30.426,30.426,30.426,166,0
CSB.US,D,20160422,000000,30.448,30.456,30.348,30.456,2537,0
CSB.US,D,20160425,000000,30.157,30.179,30.157,30.179,403,0
CSB.US,D,20160426,000000,30.265,30.514,30.265,30.513,1001,0
CSB.US,D,20160427,000000,30.559,30.559,30.472,30.472,731,0
CSB.US,D,20160428,000000,30.681,30.687,30.421,30.421,2406,0
CSB.US,D,20160429,000000,30.23,30.23,30.113,30.113,1931,0
CSB.US,D,20160502,000000,30.357,30.448,30.306,30.448,978,0
CSB.US,D,20160503,000000,30.127,30.127,30.127,30.127,497,0
CSB.US,D,20160504,000000,30.021,30.046,30.021,30.034,1175,0
CSB.US,D,20160505,000000,29.908,29.908,29.893,29.893,461,0
CSB.US,D,20160506,000000,29.863,29.908,29.846,29.899,681,0
CSB.US,D,20160509,000000,30.006,30.006,29.94,29.94,518,0
CSB.US,D,20160510,000000,30.096,30.338,30.096,30.338,4249,0
CSB.US,D,20160511,000000,30.204,30.204,30.14,30.166,822,0
CSB.US,D,20160512,000000,29.969,30.038,29.882,30.038,3209,0
CSB.US,D,20160513,000000,29.892,29.997,29.892,29.997,693,0
CSB.US,D,20160516,000000,29.979,29.979,29.979,29.979,105,0
CSB.US,D,20160517,000000,29.977,29.977,29.509,29.509,594,0
CSB.US,D,20160518,000000,29.64,29.803,29.614,29.803,940,0
CSB.US,D,20160519,000000,29.56,29.56,29.262,29.354,1988,0
CSB.US,D,20160520,000000,29.77,29.905,29.754,29.838,19722,0
CSB.US,D,20160523,000000,29.875,29.875,29.875,29.875,167,0
CSB.US,D,20160524,000000,30.145,30.251,30.145,30.229,441,0
CSB.US,D,20160526,000000,30.759,30.759,30.438,30.438,722,0
CSB.US,D,20160531,000000,30.831,30.831,30.74,30.74,517,0
CSB.US,D,20160601,000000,30.881,30.908,30.881,30.908,5174,0
