<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSF.US,D,20140805,000000,32.695,32.695,32.695,32.695,705,0
CSF.US,D,20140807,000000,32.812,32.812,32.812,32.812,316,0
CSF.US,D,20140808,000000,32.889,32.889,32.88,32.88,1888,0
CSF.US,D,20140811,000000,33.457,33.457,33.288,33.288,4695,0
CSF.US,D,20140812,000000,33.029,33.029,33.029,33.029,630,0
CSF.US,D,20140813,000000,33.368,33.368,33.27,33.27,37078,0
CSF.US,D,20140814,000000,33.386,33.386,33.386,33.386,397,0
CSF.US,D,20140815,000000,33.299,33.299,33.106,33.106,424,0
CSF.US,D,20140818,000000,33.747,33.747,33.747,33.747,316,0
CSF.US,D,20140819,000000,33.896,33.896,33.853,33.88,1461,0
CSF.US,D,20140820,000000,33.65,33.708,33.65,33.708,43801,0
CSF.US,D,20140821,000000,33.594,33.925,33.594,33.915,949,0
CSF.US,D,20140822,000000,33.801,33.972,33.68,33.877,6367,0
CSF.US,D,20140825,000000,33.955,33.972,33.955,33.972,1248,0
CSF.US,D,20140826,000000,34.177,34.186,34.159,34.159,38856,0
CSF.US,D,20140827,000000,34.102,34.112,34.083,34.083,1902,0
CSF.US,D,20140828,000000,33.935,33.935,33.828,33.917,2981,0
CSF.US,D,20140829,000000,34.01,34.01,34.01,34.01,330,0
CSF.US,D,20140902,000000,34.341,34.341,34.15,34.301,4444,0
CSF.US,D,20140903,000000,34.177,34.223,34.064,34.064,14413,0
CSF.US,D,20140904,000000,34.331,34.394,34.232,34.232,4735,0
CSF.US,D,20140905,000000,33.963,34.054,33.877,34.027,6937,0
CSF.US,D,20140908,000000,34.092,34.092,33.929,33.929,1493,0
CSF.US,D,20140909,000000,33.81,33.827,33.763,33.766,1960,0
CSF.US,D,20140910,000000,34.196,34.196,33.877,33.877,900,0
CSF.US,D,20140912,000000,33.847,33.847,33.784,33.784,420,0
CSF.US,D,20140915,000000,33.585,33.68,33.585,33.68,1784,0
CSF.US,D,20140916,000000,33.493,33.735,33.493,33.654,3061,0
CSF.US,D,20140917,000000,34.09,34.09,33.744,33.744,699,0
CSF.US,D,20140918,000000,33.922,33.961,33.903,33.903,1777,0
CSF.US,D,20140919,000000,33.518,33.518,33.518,33.518,318,0
CSF.US,D,20140922,000000,33.203,33.203,33.112,33.112,1865,0
CSF.US,D,20140923,000000,32.894,32.894,32.894,32.894,271,0
CSF.US,D,20140924,000000,32.817,32.949,32.817,32.943,1411,0
