<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSML.US,D,20170517,000000,24.086,24.086,23.418,23.428,45205,0
CSML.US,D,20170518,000000,23.474,23.512,23.442,23.474,14027,0
CSML.US,D,20170519,000000,23.607,23.622,23.559,23.617,1304870,0
CSML.US,D,20170522,000000,23.723,23.732,23.708,23.732,10986,0
CSML.US,D,20170523,000000,23.723,23.853,23.723,23.846,11593,0
CSML.US,D,20170524,000000,23.905,23.915,23.82,23.82,11440,0
CSML.US,D,20170525,000000,23.944,23.944,23.732,23.838,10753,0
CSML.US,D,20170526,000000,23.703,23.819,23.703,23.81,11810,0
CSML.US,D,20170530,000000,23.751,23.751,23.655,23.661,18475,0
CSML.US,D,20170531,000000,24.517,24.517,23.503,23.635,13800,0
CSML.US,D,20170601,000000,23.791,24.041,23.781,24.024,60134,0
CSML.US,D,20170602,000000,24.191,24.454,24.162,24.288,22660,0
CSML.US,D,20170605,000000,25.102,25.102,24.077,24.077,18139,0
CSML.US,D,20170606,000000,23.934,24.043,23.895,23.964,36578,0
CSML.US,D,20170607,000000,23.959,24.021,23.905,23.964,16764,0
CSML.US,D,20170608,000000,24.014,24.485,24.014,24.411,87064,0
CSML.US,D,20170609,000000,24.526,24.738,24.526,24.604,34891,0
CSML.US,D,20170612,000000,24.709,24.854,24.543,24.546,41633,0
CSML.US,D,20170613,000000,24.663,24.882,24.663,24.7,25776,0
CSML.US,D,20170614,000000,24.921,24.921,24.48,24.536,23960,0
CSML.US,D,20170615,000000,24.536,24.624,24.356,24.404,14734,0
CSML.US,D,20170616,000000,24.26,24.338,24.152,24.25,51443,0
CSML.US,D,20170619,000000,24.327,24.413,24.327,24.413,13917,0
CSML.US,D,20170620,000000,24.26,24.298,24.133,24.166,1339016,0
CSML.US,D,20170621,000000,24.126,24.253,23.859,23.957,47473,0
CSML.US,D,20170622,000000,23.948,24.155,23.687,23.967,37718,0
CSML.US,D,20170623,000000,23.986,24.174,23.967,24.155,50638,0
CSML.US,D,20170626,000000,24.253,24.341,24.098,24.321,16030,0
CSML.US,D,20170627,000000,24.406,24.434,24.118,24.118,38297,0
CSML.US,D,20170628,000000,24.549,24.549,24.282,24.525,50757,0
CSML.US,D,20170629,000000,24.75,24.75,24.144,24.41,22436,0
CSML.US,D,20170630,000000,24.386,24.491,24.359,24.425,16735,0
CSML.US,D,20170703,000000,24.703,24.741,24.511,24.558,29896,0
CSML.US,D,20170705,000000,24.368,24.491,24.289,24.491,21651,0
CSML.US,D,20170706,000000,24.434,24.434,24.174,24.174,35096,0
CSML.US,D,20170707,000000,24.397,24.511,24.233,24.511,28420,0
CSML.US,D,20170710,000000,24.483,24.549,24.331,24.415,19743,0
CSML.US,D,20170711,000000,24.369,24.425,24.369,24.387,126031,0
CSML.US,D,20170712,000000,24.722,24.769,24.486,24.549,30376,0
CSML.US,D,20170713,000000,24.558,24.627,24.474,24.627,964366,0
CSML.US,D,20170714,000000,24.588,24.722,24.563,24.647,29409,0
CSML.US,D,20170717,000000,24.588,24.789,24.573,24.722,27889,0
CSML.US,D,20170718,000000,24.818,24.818,24.55,24.666,49973,0
CSML.US,D,20170719,000000,24.838,24.895,24.808,24.885,16087,0
CSML.US,D,20170720,000000,24.887,24.895,24.787,24.884,18261,0
CSML.US,D,20170721,000000,24.895,24.895,24.656,24.656,20793,0
CSML.US,D,20170724,000000,24.588,24.694,24.555,24.694,19597,0
CSML.US,D,20170725,000000,24.808,24.962,24.808,24.943,18199,0
CSML.US,D,20170726,000000,25.125,25.125,24.731,24.759,30186,0
CSML.US,D,20170727,000000,24.722,24.857,24.549,24.575,21808,0
CSML.US,D,20170728,000000,24.656,24.656,24.397,24.397,33469,0
CSML.US,D,20170731,000000,24.483,24.558,24.378,24.434,69665,0
CSML.US,D,20170801,000000,24.483,24.519,24.341,24.519,33423,0
CSML.US,D,20170802,000000,24.627,24.627,24.174,24.263,35799,0
CSML.US,D,20170803,000000,24.434,24.434,24.02,24.036,47535,0
CSML.US,D,20170804,000000,24.121,24.223,24.082,24.204,35861,0
CSML.US,D,20170807,000000,24.155,24.24,24.098,24.16,23924,0
CSML.US,D,20170808,000000,24.627,24.627,23.995,24.06,36995,0
CSML.US,D,20170809,000000,24.204,24.204,23.638,23.657,621456,0
CSML.US,D,20170810,000000,23.841,23.841,23.401,23.43,80473,0
CSML.US,D,20170811,000000,23.466,23.466,23.303,23.375,29288,0
CSML.US,D,20170814,000000,23.662,23.799,23.629,23.764,21734,0
CSML.US,D,20170815,000000,23.74,23.749,23.543,23.572,81687,0
CSML.US,D,20170816,000000,23.312,23.686,23.312,23.543,29520,0
