<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTEC.US,D,20201030,000000,15.343,15.343,14.963,15.143,49894,0
CTEC.US,D,20201102,000000,15.333,15.436,15.293,15.436,15896,0
CTEC.US,D,20201103,000000,15.693,15.713,15.453,15.586,50233,0
CTEC.US,D,20201104,000000,15.533,15.533,14.933,15.209,17639,0
CTEC.US,D,20201105,000000,15.992,16.512,15.992,16.502,56762,0
CTEC.US,D,20201106,000000,16.892,16.892,16.572,16.652,58253,0
CTEC.US,D,20201109,000000,17.991,18.496,16.712,16.832,175552,0
CTEC.US,D,20201110,000000,16.912,16.939,16.362,16.492,148962,0
CTEC.US,D,20201111,000000,16.712,17.112,16.692,17.058,32652,0
CTEC.US,D,20201112,000000,17.222,17.222,16.852,16.893,110640,0
CTEC.US,D,20201113,000000,17.022,17.092,16.862,16.942,42669,0
CTEC.US,D,20201116,000000,16.992,17.132,16.892,17.068,87997,0
CTEC.US,D,20201117,000000,17.082,17.222,16.962,17.222,42703,0
CTEC.US,D,20201118,000000,17.402,17.462,17.262,17.262,71434,0
CTEC.US,D,20201119,000000,17.392,17.632,17.392,17.597,32973,0
CTEC.US,D,20201120,000000,17.692,18.01,17.692,17.85,87643,0
CTEC.US,D,20201123,000000,18.121,18.551,18.111,18.537,44332,0
CTEC.US,D,20201124,000000,18.891,18.951,18.491,18.821,233267,0
CTEC.US,D,20201125,000000,18.611,18.93,18.541,18.881,137816,0
CTEC.US,D,20201127,000000,19.111,19.456,19.091,19.17,42783,0
CTEC.US,D,20201130,000000,19.591,19.671,18.891,18.991,121104,0
CTEC.US,D,20201201,000000,19.201,19.351,18.821,18.837,71025,0
CTEC.US,D,20201202,000000,18.501,18.591,18.171,18.441,84555,0
CTEC.US,D,20201203,000000,18.571,18.616,18.291,18.325,70842,0
CTEC.US,D,20201204,000000,18.391,18.651,18.391,18.542,13993,0
CTEC.US,D,20201207,000000,18.781,18.886,18.641,18.661,27216,0
CTEC.US,D,20201208,000000,18.841,19.381,18.831,19.326,36150,0
CTEC.US,D,20201209,000000,19.99,19.99,18.641,18.744,98141,0
CTEC.US,D,20201210,000000,18.791,19.051,18.551,18.921,38902,0
CTEC.US,D,20201211,000000,18.921,19.279,18.871,19.012,43355,0
CTEC.US,D,20201214,000000,19.101,19.351,19.091,19.241,58021,0
CTEC.US,D,20201215,000000,19.491,20.417,19.491,20.332,60877,0
CTEC.US,D,20201216,000000,20.42,20.49,20.09,20.421,91769,0
CTEC.US,D,20201217,000000,20.82,20.91,20.675,20.83,75015,0
CTEC.US,D,20201218,000000,20.99,21.54,20.99,21.285,66109,0
CTEC.US,D,20201221,000000,21.99,21.99,21.26,21.76,204010,0
CTEC.US,D,20201222,000000,21.89,22.789,21.89,22.409,159966,0
CTEC.US,D,20201223,000000,22.839,23.099,22.619,22.769,135010,0
CTEC.US,D,20201224,000000,22.899,22.899,22.539,22.607,107072,0
CTEC.US,D,20201228,000000,23.209,23.659,22.509,22.539,106323,0
CTEC.US,D,20201229,000000,22.579,22.699,21.99,22.199,90448,0
CTEC.US,D,20201230,000000,22.489,22.805,22.489,22.669,45675,0
CTEC.US,D,20201231,000000,22.769,22.849,22.609,22.709,40157,0
CTEC.US,D,20210104,000000,23.489,23.649,22.759,22.969,304039,0
CTEC.US,D,20210105,000000,23.259,23.498,22.939,23.399,231824,0
CTEC.US,D,20210106,000000,24.173,25.108,24.109,24.658,229430,0
CTEC.US,D,20210107,000000,26.158,26.767,26.048,26.727,527683,0
CTEC.US,D,20210108,000000,27.887,27.987,26.148,26.547,432167,0
CTEC.US,D,20210111,000000,25.338,26.098,25.058,25.908,301641,0
CTEC.US,D,20210112,000000,26.357,26.827,26.138,26.817,162001,0
CTEC.US,D,20210113,000000,27.487,27.557,26.622,27.297,329291,0
CTEC.US,D,20210114,000000,27.117,27.287,26.747,26.937,216000,0
CTEC.US,D,20210115,000000,26.677,26.677,25.188,25.258,193860,0
CTEC.US,D,20210119,000000,26.447,26.977,26.287,26.927,568356,0
CTEC.US,D,20210120,000000,27.216,27.297,26.597,26.977,898818,0
CTEC.US,D,20210121,000000,27.177,27.937,26.737,27.907,391254,0
CTEC.US,D,20210122,000000,27.667,28.386,27.501,28.277,282308,0
CTEC.US,D,20210125,000000,28.726,29.296,27.687,28.217,375655,0
CTEC.US,D,20210126,000000,28.347,28.896,28.117,28.696,167053,0
CTEC.US,D,20210127,000000,27.137,27.787,26.597,27.057,244779,0
CTEC.US,D,20210128,000000,27.057,27.437,26.567,27.327,340185,0
CTEC.US,D,20210129,000000,26.857,27.187,25.988,26.257,220119,0
CTEC.US,D,20210201,000000,26.837,26.837,25.988,26.687,137512,0
CTEC.US,D,20210202,000000,27.197,27.537,26.94,27.507,152994,0
CTEC.US,D,20210203,000000,27.687,28.096,27.336,27.967,143081,0
CTEC.US,D,20210204,000000,28.057,28.167,27.815,27.897,168068,0
CTEC.US,D,20210205,000000,28.087,28.185,27.637,27.977,115415,0
CTEC.US,D,20210208,000000,28.317,28.686,28.227,28.436,185477,0
CTEC.US,D,20210209,000000,28.666,29.136,28.666,28.966,437292,0
CTEC.US,D,20210210,000000,29.486,29.526,28.087,28.406,248560,0
CTEC.US,D,20210211,000000,28.686,28.966,28.449,28.706,134782,0
CTEC.US,D,20210212,000000,28.586,28.926,28.127,28.816,56305,0
CTEC.US,D,20210216,000000,29.336,29.386,28.167,28.396,424031,0
CTEC.US,D,20210217,000000,28.197,28.207,27.1,27.607,579196,0
CTEC.US,D,20210218,000000,26.277,26.397,25.554,25.878,275349,0
CTEC.US,D,20210219,000000,26.198,26.907,26.198,26.497,130467,0
CTEC.US,D,20210222,000000,25.638,25.686,24.393,24.428,228777,0
CTEC.US,D,20210223,000000,23.239,24.149,22.399,24.039,196741,0
CTEC.US,D,20210224,000000,23.959,24.488,23.289,24.438,126272,0
CTEC.US,D,20210225,000000,24.438,24.718,23.249,23.379,156254,0
CTEC.US,D,20210226,000000,23.399,24.019,23.001,23.799,223212,0
CTEC.US,D,20210301,000000,24.538,24.958,24.278,24.958,65663,0
CTEC.US,D,20210302,000000,24.758,24.758,23.829,23.899,161899,0
CTEC.US,D,20210303,000000,23.769,23.939,22.539,22.689,201353,0
CTEC.US,D,20210304,000000,22,22.489,20.687,21.02,167465,0
CTEC.US,D,20210305,000000,21.48,21.48,19.546,20.842,179821,0
CTEC.US,D,20210308,000000,20.42,20.68,19.761,19.761,133289,0
CTEC.US,D,20210309,000000,20.768,21.64,20.49,21.6,242566,0
CTEC.US,D,20210310,000000,22.203,22.489,21.285,21.47,115390,0
CTEC.US,D,20210311,000000,22.319,23.232,22.319,23.149,137693,0
CTEC.US,D,20210312,000000,22.689,23.149,22.389,23.069,101130,0
CTEC.US,D,20210315,000000,22.909,22.989,22.659,22.939,62625,0
CTEC.US,D,20210316,000000,22.969,22.969,22.299,22.569,62860,0
CTEC.US,D,20210317,000000,21.84,22.199,21.36,21.95,91864,0
CTEC.US,D,20210318,000000,21.86,21.86,21.1,21.1,61748,0
CTEC.US,D,20210319,000000,21.1,21.6,20.805,21.53,47681,0
CTEC.US,D,20210322,000000,21.59,22.089,21.59,21.9,221571,0
CTEC.US,D,20210323,000000,21.69,21.78,21.05,21.11,44741,0
CTEC.US,D,20210324,000000,21.2,21.2,20.12,20.12,52959,0
CTEC.US,D,20210325,000000,19.831,20.36,19.521,20.32,287555,0
CTEC.US,D,20210326,000000,20.78,21.07,20.5,21.07,62940,0
CTEC.US,D,20210329,000000,21.23,21.23,20.28,20.29,63680,0
CTEC.US,D,20210330,000000,20.69,21.42,20.542,21.325,71830,0
CTEC.US,D,20210331,000000,21.89,22.179,21.757,22.099,52524,0
CTEC.US,D,20210401,000000,22.889,22.899,22.002,22.149,118206,0
CTEC.US,D,20210405,000000,22.599,22.599,21.8,21.915,109758,0
CTEC.US,D,20210406,000000,21.78,22.069,21.73,21.82,33965,0
CTEC.US,D,20210407,000000,21.74,21.74,20.96,21.08,103463,0
CTEC.US,D,20210408,000000,21.19,21.49,21.14,21.29,43444,0
CTEC.US,D,20210409,000000,21.36,21.36,21,21.16,44158,0
CTEC.US,D,20210412,000000,21.09,21.09,20.46,20.6,138541,0
CTEC.US,D,20210413,000000,20.6,20.8,20.44,20.755,107002,0
CTEC.US,D,20210414,000000,20.99,21.19,20.62,20.66,77936,0
CTEC.US,D,20210415,000000,20.76,20.76,20.07,20.26,79662,0
CTEC.US,D,20210416,000000,20.26,20.692,20.23,20.62,51595,0
CTEC.US,D,20210419,000000,20.81,20.84,20.085,20.14,120688,0
CTEC.US,D,20210420,000000,20.22,20.26,19.781,19.95,47571,0
CTEC.US,D,20210421,000000,19.841,20.53,19.591,20.53,71764,0
CTEC.US,D,20210422,000000,21.05,21.39,20.98,21.14,108265,0
CTEC.US,D,20210423,000000,21.29,21.645,21.24,21.645,48861,0
CTEC.US,D,20210426,000000,21.84,21.99,21.44,21.99,99999,0
CTEC.US,D,20210427,000000,21.99,21.99,21.79,21.84,58945,0
CTEC.US,D,20210428,000000,21.2,21.41,21.14,21.28,65816,0
CTEC.US,D,20210429,000000,21.4,21.4,20.755,20.92,40533,0
CTEC.US,D,20210430,000000,20.79,20.79,20.37,20.39,28217,0
CTEC.US,D,20210503,000000,20.56,20.56,19.871,19.921,94648,0
CTEC.US,D,20210504,000000,19.361,19.361,18.541,18.651,87111,0
CTEC.US,D,20210505,000000,18.951,19.021,18.676,18.761,43858,0
CTEC.US,D,20210506,000000,18.461,18.461,17.885,18.031,107050,0
CTEC.US,D,20210507,000000,18.151,18.761,18.151,18.471,213145,0
CTEC.US,D,20210510,000000,18.141,18.171,17.712,17.752,93043,0
CTEC.US,D,20210511,000000,16.992,17.961,16.792,17.941,425862,0
CTEC.US,D,20210512,000000,17.552,17.562,17.002,17.042,459538,0
CTEC.US,D,20210513,000000,17.322,17.382,16.632,16.892,114516,0
CTEC.US,D,20210514,000000,17.162,17.682,17.162,17.592,43862,0
CTEC.US,D,20210517,000000,17.272,17.612,17.252,17.482,210313,0
CTEC.US,D,20210518,000000,17.462,18.131,17.462,17.991,60445,0
CTEC.US,D,20210519,000000,17.562,18.131,17.542,18.081,18843,0
CTEC.US,D,20210520,000000,18.531,18.751,18.491,18.751,55993,0
CTEC.US,D,20210521,000000,18.921,18.921,18.631,18.831,23072,0
CTEC.US,D,20210524,000000,18.821,18.821,18.53,18.571,34822,0
CTEC.US,D,20210525,000000,18.571,18.831,18.571,18.591,31501,0
CTEC.US,D,20210526,000000,18.591,19.071,18.591,18.996,63697,0
CTEC.US,D,20210527,000000,19.091,19.091,18.891,19.021,60348,0
CTEC.US,D,20210528,000000,19.091,19.351,19.091,19.141,27108,0
CTEC.US,D,20210601,000000,19.271,19.511,19.141,19.281,56412,0
CTEC.US,D,20210602,000000,19.131,19.171,18.867,18.961,115012,0
CTEC.US,D,20210603,000000,18.741,18.925,18.461,18.611,131283,0
CTEC.US,D,20210604,000000,18.741,18.94,18.591,18.861,54996,0
CTEC.US,D,20210607,000000,18.931,19.291,18.641,19.031,184138,0
CTEC.US,D,20210608,000000,19.431,19.451,18.871,19.041,120717,0
CTEC.US,D,20210609,000000,19.041,19.321,18.991,19.001,35392,0
CTEC.US,D,20210610,000000,19.031,19.211,18.691,19.111,110167,0
CTEC.US,D,20210611,000000,19.231,19.391,19.231,19.331,81036,0
CTEC.US,D,20210614,000000,19.841,19.95,19.422,19.441,78941,0
CTEC.US,D,20210615,000000,19.601,19.791,18.991,18.991,118104,0
CTEC.US,D,20210616,000000,19.111,19.381,18.991,19.151,48281,0
CTEC.US,D,20210617,000000,19.231,19.481,18.991,19.431,52284,0
CTEC.US,D,20210618,000000,19.431,19.591,19.141,19.221,91664,0
CTEC.US,D,20210621,000000,19.221,19.631,19.211,19.401,45523,0
CTEC.US,D,20210622,000000,19.451,19.821,19.291,19.801,50520,0
CTEC.US,D,20210623,000000,19.941,20.23,19.737,19.95,135955,0
CTEC.US,D,20210624,000000,20.13,20.29,20.065,20.2,86960,0
CTEC.US,D,20210625,000000,20.44,20.6,20.25,20.3,122014,0
CTEC.US,D,20210628,000000,20.34,21.05,20.3,21,108353,0
CTEC.US,D,20210629,000000,21.01,21.5,20.83,21.28,92220,0
CTEC.US,D,20210630,000000,21.11,21.34,20.77,20.83,77424,0
CTEC.US,D,20210701,000000,21.15,21.15,20.51,20.7,74477,0
CTEC.US,D,20210702,000000,20.54,20.99,20.4101,20.48,81799,0
CTEC.US,D,20210706,000000,20.76,20.8,20.48,20.65,85254,0
CTEC.US,D,20210707,000000,21.2,21.21,20.51,20.52,149230,0
CTEC.US,D,20210708,000000,20.13,21.08,19.64,20.04,156820,0
CTEC.US,D,20210709,000000,20,20.2,20,20.19,48552,0
CTEC.US,D,20210712,000000,20.62,20.65,20.24,20.395,87083,0
CTEC.US,D,20210713,000000,20.5,20.84,20.03,20.15,107735,0
CTEC.US,D,20210714,000000,20.01,20.2,19.3,19.4,293491,0
CTEC.US,D,20210715,000000,19.41,19.83,18.87,19.01,68069,0
CTEC.US,D,20210716,000000,19,19.12,18.69,18.74,49067,0
CTEC.US,D,20210719,000000,18.58,18.63,18.2,18.6,56308,0
CTEC.US,D,20210720,000000,18.71,18.95,18.44,18.9,68024,0
CTEC.US,D,20210721,000000,19.02,19.59,19,19.59,40366,0
CTEC.US,D,20210722,000000,19.8,19.86,19.38,19.53,129108,0
CTEC.US,D,20210723,000000,19.53,19.53,18.98,19.145,91219,0
CTEC.US,D,20210726,000000,19,19.17,18.81,18.89,49577,0
CTEC.US,D,20210727,000000,18.82,18.82,18.34,18.65,99983,0
CTEC.US,D,20210728,000000,18.62,19.34,18.62,19.27,49212,0
CTEC.US,D,20210729,000000,19.46,19.46,19.22,19.22,70765,0
CTEC.US,D,20210730,000000,19.08,19.53,19.08,19.4,95627,0
CTEC.US,D,20210802,000000,19.77,19.77,19.45,19.45,39293,0
CTEC.US,D,20210803,000000,19.8,19.9,19.727,19.9,24317,0
CTEC.US,D,20210804,000000,20.01,20.28,19.8827,19.94,114129,0
CTEC.US,D,20210805,000000,20.12,20.12,19.8,19.85,60074,0
CTEC.US,D,20210806,000000,19.87,20.04,19.8,19.81,44746,0
CTEC.US,D,20210809,000000,19.81,20.3562,19.81,20.26,39367,0
CTEC.US,D,20210810,000000,20.35,20.55,20.26,20.36,134667,0
CTEC.US,D,20210811,000000,20.61,20.7,19.77,19.96,149677,0
CTEC.US,D,20210812,000000,20.19,20.42,19.684,19.85,120056,0
CTEC.US,D,20210813,000000,19.98,19.98,19.43,19.5,41092,0
CTEC.US,D,20210816,000000,19.26,19.26,18.92,19.03,59257,0
