<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CXSE.US,D,20120924,000000,21.926,21.926,21.788,21.926,32764,0
CXSE.US,D,20120925,000000,22.019,22.059,21.694,21.694,13070,0
CXSE.US,D,20120926,000000,21.556,21.556,21.339,21.396,12800,0
CXSE.US,D,20120927,000000,21.769,21.865,21.66,21.843,15638,0
CXSE.US,D,20120928,000000,21.774,21.913,21.774,21.792,6618,0
CXSE.US,D,20121001,000000,21.899,22.158,21.899,21.949,5595,0
CXSE.US,D,20121002,000000,22.128,22.128,21.847,21.847,4692,0
CXSE.US,D,20121003,000000,21.816,21.97,21.816,21.913,6326,0
CXSE.US,D,20121004,000000,21.979,22.158,21.939,22.128,49113,0
CXSE.US,D,20121005,000000,22.421,22.529,22.338,22.338,49513,0
CXSE.US,D,20121008,000000,22.041,22.077,21.987,22.054,31411,0
CXSE.US,D,20121009,000000,22.164,22.164,21.899,21.899,14118,0
CXSE.US,D,20121010,000000,22.098,22.116,22.001,22.059,35156,0
CXSE.US,D,20121011,000000,22.437,22.455,22.276,22.383,128091,0
CXSE.US,D,20121012,000000,22.408,22.521,22.408,22.442,41080,0
CXSE.US,D,20121015,000000,22.525,22.605,22.417,22.566,82714,0
CXSE.US,D,20121016,000000,22.737,22.89,22.737,22.869,37500,0
CXSE.US,D,20121017,000000,23.005,23.254,22.998,23.14,418568,0
CXSE.US,D,20121018,000000,23.254,23.445,23.214,23.281,101629,0
CXSE.US,D,20121019,000000,23.29,23.29,23.057,23.079,45784,0
CXSE.US,D,20121022,000000,23.337,23.346,23.15,23.179,24130,0
CXSE.US,D,20121023,000000,23.035,23.07,22.777,22.924,19382,0
CXSE.US,D,20121024,000000,23.223,23.237,23.016,23.016,16304,0
CXSE.US,D,20121025,000000,23.174,23.197,23.062,23.193,93663,0
CXSE.US,D,20121026,000000,22.881,22.907,22.772,22.855,20756,0
CXSE.US,D,20121031,000000,23.012,23.201,22.916,22.947,25831,0
CXSE.US,D,20121101,000000,23.543,23.713,23.543,23.629,26356,0
CXSE.US,D,20121102,000000,23.845,23.845,23.467,23.467,16817,0
CXSE.US,D,20121105,000000,23.555,23.687,23.487,23.674,56371,0
CXSE.US,D,20121106,000000,23.526,23.783,23.505,23.783,27552,0
CXSE.US,D,20121107,000000,23.412,23.412,23.03,23.28,31693,0
CXSE.US,D,20121108,000000,23.136,23.346,22.794,22.841,89506,0
CXSE.US,D,20121109,000000,22.825,23.044,22.746,22.855,61253,0
CXSE.US,D,20121112,000000,22.974,23.084,22.938,23,15163,0
CXSE.US,D,20121113,000000,22.58,22.702,22.455,22.566,65701,0
CXSE.US,D,20121114,000000,22.557,22.566,22.14,22.154,58736,0
CXSE.US,D,20121115,000000,22.199,22.312,22.154,22.312,29637,0
CXSE.US,D,20121116,000000,22.281,22.285,22.015,22.228,4793,0
CXSE.US,D,20121119,000000,22.539,22.841,22.525,22.728,86680,0
CXSE.US,D,20121120,000000,22.413,22.449,22.316,22.449,146416,0
CXSE.US,D,20121121,000000,22.566,22.591,22.433,22.591,342122,0
CXSE.US,D,20121123,000000,22.855,22.996,22.855,22.978,43472,0
CXSE.US,D,20121126,000000,22.924,23.035,22.916,23.026,41886,0
CXSE.US,D,20121127,000000,22.887,22.907,22.688,22.688,125818,0
CXSE.US,D,20121128,000000,22.583,22.892,22.583,22.829,97159,0
CXSE.US,D,20121129,000000,23.016,23.016,22.837,22.881,76780,0
CXSE.US,D,20121130,000000,22.968,23.062,22.907,22.943,16036,0
CXSE.US,D,20121203,000000,22.943,22.943,22.849,22.869,14167,0
CXSE.US,D,20121204,000000,23.106,23.153,22.96,22.96,12435,0
CXSE.US,D,20121205,000000,23.35,23.678,23.35,23.521,170646,0
CXSE.US,D,20121206,000000,23.507,23.576,23.342,23.576,11584,0
CXSE.US,D,20121207,000000,23.644,23.704,23.612,23.672,19358,0
CXSE.US,D,20121210,000000,23.735,23.932,23.735,23.847,22796,0
CXSE.US,D,20121211,000000,23.791,23.949,23.767,23.88,28955,0
CXSE.US,D,20121212,000000,23.981,24.033,23.867,23.867,44791,0
CXSE.US,D,20121213,000000,23.722,23.722,23.493,23.617,19534,0
CXSE.US,D,20121214,000000,23.783,23.9,23.753,23.819,27554,0
CXSE.US,D,20121217,000000,23.859,23.889,23.779,23.884,44521,0
CXSE.US,D,20121218,000000,23.771,23.981,23.691,23.957,14558,0
CXSE.US,D,20121219,000000,24.09,24.09,23.962,24.051,86797,0
CXSE.US,D,20121220,000000,24.037,24.208,24.029,24.208,10812,0
CXSE.US,D,20121221,000000,23.797,23.896,23.763,23.867,30086,0
CXSE.US,D,20121224,000000,23.892,23.9,23.831,23.871,9625,0
CXSE.US,D,20121226,000000,24.163,24.181,23.997,24.099,23709,0
CXSE.US,D,20121227,000000,23.976,23.998,23.727,23.981,24524,0
CXSE.US,D,20121228,000000,23.827,24.042,23.827,24.015,17353,0
CXSE.US,D,20121231,000000,24.134,24.479,24.104,24.323,31761,0
CXSE.US,D,20130102,000000,24.913,25.118,24.861,25.022,122180,0
CXSE.US,D,20130103,000000,24.795,24.995,24.783,24.858,47817,0
CXSE.US,D,20130104,000000,24.813,24.99,24.778,24.958,9171,0
CXSE.US,D,20130107,000000,24.742,24.783,24.668,24.765,21614,0
CXSE.US,D,20130108,000000,24.572,24.572,24.33,24.53,53772,0
