<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DALI.US,D,20180516,000000,19.677,19.677,19.49,19.545,96383,0
DALI.US,D,20180517,000000,19.726,19.726,19.51,19.571,1360081,0
DALI.US,D,20180518,000000,19.431,19.608,19.382,19.578,17324,0
DALI.US,D,20180521,000000,19.734,19.736,19.64,19.676,11812,0
DALI.US,D,20180522,000000,19.686,19.726,19.618,19.636,25319,0
DALI.US,D,20180523,000000,20.067,20.067,19.51,19.605,26246,0
DALI.US,D,20180524,000000,19.677,19.716,19.548,19.692,12167,0
DALI.US,D,20180525,000000,19.638,19.686,19.638,19.657,1124,0
DALI.US,D,20180529,000000,19.578,19.618,19.401,19.496,11982,0
DALI.US,D,20180530,000000,19.716,19.754,19.702,19.736,3105,0
DALI.US,D,20180531,000000,19.71,19.71,19.593,19.648,12234,0
DALI.US,D,20180601,000000,19.814,19.91,19.783,19.88,7337,0
DALI.US,D,20180604,000000,19.929,19.999,19.903,19.999,12385,0
DALI.US,D,20180605,000000,20.126,20.126,20.042,20.107,15607,0
DALI.US,D,20180606,000000,20.166,20.577,20.115,20.261,7918,0
DALI.US,D,20180607,000000,20.137,20.137,19.939,20.107,18454,0
DALI.US,D,20180608,000000,20.047,20.195,20.047,20.195,6975,0
DALI.US,D,20180611,000000,20.294,20.294,20.205,20.205,5938,0
DALI.US,D,20180612,000000,20.34,20.34,20.245,20.313,44314,0
DALI.US,D,20180613,000000,20.375,20.4,20.313,20.313,28662,0
DALI.US,D,20180614,000000,20.39,20.4,20.34,20.35,6242,0
DALI.US,D,20180615,000000,20.22,20.321,20.22,20.317,5346,0
DALI.US,D,20180618,000000,20.313,20.42,20.294,20.42,3849,0
DALI.US,D,20180619,000000,20.107,20.283,20.067,20.274,7318,0
DALI.US,D,20180620,000000,20.43,20.459,20.42,20.439,17764,0
DALI.US,D,20180621,000000,20.438,20.438,20.267,20.282,11126,0
DALI.US,D,20180622,000000,20.243,20.243,20.095,20.095,2649,0
DALI.US,D,20180625,000000,20.085,20.085,19.525,19.635,137534,0
DALI.US,D,20180626,000000,19.645,19.733,19.639,19.713,25500,0
DALI.US,D,20180627,000000,19.723,19.723,19.384,19.386,7907,0
DALI.US,D,20180629,000000,19.654,19.654,19.595,19.595,2732,0
DALI.US,D,20180702,000000,19.418,19.625,19.418,19.618,23253,0
DALI.US,D,20180703,000000,19.888,19.888,19.595,19.595,9816,0
DALI.US,D,20180705,000000,19.821,19.821,19.615,19.717,16684,0
DALI.US,D,20180706,000000,19.996,19.996,19.967,19.986,28051,0
DALI.US,D,20180709,000000,20.084,20.174,20.041,20.173,28537,0
DALI.US,D,20180710,000000,20.183,20.183,20.135,20.144,3133,0
DALI.US,D,20180711,000000,20.115,20.115,20.026,20.045,4808,0
DALI.US,D,20180712,000000,20.117,20.272,20.117,20.252,13984,0
DALI.US,D,20180713,000000,20.262,20.272,20.183,20.213,12819,0
DALI.US,D,20180716,000000,20.328,20.328,20.155,20.164,2387,0
DALI.US,D,20180717,000000,19.987,20.328,19.987,20.328,3326,0
DALI.US,D,20180718,000000,20.428,20.428,20.307,20.368,5962,0
DALI.US,D,20180719,000000,20.438,20.438,20.328,20.367,4033,0
DALI.US,D,20180720,000000,20.368,20.388,20.358,20.358,2443,0
DALI.US,D,20180723,000000,20.262,20.388,20.249,20.378,15528,0
DALI.US,D,20180724,000000,20.252,20.252,20.223,20.223,343,0
DALI.US,D,20180725,000000,20.282,20.408,20.223,20.388,16267,0
DALI.US,D,20180726,000000,20.328,20.467,20.327,20.428,16882,0
DALI.US,D,20180727,000000,20.566,20.566,19.997,20.075,7105,0
DALI.US,D,20180730,000000,19.878,19.878,19.753,19.785,14201,0
DALI.US,D,20180731,000000,19.848,19.908,19.718,19.83,34527,0
DALI.US,D,20180801,000000,19.947,19.967,19.839,19.898,12068,0
DALI.US,D,20180802,000000,19.937,20.075,19.937,20.075,4767,0
DALI.US,D,20180803,000000,19.997,19.997,19.997,19.997,102,0
DALI.US,D,20180806,000000,20.164,20.164,20.145,20.156,1082,0
DALI.US,D,20180807,000000,20.328,20.343,20.328,20.338,5513,0
DALI.US,D,20180808,000000,20.328,20.354,20.294,20.354,1748,0
DALI.US,D,20180809,000000,20.418,20.418,20.348,20.348,9617,0
DALI.US,D,20180810,000000,20.262,20.311,20.213,20.213,19668,0
DALI.US,D,20180813,000000,20.292,20.311,20.102,20.102,25701,0
DALI.US,D,20180814,000000,20.233,20.319,20.233,20.262,26493,0
DALI.US,D,20180815,000000,19.997,20.036,19.967,20.036,2435,0
DALI.US,D,20180816,000000,20.243,20.297,20.183,20.193,71014,0
DALI.US,D,20180817,000000,20.105,20.243,20.085,20.238,8149,0
DALI.US,D,20180820,000000,20.213,20.308,20.155,20.302,16347,0
DALI.US,D,20180821,000000,20.398,20.506,20.398,20.447,7847,0
DALI.US,D,20180822,000000,20.536,20.536,20.388,20.513,24248,0
DALI.US,D,20180823,000000,20.575,20.595,20.501,20.526,31418,0
DALI.US,D,20180824,000000,20.683,20.732,20.625,20.712,30658,0
DALI.US,D,20180827,000000,20.888,20.957,20.819,20.888,22050,0
DALI.US,D,20180828,000000,20.958,20.958,20.832,20.922,7502,0
DALI.US,D,20180829,000000,21.044,21.054,20.947,21.035,6848,0
DALI.US,D,20180830,000000,21.177,21.177,20.923,20.965,14141,0
DALI.US,D,20180831,000000,20.927,20.965,20.927,20.962,1451,0
DALI.US,D,20180904,000000,20.848,21.004,20.848,20.986,65621,0
DALI.US,D,20180905,000000,20.712,20.792,20.687,20.777,11989,0
DALI.US,D,20180906,000000,20.722,20.722,20.595,20.673,8437,0
DALI.US,D,20180907,000000,20.683,20.782,20.638,20.644,29345,0
DALI.US,D,20180910,000000,20.683,20.731,20.673,20.726,3259,0
DALI.US,D,20180911,000000,20.809,21.555,20.762,20.838,29611,0
DALI.US,D,20180912,000000,20.908,20.908,20.575,20.751,209900,0
DALI.US,D,20180913,000000,20.888,20.888,20.819,20.819,9278,0
DALI.US,D,20180914,000000,20.908,20.936,20.837,20.893,2905,0
DALI.US,D,20180917,000000,20.975,20.975,20.62,20.62,9946,0
DALI.US,D,20180918,000000,20.752,20.789,20.693,20.786,25201,0
DALI.US,D,20180919,000000,20.801,20.801,20.605,20.702,11479,0
DALI.US,D,20180920,000000,20.782,20.848,20.762,20.848,13985,0
DALI.US,D,20180921,000000,20.818,20.818,20.762,20.762,3874,0
DALI.US,D,20180924,000000,20.663,20.693,20.635,20.688,10458,0
DALI.US,D,20180925,000000,20.683,20.762,20.683,20.762,855,0
DALI.US,D,20180926,000000,20.782,20.819,20.659,20.659,12162,0
DALI.US,D,20180927,000000,20.809,20.809,20.693,20.693,13419,0
DALI.US,D,20180928,000000,20.683,20.732,20.644,20.686,9041,0
DALI.US,D,20181001,000000,20.858,20.858,20.591,20.615,21912,0
DALI.US,D,20181002,000000,20.663,20.663,20.32,20.324,10358,0
DALI.US,D,20181003,000000,20.486,20.526,20.418,20.456,27345,0
DALI.US,D,20181004,000000,20.477,20.477,20.011,20.075,6609,0
DALI.US,D,20181005,000000,20.055,20.075,19.663,19.874,230863,0
DALI.US,D,20181008,000000,19.742,19.762,19.397,19.623,5889,0
DALI.US,D,20181009,000000,19.624,19.634,19.486,19.486,4563,0
DALI.US,D,20181010,000000,19.534,19.534,18.79,18.79,16300,0
DALI.US,D,20181011,000000,18.786,18.867,18.39,18.531,5821,0
DALI.US,D,20181012,000000,18.858,18.859,18.527,18.794,16475,0
DALI.US,D,20181015,000000,18.739,18.81,18.728,18.73,3844,0
DALI.US,D,20181016,000000,18.981,19.291,18.975,19.291,5266,0
DALI.US,D,20181017,000000,19.417,19.417,19.034,19.154,17679,0
DALI.US,D,20181018,000000,19.081,19.114,18.763,18.833,3149,0
DALI.US,D,20181019,000000,18.873,18.873,18.578,18.578,3190,0
DALI.US,D,20181022,000000,18.77,18.77,18.467,18.625,7016,0
DALI.US,D,20181023,000000,18.164,18.527,18.164,18.527,7123,0
DALI.US,D,20181024,000000,18.556,18.556,17.575,17.575,6562,0
DALI.US,D,20181025,000000,17.956,18.084,17.89,18.046,7213,0
DALI.US,D,20181026,000000,17.467,17.889,17.428,17.683,20419,0
DALI.US,D,20181029,000000,17.946,17.946,17.133,17.242,6654,0
DALI.US,D,20181030,000000,17.466,17.724,17.466,17.724,11916,0
DALI.US,D,20181031,000000,18.104,18.184,18.071,18.173,8579,0
DALI.US,D,20181101,000000,18.302,18.37,18.302,18.37,5556,0
DALI.US,D,20181102,000000,18.576,18.734,18.399,18.487,2517,0
DALI.US,D,20181105,000000,18.322,18.448,18.307,18.448,4052,0
DALI.US,D,20181106,000000,18.596,18.596,18.438,18.438,40408,0
DALI.US,D,20181107,000000,18.76,18.976,18.76,18.976,23638,0
DALI.US,D,20181108,000000,18.993,18.995,18.852,18.872,15763,0
DALI.US,D,20181109,000000,18.84,18.84,18.458,18.458,10006,0
DALI.US,D,20181112,000000,18.233,18.251,18.036,18.113,975,0
DALI.US,D,20181113,000000,17.986,18.223,17.986,17.996,4098,0
DALI.US,D,20181114,000000,18.184,18.184,17.782,17.802,8675,0
DALI.US,D,20181115,000000,17.733,18.154,17.733,18.154,4041,0
