<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAX.US,D,20141027,000000,21.637,21.637,21.637,21.637,393,0
DAX.US,D,20141028,000000,21.993,22.054,21.993,22.054,4395,0
DAX.US,D,20141029,000000,22.183,22.191,22.183,22.191,15777,0
DAX.US,D,20141030,000000,21.95,21.95,21.95,21.95,162,0
DAX.US,D,20141031,000000,22.191,22.261,22.046,22.261,11685,0
DAX.US,D,20141103,000000,22.52,22.52,22.52,22.52,247,0
DAX.US,D,20141105,000000,22.167,22.167,22.167,22.167,348,0
DAX.US,D,20141107,000000,22.01,22.01,22.01,22.01,115,0
DAX.US,D,20141111,000000,22.268,22.268,22.268,22.268,234,0
DAX.US,D,20141112,000000,21.828,21.828,21.828,21.828,1155,0
DAX.US,D,20141118,000000,22.978,22.978,22.478,22.641,2599,0
DAX.US,D,20141119,000000,22.65,22.65,22.65,22.65,272,0
DAX.US,D,20141121,000000,22.943,22.943,22.871,22.9,1174,0
DAX.US,D,20141124,000000,23.203,23.635,23.178,23.212,4065,0
DAX.US,D,20141125,000000,23.427,23.427,23.427,23.427,234,0
DAX.US,D,20141126,000000,23.566,23.595,23.566,23.595,462,0
DAX.US,D,20141128,000000,23.625,23.625,23.625,23.625,115,0
DAX.US,D,20141201,000000,23.662,24.215,23.662,23.662,358,0
DAX.US,D,20141202,000000,23.47,23.47,23.47,23.47,115,0
DAX.US,D,20141203,000000,23.412,23.412,23.412,23.412,508,0
DAX.US,D,20141204,000000,23.363,23.363,23.298,23.298,301,0
DAX.US,D,20141205,000000,25.07,25.07,23.566,23.566,396,0
DAX.US,D,20141208,000000,23.427,23.427,23.427,23.427,115,0
DAX.US,D,20141209,000000,23.168,23.168,23.168,23.168,277,0
DAX.US,D,20141210,000000,23.082,23.203,23.052,23.052,1273,0
DAX.US,D,20141211,000000,23.091,23.091,23.091,23.091,115,0
DAX.US,D,20141212,000000,22.833,22.833,22.833,22.833,201,0
DAX.US,D,20141215,000000,21.093,22.183,21.093,22.149,544,0
DAX.US,D,20141216,000000,22.686,22.686,22.364,22.686,810,0
DAX.US,D,20141217,000000,22.694,22.694,22.564,22.564,744,0
DAX.US,D,20141218,000000,22.908,22.908,22.908,22.908,1285,0
DAX.US,D,20141219,000000,22.866,22.866,22.866,22.866,138,0
DAX.US,D,20141222,000000,22.987,23.002,22.987,23.002,348,0
DAX.US,D,20141223,000000,23.003,23.013,23.003,23.013,439,0
DAX.US,D,20141224,000000,23.089,23.089,23.051,23.051,234,0
DAX.US,D,20141226,000000,23.126,23.126,22.997,22.997,605,0
DAX.US,D,20141229,000000,22.892,22.952,22.892,22.952,1363,0
DAX.US,D,20141230,000000,22.616,22.616,22.616,22.616,154,0
DAX.US,D,20150105,000000,22.349,22.349,21.509,21.509,3122,0
DAX.US,D,20150108,000000,21.993,22.114,21.993,22.114,1413,0
DAX.US,D,20150112,000000,22.477,22.477,21.863,22.002,2156,0
DAX.US,D,20150113,000000,22.321,22.341,22.07,22.07,2088,0
DAX.US,D,20150115,000000,22.439,22.439,22.259,22.259,456,0
DAX.US,D,20150116,000000,22.359,22.582,22.359,22.582,1705,0
DAX.US,D,20150120,000000,22.658,22.658,22.622,22.63,1043,0
DAX.US,D,20150121,000000,22.65,22.65,22.557,22.557,776,0
DAX.US,D,20150122,000000,22.658,22.857,22.631,22.753,117448,0
DAX.US,D,20150123,000000,22.997,22.997,22.676,22.676,65755,0
DAX.US,D,20150126,000000,22.875,23.264,22.875,23.212,17184,0
DAX.US,D,20150127,000000,23.049,23.143,22.977,23.056,13296,0
DAX.US,D,20150128,000000,23.065,23.191,22.908,22.908,10048,0
DAX.US,D,20150129,000000,22.892,23.343,22.892,23.319,40880,0
DAX.US,D,20150130,000000,23.325,23.325,22.83,22.908,22879,0
DAX.US,D,20150202,000000,23.395,23.471,23.212,23.453,13482,0
DAX.US,D,20150203,000000,24.111,24.111,23.68,23.919,60477,0
DAX.US,D,20150204,000000,23.921,23.921,23.367,23.462,93466,0
DAX.US,D,20150205,000000,23.514,24.032,23.514,23.826,8495,0
DAX.US,D,20150206,000000,23.654,23.654,23.109,23.195,35359,0
DAX.US,D,20150209,000000,22.753,22.997,22.753,22.952,23466,0
DAX.US,D,20150210,000000,23.143,23.175,22.962,23.168,8751,0
DAX.US,D,20150211,000000,23.135,23.135,23.039,23.039,1332,0
DAX.US,D,20150212,000000,23.333,23.8,23.325,23.8,17526,0
DAX.US,D,20150213,000000,24.206,24.206,23.712,23.816,65031,0
DAX.US,D,20150217,000000,23.601,24.103,23.514,23.664,66030,0
DAX.US,D,20150218,000000,23.68,23.703,23.593,23.703,2009,0
DAX.US,D,20150219,000000,23.633,23.835,23.633,23.74,7438,0
DAX.US,D,20150220,000000,23.575,24.157,23.575,24.085,25623,0
DAX.US,D,20150223,000000,24.234,24.234,23.913,23.981,20783,0
DAX.US,D,20150224,000000,24.085,24.225,23.921,24.183,37936,0
DAX.US,D,20150225,000000,24.191,24.234,24.076,24.234,23295,0
DAX.US,D,20150226,000000,24.12,24.163,24.043,24.068,13451,0
DAX.US,D,20150227,000000,24.111,24.301,24.031,24.225,18287,0
DAX.US,D,20150302,000000,24.691,24.691,24.016,24.319,43609,0
DAX.US,D,20150303,000000,24.215,24.717,23.981,24.035,10872,0
DAX.US,D,20150304,000000,23.845,24.059,23.722,24.035,9947,0
DAX.US,D,20150305,000000,24.137,24.163,24.006,24.043,18278,0
DAX.US,D,20150306,000000,24.24,24.24,23.69,23.765,14111,0
DAX.US,D,20150309,000000,23.852,24.371,23.808,23.955,12146,0
DAX.US,D,20150310,000000,23.939,23.939,23.376,23.436,14690,0
DAX.US,D,20150311,000000,23.703,23.808,23.549,23.697,29612,0
DAX.US,D,20150312,000000,24.24,24.24,23.732,23.981,37245,0
DAX.US,D,20150313,000000,24.035,24.035,23.514,23.816,47889,0
DAX.US,D,20150316,000000,24.049,24.594,24.049,24.551,116597,0
DAX.US,D,20150317,000000,24.57,24.613,24.076,24.154,129553,0
DAX.US,D,20150318,000000,24.144,24.509,23.998,24.509,55986,0
DAX.US,D,20150319,000000,24.059,24.526,23.921,24.016,36437,0
DAX.US,D,20150320,000000,24.44,24.838,24.44,24.768,66049,0
DAX.US,D,20150323,000000,24.768,24.768,24.57,24.751,24060,0
DAX.US,D,20150324,000000,24.741,24.924,24.639,24.846,8444,0
DAX.US,D,20150325,000000,25.227,25.227,24.664,24.717,43840,0
DAX.US,D,20150326,000000,24.639,24.639,24.266,24.561,26491,0
DAX.US,D,20150327,000000,24.561,24.629,24.403,24.594,41412,0
DAX.US,D,20150330,000000,25.01,25.01,24.621,24.863,15732,0
DAX.US,D,20150331,000000,24.483,24.551,24.291,24.396,34703,0
DAX.US,D,20150401,000000,24.561,24.629,24.396,24.603,73916,0
DAX.US,D,20150402,000000,24.76,25.242,24.691,24.768,79350,0
DAX.US,D,20150406,000000,24.751,25.044,24.751,24.984,45690,0
DAX.US,D,20150407,000000,25.201,25.201,24.788,24.788,26887,0
DAX.US,D,20150408,000000,24.984,24.984,24.594,24.741,18162,0
DAX.US,D,20150409,000000,24.959,24.959,24.603,24.677,21170,0
DAX.US,D,20150410,000000,24.656,24.949,24.656,24.949,31925,0
DAX.US,D,20150413,000000,24.863,25.037,24.639,24.699,29843,0
DAX.US,D,20150414,000000,24.846,24.933,24.734,24.802,17119,0
DAX.US,D,20150415,000000,24.914,24.924,24.648,24.802,24137,0
DAX.US,D,20150416,000000,24.699,24.777,24.335,24.465,20763,0
DAX.US,D,20150417,000000,24.206,24.249,23.8,23.964,35164,0
DAX.US,D,20150420,000000,23.964,24.335,23.964,24.191,11441,0
DAX.US,D,20150421,000000,24.291,24.431,24.291,24.396,23518,0
DAX.US,D,20150422,000000,24.326,24.326,24.035,24.276,15781,0
DAX.US,D,20150423,000000,23.93,24.249,23.861,24.137,317755,0
DAX.US,D,20150424,000000,24.163,24.371,24.076,24.301,30422,0
