<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDIV.US,D,20140313,000000,15.986,15.986,15.986,15.986,129,0
DDIV.US,D,20140314,000000,16.026,16.026,15.995,16.026,2871,0
DDIV.US,D,20140318,000000,16.13,16.205,16.13,16.179,7050,0
DDIV.US,D,20140319,000000,16.13,16.13,15.995,16.042,3935,0
DDIV.US,D,20140320,000000,16.013,16.089,16.013,16.089,8382,0
DDIV.US,D,20140321,000000,16.205,16.205,16.205,16.205,361,0
DDIV.US,D,20140324,000000,16.121,16.121,16.121,16.121,444,0
DDIV.US,D,20140325,000000,16.162,16.218,16.162,16.208,3621,0
DDIV.US,D,20140326,000000,16.292,16.3,16.098,16.098,12604,0
DDIV.US,D,20140327,000000,16.089,16.089,16.042,16.05,3098,0
DDIV.US,D,20140331,000000,16.257,16.338,16.257,16.292,67024,0
DDIV.US,D,20140402,000000,16.452,16.452,16.401,16.401,1324,0
DDIV.US,D,20140403,000000,16.387,16.387,16.3,16.38,6690,0
DDIV.US,D,20140404,000000,16.434,16.452,16.179,16.225,9294,0
DDIV.US,D,20140407,000000,16.241,16.241,16.121,16.121,2152,0
DDIV.US,D,20140408,000000,16.196,16.249,16.189,16.234,4597,0
DDIV.US,D,20140409,000000,16.218,16.257,16.162,16.226,22539,0
DDIV.US,D,20140410,000000,16.05,16.05,16.026,16.026,1682,0
DDIV.US,D,20140411,000000,15.938,16.003,15.934,16.003,7046,0
DDIV.US,D,20140414,000000,15.983,16.026,15.983,16.026,2805,0
DDIV.US,D,20140415,000000,16.042,16.188,15.952,16.188,1303,0
DDIV.US,D,20140416,000000,16.275,16.275,16.265,16.265,486,0
DDIV.US,D,20140417,000000,16.218,16.283,16.218,16.283,1229,0
DDIV.US,D,20140421,000000,16.344,16.344,16.267,16.275,2952,0
DDIV.US,D,20140422,000000,16.32,16.32,16.257,16.257,902,0
DDIV.US,D,20140423,000000,16.306,16.32,16.306,16.306,962,0
DDIV.US,D,20140424,000000,16.265,16.265,16.265,16.265,758,0
DDIV.US,D,20140425,000000,16.275,16.275,16.218,16.226,8229,0
DDIV.US,D,20140428,000000,16.306,16.311,16.265,16.265,1801,0
DDIV.US,D,20140429,000000,16.292,16.292,16.292,16.292,682,0
DDIV.US,D,20140502,000000,16.197,16.197,16.197,16.197,374,0
DDIV.US,D,20140505,000000,16.225,16.225,16.188,16.188,1036,0
DDIV.US,D,20140506,000000,16.218,16.218,16.218,16.218,501,0
DDIV.US,D,20140509,000000,16.229,16.241,16.229,16.241,384,0
DDIV.US,D,20140512,000000,16.38,16.387,16.38,16.387,291,0
DDIV.US,D,20140513,000000,16.426,16.426,16.387,16.387,1559,0
DDIV.US,D,20140514,000000,16.344,16.396,16.344,16.396,4575,0
DDIV.US,D,20140515,000000,16.153,16.196,16.153,16.196,2641,0
DDIV.US,D,20140516,000000,16.257,16.292,16.226,16.292,11118,0
DDIV.US,D,20140519,000000,16.306,16.306,16.306,16.306,588,0
DDIV.US,D,20140520,000000,16.253,16.253,16.188,16.188,3391,0
DDIV.US,D,20140521,000000,16.211,16.211,16.171,16.171,251,0
DDIV.US,D,20140522,000000,16.338,16.338,16.306,16.306,2626,0
DDIV.US,D,20140523,000000,16.371,16.401,16.371,16.396,9239,0
DDIV.US,D,20140527,000000,16.482,16.482,16.443,16.463,2343,0
DDIV.US,D,20140529,000000,16.467,16.473,16.467,16.473,1814,0
DDIV.US,D,20140602,000000,16.443,16.443,16.434,16.443,1873,0
DDIV.US,D,20140603,000000,16.459,16.459,16.459,16.459,627,0
DDIV.US,D,20140604,000000,16.452,16.486,16.443,16.486,5592,0
DDIV.US,D,20140606,000000,16.732,16.732,16.732,16.732,251,0
DDIV.US,D,20140609,000000,16.739,16.739,16.705,16.725,2480,0
DDIV.US,D,20140610,000000,16.65,16.666,16.642,16.659,4368,0
DDIV.US,D,20140611,000000,16.611,16.611,16.611,16.611,1619,0
DDIV.US,D,20140612,000000,16.496,16.503,16.496,16.502,2840,0
DDIV.US,D,20140613,000000,16.58,16.596,16.557,16.557,11483,0
DDIV.US,D,20140616,000000,16.564,16.602,16.564,16.602,1248,0
DDIV.US,D,20140617,000000,16.627,16.642,16.619,16.619,2208,0
DDIV.US,D,20140618,000000,16.642,16.771,16.642,16.771,1501,0
DDIV.US,D,20140619,000000,16.842,16.842,16.771,16.802,4408,0
DDIV.US,D,20140620,000000,16.793,16.825,16.793,16.825,2987,0
DDIV.US,D,20140623,000000,16.835,16.842,16.771,16.793,3002,0
DDIV.US,D,20140624,000000,16.809,16.879,16.782,16.789,2969,0
DDIV.US,D,20140625,000000,16.685,16.749,16.685,16.734,494,0
DDIV.US,D,20140626,000000,16.725,16.756,16.725,16.756,383,0
DDIV.US,D,20140627,000000,16.838,16.838,16.819,16.829,3786,0
DDIV.US,D,20140630,000000,16.774,16.854,16.774,16.854,13524,0
DDIV.US,D,20140701,000000,17.09,17.12,17.09,17.12,3364,0
DDIV.US,D,20140702,000000,16.933,16.933,16.872,16.879,13477,0
DDIV.US,D,20140703,000000,16.872,16.872,16.872,16.872,370,0
DDIV.US,D,20140707,000000,16.854,16.854,16.795,16.838,7594,0
DDIV.US,D,20140708,000000,16.829,16.838,16.829,16.838,1082,0
DDIV.US,D,20140709,000000,16.795,16.809,16.795,16.802,2030,0
DDIV.US,D,20140714,000000,16.795,16.802,16.764,16.764,2549,0
DDIV.US,D,20140715,000000,16.749,16.749,16.749,16.749,128,0
DDIV.US,D,20140716,000000,16.734,16.791,16.723,16.725,2365,0
DDIV.US,D,20140718,000000,16.742,16.742,16.7,16.7,370,0
DDIV.US,D,20140722,000000,16.764,16.766,16.764,16.766,942,0
DDIV.US,D,20140723,000000,16.725,16.725,16.725,16.725,128,0
DDIV.US,D,20140724,000000,16.774,16.774,16.774,16.774,128,0
DDIV.US,D,20140725,000000,16.66,16.676,16.66,16.66,5948,0
DDIV.US,D,20140729,000000,16.709,16.717,16.709,16.717,2192,0
DDIV.US,D,20140730,000000,16.58,16.58,16.557,16.557,555,0
DDIV.US,D,20140731,000000,16.327,16.327,16.311,16.311,639,0
DDIV.US,D,20140801,000000,16.311,16.311,16.208,16.255,485,0
DDIV.US,D,20140804,000000,16.184,16.184,16.174,16.184,1239,0
DDIV.US,D,20140805,000000,16.289,16.289,16.175,16.175,2269,0
DDIV.US,D,20140807,000000,16.223,16.232,16.135,16.135,1812,0
DDIV.US,D,20140808,000000,16.16,16.202,16.15,16.181,6378,0
DDIV.US,D,20140811,000000,16.362,16.362,16.362,16.362,276,0
DDIV.US,D,20140813,000000,16.425,16.428,16.425,16.425,2227,0
DDIV.US,D,20140814,000000,16.473,16.473,16.473,16.473,502,0
DDIV.US,D,20140815,000000,16.486,16.486,16.479,16.486,3156,0
DDIV.US,D,20140818,000000,16.574,16.587,16.574,16.587,7559,0
DDIV.US,D,20140820,000000,16.58,16.667,16.58,16.667,113515,0
DDIV.US,D,20140821,000000,16.694,16.694,16.66,16.66,1039,0
DDIV.US,D,20140825,000000,16.717,16.717,16.717,16.717,1582,0
DDIV.US,D,20140827,000000,16.764,16.782,16.749,16.749,2215,0
DDIV.US,D,20140828,000000,16.756,16.778,16.756,16.778,791,0
DDIV.US,D,20140829,000000,16.788,16.829,16.788,16.814,1715,0
DDIV.US,D,20140902,000000,16.789,16.789,16.789,16.789,554,0
DDIV.US,D,20140903,000000,16.838,16.846,16.809,16.809,2487,0
DDIV.US,D,20140904,000000,16.868,16.868,16.868,16.868,297,0
DDIV.US,D,20140905,000000,16.854,16.881,16.854,16.881,811,0
DDIV.US,D,20140908,000000,16.864,16.889,16.838,16.838,6043,0
DDIV.US,D,20140909,000000,16.749,16.749,16.696,16.717,1541,0
DDIV.US,D,20140910,000000,16.7,16.734,16.667,16.734,3206,0
DDIV.US,D,20140911,000000,16.795,16.823,16.795,16.795,2420,0
DDIV.US,D,20140912,000000,16.756,16.756,16.68,16.68,515,0
DDIV.US,D,20140915,000000,16.65,16.66,16.65,16.66,538,0
DDIV.US,D,20140916,000000,16.667,16.667,16.667,16.667,128,0
DDIV.US,D,20140917,000000,16.694,16.749,16.643,16.652,7362,0
DDIV.US,D,20140918,000000,16.725,16.725,16.667,16.676,21437,0
DDIV.US,D,20140919,000000,16.676,16.676,16.634,16.634,943,0
DDIV.US,D,20140922,000000,16.479,16.479,16.479,16.479,302,0
DDIV.US,D,20140923,000000,16.535,16.535,16.375,16.375,3392,0
DDIV.US,D,20140924,000000,16.371,16.447,16.371,16.447,2574,0
DDIV.US,D,20140925,000000,16.281,16.354,16.281,16.281,2542,0
DDIV.US,D,20140926,000000,16.387,16.387,16.344,16.346,1622,0
DDIV.US,D,20140929,000000,16.256,16.311,16.239,16.311,3330,0
DDIV.US,D,20140930,000000,16.279,16.279,16.279,16.279,586,0
DDIV.US,D,20141001,000000,16.239,16.239,16.142,16.142,1026,0
DDIV.US,D,20141002,000000,16.164,16.239,16.15,16.15,2546,0
DDIV.US,D,20141003,000000,16.094,16.311,16.094,16.256,64664,0
DDIV.US,D,20141006,000000,16.329,16.338,16.273,16.306,25549,0
DDIV.US,D,20141007,000000,16.273,16.273,16.176,16.209,23086,0
DDIV.US,D,20141008,000000,16.344,16.402,16.284,16.402,3182,0
DDIV.US,D,20141010,000000,16.273,16.32,16.212,16.212,3121,0
DDIV.US,D,20141013,000000,16.256,16.273,16.239,16.273,3275,0
DDIV.US,D,20141014,000000,16.354,16.354,16.306,16.306,378,0
DDIV.US,D,20141015,000000,16.239,16.248,16.061,16.248,3909,0
DDIV.US,D,20141016,000000,16.233,16.233,16.061,16.185,2051,0
DDIV.US,D,20141017,000000,16.515,16.515,16.349,16.349,5129,0
DDIV.US,D,20141020,000000,16.306,16.402,16.306,16.402,3274,0
DDIV.US,D,20141022,000000,16.682,16.682,16.681,16.682,618,0
DDIV.US,D,20141023,000000,16.815,16.815,16.801,16.801,1096,0
