<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEMZ.US,D,20201104,000000,20.955,21.095,20.786,20.883,16463,0
DEMZ.US,D,20201105,000000,24.945,24.945,21.185,21.315,12447,0
DEMZ.US,D,20201106,000000,21.474,21.474,21.145,21.249,9018,0
DEMZ.US,D,20201109,000000,21.982,22.062,21.853,21.863,7105,0
DEMZ.US,D,20201110,000000,21.643,21.643,21.494,21.561,5729,0
DEMZ.US,D,20201111,000000,21.554,21.618,21.474,21.581,5304,0
DEMZ.US,D,20201112,000000,21.474,21.583,21.254,21.363,5075,0
DEMZ.US,D,20201113,000000,21.603,21.705,21.585,21.705,5067,0
DEMZ.US,D,20201116,000000,21.933,21.972,21.913,21.972,2368,0
DEMZ.US,D,20201117,000000,22.421,22.421,21.863,21.932,3591,0
DEMZ.US,D,20201118,000000,21.992,21.992,21.863,21.863,1151,0
DEMZ.US,D,20201119,000000,21.653,21.783,21.653,21.783,1050,0
DEMZ.US,D,20201120,000000,21.763,21.763,21.636,21.636,311,0
DEMZ.US,D,20201123,000000,21.643,21.685,21.643,21.685,150,0
DEMZ.US,D,20201130,000000,21.802,21.874,21.802,21.874,350,0
DEMZ.US,D,20201201,000000,22.162,22.193,22.141,22.193,210,0
DEMZ.US,D,20201202,000000,22.192,22.248,22.192,22.248,1715,0
DEMZ.US,D,20201203,000000,22.302,22.302,22.192,22.192,783,0
DEMZ.US,D,20201204,000000,22.292,22.447,22.292,22.447,127,0
DEMZ.US,D,20201207,000000,22.491,22.491,22.463,22.463,299,0
DEMZ.US,D,20201208,000000,22.531,22.531,22.503,22.503,458,0
DEMZ.US,D,20201211,000000,22.471,22.471,22.471,22.471,316,0
DEMZ.US,D,20201214,000000,22.681,22.681,22.4,22.4,2065,0
DEMZ.US,D,20201215,000000,22.499,22.673,22.499,22.673,770,0
DEMZ.US,D,20201216,000000,22.681,22.741,22.681,22.741,646,0
DEMZ.US,D,20201217,000000,22.83,22.85,22.83,22.839,473,0
DEMZ.US,D,20201221,000000,22.651,22.679,22.641,22.679,1916,0
DEMZ.US,D,20201222,000000,22.72,22.72,22.641,22.643,3609,0
