<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGRE.US,D,20130805,000000,20.822,20.837,20.714,20.725,86285,0
DGRE.US,D,20130806,000000,20.66,20.66,20.396,20.474,24456,0
DGRE.US,D,20130807,000000,20.373,20.506,20.259,20.259,88403,0
DGRE.US,D,20130808,000000,20.488,20.717,20.404,20.618,25512,0
DGRE.US,D,20130809,000000,20.725,20.815,20.586,20.797,153295,0
DGRE.US,D,20130812,000000,20.749,20.837,20.725,20.749,37417,0
DGRE.US,D,20130813,000000,20.886,20.919,20.783,20.901,56695,0
DGRE.US,D,20130814,000000,21.097,21.124,20.984,21.008,10558,0
DGRE.US,D,20130815,000000,20.797,20.797,20.527,20.725,23991,0
DGRE.US,D,20130816,000000,20.717,20.717,20.404,20.423,36973,0
DGRE.US,D,20130819,000000,20.195,20.195,19.715,19.715,22576,0
DGRE.US,D,20130820,000000,19.682,19.814,19.682,19.723,10624,0
DGRE.US,D,20130821,000000,19.593,19.593,19.159,19.276,38003,0
DGRE.US,D,20130822,000000,19.511,19.511,19.403,19.403,9682,0
DGRE.US,D,20130823,000000,19.484,19.639,19.484,19.638,2700,0
DGRE.US,D,20130826,000000,19.603,19.603,19.317,19.317,19435,0
DGRE.US,D,20130827,000000,19.023,19.023,18.694,18.745,38743,0
DGRE.US,D,20130828,000000,18.792,18.906,18.663,18.897,7584,0
DGRE.US,D,20130829,000000,18.981,19.244,18.728,18.869,5170,0
DGRE.US,D,20130830,000000,19.173,19.183,18.96,19.01,25235,0
DGRE.US,D,20130903,000000,19.35,19.35,19.35,19.35,1146,0
DGRE.US,D,20130904,000000,19.159,19.323,19.135,19.176,8845,0
DGRE.US,D,20130905,000000,19.282,19.282,19.176,19.199,22516,0
DGRE.US,D,20130906,000000,19.638,19.789,19.621,19.746,4050,0
DGRE.US,D,20130909,000000,20.032,20.393,20.032,20.212,4112,0
DGRE.US,D,20130910,000000,20.388,20.686,20.388,20.517,9721,0
DGRE.US,D,20130911,000000,20.618,20.669,20.618,20.66,2312,0
DGRE.US,D,20130912,000000,20.717,20.717,20.404,20.404,8412,0
DGRE.US,D,20130913,000000,20.57,20.57,20.413,20.497,2805,0
DGRE.US,D,20130916,000000,20.947,21.045,20.905,20.99,3881,0
DGRE.US,D,20130917,000000,21.077,21.077,20.979,20.99,6586,0
DGRE.US,D,20130918,000000,20.955,21.897,20.749,21.831,58694,0
DGRE.US,D,20130919,000000,21.915,21.962,21.735,21.817,3345,0
DGRE.US,D,20130920,000000,21.831,21.831,21.393,21.426,5378,0
DGRE.US,D,20130923,000000,21.32,21.32,21.297,21.297,1984,0
DGRE.US,D,20130924,000000,21.29,21.29,20.887,21.183,7467,0
DGRE.US,D,20130925,000000,21.175,21.175,20.887,20.964,10530,0
DGRE.US,D,20130926,000000,21.107,21.116,20.831,20.948,6731,0
DGRE.US,D,20130927,000000,20.831,20.831,20.618,20.618,16220,0
DGRE.US,D,20130930,000000,20.366,20.405,20.268,20.278,20338,0
DGRE.US,D,20131001,000000,20.618,20.63,20.618,20.627,979,0
DGRE.US,D,20131002,000000,20.887,20.887,20.67,20.88,2448,0
DGRE.US,D,20131004,000000,20.941,21.055,20.913,20.956,14200,0
DGRE.US,D,20131007,000000,20.913,20.913,20.742,20.872,5874,0
DGRE.US,D,20131008,000000,20.831,20.863,20.823,20.863,1957,0
DGRE.US,D,20131009,000000,20.948,20.948,20.627,20.872,60717,0
DGRE.US,D,20131010,000000,21.03,21.321,21.03,21.263,26834,0
DGRE.US,D,20131011,000000,21.449,21.462,21.449,21.462,3002,0
DGRE.US,D,20131014,000000,21.566,21.638,21.566,21.638,4357,0
DGRE.US,D,20131015,000000,21.567,21.607,21.331,21.405,6787,0
DGRE.US,D,20131016,000000,21.396,21.631,21.396,21.631,8306,0
DGRE.US,D,20131017,000000,21.65,21.731,21.542,21.714,10281,0
DGRE.US,D,20131018,000000,21.861,21.861,21.607,21.764,14322,0
DGRE.US,D,20131021,000000,21.812,21.812,21.567,21.567,12363,0
DGRE.US,D,20131022,000000,21.846,21.919,21.812,21.871,2448,0
DGRE.US,D,20131023,000000,21.69,21.69,21.445,21.526,4285,0
DGRE.US,D,20131024,000000,21.534,21.534,21.378,21.494,11140,0
DGRE.US,D,20131025,000000,21.354,21.664,21.354,21.664,5631,0
DGRE.US,D,20131028,000000,21.445,21.787,21.445,21.714,3183,0
DGRE.US,D,20131029,000000,21.723,21.747,21.607,21.747,2206,0
DGRE.US,D,20131030,000000,21.486,21.601,21.428,21.47,2327,0
DGRE.US,D,20131031,000000,21.239,21.338,21.239,21.239,10023,0
DGRE.US,D,20131101,000000,20.992,21.093,20.992,21.093,3309,0
DGRE.US,D,20131104,000000,21.087,21.183,21.087,21.087,5388,0
DGRE.US,D,20131105,000000,20.903,20.912,20.723,20.723,9548,0
DGRE.US,D,20131106,000000,20.823,20.913,20.807,20.817,2938,0
DGRE.US,D,20131107,000000,20.972,20.972,20.513,20.513,5509,0
DGRE.US,D,20131108,000000,20.381,20.497,20.366,20.497,24237,0
DGRE.US,D,20131111,000000,20.414,20.432,20.351,20.351,6138,0
DGRE.US,D,20131112,000000,20.396,20.396,20.041,20.041,10895,0
DGRE.US,D,20131113,000000,20.041,20.324,20.041,20.313,4173,0
DGRE.US,D,20131114,000000,20.618,20.67,20.381,20.67,16646,0
DGRE.US,D,20131115,000000,20.718,20.896,20.718,20.799,2695,0
DGRE.US,D,20131118,000000,20.941,21.01,20.896,20.896,1715,0
DGRE.US,D,20131119,000000,20.992,21.099,20.759,20.936,1696,0
DGRE.US,D,20131120,000000,20.817,20.896,20.414,20.414,11870,0
DGRE.US,D,20131121,000000,20.527,20.661,20.527,20.577,3059,0
DGRE.US,D,20131122,000000,20.603,20.618,20.603,20.618,2327,0
DGRE.US,D,20131125,000000,20.586,20.586,20.414,20.424,22766,0
DGRE.US,D,20131126,000000,20.324,20.448,20.195,20.448,6978,0
DGRE.US,D,20131127,000000,20.405,20.497,20.324,20.373,4039,0
DGRE.US,D,20131129,000000,20.527,20.527,20.527,20.527,490,0
DGRE.US,D,20131202,000000,20.475,20.475,20.17,20.17,10160,0
DGRE.US,D,20131203,000000,20.259,20.259,19.976,20.089,12242,0
DGRE.US,D,20131204,000000,19.956,20.097,19.728,20.082,6000,0
DGRE.US,D,20131205,000000,19.998,20.104,19.884,20.001,9659,0
DGRE.US,D,20131206,000000,20.162,20.414,20.162,20.414,3672,0
DGRE.US,D,20131209,000000,20.396,20.52,20.253,20.268,18971,0
DGRE.US,D,20131210,000000,20.448,20.483,20.316,20.483,5874,0
DGRE.US,D,20131211,000000,20.195,20.195,19.914,19.914,6000,0
DGRE.US,D,20131212,000000,19.852,20.061,19.819,19.993,18794,0
DGRE.US,D,20131213,000000,19.931,19.956,19.869,19.931,5266,0
DGRE.US,D,20131216,000000,19.984,20.12,19.948,20.023,38068,0
DGRE.US,D,20131217,000000,20.112,20.143,19.835,20.089,44674,0
DGRE.US,D,20131218,000000,20.143,20.603,19.991,20.448,14076,0
DGRE.US,D,20131219,000000,20.143,20.162,20.143,20.152,1592,0
DGRE.US,D,20131220,000000,20.014,20.112,19.931,19.931,13588,0
DGRE.US,D,20131223,000000,20.057,20.238,20.057,20.179,10281,0
DGRE.US,D,20131224,000000,20.202,20.295,20.202,20.295,1095,0
DGRE.US,D,20131226,000000,20.119,20.119,19.955,19.975,11105,0
DGRE.US,D,20131227,000000,20.073,20.073,20.041,20.065,7199,0
DGRE.US,D,20131230,000000,20.179,20.424,20.179,20.373,29043,0
DGRE.US,D,20131231,000000,20.449,20.476,20.424,20.466,14644,0
DGRE.US,D,20140102,000000,20.096,20.096,19.804,19.804,8158,0
DGRE.US,D,20140103,000000,19.804,19.81,19.636,19.687,61188,0
DGRE.US,D,20140106,000000,19.605,19.612,19.588,19.588,10493,0
DGRE.US,D,20140107,000000,19.667,19.67,19.522,19.559,35894,0
DGRE.US,D,20140108,000000,19.644,19.644,19.406,19.406,5738,0
DGRE.US,D,20140109,000000,19.48,19.48,19.111,19.262,14273,0
DGRE.US,D,20140110,000000,19.448,19.695,19.448,19.67,1952,0
DGRE.US,D,20140113,000000,19.965,19.965,19.735,19.735,976,0
DGRE.US,D,20140114,000000,19.598,19.867,19.598,19.867,371,0
DGRE.US,D,20140115,000000,19.975,19.975,19.713,19.825,9392,0
DGRE.US,D,20140116,000000,19.904,19.904,19.678,19.796,4782,0
DGRE.US,D,20140117,000000,19.653,19.834,19.653,19.721,6833,0
DGRE.US,D,20140121,000000,19.834,19.834,19.498,19.54,4516,0
DGRE.US,D,20140122,000000,19.713,19.876,19.695,19.876,14273,0
DGRE.US,D,20140123,000000,19.796,19.796,19.311,19.53,6224,0
DGRE.US,D,20140124,000000,19.284,19.284,18.916,19.03,27941,0
DGRE.US,D,20140127,000000,18.948,18.948,18.702,18.86,5002,0
DGRE.US,D,20140128,000000,18.852,18.852,18.763,18.763,2248,0
DGRE.US,D,20140129,000000,18.45,18.607,18.45,18.571,5365,0
DGRE.US,D,20140130,000000,18.784,18.784,18.556,18.625,16839,0
DGRE.US,D,20140131,000000,18.449,18.652,18.253,18.522,24053,0
DGRE.US,D,20140203,000000,18.548,18.548,18.038,18.038,9373,0
DGRE.US,D,20140204,000000,18.423,18.625,18.423,18.625,7291,0
DGRE.US,D,20140205,000000,18.531,18.531,18.45,18.505,963,0
DGRE.US,D,20140206,000000,18.965,19.006,18.843,18.981,5625,0
DGRE.US,D,20140207,000000,18.924,19.023,18.904,19.023,1047,0
DGRE.US,D,20140210,000000,18.932,18.932,18.72,18.72,3150,0
DGRE.US,D,20140211,000000,18.761,19.137,18.761,19.103,7016,0
DGRE.US,D,20140212,000000,19.067,19.137,18.874,18.898,6818,0
DGRE.US,D,20140213,000000,19.137,19.144,18.852,19.144,1379,0
DGRE.US,D,20140214,000000,19.302,19.397,19.302,19.397,7381,0
DGRE.US,D,20140218,000000,19.391,19.391,19.342,19.342,3398,0
DGRE.US,D,20140219,000000,19.238,19.252,19.169,19.169,4821,0
DGRE.US,D,20140220,000000,19.145,19.278,19.137,19.271,6905,0
DGRE.US,D,20140221,000000,19.238,19.238,19.228,19.228,733,0
DGRE.US,D,20140224,000000,19.279,19.464,19.263,19.464,3221,0
DGRE.US,D,20140225,000000,19.219,19.219,19.219,19.219,735,0
DGRE.US,D,20140226,000000,19.128,19.128,19.095,19.107,2089,0
DGRE.US,D,20140227,000000,19.212,19.253,19.103,19.253,6567,0
DGRE.US,D,20140228,000000,19.598,19.598,19.145,19.169,4364,0
DGRE.US,D,20140303,000000,18.916,19.023,18.852,18.869,17076,0
DGRE.US,D,20140304,000000,19.302,19.336,19.302,19.311,2657,0
DGRE.US,D,20140305,000000,19.472,19.521,19.447,19.472,4803,0
DGRE.US,D,20140306,000000,19.779,19.898,19.779,19.871,10551,0
DGRE.US,D,20140307,000000,19.753,19.76,19.547,19.547,2424,0
DGRE.US,D,20140310,000000,19.392,19.448,19.392,19.448,4790,0
DGRE.US,D,20140311,000000,19.609,19.609,19.48,19.506,3213,0
DGRE.US,D,20140312,000000,19.278,19.278,19.098,19.098,1223,0
DGRE.US,D,20140313,000000,19.128,19.128,18.852,18.906,32688,0
DGRE.US,D,20140314,000000,19.096,19.344,19.096,19.344,2412,0
DGRE.US,D,20140317,000000,19.54,19.571,19.411,19.448,39473,0
DGRE.US,D,20140318,000000,19.603,19.859,19.603,19.859,3146,0
DGRE.US,D,20140319,000000,19.54,19.713,19.506,19.506,944,0
DGRE.US,D,20140320,000000,19.375,19.375,19.354,19.354,2622,0
DGRE.US,D,20140321,000000,19.62,19.62,19.554,19.554,1538,0
DGRE.US,D,20140324,000000,19.453,19.655,19.453,19.453,1247,0
DGRE.US,D,20140325,000000,19.852,19.941,19.798,19.941,1283,0
DGRE.US,D,20140326,000000,20.068,20.068,19.986,19.992,2432,0
