<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGRS.US,D,20130729,000000,21.362,21.443,21.22,21.291,27070,0
DGRS.US,D,20130730,000000,21.401,21.418,21.281,21.353,28259,0
DGRS.US,D,20130731,000000,21.586,21.801,21.586,21.698,58712,0
DGRS.US,D,20130801,000000,21.995,22.155,21.905,22.155,105506,0
DGRS.US,D,20130802,000000,22.076,22.076,21.963,22.036,16895,0
DGRS.US,D,20130805,000000,22.076,22.112,21.956,22.112,116830,0
DGRS.US,D,20130806,000000,22.044,22.044,21.791,21.888,22218,0
DGRS.US,D,20130807,000000,21.714,21.737,21.644,21.705,6218,0
DGRS.US,D,20130808,000000,21.927,21.936,21.775,21.905,6933,0
DGRS.US,D,20130809,000000,21.827,21.859,21.775,21.81,2487,0
DGRS.US,D,20130812,000000,21.689,21.921,21.689,21.92,9203,0
DGRS.US,D,20130813,000000,21.936,21.995,21.76,21.985,9178,0
DGRS.US,D,20130814,000000,21.956,21.956,21.883,21.888,7770,0
DGRS.US,D,20130815,000000,21.86,21.86,21.401,21.443,16015,0
DGRS.US,D,20130816,000000,21.418,21.443,21.362,21.427,5637,0
DGRS.US,D,20130819,000000,21.377,21.418,21.193,21.193,5770,0
DGRS.US,D,20130820,000000,21.202,21.507,21.202,21.503,5059,0
DGRS.US,D,20130821,000000,21.452,21.545,21.238,21.346,13671,0
DGRS.US,D,20130822,000000,21.353,27.31,21.327,21.61,5819,0
DGRS.US,D,20130823,000000,21.635,21.663,21.578,21.663,4562,0
DGRS.US,D,20130826,000000,21.695,21.813,21.599,21.599,6652,0
DGRS.US,D,20130827,000000,21.702,21.702,21.071,21.099,9744,0
DGRS.US,D,20130828,000000,21.109,21.197,21.109,21.159,6820,0
DGRS.US,D,20130829,000000,21.109,21.39,21.109,21.277,5076,0
DGRS.US,D,20130830,000000,21.385,21.385,20.961,20.961,9206,0
DGRS.US,D,20130903,000000,21.415,22.263,21.009,21.117,4358,0
DGRS.US,D,20130904,000000,21.117,21.365,21.117,21.322,21222,0
DGRS.US,D,20130905,000000,21.332,21.438,21.332,21.428,8277,0
DGRS.US,D,20130906,000000,21.161,21.488,21.142,21.357,10626,0
DGRS.US,D,20130909,000000,21.415,21.694,21.415,21.668,9414,0
DGRS.US,D,20130910,000000,21.831,21.902,21.756,21.893,20175,0
DGRS.US,D,20130911,000000,21.86,21.952,21.844,21.844,16736,0
DGRS.US,D,20130912,000000,21.942,21.942,21.77,21.771,9834,0
DGRS.US,D,20130913,000000,21.787,21.871,21.787,21.871,1750,0
DGRS.US,D,20130916,000000,22.136,22.136,21.962,21.962,18584,0
DGRS.US,D,20130917,000000,22.002,22.136,22.002,22.136,10648,0
DGRS.US,D,20130918,000000,22.015,22.403,21.962,22.344,9809,0
DGRS.US,D,20130919,000000,22.388,22.388,22.195,22.263,56326,0
DGRS.US,D,20130920,000000,22.212,22.244,22.168,22.168,6160,0
DGRS.US,D,20130923,000000,22.131,22.131,22.028,22.045,912,0
DGRS.US,D,20130924,000000,22.053,22.332,22.053,22.23,4783,0
DGRS.US,D,20130925,000000,22.122,22.309,22.112,22.14,16214,0
DGRS.US,D,20130926,000000,22.23,22.339,22.149,22.29,12482,0
DGRS.US,D,20130927,000000,22.29,22.29,22.23,22.266,13479,0
DGRS.US,D,20130930,000000,21.957,22.353,21.957,22.3,4894,0
DGRS.US,D,20131001,000000,22.533,22.533,22.505,22.532,583,0
DGRS.US,D,20131002,000000,22.485,22.514,22.441,22.441,4900,0
DGRS.US,D,20131003,000000,22.467,22.467,22.084,22.28,5829,0
DGRS.US,D,20131004,000000,22.208,22.407,22.208,22.299,5137,0
DGRS.US,D,20131007,000000,22.149,22.149,22.036,22.069,8869,0
DGRS.US,D,20131008,000000,21.927,21.927,21.723,21.801,4900,0
