<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGRW.US,D,20130524,000000,21.15,21.314,21.15,21.268,73564,0
DGRW.US,D,20130528,000000,21.522,21.609,21.405,21.453,42262,0
DGRW.US,D,20130529,000000,21.314,21.35,21.204,21.29,69202,0
DGRW.US,D,20130530,000000,21.314,21.405,21.314,21.34,58681,0
DGRW.US,D,20130531,000000,21.395,21.395,21.09,21.09,34619,0
DGRW.US,D,20130603,000000,21.083,21.224,20.95,21.143,21060,0
DGRW.US,D,20130604,000000,21.22,21.29,21.016,21.122,37129,0
DGRW.US,D,20130605,000000,21.055,21.055,20.819,20.819,20784,0
DGRW.US,D,20130606,000000,20.811,20.932,20.698,20.932,79640,0
DGRW.US,D,20130607,000000,21.113,21.246,20.997,21.246,46001,0
DGRW.US,D,20130610,000000,21.29,21.29,21.186,21.204,43938,0
DGRW.US,D,20130611,000000,21.047,21.177,21.016,21.038,40575,0
DGRW.US,D,20130612,000000,21.186,21.186,20.872,20.901,29385,0
DGRW.US,D,20130613,000000,20.873,21.143,20.844,21.143,40668,0
DGRW.US,D,20130614,000000,21.104,21.181,20.988,21.038,25476,0
DGRW.US,D,20130617,000000,21.195,21.272,21.047,21.177,43968,0
DGRW.US,D,20130618,000000,21.195,21.376,21.195,21.323,77136,0
DGRW.US,D,20130619,000000,21.35,21.413,21.065,21.065,89192,0
DGRW.US,D,20130620,000000,20.864,20.924,20.514,20.571,95523,0
DGRW.US,D,20130621,000000,20.671,20.828,20.406,20.636,77720,0
DGRW.US,D,20130624,000000,20.431,20.557,20.263,20.434,52723,0
DGRW.US,D,20130625,000000,20.595,20.601,20.422,20.56,59790,0
DGRW.US,D,20130626,000000,20.476,20.791,20.476,20.757,93389,0
DGRW.US,D,20130627,000000,20.872,20.932,20.81,20.872,28720,0
DGRW.US,D,20130628,000000,20.847,21,20.794,20.812,48598,0
DGRW.US,D,20130701,000000,21.032,21.082,20.923,20.938,55325,0
DGRW.US,D,20130702,000000,21.082,21.085,20.765,20.876,40108,0
DGRW.US,D,20130703,000000,20.724,20.979,20.724,20.896,22010,0
DGRW.US,D,20130705,000000,21.054,21.121,20.888,21.121,38314,0
DGRW.US,D,20130708,000000,21.237,21.255,21.15,21.194,84030,0
DGRW.US,D,20130709,000000,21.376,21.421,21.302,21.368,47884,0
DGRW.US,D,20130710,000000,21.368,21.43,21.314,21.331,110639,0
DGRW.US,D,20130711,000000,21.655,21.709,21.591,21.693,37227,0
DGRW.US,D,20130712,000000,21.676,21.822,21.618,21.676,34549,0
DGRW.US,D,20130715,000000,21.723,21.769,21.674,21.732,48925,0
DGRW.US,D,20130716,000000,21.655,21.684,21.601,21.648,61478,0
DGRW.US,D,20130717,000000,21.723,21.732,21.601,21.647,143552,0
DGRW.US,D,20130718,000000,21.723,21.793,21.676,21.741,38388,0
DGRW.US,D,20130719,000000,21.869,21.869,21.601,21.693,12685,0
DGRW.US,D,20130722,000000,21.722,21.77,21.665,21.669,56900,0
DGRW.US,D,20130723,000000,21.748,21.83,21.644,21.698,49678,0
DGRW.US,D,20130724,000000,21.791,21.81,21.59,21.638,49493,0
DGRW.US,D,20130725,000000,21.607,21.683,21.535,21.675,53717,0
DGRW.US,D,20130726,000000,21.636,21.683,21.479,21.675,35678,0
DGRW.US,D,20130729,000000,21.661,21.692,21.554,21.636,32364,0
DGRW.US,D,20130730,000000,21.722,21.82,21.661,21.714,76776,0
DGRW.US,D,20130731,000000,21.748,21.849,21.683,21.683,79722,0
DGRW.US,D,20130801,000000,21.928,22.002,21.874,21.977,163767,0
DGRW.US,D,20130802,000000,21.933,22.02,21.883,22.004,44443,0
DGRW.US,D,20130805,000000,21.994,22.048,21.969,22.012,102819,0
DGRW.US,D,20130806,000000,24.641,24.641,21.824,21.876,51830,0
DGRW.US,D,20130807,000000,21.74,21.867,21.716,21.84,44489,0
DGRW.US,D,20130808,000000,22.002,22.002,21.82,21.933,24493,0
DGRW.US,D,20130809,000000,21.943,21.961,21.785,21.846,29404,0
DGRW.US,D,20130812,000000,21.849,21.909,21.785,21.883,61109,0
DGRW.US,D,20130813,000000,21.919,21.969,21.749,21.933,54422,0
DGRW.US,D,20130814,000000,21.909,21.933,21.823,21.84,66787,0
DGRW.US,D,20130815,000000,21.675,21.683,21.469,21.52,102665,0
DGRW.US,D,20130816,000000,21.52,21.544,21.411,21.46,54902,0
DGRW.US,D,20130819,000000,21.479,21.535,21.392,21.392,44399,0
DGRW.US,D,20130820,000000,21.411,21.527,21.338,21.45,46841,0
DGRW.US,D,20130821,000000,21.419,21.477,21.278,21.322,27202,0
DGRW.US,D,20130822,000000,21.411,21.669,21.401,21.496,26681,0
DGRW.US,D,20130823,000000,21.573,21.599,21.494,21.599,20336,0
DGRW.US,D,20130826,000000,21.634,21.682,21.522,21.525,43325,0
DGRW.US,D,20130827,000000,21.345,21.345,21.154,21.18,55116,0
DGRW.US,D,20130828,000000,21.163,21.276,21.163,21.207,82646,0
DGRW.US,D,20130829,000000,21.172,21.345,21.172,21.26,32604,0
DGRW.US,D,20130830,000000,21.325,21.325,21.146,21.195,16701,0
