<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMXF.US,D,20200619,000000,50.569,50.657,50.51,50.657,419,0
DMXF.US,D,20200625,000000,50.747,51.075,50.747,51.075,576,0
DMXF.US,D,20200626,000000,50.876,50.876,50.435,50.435,163,0
DMXF.US,D,20200702,000000,51.745,51.745,51.442,51.442,281,0
DMXF.US,D,20200708,000000,51.972,52.091,51.962,52.091,4685,0
DMXF.US,D,20200713,000000,52.663,52.663,52.663,52.663,1588,0
DMXF.US,D,20200714,000000,52.011,52.418,52.011,52.418,1438,0
DMXF.US,D,20200715,000000,53.029,53.039,53.007,53.007,885,0
DMXF.US,D,20200717,000000,52.91,52.91,52.845,52.845,178,0
DMXF.US,D,20200721,000000,53.582,53.631,53.494,53.631,1165,0
DMXF.US,D,20200722,000000,53.325,53.563,53.325,53.563,687,0
DMXF.US,D,20200723,000000,53.068,53.137,53.068,53.137,114,0
DMXF.US,D,20200724,000000,52.871,52.871,52.797,52.797,120,0
DMXF.US,D,20200727,000000,53.375,53.691,53.375,53.611,969,0
DMXF.US,D,20200728,000000,53.394,53.571,53.29,53.29,4249,0
DMXF.US,D,20200730,000000,52.545,52.545,52.545,52.545,405,0
DMXF.US,D,20200803,000000,52.842,52.969,52.842,52.931,853,0
DMXF.US,D,20200804,000000,52.911,53.168,52.911,53.168,381,0
DMXF.US,D,20200807,000000,53.236,53.462,53.236,53.462,678,0
DMXF.US,D,20200811,000000,54.333,54.353,53.732,53.732,1220,0
DMXF.US,D,20200812,000000,54.639,55.052,54.639,54.965,1689,0
DMXF.US,D,20200813,000000,54.767,54.777,54.715,54.715,285,0
DMXF.US,D,20200817,000000,54.679,54.679,54.679,54.679,197,0
DMXF.US,D,20200819,000000,55.083,55.083,54.682,54.682,439,0
DMXF.US,D,20200820,000000,54.371,54.536,54.368,54.536,207,0
DMXF.US,D,20200821,000000,54.007,54.126,54.007,54.126,1120,0
DMXF.US,D,20200824,000000,55.044,55.044,55.044,55.044,245,0
DMXF.US,D,20200825,000000,55.015,55.015,54.99,54.995,906,0
DMXF.US,D,20200826,000000,55.251,55.606,55.251,55.55,387,0
DMXF.US,D,20200827,000000,55.113,55.113,55.113,55.113,558,0
DMXF.US,D,20200828,000000,55.152,55.242,55.152,55.242,648,0
DMXF.US,D,20200831,000000,55.351,55.351,55.046,55.046,1505,0
DMXF.US,D,20200902,000000,55.695,55.868,55.695,55.868,134,0
DMXF.US,D,20200903,000000,54.659,54.659,54.348,54.465,999,0
DMXF.US,D,20200904,000000,54.689,54.689,54.689,54.689,553,0
DMXF.US,D,20200908,000000,53.75,54.135,53.75,53.967,2626,0
DMXF.US,D,20200910,000000,54.461,54.461,54.461,54.461,236,0
DMXF.US,D,20200911,000000,54.846,55.133,54.846,54.877,2200,0
DMXF.US,D,20200914,000000,55.359,55.359,55.251,55.251,460,0
DMXF.US,D,20200917,000000,55.597,55.664,55.597,55.664,420,0
DMXF.US,D,20200921,000000,53.73,53.73,53.73,53.73,256,0
DMXF.US,D,20200922,000000,53.888,54.136,53.888,54.136,217,0
DMXF.US,D,20200923,000000,54.422,54.422,53.861,53.861,704,0
DMXF.US,D,20200925,000000,53.138,53.866,53.138,53.866,414,0
DMXF.US,D,20200928,000000,54.639,54.767,54.639,54.767,656,0
DMXF.US,D,20200929,000000,55.025,55.025,54.767,54.767,2642,0
DMXF.US,D,20200930,000000,54.629,54.629,54.54,54.54,624,0
DMXF.US,D,20201001,000000,54.965,54.965,54.965,54.965,611,0
DMXF.US,D,20201002,000000,54.708,54.708,54.708,54.708,461,0
DMXF.US,D,20201005,000000,55.341,55.341,55.244,55.255,1947,0
DMXF.US,D,20201006,000000,55.745,55.745,55.015,55.015,527,0
DMXF.US,D,20201007,000000,55.379,55.528,55.289,55.417,518636,0
DMXF.US,D,20201008,000000,55.735,55.824,55.685,55.803,22805,0
DMXF.US,D,20201009,000000,55.814,56.177,55.814,56.071,21997,0
DMXF.US,D,20201012,000000,56.437,56.594,56.437,56.47,12741,0
DMXF.US,D,20201013,000000,56.19,56.19,55.824,56.004,16575,0
DMXF.US,D,20201014,000000,56.193,56.357,55.975,55.99,24785,0
DMXF.US,D,20201015,000000,55.034,55.359,54.916,55.249,12496,0
DMXF.US,D,20201016,000000,55.508,55.666,55.399,55.471,7537,0
DMXF.US,D,20201019,000000,55.864,55.884,55.224,55.224,12919,0
DMXF.US,D,20201020,000000,55.379,55.859,55.379,55.546,7581,0
DMXF.US,D,20201021,000000,55.794,55.794,55.331,55.331,16416,0
DMXF.US,D,20201022,000000,54.925,55.399,54.925,55.297,5371,0
DMXF.US,D,20201023,000000,55.548,55.558,55.291,55.512,11902,0
DMXF.US,D,20201026,000000,54.619,54.619,54.214,54.381,3447,0
DMXF.US,D,20201027,000000,54.53,54.57,54.136,54.136,6216,0
DMXF.US,D,20201028,000000,53.138,53.138,52.792,53.108,6831,0
DMXF.US,D,20201029,000000,53.086,53.138,52.819,53.051,4088,0
DMXF.US,D,20201030,000000,52.782,52.782,52.375,52.625,5846,0
DMXF.US,D,20201102,000000,53.177,53.226,52.871,53.155,7155,0
DMXF.US,D,20201103,000000,54.164,54.738,54.164,54.738,3652,0
DMXF.US,D,20201104,000000,54.975,55.508,54.975,55.068,5501,0
DMXF.US,D,20201105,000000,56.476,56.792,56.377,56.678,9965,0
DMXF.US,D,20201106,000000,56.743,57.019,56.726,56.92,10778,0
DMXF.US,D,20201109,000000,58.827,58.871,58.176,58.176,6936,0
DMXF.US,D,20201110,000000,58.323,58.323,58.111,58.111,7350,0
DMXF.US,D,20201111,000000,58.59,58.59,58.403,58.406,5749,0
DMXF.US,D,20201112,000000,58.333,58.401,57.802,57.802,6379,0
DMXF.US,D,20201113,000000,58.227,58.787,58.227,58.787,4564,0
DMXF.US,D,20201116,000000,59.252,59.259,59.044,59.153,5901,0
DMXF.US,D,20201117,000000,59.192,59.39,59.153,59.153,5900,0
DMXF.US,D,20201118,000000,59.31,59.467,59.024,59.044,9583,0
DMXF.US,D,20201119,000000,58.97,59.242,58.946,59.148,4582,0
DMXF.US,D,20201120,000000,59.255,59.578,59.255,59.518,8215,0
DMXF.US,D,20201123,000000,59.636,59.636,59.202,59.267,5080,0
DMXF.US,D,20201124,000000,59.651,60.002,59.651,59.972,12798,0
DMXF.US,D,20201125,000000,59.616,59.952,59.568,59.904,7048,0
DMXF.US,D,20201127,000000,60.437,60.506,60.417,60.417,3865,0
DMXF.US,D,20201130,000000,60.288,60.305,59.378,59.378,10479,0
DMXF.US,D,20201201,000000,60.2,60.773,60.2,60.594,6255,0
DMXF.US,D,20201202,000000,60.477,60.515,60.37,60.382,5864,0
DMXF.US,D,20201203,000000,60.753,60.773,60.555,60.555,19912,0
DMXF.US,D,20201204,000000,60.831,60.831,60.674,60.699,5883,0
DMXF.US,D,20201207,000000,60.467,60.575,60.348,60.377,13078,0
DMXF.US,D,20201208,000000,60.427,60.723,60.4,60.545,13012,0
DMXF.US,D,20201209,000000,60.812,60.812,60.368,60.585,8582,0
DMXF.US,D,20201210,000000,60.298,60.945,60.298,60.743,7718,0
DMXF.US,D,20201211,000000,60.338,60.674,60.338,60.664,5415,0
DMXF.US,D,20201214,000000,61.011,61.11,60.753,60.768,8681,0
DMXF.US,D,20201215,000000,60.991,61.407,60.991,61.407,5754,0
DMXF.US,D,20201216,000000,61.506,61.692,61.427,61.692,4343,0
DMXF.US,D,20201217,000000,62.299,62.299,62.152,62.152,4539,0
DMXF.US,D,20201218,000000,62.041,62.061,61.784,62.002,8073,0
DMXF.US,D,20201221,000000,60.624,61.437,60.436,61.276,9252,0
DMXF.US,D,20201222,000000,61.1,61.457,60.842,61.457,6085,0
DMXF.US,D,20201223,000000,61.714,61.843,61.575,61.833,7275,0
DMXF.US,D,20201224,000000,61.833,61.853,61.681,61.8,5894,0
DMXF.US,D,20201228,000000,62.467,62.695,62.12,62.636,4043,0
DMXF.US,D,20201229,000000,63.131,63.131,62.765,62.933,16426,0
DMXF.US,D,20201230,000000,63.25,63.379,62.992,62.992,8028,0
DMXF.US,D,20201231,000000,62.973,62.973,62.438,62.636,17617,0
DMXF.US,D,20210104,000000,63.518,63.547,62.717,62.864,6469,0
DMXF.US,D,20210105,000000,63.052,63.488,62.973,63.282,6886,0
DMXF.US,D,20210106,000000,63.319,64.073,63.319,63.826,9654,0
DMXF.US,D,20210107,000000,63.666,64.023,63.58,64.023,8011,0
DMXF.US,D,20210108,000000,64.409,64.488,63.983,64.448,7033,0
DMXF.US,D,20210111,000000,63.597,63.954,63.597,63.954,12834,0
DMXF.US,D,20210112,000000,63.696,64.043,63.597,64.043,9388,0
DMXF.US,D,20210113,000000,63.993,64.132,63.934,64.013,8053,0
DMXF.US,D,20210114,000000,64.261,64.865,64.261,64.865,30032,0
DMXF.US,D,20210115,000000,63.736,63.775,63.3,63.775,10091,0
DMXF.US,D,20210119,000000,64.112,64.723,63.835,64.08,8369,0
DMXF.US,D,20210120,000000,64.162,64.563,64.134,64.548,11481,0
DMXF.US,D,20210121,000000,64.548,64.806,64.178,64.659,15960,0
DMXF.US,D,20210122,000000,64.003,64.35,64.003,64.309,18913,0
DMXF.US,D,20210125,000000,63.884,64.172,63.607,64.172,12493,0
DMXF.US,D,20210126,000000,64.35,64.399,64.136,64.329,10661,0
DMXF.US,D,20210127,000000,63.171,63.419,62.725,62.853,11432,0
DMXF.US,D,20210128,000000,62.943,63.537,62.943,63.448,11478,0
DMXF.US,D,20210129,000000,62.556,62.665,61.704,62.12,19598,0
DMXF.US,D,20210201,000000,62.854,62.893,62.596,62.834,12992,0
DMXF.US,D,20210202,000000,63.141,63.468,63.141,63.468,14572,0
DMXF.US,D,20210203,000000,63.587,63.666,63.465,63.593,9249,0
DMXF.US,D,20210204,000000,63.379,63.597,63.379,63.539,12131,0
DMXF.US,D,20210205,000000,63.77,64.167,63.77,64.046,52936,0
DMXF.US,D,20210208,000000,64.657,64.715,64.429,64.516,11671,0
DMXF.US,D,20210209,000000,64.895,65.064,64.786,65.064,8993,0
DMXF.US,D,20210210,000000,65.074,65.103,64.608,64.669,8991,0
DMXF.US,D,20210211,000000,65.252,65.262,65.016,65.212,14796,0
DMXF.US,D,20210212,000000,65.445,65.765,65.445,65.765,11047,0
DMXF.US,D,20210216,000000,66.302,66.431,66.089,66.183,16619,0
DMXF.US,D,20210217,000000,65.609,65.688,65.301,65.688,17438,0
DMXF.US,D,20210218,000000,65.093,65.48,64.937,65.303,10553,0
DMXF.US,D,20210219,000000,65.559,65.817,65.485,65.588,19804,0
DMXF.US,D,20210222,000000,65.301,65.609,65.194,65.194,20927,0
DMXF.US,D,20210223,000000,64.974,65.381,64.855,65.381,14625,0
DMXF.US,D,20210224,000000,64.598,65.153,64.548,65.135,12235,0
DMXF.US,D,20210225,000000,65.232,65.232,63.964,64.142,22157,0
DMXF.US,D,20210226,000000,63.587,63.617,63.141,63.23,17214,0
DMXF.US,D,20210301,000000,63.954,64.469,63.954,64.4,15744,0
DMXF.US,D,20210302,000000,64.3,64.523,64.013,64.201,30277,0
DMXF.US,D,20210303,000000,63.924,64.092,63.587,63.627,15771,0
DMXF.US,D,20210304,000000,63.498,63.665,62.616,62.616,17658,0
DMXF.US,D,20210305,000000,62.556,63.022,62.22,63.022,12690,0
DMXF.US,D,20210308,000000,62.656,64.449,62.316,62.725,8956,0
DMXF.US,D,20210309,000000,63.419,63.736,63.419,63.736,11734,0
DMXF.US,D,20210310,000000,64.013,64.013,63.706,63.954,10431,0
DMXF.US,D,20210311,000000,64.092,64.39,64.057,64.33,14232,0
DMXF.US,D,20210312,000000,64.013,64.687,64.013,64.42,20369,0
DMXF.US,D,20210315,000000,64.409,64.568,64.201,64.488,17010,0
DMXF.US,D,20210316,000000,64.816,64.836,64.616,64.692,16066,0
DMXF.US,D,20210317,000000,64.727,64.994,64.375,64.915,11026,0
DMXF.US,D,20210318,000000,64.707,65.123,64.481,64.525,10877,0
DMXF.US,D,20210319,000000,64.479,64.756,64.162,64.577,14998,0
DMXF.US,D,20210322,000000,64.518,64.816,64.518,64.562,12838,0
DMXF.US,D,20210323,000000,64.31,64.39,63.785,63.874,42671,0
DMXF.US,D,20210324,000000,63.666,63.855,63.487,63.487,14857,0
DMXF.US,D,20210325,000000,63.577,64.033,63.379,63.98,17908,0
DMXF.US,D,20210326,000000,64.32,64.868,64.32,64.868,10640,0
DMXF.US,D,20210329,000000,64.608,64.717,64.342,64.603,17272,0
DMXF.US,D,20210330,000000,64.32,64.598,64.32,64.429,32371,0
DMXF.US,D,20210331,000000,64.375,64.647,64.317,64.317,17173,0
DMXF.US,D,20210401,000000,64.776,65.292,64.667,65.292,14914,0
