<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRIV.US,D,20180418,000000,14.629,14.658,14.553,14.609,89852,0
DRIV.US,D,20180419,000000,14.601,14.601,14.438,14.456,857138,0
DRIV.US,D,20180420,000000,14.438,14.438,14.271,14.302,75667,0
DRIV.US,D,20180423,000000,14.333,14.333,14.143,14.162,14900,0
DRIV.US,D,20180424,000000,14.266,14.295,13.998,14.008,10068,0
DRIV.US,D,20180425,000000,13.988,14.037,13.884,13.99,8775,0
DRIV.US,D,20180426,000000,14.172,14.237,14.086,14.237,5270,0
DRIV.US,D,20180427,000000,14.295,14.295,14.133,14.133,5297,0
DRIV.US,D,20180430,000000,14.286,14.286,14.066,14.076,10385,0
DRIV.US,D,20180501,000000,13.979,14.123,13.961,14.123,12784,0
DRIV.US,D,20180502,000000,14.191,14.218,14.114,14.114,12997,0
DRIV.US,D,20180503,000000,13.988,14.172,13.922,14.138,13050,0
DRIV.US,D,20180504,000000,14.163,14.331,14.163,14.331,5401,0
DRIV.US,D,20180507,000000,14.381,14.437,14.353,14.362,13700,0
DRIV.US,D,20180508,000000,14.325,14.381,14.325,14.33,11517,0
DRIV.US,D,20180509,000000,14.448,14.494,14.372,14.478,10740,0
DRIV.US,D,20180510,000000,14.724,14.724,14.563,14.669,21566,0
DRIV.US,D,20180511,000000,14.695,14.743,14.65,14.673,9619,0
DRIV.US,D,20180514,000000,14.772,14.805,14.734,14.734,35154,0
DRIV.US,D,20180515,000000,14.609,14.609,14.537,14.571,6908,0
DRIV.US,D,20180516,000000,14.714,14.755,14.654,14.741,5991,0
DRIV.US,D,20180517,000000,14.762,14.818,14.669,14.692,9062,0
DRIV.US,D,20180518,000000,14.668,14.7,14.648,14.663,12356,0
DRIV.US,D,20180521,000000,14.791,14.801,14.724,14.724,9533,0
DRIV.US,D,20180522,000000,14.876,14.876,14.772,14.772,26480,0
DRIV.US,D,20180523,000000,14.639,14.668,14.543,14.668,17772,0
DRIV.US,D,20180524,000000,14.629,14.629,14.495,14.608,13275,0
DRIV.US,D,20180525,000000,14.514,14.591,14.514,14.567,5172,0
DRIV.US,D,20180529,000000,14.381,14.475,14.31,14.352,14235,0
DRIV.US,D,20180530,000000,14.467,14.504,14.424,14.477,10895,0
DRIV.US,D,20180531,000000,14.609,14.609,14.419,14.419,18865,0
DRIV.US,D,20180601,000000,14.591,14.652,14.591,14.648,8692,0
DRIV.US,D,20180604,000000,14.734,14.781,14.729,14.781,8982,0
DRIV.US,D,20180605,000000,14.827,14.846,14.786,14.846,5260,0
DRIV.US,D,20180606,000000,14.972,15.001,14.866,14.982,12904,0
DRIV.US,D,20180607,000000,15.032,15.047,14.895,14.952,12830,0
DRIV.US,D,20180608,000000,14.895,14.895,14.856,14.894,9857,0
DRIV.US,D,20180611,000000,14.905,14.962,14.885,14.933,27136,0
DRIV.US,D,20180612,000000,14.933,14.933,14.82,14.837,9424,0
DRIV.US,D,20180613,000000,14.831,14.905,14.831,14.866,4775,0
DRIV.US,D,20180614,000000,14.867,14.895,14.837,14.846,12151,0
DRIV.US,D,20180615,000000,14.781,14.781,14.695,14.734,13317,0
DRIV.US,D,20180618,000000,14.668,14.734,14.579,14.724,12769,0
DRIV.US,D,20180619,000000,14.543,14.543,14.316,14.495,10972,0
DRIV.US,D,20180620,000000,14.534,14.543,14.475,14.524,16199,0
DRIV.US,D,20180621,000000,14.553,14.553,14.305,14.305,7205,0
DRIV.US,D,20180622,000000,14.325,14.352,14.24,14.3,13826,0
DRIV.US,D,20180625,000000,14.153,14.153,13.828,13.913,12272,0
DRIV.US,D,20180626,000000,14.008,14.065,13.95,14.017,2622,0
DRIV.US,D,20180627,000000,14.056,14.123,13.904,13.913,17127,0
DRIV.US,D,20180628,000000,13.761,13.77,13.685,13.723,2055,0
DRIV.US,D,20180629,000000,13.913,13.932,13.838,13.838,5781,0
DRIV.US,D,20180702,000000,13.723,13.775,13.684,13.775,7802,0
DRIV.US,D,20180703,000000,13.82,13.827,13.704,13.704,3427,0
DRIV.US,D,20180705,000000,13.903,13.903,13.884,13.884,821,0
DRIV.US,D,20180706,000000,13.922,14.047,13.922,14.017,4605,0
DRIV.US,D,20180709,000000,14.153,14.18,14.09,14.18,6141,0
DRIV.US,D,20180710,000000,14.218,14.276,14.162,14.276,7875,0
DRIV.US,D,20180711,000000,14.104,14.104,13.979,13.988,4013,0
DRIV.US,D,20180712,000000,14.114,14.153,14.027,14.14,1506,0
DRIV.US,D,20180713,000000,14.162,14.18,14.104,14.153,4077,0
DRIV.US,D,20180716,000000,14.153,14.153,14.067,14.067,9154,0
DRIV.US,D,20180717,000000,14.076,14.236,14.056,14.199,5286,0
DRIV.US,D,20180718,000000,14.266,14.286,14.162,14.276,16821,0
DRIV.US,D,20180719,000000,14.305,14.305,14.124,14.172,5624,0
DRIV.US,D,20180720,000000,14.114,14.179,14.104,14.104,3262,0
DRIV.US,D,20180723,000000,14.086,14.104,13.972,14.069,3833,0
DRIV.US,D,20180724,000000,14.295,14.309,14.16,14.181,4236,0
DRIV.US,D,20180725,000000,14.143,14.143,13.95,14.108,5220,0
DRIV.US,D,20180726,000000,14.237,14.295,14.237,14.276,2367,0
DRIV.US,D,20180727,000000,14.352,14.352,14.153,14.173,5693,0
DRIV.US,D,20180730,000000,14.162,14.182,14.094,14.094,5590,0
DRIV.US,D,20180731,000000,14.153,14.162,14.143,14.143,1081,0
DRIV.US,D,20180801,000000,14.133,14.133,14.001,14.032,2469,0
DRIV.US,D,20180802,000000,13.988,14.094,13.933,14.094,8710,0
DRIV.US,D,20180803,000000,14.143,14.143,14.094,14.123,873,0
DRIV.US,D,20180806,000000,14.143,14.162,13.974,14.162,1915,0
DRIV.US,D,20180807,000000,14.191,14.285,14.191,14.256,1328,0
DRIV.US,D,20180808,000000,14.266,14.276,14.199,14.248,3021,0
DRIV.US,D,20180809,000000,14.247,14.257,14.182,14.191,1047,0
DRIV.US,D,20180810,000000,13.951,13.971,13.918,13.918,1305,0
DRIV.US,D,20180813,000000,13.913,13.918,13.789,13.809,9192,0
DRIV.US,D,20180814,000000,13.828,13.893,13.828,13.892,1835,0
DRIV.US,D,20180815,000000,13.77,13.77,13.495,13.608,3460,0
DRIV.US,D,20180816,000000,13.694,13.761,13.674,13.674,2306,0
DRIV.US,D,20180817,000000,13.608,13.742,13.608,13.713,6532,0
DRIV.US,D,20180820,000000,13.723,13.856,13.723,13.828,7551,0
DRIV.US,D,20180821,000000,13.922,14.008,13.922,13.961,2250,0
DRIV.US,D,20180822,000000,13.884,13.979,13.884,13.922,1715,0
DRIV.US,D,20180823,000000,13.922,13.922,13.875,13.875,2609,0
DRIV.US,D,20180824,000000,13.993,14.037,13.993,14.037,5139,0
DRIV.US,D,20180827,000000,14.076,14.351,14.076,14.247,3721,0
DRIV.US,D,20180828,000000,14.325,14.343,14.29,14.315,3210,0
DRIV.US,D,20180829,000000,14.352,14.381,14.276,14.343,10859,0
DRIV.US,D,20180830,000000,14.266,14.266,14.167,14.218,6150,0
DRIV.US,D,20180831,000000,14.162,14.191,14.094,14.136,3111,0
DRIV.US,D,20180904,000000,14.047,14.076,14.037,14.06,2826,0
DRIV.US,D,20180905,000000,13.913,13.971,13.906,13.951,4350,0
DRIV.US,D,20180906,000000,13.951,13.951,13.839,13.866,4976,0
DRIV.US,D,20180907,000000,13.741,13.8,13.741,13.745,3416,0
DRIV.US,D,20180910,000000,13.838,13.838,13.775,13.808,3681,0
DRIV.US,D,20180911,000000,13.694,13.762,13.636,13.733,7269,0
DRIV.US,D,20180912,000000,13.655,13.748,13.634,13.748,3645,0
DRIV.US,D,20180913,000000,13.866,13.979,13.866,13.932,3584,0
DRIV.US,D,20180914,000000,13.951,14.018,13.951,13.989,3123,0
DRIV.US,D,20180917,000000,14.027,14.027,13.951,13.951,2638,0
DRIV.US,D,20180918,000000,14.017,14.056,13.988,13.993,2239,0
DRIV.US,D,20180919,000000,14.037,14.124,14.037,14.124,2270,0
DRIV.US,D,20180920,000000,14.227,14.352,14.227,14.315,8609,0
DRIV.US,D,20180921,000000,14.391,14.391,14.333,14.343,2211,0
DRIV.US,D,20180924,000000,14.286,14.286,14.218,14.218,2661,0
DRIV.US,D,20180925,000000,14.276,14.276,14.121,14.153,5103,0
DRIV.US,D,20180926,000000,14.123,14.182,14.094,14.094,6518,0
DRIV.US,D,20180927,000000,14.172,14.172,14.094,14.094,3540,0
DRIV.US,D,20180928,000000,14.036,14.104,14.036,14.043,2149,0
DRIV.US,D,20181001,000000,14.153,14.209,14.153,14.162,3437,0
DRIV.US,D,20181002,000000,14.047,14.162,14.047,14.153,1776,0
DRIV.US,D,20181003,000000,14.149,14.153,14.123,14.123,3225,0
DRIV.US,D,20181004,000000,13.989,13.989,13.869,13.869,1543,0
DRIV.US,D,20181005,000000,13.828,13.828,13.617,13.674,4042,0
DRIV.US,D,20181008,000000,13.617,13.655,13.508,13.596,6307,0
DRIV.US,D,20181009,000000,13.514,13.584,13.465,13.465,6336,0
DRIV.US,D,20181010,000000,13.532,13.532,13.036,13.06,7561,0
DRIV.US,D,20181011,000000,12.998,13.13,12.784,12.875,8364,0
DRIV.US,D,20181012,000000,13.046,13.065,12.845,12.864,2689,0
DRIV.US,D,20181015,000000,12.988,12.988,12.855,12.855,30829,0
DRIV.US,D,20181016,000000,12.959,13.113,12.959,13.106,68031,0
DRIV.US,D,20181017,000000,13.247,13.247,13.065,13.074,3855,0
DRIV.US,D,20181018,000000,13.065,13.065,12.758,12.826,10871,0
DRIV.US,D,20181019,000000,12.892,12.892,12.77,12.77,1138,0
DRIV.US,D,20181022,000000,12.731,12.826,12.731,12.816,5907,0
DRIV.US,D,20181023,000000,12.606,12.779,12.502,12.712,29991,0
DRIV.US,D,20181024,000000,12.673,12.673,12.259,12.269,23318,0
DRIV.US,D,20181025,000000,12.226,12.407,12.226,12.407,56810,0
DRIV.US,D,20181026,000000,12.083,12.416,12.035,12.235,86825,0
DRIV.US,D,20181029,000000,12.568,12.568,12.207,12.207,7053,0
DRIV.US,D,20181030,000000,12.193,12.33,12.193,12.266,10347,0
DRIV.US,D,20181031,000000,12.626,12.635,12.581,12.626,2478,0
DRIV.US,D,20181101,000000,12.683,12.907,12.683,12.874,2919,0
DRIV.US,D,20181102,000000,13.008,13.008,12.779,12.841,3460,0
DRIV.US,D,20181105,000000,12.875,12.875,12.74,12.74,1245,0
DRIV.US,D,20181106,000000,12.875,12.928,12.875,12.928,1657,0
DRIV.US,D,20181107,000000,12.969,13.074,12.969,13.074,2999,0
DRIV.US,D,20181108,000000,13.008,13.026,12.998,12.998,3802,0
DRIV.US,D,20181109,000000,12.912,12.912,12.74,12.74,2374,0
DRIV.US,D,20181112,000000,12.645,12.683,12.436,12.455,11174,0
DRIV.US,D,20181113,000000,12.464,12.498,12.464,12.483,1340,0
DRIV.US,D,20181114,000000,12.597,12.603,12.449,12.449,4566,0
DRIV.US,D,20181115,000000,12.445,12.635,12.445,12.577,1823,0
DRIV.US,D,20181116,000000,12.594,12.606,12.586,12.606,1115,0
DRIV.US,D,20181119,000000,12.616,12.616,12.388,12.388,9683,0
DRIV.US,D,20181120,000000,12.159,12.254,12.054,12.101,6788,0
DRIV.US,D,20181121,000000,12.235,12.333,12.235,12.332,1748,0
DRIV.US,D,20181126,000000,12.388,12.408,12.388,12.408,3485,0
DRIV.US,D,20181127,000000,12.388,12.388,12.358,12.378,1264,0
DRIV.US,D,20181128,000000,12.381,12.567,12.311,12.567,2395,0
DRIV.US,D,20181129,000000,12.548,12.596,12.53,12.596,1394,0
DRIV.US,D,20181130,000000,12.548,12.635,12.488,12.635,1706,0
DRIV.US,D,20181203,000000,13.026,13.026,12.884,12.912,2342,0
