<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVLU.US,D,20180913,000000,18.889,18.889,18.889,18.889,426323,0
DVLU.US,D,20180914,000000,18.946,18.987,18.928,18.987,45405,0
DVLU.US,D,20180917,000000,19.035,19.035,18.832,18.85,2107,0
DVLU.US,D,20180918,000000,18.899,18.899,18.872,18.88,2530,0
DVLU.US,D,20180919,000000,18.958,18.958,18.899,18.899,942,0
DVLU.US,D,20180920,000000,19.054,19.063,19.016,19.063,10888,0
DVLU.US,D,20180921,000000,19.05,19.072,19.024,19.024,4001,0
DVLU.US,D,20180924,000000,18.939,18.939,18.928,18.928,556,0
DVLU.US,D,20180925,000000,19.016,19.016,18.918,18.923,5265,0
DVLU.US,D,20180926,000000,18.876,18.918,18.822,18.88,19182,0
DVLU.US,D,20180927,000000,18.805,18.823,18.718,18.718,143677,0
DVLU.US,D,20180928,000000,18.679,18.717,18.679,18.679,4785,0
DVLU.US,D,20181001,000000,18.694,18.694,18.623,18.623,786,0
DVLU.US,D,20181002,000000,18.698,18.698,18.545,18.565,15053,0
DVLU.US,D,20181003,000000,18.85,18.85,18.63,18.661,6382,0
DVLU.US,D,20181004,000000,18.708,18.708,18.46,18.46,368,0
DVLU.US,D,20181005,000000,18.383,18.383,18.383,18.383,217,0
DVLU.US,D,20181008,000000,18.364,18.364,18.364,18.364,104,0
DVLU.US,D,20181009,000000,18.412,18.412,18.386,18.386,1812,0
DVLU.US,D,20181010,000000,18.165,18.165,17.986,17.986,942,0
DVLU.US,D,20181011,000000,17.705,17.705,17.523,17.523,1024,0
DVLU.US,D,20181012,000000,17.514,17.514,17.334,17.334,577,0
DVLU.US,D,20181015,000000,17.533,17.582,17.533,17.582,1215,0
DVLU.US,D,20181016,000000,19.108,19.108,17.475,17.685,1850,0
DVLU.US,D,20181017,000000,18.155,18.155,17.725,17.725,3427,0
DVLU.US,D,20181018,000000,18.155,18.155,17.475,17.533,4761,0
DVLU.US,D,20181019,000000,17.601,17.601,17.465,17.465,3748,0
DVLU.US,D,20181022,000000,17.362,17.362,17.324,17.324,2153,0
DVLU.US,D,20181023,000000,17.044,17.064,16.822,17.064,1003,0
DVLU.US,D,20181024,000000,16.748,16.748,16.722,16.74,979,0
DVLU.US,D,20181025,000000,16.74,16.769,16.586,16.664,2981,0
DVLU.US,D,20181026,000000,16.288,16.288,16.288,16.288,150,0
