<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVOL.US,D,20180912,000000,19.362,19.362,19.362,19.362,413,0
DVOL.US,D,20180913,000000,19.509,19.509,19.509,19.509,415698,0
DVOL.US,D,20180914,000000,19.576,19.616,19.528,19.576,32168,0
DVOL.US,D,20180917,000000,19.509,19.509,19.46,19.46,1139,0
DVOL.US,D,20180918,000000,19.45,19.509,19.45,19.509,13146,0
DVOL.US,D,20180919,000000,19.49,19.49,19.49,19.49,309,0
DVOL.US,D,20180920,000000,19.47,19.519,19.43,19.519,2349,0
DVOL.US,D,20180921,000000,19.526,19.526,19.526,19.526,194,0
DVOL.US,D,20180924,000000,19.427,19.427,19.42,19.42,527,0
DVOL.US,D,20180925,000000,19.44,19.44,19.402,19.402,2206,0
DVOL.US,D,20180926,000000,19.333,19.42,19.295,19.295,26984,0
DVOL.US,D,20180927,000000,19.323,19.382,19.292,19.295,156752,0
DVOL.US,D,20180928,000000,19.348,19.372,19.348,19.353,4459,0
DVOL.US,D,20181001,000000,19.42,19.42,19.333,19.333,11931,0
DVOL.US,D,20181002,000000,19.333,19.343,19.333,19.333,10266,0
DVOL.US,D,20181003,000000,19.362,19.392,19.333,19.333,4981,0
DVOL.US,D,20181005,000000,19.285,19.285,19.188,19.206,4596,0
DVOL.US,D,20181008,000000,19.111,19.121,19.109,19.109,4864,0
DVOL.US,D,20181009,000000,19.168,19.178,19.156,19.178,2636,0
DVOL.US,D,20181010,000000,18.927,18.927,18.736,18.736,1948,0
DVOL.US,D,20181011,000000,18.558,18.558,18.382,18.382,640,0
DVOL.US,D,20181015,000000,18.362,18.362,18.362,18.362,366,0
DVOL.US,D,20181016,000000,18.547,18.673,18.547,18.655,5669,0
DVOL.US,D,20181017,000000,18.712,18.712,18.712,18.712,365,0
DVOL.US,D,20181018,000000,18.717,18.717,18.54,18.54,4894,0
DVOL.US,D,20181019,000000,18.655,18.655,18.51,18.51,3477,0
DVOL.US,D,20181022,000000,18.511,18.511,18.511,18.511,1515,0
DVOL.US,D,20181023,000000,18.113,18.113,18.1,18.1,329,0
DVOL.US,D,20181024,000000,18.265,18.286,18.265,18.286,425,0
DVOL.US,D,20181025,000000,18.173,18.173,18.173,18.173,102,0
