<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVY.US,D,20050225,000000,42.201,42.562,42.041,42.562,707041,0
DVY.US,D,20050228,000000,42.507,42.542,42.13,42.396,623235,0
DVY.US,D,20050301,000000,42.501,42.73,42.42,42.707,642676,0
DVY.US,D,20050302,000000,42.396,42.758,42.396,42.639,535397,0
DVY.US,D,20050303,000000,42.647,42.75,42.36,42.672,472900,0
DVY.US,D,20050304,000000,42.777,43.159,42.736,43.112,776884,0
DVY.US,D,20050307,000000,43.255,43.347,43.132,43.283,833619,0
DVY.US,D,20050308,000000,43.403,43.403,43.027,43.159,655782,0
DVY.US,D,20050309,000000,43.063,43.119,42.61,42.672,598757,0
DVY.US,D,20050310,000000,42.672,42.846,42.433,42.812,629285,0
DVY.US,D,20050311,000000,42.837,42.916,42.464,42.654,531794,0
DVY.US,D,20050314,000000,42.687,42.986,42.654,42.986,520273,0
DVY.US,D,20050315,000000,43.001,43.084,42.596,42.672,611714,0
DVY.US,D,20050316,000000,42.569,42.596,41.999,42.086,901444,0
DVY.US,D,20050317,000000,42.055,42.25,41.944,42.236,558867,0
DVY.US,D,20050318,000000,42.36,42.36,41.818,42.118,512931,0
DVY.US,D,20050321,000000,42.118,42.118,41.758,41.981,637204,0
DVY.US,D,20050322,000000,41.84,42.216,41.505,41.565,899429,0
DVY.US,D,20050323,000000,41.557,41.581,41.262,41.454,812450,0
DVY.US,D,20050324,000000,41.16,41.386,41.11,41.145,934852,0
DVY.US,D,20050328,000000,41.251,41.372,41.179,41.251,721438,0
DVY.US,D,20050329,000000,41.145,41.402,40.839,40.917,565056,0
DVY.US,D,20050330,000000,40.979,41.454,40.979,41.454,538271,0
DVY.US,D,20050331,000000,41.454,41.668,41.386,41.633,589394,0
DVY.US,D,20050401,000000,42.012,42.02,41.336,41.484,1873450,0
DVY.US,D,20050404,000000,41.402,41.581,41.245,41.565,847012,0
DVY.US,D,20050405,000000,41.57,41.766,41.565,41.701,473474,0
DVY.US,D,20050406,000000,41.668,41.944,41.668,41.84,562899,0
DVY.US,D,20050407,000000,41.855,42.012,41.686,42.004,628128,0
DVY.US,D,20050408,000000,41.999,41.999,41.565,41.617,453172,0
DVY.US,D,20050411,000000,41.633,41.701,41.492,41.646,528483,0
DVY.US,D,20050412,000000,41.624,41.999,41.29,41.922,602212,0
DVY.US,D,20050413,000000,41.922,41.944,41.38,41.526,463974,0
DVY.US,D,20050414,000000,41.492,41.526,40.93,41.007,756872,0
DVY.US,D,20050415,000000,40.971,41.048,40.244,40.354,3900836,0
DVY.US,D,20050418,000000,40.146,40.756,40.14,40.709,1673290,0
DVY.US,D,20050419,000000,40.93,41.007,40.722,40.971,944067,0
DVY.US,D,20050420,000000,41.083,41.103,40.381,40.429,1184981,0
DVY.US,D,20050421,000000,40.694,41.048,40.52,41.048,801653,0
DVY.US,D,20050422,000000,41.141,41.231,40.703,41.11,756580,0
DVY.US,D,20050425,000000,41.215,41.432,41.126,41.432,566784,0
DVY.US,D,20050426,000000,41.432,41.454,41.007,41.04,543026,0
DVY.US,D,20050427,000000,40.833,41.361,40.668,41.223,597458,0
DVY.US,D,20050428,000000,41.29,41.29,40.827,40.856,515669,0
DVY.US,D,20050429,000000,41.007,41.386,40.762,41.355,560163,0
DVY.US,D,20050502,000000,41.394,41.701,41.355,41.701,478086,0
DVY.US,D,20050503,000000,41.729,41.901,41.492,41.693,597168,0
DVY.US,D,20050504,000000,41.901,42.243,41.714,42.21,785813,0
DVY.US,D,20050505,000000,42.351,42.36,41.811,42.118,839672,0
DVY.US,D,20050506,000000,42.328,42.345,41.91,41.981,769683,0
DVY.US,D,20050509,000000,42.077,42.243,41.875,42.243,496945,0
DVY.US,D,20050510,000000,42.152,42.152,41.818,41.967,647136,0
DVY.US,D,20050511,000000,42.048,42.055,41.668,42.035,842548,0
DVY.US,D,20050512,000000,42.139,42.139,41.484,41.581,832756,0
DVY.US,D,20050513,000000,41.454,41.655,40.881,41.251,898992,0
DVY.US,D,20050516,000000,41.251,41.729,41.185,41.729,472756,0
DVY.US,D,20050517,000000,41.722,42.091,41.544,42.063,636194,0
DVY.US,D,20050518,000000,42.351,42.53,42.27,42.471,969125,0
DVY.US,D,20050519,000000,42.639,42.639,42.307,42.549,747364,0
DVY.US,D,20050520,000000,42.549,42.569,42.307,42.53,480387,0
DVY.US,D,20050523,000000,42.602,42.702,42.464,42.626,894103,0
DVY.US,D,20050524,000000,42.602,42.618,42.42,42.569,554406,0
DVY.US,D,20050525,000000,42.433,42.515,42.243,42.42,554546,0
DVY.US,D,20050526,000000,42.569,42.61,42.443,42.562,504291,0
DVY.US,D,20050527,000000,42.501,42.707,42.501,42.693,375697,0
DVY.US,D,20050531,000000,42.672,42.73,42.501,42.569,589111,0
DVY.US,D,20050601,000000,42.672,43.144,42.588,43.021,4384106,0
DVY.US,D,20050602,000000,42.95,42.986,42.8,42.93,739735,0
DVY.US,D,20050603,000000,42.93,43.056,42.654,42.812,471890,0
DVY.US,D,20050606,000000,42.715,42.819,42.576,42.8,532510,0
DVY.US,D,20050607,000000,43.027,43.159,42.777,42.846,747799,0
DVY.US,D,20050608,000000,42.812,43.027,42.723,42.846,571970,0
DVY.US,D,20050609,000000,42.777,42.846,42.535,42.837,357843,0
DVY.US,D,20050610,000000,42.93,42.936,42.75,42.911,873075,0
DVY.US,D,20050613,000000,42.911,43.127,42.73,43.001,638927,0
DVY.US,D,20050614,000000,43.007,43.283,42.916,43.229,984677,0
DVY.US,D,20050615,000000,43.314,43.353,42.986,43.334,466704,0
DVY.US,D,20050616,000000,43.306,43.506,43.194,43.478,637778,0
DVY.US,D,20050617,000000,43.833,43.841,43.557,43.751,666146,0
DVY.US,D,20050620,000000,43.506,43.506,43.179,43.334,961065,0
DVY.US,D,20050621,000000,43.299,43.396,43.167,43.262,532510,0
DVY.US,D,20050622,000000,43.438,43.471,43.159,43.359,545761,0
DVY.US,D,20050623,000000,43.43,43.43,42.93,42.936,771841,0
DVY.US,D,20050624,000000,43.007,43.015,42.618,42.647,634180,0
DVY.US,D,20050627,000000,42.777,42.819,42.596,42.723,685299,0
DVY.US,D,20050628,000000,42.916,43.194,42.846,43.194,612723,0
DVY.US,D,20050629,000000,43.299,43.334,43.084,43.194,521144,0
DVY.US,D,20050630,000000,43.202,43.283,42.837,42.868,502852,0
DVY.US,D,20050701,000000,43.194,43.223,43.001,43.194,320403,0
DVY.US,D,20050705,000000,43.229,43.478,43.056,43.444,440070,0
DVY.US,D,20050706,000000,43.412,43.463,43.032,43.075,479376,0
DVY.US,D,20050707,000000,42.777,43.127,42.639,43.127,712659,0
DVY.US,D,20050708,000000,43.127,43.603,43.063,43.596,515235,0
DVY.US,D,20050711,000000,43.583,43.869,43.574,43.853,4242554,0
DVY.US,D,20050712,000000,43.959,44.123,43.797,43.998,3125387,0
DVY.US,D,20050713,000000,44.063,44.147,43.974,44.055,914979,0
