<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWAS.US,D,20120724,000000,23.845,23.845,23.271,23.31,19561,0
DWAS.US,D,20120725,000000,23.692,23.692,23.457,23.515,8717,0
DWAS.US,D,20120726,000000,23.874,23.933,23.74,23.788,3014,0
DWAS.US,D,20120727,000000,24.441,24.461,23.903,24.392,22167,0
DWAS.US,D,20120730,000000,24.383,26.799,24.179,24.228,13961,0
DWAS.US,D,20120731,000000,24.333,24.343,23.983,24.022,19823,0
DWAS.US,D,20120801,000000,24.868,24.868,23.73,23.836,5436,0
DWAS.US,D,20120802,000000,23.338,23.554,23.31,23.507,11835,0
DWAS.US,D,20120803,000000,24.664,24.664,23.983,24.129,833,0
DWAS.US,D,20120806,000000,24.383,24.411,24.323,24.323,2269,0
DWAS.US,D,20120807,000000,24.489,24.644,24.411,24.538,6866,0
DWAS.US,D,20120808,000000,24.392,24.451,24.383,24.421,40290,0
DWAS.US,D,20120809,000000,24.489,24.567,24.431,24.508,84228,0
DWAS.US,D,20120810,000000,24.421,24.451,24.343,24.402,4581,0
DWAS.US,D,20120813,000000,24.392,24.392,24.119,24.363,4021,0
DWAS.US,D,20120814,000000,24.479,24.479,24.286,24.296,58980,0
DWAS.US,D,20120815,000000,24.518,24.518,24.383,24.461,17030,0
DWAS.US,D,20120816,000000,24.498,24.791,24.498,24.771,3740,0
DWAS.US,D,20120817,000000,24.878,24.986,24.85,24.986,7077,0
DWAS.US,D,20120820,000000,24.967,24.996,24.81,24.878,3920,0
DWAS.US,D,20120821,000000,25.026,25.153,24.664,24.742,26800,0
DWAS.US,D,20120822,000000,24.82,24.859,24.761,24.85,3894,0
DWAS.US,D,20120823,000000,24.605,24.742,24.605,24.742,4947,0
DWAS.US,D,20120824,000000,24.624,24.888,24.624,24.82,1152,0
DWAS.US,D,20120827,000000,25.046,25.095,24.859,24.967,17192,0
DWAS.US,D,20120828,000000,25.006,25.115,24.976,25.056,10044,0
DWAS.US,D,20120829,000000,25.105,25.231,25.075,25.231,4612,0
DWAS.US,D,20120830,000000,25.095,25.095,24.957,25.036,11305,0
DWAS.US,D,20120831,000000,25.036,25.172,24.859,25.162,3936,0
DWAS.US,D,20120904,000000,25.221,25.885,25.026,25.553,7388,0
DWAS.US,D,20120905,000000,25.563,25.563,25.485,25.534,35551,0
DWAS.US,D,20120906,000000,25.65,26.012,25.65,26.012,1804,0
DWAS.US,D,20120907,000000,25.982,26.08,25.933,25.933,50162,0
DWAS.US,D,20120910,000000,25.982,25.982,25.739,25.865,24375,0
DWAS.US,D,20120911,000000,25.845,25.982,25.563,25.855,13256,0
DWAS.US,D,20120912,000000,25.992,26.07,25.885,25.942,8973,0
DWAS.US,D,20120913,000000,26.06,26.43,25.758,26.273,8442,0
DWAS.US,D,20120914,000000,26.546,26.566,26.331,26.371,13497,0
DWAS.US,D,20120917,000000,26.253,26.361,26.253,26.293,6767,0
DWAS.US,D,20120918,000000,26.273,26.381,26.233,26.331,8086,0
DWAS.US,D,20120919,000000,26.331,27.151,26.177,26.177,3724,0
DWAS.US,D,20120920,000000,25.924,26.1,25.924,26.051,6187,0
DWAS.US,D,20120921,000000,26.322,26.371,26.253,26.253,9994,0
DWAS.US,D,20120924,000000,26.137,26.215,26.117,26.157,1838,0
DWAS.US,D,20120925,000000,26.233,26.233,25.924,25.952,4411,0
DWAS.US,D,20120926,000000,25.788,25.788,25.534,25.563,6305,0
DWAS.US,D,20120927,000000,25.739,25.972,25.621,25.972,5039,0
DWAS.US,D,20120928,000000,25.805,25.942,25.805,25.855,3105,0
DWAS.US,D,20121001,000000,26.117,26.137,25.825,25.875,9577,0
DWAS.US,D,20121002,000000,25.982,26.002,25.924,25.942,1292,0
DWAS.US,D,20121003,000000,26.187,26.187,26.031,26.031,3357,0
DWAS.US,D,20121004,000000,26.09,26.187,26.09,26.187,1124,0
DWAS.US,D,20121005,000000,26.381,26.497,26.127,26.157,6610,0
DWAS.US,D,20121008,000000,26.08,26.08,25.982,26.022,4691,0
DWAS.US,D,20121009,000000,26.002,26.031,24.83,25.631,19362,0
DWAS.US,D,20121010,000000,25.631,25.679,25.524,25.591,6164,0
DWAS.US,D,20121011,000000,25.845,25.855,25.563,25.611,11880,0
DWAS.US,D,20121012,000000,25.631,25.66,25.407,25.407,3416,0
DWAS.US,D,20121015,000000,25.524,25.679,25.417,25.679,7257,0
DWAS.US,D,20121016,000000,25.806,25.933,25.739,25.806,23256,0
DWAS.US,D,20121017,000000,26.09,26.09,25.895,26.022,12282,0
DWAS.US,D,20121018,000000,26.022,26.06,25.845,25.885,14560,0
DWAS.US,D,20121019,000000,25.572,25.679,25.279,25.398,10756,0
DWAS.US,D,20121022,000000,25.339,25.339,25.211,25.211,9209,0
DWAS.US,D,20121023,000000,25.133,25.259,24.917,25.259,4866,0
DWAS.US,D,20121024,000000,25.319,25.319,25.162,25.25,4492,0
DWAS.US,D,20121025,000000,26.002,26.002,24.976,25.056,5754,0
DWAS.US,D,20121026,000000,24.791,24.986,24.791,24.986,2359,0
DWAS.US,D,20121031,000000,24.383,25.143,24.218,25.143,82426,0
DWAS.US,D,20121101,000000,25.514,27.064,25.329,27.064,35954,0
DWAS.US,D,20121102,000000,25.485,25.485,24.996,24.996,4527,0
DWAS.US,D,20121105,000000,24.868,25.162,24.868,25.162,17450,0
DWAS.US,D,20121106,000000,25.319,25.348,25.153,25.319,5096,0
DWAS.US,D,20121107,000000,25.026,25.095,24.703,24.771,4573,0
DWAS.US,D,20121108,000000,24.82,24.859,24.615,24.615,16072,0
DWAS.US,D,20121109,000000,24.431,24.713,24.383,24.528,8478,0
DWAS.US,D,20121112,000000,24.498,24.558,24.498,24.558,2153,0
DWAS.US,D,20121113,000000,24.383,24.538,23.78,24.538,4101,0
DWAS.US,D,20121114,000000,24.09,24.198,23.826,23.855,27363,0
DWAS.US,D,20121115,000000,23.864,23.864,23.477,23.672,10412,0
DWAS.US,D,20121116,000000,23.633,24.09,23.604,24.09,55060,0
DWAS.US,D,20121120,000000,24.498,24.644,24.489,24.634,1668,0
DWAS.US,D,20121121,000000,24.791,24.791,24.752,24.752,703,0
DWAS.US,D,20121123,000000,24.917,25.172,24.83,25.026,1584,0
DWAS.US,D,20121126,000000,25.095,25.125,24.967,25.095,6517,0
DWAS.US,D,20121127,000000,25.162,25.24,25.133,25.221,28301,0
DWAS.US,D,20121128,000000,25.162,25.329,25.162,25.329,2257,0
DWAS.US,D,20121129,000000,25.64,25.64,25.553,25.621,10353,0
DWAS.US,D,20121130,000000,25.591,25.591,25.553,25.572,503,0
DWAS.US,D,20121203,000000,25.514,25.719,25.465,25.465,3959,0
DWAS.US,D,20121204,000000,25.572,25.582,25.348,25.348,1486,0
DWAS.US,D,20121205,000000,25.504,25.504,25.25,25.319,5252,0
DWAS.US,D,20121206,000000,25.259,25.358,25.192,25.289,2533,0
DWAS.US,D,20121207,000000,25.319,25.319,25.202,25.269,1199,0
DWAS.US,D,20121210,000000,25.358,25.465,25.299,25.358,8234,0
DWAS.US,D,20121211,000000,25.524,25.631,25.524,25.601,4222,0
DWAS.US,D,20121212,000000,25.64,25.64,25.543,25.543,1527,0
DWAS.US,D,20121213,000000,25.436,25.553,25.231,25.231,890,0
DWAS.US,D,20121217,000000,25.553,25.631,25.553,25.631,1390,0
DWAS.US,D,20121218,000000,25.514,26.06,25.514,26.06,4301,0
DWAS.US,D,20121219,000000,26.09,26.157,26.08,26.109,1973,0
DWAS.US,D,20121220,000000,26.012,26.196,26.012,26.177,67618,0
DWAS.US,D,20121221,000000,25.814,26.031,25.814,25.991,4892,0
DWAS.US,D,20121224,000000,25.991,25.991,25.981,25.981,1013,0
DWAS.US,D,20121226,000000,26.08,26.08,25.824,25.824,314,0
