<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWAT.US,D,20141003,000000,9.2175,9.2253,9.1716,9.2253,10774,0
DWAT.US,D,20141006,000000,9.2533,9.2533,9.1904,9.1904,7502,0
DWAT.US,D,20141007,000000,9.1433,9.1481,9.0973,9.0973,27593,0
DWAT.US,D,20141008,000000,9.0549,9.2253,9.0549,9.2253,64706,0
DWAT.US,D,20141009,000000,9.1622,9.1904,9.0596,9.0596,10693,0
DWAT.US,D,20141010,000000,9.0127,9.0502,8.9665,9.0042,9719,0
DWAT.US,D,20141013,000000,8.9571,8.9571,8.8751,8.9021,16073,0
DWAT.US,D,20141014,000000,8.8965,8.9021,8.8741,8.9021,2072,0
DWAT.US,D,20141015,000000,8.7624,8.7809,8.6973,8.7159,6791,0
DWAT.US,D,20141016,000000,8.7835,8.7994,8.7835,8.7994,430,0
DWAT.US,D,20141017,000000,8.8928,8.9021,8.8273,8.8928,12573,0
DWAT.US,D,20141021,000000,9.0654,9.1527,9.0314,9.1498,4022,0
DWAT.US,D,20141022,000000,9.384,9.3938,9.1085,9.1245,16029,0
DWAT.US,D,20141023,000000,9.2079,9.2175,9.1678,9.181,10554,0
DWAT.US,D,20141024,000000,9.2175,9.2437,9.2175,9.2243,13338,0
DWAT.US,D,20141027,000000,9.2349,9.2533,9.2253,9.2437,12234,0
DWAT.US,D,20141028,000000,9.2814,9.3367,9.2688,9.3367,14060,0
DWAT.US,D,20141029,000000,9.3192,9.3192,9.2814,9.3008,2378,0
DWAT.US,D,20141030,000000,9.3367,9.4125,9.3367,9.384,8750,0
DWAT.US,D,20141031,000000,9.737,9.737,9.4764,9.504,41367,0
DWAT.US,D,20141103,000000,9.885,9.885,9.4951,9.504,28608,0
DWAT.US,D,20141104,000000,9.4666,9.4863,9.4312,9.4863,12895,0
DWAT.US,D,20141105,000000,9.747,9.747,9.4863,9.524,41036,0
