<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWAW.US,D,20191230,000000,24.963,24.963,24.885,24.885,100,0
DWAW.US,D,20191231,000000,24.871,24.981,24.871,24.971,49800,0
DWAW.US,D,20200102,000000,25.09,25.32,25.09,25.32,162,0
DWAW.US,D,20200103,000000,25.121,25.125,25.117,25.117,955,0
DWAW.US,D,20200106,000000,25.101,25.101,25.101,25.101,232,0
DWAW.US,D,20200107,000000,25.241,25.249,25.241,25.249,100,0
DWAW.US,D,20200108,000000,25.47,25.5,25.409,25.409,1343,0
DWAW.US,D,20200109,000000,25.57,25.62,25.568,25.62,1064,0
DWAW.US,D,20200110,000000,25.67,25.67,25.547,25.547,2341,0
DWAW.US,D,20200113,000000,25.66,25.869,25.65,25.827,13953,0
DWAW.US,D,20200114,000000,25.809,25.819,25.71,25.749,4171,0
DWAW.US,D,20200115,000000,25.799,25.83,25.728,25.728,3142,0
DWAW.US,D,20200117,000000,26.029,26.069,26.018,26.029,7263,0
DWAW.US,D,20200121,000000,26.019,26.019,26.019,26.019,676,0
DWAW.US,D,20200122,000000,26.169,26.189,26.129,26.129,3746,0
DWAW.US,D,20200123,000000,25.963,26.169,25.963,26.169,542,0
DWAW.US,D,20200127,000000,25.39,25.51,25.39,25.395,9735,0
DWAW.US,D,20200129,000000,25.62,25.71,25.51,25.634,3680,0
DWAW.US,D,20200130,000000,25.46,25.775,25.46,25.775,3513,0
DWAW.US,D,20200131,000000,25.39,25.41,25.331,25.331,4100,0
DWAW.US,D,20200206,000000,26.608,26.608,26.553,26.568,7475,0
DWAW.US,D,20200207,000000,26.601,26.601,26.468,26.47,317,0
DWAW.US,D,20200210,000000,26.688,26.797,26.688,26.797,1756,0
DWAW.US,D,20200211,000000,26.948,26.948,26.785,26.785,742,0
DWAW.US,D,20200212,000000,26.989,27.067,26.967,27.033,8630,0
DWAW.US,D,20200213,000000,27.157,27.167,27.033,27.033,13148,0
DWAW.US,D,20200214,000000,27.137,27.147,27.137,27.147,741,0
DWAW.US,D,20200218,000000,27.217,27.257,27.167,27.238,6255,0
DWAW.US,D,20200220,000000,27.347,27.347,27.317,27.317,11223,0
DWAW.US,D,20200221,000000,26.878,26.878,26.708,26.708,417,0
DWAW.US,D,20200224,000000,25.77,26.109,25.77,25.807,40454,0
DWAW.US,D,20200225,000000,25.51,25.51,25.064,25.064,7613,0
DWAW.US,D,20200227,000000,24.382,24.671,23.992,23.992,4373,0
DWAW.US,D,20200228,000000,23.353,23.962,23.293,23.847,13852,0
DWAW.US,D,20200302,000000,24.126,25.063,24.126,25.063,13403,0
DWAW.US,D,20200303,000000,24.761,24.761,24.345,24.345,3446,0
DWAW.US,D,20200304,000000,24.596,25.38,24.596,25.355,7139,0
DWAW.US,D,20200305,000000,24.871,25.061,24.482,24.588,19777,0
DWAW.US,D,20200306,000000,23.733,24.192,23.565,24.192,16169,0
DWAW.US,D,20200309,000000,22.964,23.293,22.585,22.585,19337,0
DWAW.US,D,20200310,000000,23.232,23.627,22.834,23.627,36315,0
DWAW.US,D,20200311,000000,22.674,22.674,22.634,22.673,810,0
DWAW.US,D,20200312,000000,20.638,21.336,20.638,20.687,6052,0
DWAW.US,D,20200313,000000,21.247,22.345,21.057,22.277,30496,0
DWAW.US,D,20200316,000000,20.328,21.217,19.73,19.73,4610,0
DWAW.US,D,20200317,000000,20.138,21.107,19.784,20.977,6547,0
DWAW.US,D,20200318,000000,19.19,19.766,19.15,19.766,6614,0
DWAW.US,D,20200319,000000,20.548,20.548,20.308,20.308,100,0
DWAW.US,D,20200320,000000,20.418,20.867,19.538,19.538,30010,0
DWAW.US,D,20200323,000000,19,19.704,18.93,19.39,42206,0
DWAW.US,D,20200324,000000,20.238,20.727,20.238,20.707,11374,0
DWAW.US,D,20200325,000000,21.187,21.187,21.187,21.187,300,0
DWAW.US,D,20200326,000000,21.876,22.15,21.876,22.15,6357,0
DWAW.US,D,20200327,000000,21.676,21.866,21.341,21.866,2148,0
DWAW.US,D,20200330,000000,21.984,22.136,21.936,22.136,764,0
DWAW.US,D,20200401,000000,20.927,20.927,20.908,20.908,2082,0
DWAW.US,D,20200402,000000,20.767,21.304,20.767,21.304,6502,0
DWAW.US,D,20200406,000000,21.766,22.6,21.737,22.6,2099,0
DWAW.US,D,20200407,000000,23.144,23.144,22.545,22.545,175,0
DWAW.US,D,20200409,000000,23.413,23.413,23.194,23.254,2665,0
DWAW.US,D,20200413,000000,23.004,23.358,22.951,23.358,1987,0
DWAW.US,D,20200414,000000,23.763,24.299,23.763,24.299,1641,0
DWAW.US,D,20200415,000000,23.803,23.803,23.803,23.803,115,0
DWAW.US,D,20200417,000000,24.571,24.756,24.571,24.756,16242,0
DWAW.US,D,20200420,000000,24.761,24.821,24.492,24.511,15257,0
DWAW.US,D,20200421,000000,23.572,23.65,23.553,23.631,8503,0
DWAW.US,D,20200422,000000,24.201,24.286,24.201,24.286,3221,0
DWAW.US,D,20200424,000000,24.271,24.573,24.236,24.573,6188,0
DWAW.US,D,20200427,000000,24.901,24.901,24.781,24.858,2804,0
DWAW.US,D,20200428,000000,24.961,24.961,24.419,24.419,100,0
DWAW.US,D,20200429,000000,25.022,25.215,25.022,25.186,2264,0
DWAW.US,D,20200430,000000,25.25,25.25,25.18,25.244,785,0
DWAW.US,D,20200501,000000,24.54,24.561,24.475,24.475,13678,0
DWAW.US,D,20200504,000000,24.641,24.79,24.612,24.79,2653,0
DWAW.US,D,20200505,000000,25.28,25.37,25.104,25.104,2627,0
DWAW.US,D,20200506,000000,25.31,25.369,25.194,25.194,4532,0
DWAW.US,D,20200507,000000,25.58,25.58,25.488,25.488,257,0
DWAW.US,D,20200508,000000,25.849,25.849,25.74,25.74,891,0
DWAW.US,D,20200511,000000,25.919,26.169,25.914,26.074,7666,0
DWAW.US,D,20200512,000000,25.999,26.159,25.559,25.559,13056,0
DWAW.US,D,20200513,000000,25.71,25.71,24.9,25.165,74519,0
DWAW.US,D,20200514,000000,25.031,25.325,24.811,25.325,2619,0
