<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWEQ.US,D,20191230,000000,24.855,24.923,24.855,24.923,100,0
DWEQ.US,D,20191231,000000,24.951,25.091,24.941,25.041,51633,0
DWEQ.US,D,20200102,000000,25.046,25.099,25.046,25.099,161,0
DWEQ.US,D,20200103,000000,25.003,25.136,25.003,25.136,1242,0
DWEQ.US,D,20200106,000000,25.161,25.203,25.161,25.203,562,0
DWEQ.US,D,20200107,000000,25.221,25.311,25.211,25.291,2777,0
DWEQ.US,D,20200108,000000,25.441,25.461,25.261,25.351,1994,0
DWEQ.US,D,20200109,000000,25.551,25.558,25.521,25.558,2799,0
DWEQ.US,D,20200110,000000,25.591,25.611,25.512,25.512,2223,0
DWEQ.US,D,20200113,000000,25.621,25.911,25.621,25.841,24452,0
DWEQ.US,D,20200114,000000,25.991,25.991,25.691,25.691,7526,0
DWEQ.US,D,20200115,000000,25.833,25.833,25.739,25.761,400,0
DWEQ.US,D,20200117,000000,26.011,26.261,25.986,26.091,9161,0
DWEQ.US,D,20200121,000000,26.135,26.151,26.135,26.151,1824,0
DWEQ.US,D,20200122,000000,26.333,26.341,26.333,26.341,200,0
DWEQ.US,D,20200123,000000,26.271,26.41,26.241,26.41,1068,0
DWEQ.US,D,20200124,000000,26.305,26.343,26.305,26.343,174,0
DWEQ.US,D,20200127,000000,26.021,26.145,26.021,26.101,9279,0
DWEQ.US,D,20200128,000000,26.401,26.401,26.365,26.365,232,0
DWEQ.US,D,20200130,000000,26.241,26.513,26.241,26.513,100,0
DWEQ.US,D,20200131,000000,26.161,26.161,26.111,26.121,6171,0
DWEQ.US,D,20200203,000000,26.241,26.351,25.971,26.351,5732,0
DWEQ.US,D,20200204,000000,26.68,26.77,26.662,26.662,3838,0
DWEQ.US,D,20200205,000000,26.521,26.521,26.521,26.521,100,0
DWEQ.US,D,20200206,000000,26.521,26.521,26.476,26.476,2149,0
DWEQ.US,D,20200207,000000,26.381,26.381,26.373,26.373,141,0
DWEQ.US,D,20200210,000000,26.616,26.619,26.581,26.619,1086,0
DWEQ.US,D,20200212,000000,26.98,26.98,26.88,26.95,11657,0
DWEQ.US,D,20200213,000000,27.19,27.19,27.1,27.1,10946,0
DWEQ.US,D,20200214,000000,27.341,27.37,27.341,27.37,100,0
DWEQ.US,D,20200218,000000,27.48,27.48,27.373,27.418,6851,0
DWEQ.US,D,20200220,000000,27.44,27.44,27.299,27.335,11076,0
