<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWMC.US,D,20180712,000000,24.61,24.719,24.61,24.679,3174,0
DWMC.US,D,20180713,000000,24.679,24.679,24.58,24.58,1451,0
DWMC.US,D,20180716,000000,24.479,24.479,24.38,24.43,1201,0
DWMC.US,D,20180717,000000,24.59,24.59,24.59,24.59,220,0
DWMC.US,D,20180718,000000,24.67,24.759,24.586,24.759,1365,0
DWMC.US,D,20180719,000000,24.765,24.849,24.765,24.839,1502,0
DWMC.US,D,20180723,000000,24.913,24.913,24.913,24.913,200,0
DWMC.US,D,20180724,000000,24.879,24.879,24.48,24.48,390,0
DWMC.US,D,20180725,000000,24.769,24.809,24.655,24.727,1202,0
DWMC.US,D,20180726,000000,24.949,24.949,24.789,24.789,745,0
DWMC.US,D,20180727,000000,24.679,24.679,24.23,24.23,448,0
DWMC.US,D,20180730,000000,23.672,23.672,23.671,23.671,403,0
DWMC.US,D,20180731,000000,23.84,23.84,23.84,23.84,505,0
DWMC.US,D,20180801,000000,24.969,24.969,23.995,23.995,200,0
DWMC.US,D,20180807,000000,24.16,24.16,24.16,24.16,200,0
DWMC.US,D,20180810,000000,25.479,25.479,24.434,24.434,1954,0
DWMC.US,D,20180813,000000,24.53,24.53,24.502,24.502,390,0
DWMC.US,D,20180815,000000,24.09,24.1,24.09,24.1,756,0
DWMC.US,D,20180816,000000,24.14,24.14,24.14,24.14,300,0
DWMC.US,D,20180817,000000,24.53,24.53,24.53,24.53,191,0
DWMC.US,D,20180820,000000,24.569,24.601,24.569,24.601,300,0
DWMC.US,D,20180821,000000,25.779,25.779,24.769,24.769,249,0
DWMC.US,D,20180823,000000,24.839,24.991,24.83,24.986,2400,0
DWMC.US,D,20180827,000000,25.588,25.588,25.529,25.559,912,0
DWMC.US,D,20180828,000000,25.509,25.589,25.509,25.569,4922,0
DWMC.US,D,20180830,000000,25.669,25.761,25.669,25.761,1630,0
DWMC.US,D,20180831,000000,25.911,25.997,25.879,25.997,4264,0
DWMC.US,D,20180904,000000,25.988,25.988,25.968,25.988,1310,0
DWMC.US,D,20180905,000000,25.561,25.561,25.561,25.561,1101,0
DWMC.US,D,20180910,000000,26.498,26.498,25.469,25.469,1216,0
DWMC.US,D,20180911,000000,25.529,25.529,25.529,25.529,210,0
DWMC.US,D,20180912,000000,25.279,25.279,25.279,25.279,105,0
DWMC.US,D,20180913,000000,25.179,25.179,25.179,25.179,500,0
DWMC.US,D,20180914,000000,25.044,25.169,25.044,25.097,1300,0
DWMC.US,D,20180917,000000,24.742,24.742,24.727,24.727,600,0
DWMC.US,D,20180918,000000,25.079,25.079,24.931,24.931,2246,0
DWMC.US,D,20180919,000000,24.929,24.929,24.592,24.592,3310,0
DWMC.US,D,20180920,000000,24.818,24.818,24.818,24.818,200,0
DWMC.US,D,20180921,000000,24.949,24.949,24.688,24.698,4054,0
DWMC.US,D,20180924,000000,25.079,25.079,25.079,25.079,525,0
DWMC.US,D,20180925,000000,25.005,25.005,25.005,25.005,329,0
DWMC.US,D,20180926,000000,24.794,24.939,24.794,24.939,2286,0
DWMC.US,D,20180927,000000,24.699,24.719,24.652,24.652,1275,0
DWMC.US,D,20180928,000000,24.869,24.869,24.869,24.869,2522,0
DWMC.US,D,20181001,000000,25.279,25.279,24.26,24.26,446,0
DWMC.US,D,20181004,000000,23.568,23.6,23.48,23.534,6280,0
DWMC.US,D,20181005,000000,23.281,23.281,23.261,23.261,400,0
DWMC.US,D,20181008,000000,22.881,22.881,22.881,22.881,150,0
DWMC.US,D,20181009,000000,23.031,23.031,23.031,23.031,200,0
DWMC.US,D,20181010,000000,22.693,22.693,22.232,22.232,1602,0
DWMC.US,D,20181011,000000,22.501,22.501,21.873,21.873,1565,0
DWMC.US,D,20181012,000000,21.932,21.982,21.932,21.982,510,0
DWMC.US,D,20181015,000000,22.182,22.182,22.134,22.134,606,0
DWMC.US,D,20181016,000000,22.372,22.881,22.372,22.881,1016,0
