<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWPP.US,D,20120905,000000,17.746,17.746,17.746,17.746,228,0
DWPP.US,D,20120906,000000,17.973,18.043,17.973,18.043,2450,0
DWPP.US,D,20120907,000000,18.096,18.106,18.096,18.106,1335,0
DWPP.US,D,20120910,000000,18.139,18.139,18.065,18.065,1279,0
DWPP.US,D,20120912,000000,18.092,18.092,18.084,18.084,1783,0
DWPP.US,D,20120913,000000,18.11,18.559,18.11,18.389,1335,0
DWPP.US,D,20120914,000000,18.484,18.484,18.484,18.484,333,0
DWPP.US,D,20120917,000000,18.444,18.444,18.399,18.409,2563,0
DWPP.US,D,20120918,000000,18.331,18.331,18.331,18.331,442,0
DWPP.US,D,20120919,000000,18.441,18.449,18.405,18.449,6571,0
DWPP.US,D,20120920,000000,18.348,18.395,18.348,18.377,3567,0
DWPP.US,D,20120921,000000,18.682,18.682,18.368,18.368,4478,0
DWPP.US,D,20120924,000000,18.313,18.323,18.268,18.268,2671,0
DWPP.US,D,20120925,000000,18.348,19.143,18.216,18.226,40694,0
DWPP.US,D,20120926,000000,18.377,18.377,18.096,18.163,9489,0
DWPP.US,D,20120927,000000,18.163,18.216,18.163,18.182,4424,0
DWPP.US,D,20120928,000000,18.13,18.14,18.13,18.14,360,0
DWPP.US,D,20121002,000000,18.226,18.226,18.144,18.144,8844,0
DWPP.US,D,20121003,000000,18.248,18.276,18.191,18.226,22633,0
DWPP.US,D,20121004,000000,18.341,18.341,18.313,18.323,25484,0
DWPP.US,D,20121005,000000,18.368,18.368,18.285,18.285,2547,0
DWPP.US,D,20121008,000000,18.248,18.248,18.233,18.233,7585,0
DWPP.US,D,20121009,000000,18.154,18.154,18.096,18.125,2731,0
DWPP.US,D,20121010,000000,18.006,18.006,17.931,17.931,1418,0
DWPP.US,D,20121011,000000,18.043,18.043,17.855,17.941,18992,0
DWPP.US,D,20121012,000000,17.921,17.921,17.792,17.82,20844,0
DWPP.US,D,20121015,000000,17.774,17.921,17.416,17.921,11195,0
DWPP.US,D,20121016,000000,17.865,18.209,17.865,18.125,17777,0
DWPP.US,D,20121017,000000,18.233,18.248,18.182,18.233,9680,0
DWPP.US,D,20121018,000000,18.191,18.191,18.106,18.134,4565,0
DWPP.US,D,20121019,000000,17.998,17.998,17.965,17.991,5524,0
DWPP.US,D,20121022,000000,17.891,17.921,17.838,17.873,12574,0
DWPP.US,D,20121023,000000,17.931,17.931,17.739,17.792,5758,0
DWPP.US,D,20121024,000000,17.965,17.965,17.792,17.792,12903,0
DWPP.US,D,20121025,000000,17.739,17.739,17.739,17.739,280,0
