<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWSH.US,D,20180712,000000,24.91,24.935,24.91,24.935,1905,0
DWSH.US,D,20180713,000000,24.948,24.948,24.948,24.948,502,0
DWSH.US,D,20180716,000000,24.905,24.975,24.885,24.895,213698,0
DWSH.US,D,20180718,000000,25.075,25.125,25.075,25.125,405,0
DWSH.US,D,20180719,000000,25.125,25.135,24.995,24.995,1102,0
DWSH.US,D,20180720,000000,25.065,25.065,25.065,25.065,100,0
DWSH.US,D,20180726,000000,25.115,25.115,25.035,25.035,678,0
DWSH.US,D,20180730,000000,24.797,24.985,24.797,24.985,300,0
DWSH.US,D,20180731,000000,24.665,24.665,24.665,24.665,546,0
DWSH.US,D,20180801,000000,24.765,24.765,24.765,24.765,1076,0
DWSH.US,D,20180802,000000,25.523,25.523,25.135,25.135,1258,0
DWSH.US,D,20180806,000000,24.765,24.765,24.698,24.73,80914,0
DWSH.US,D,20180807,000000,24.582,24.684,24.582,24.684,371,0
DWSH.US,D,20180808,000000,24.855,24.855,24.855,24.855,631,0
DWSH.US,D,20180809,000000,24.785,24.885,24.785,24.869,2606,0
DWSH.US,D,20180813,000000,25.214,25.214,25.214,25.214,531,0
DWSH.US,D,20180814,000000,25.145,25.145,24.945,24.945,832,0
DWSH.US,D,20180815,000000,25.274,25.274,25.234,25.234,29868,0
DWSH.US,D,20180816,000000,24.876,24.945,24.861,24.945,4724,0
DWSH.US,D,20180817,000000,24.835,24.835,24.835,24.835,288,0
DWSH.US,D,20180820,000000,24.785,24.901,24.735,24.735,6188,0
DWSH.US,D,20180821,000000,25.035,25.035,24.655,24.845,3591,0
DWSH.US,D,20180822,000000,24.675,24.985,24.675,24.975,16835,0
DWSH.US,D,20180823,000000,25.463,25.463,24.785,24.845,2576,0
DWSH.US,D,20180824,000000,24.835,24.885,24.835,24.885,1374,0
DWSH.US,D,20180827,000000,25.194,25.194,24.463,24.463,1245,0
DWSH.US,D,20180828,000000,24.975,24.975,24.58,24.645,8272,0
DWSH.US,D,20180829,000000,24.657,24.705,24.595,24.595,1379,0
DWSH.US,D,20180830,000000,24.715,24.837,24.715,24.837,802,0
DWSH.US,D,20180831,000000,24.787,24.793,24.787,24.793,835,0
DWSH.US,D,20180904,000000,24.965,25.095,24.965,25.015,1143,0
DWSH.US,D,20180905,000000,24.948,24.948,24.948,24.948,452,0
DWSH.US,D,20180906,000000,24.925,24.948,24.915,24.948,1829,0
DWSH.US,D,20180907,000000,25.184,25.184,24.985,24.985,1304,0
DWSH.US,D,20180910,000000,24.935,24.935,24.925,24.925,206,0
DWSH.US,D,20180911,000000,25.105,25.145,24.945,24.945,1952,0
DWSH.US,D,20180912,000000,24.955,24.955,24.955,24.955,100,0
DWSH.US,D,20180913,000000,24.844,24.844,24.844,24.844,116,0
DWSH.US,D,20180914,000000,24.722,24.785,24.636,24.695,41655,0
DWSH.US,D,20180917,000000,24.649,24.765,24.649,24.758,2728,0
DWSH.US,D,20180918,000000,24.725,24.725,24.675,24.675,7636,0
DWSH.US,D,20180919,000000,24.466,24.466,24.466,24.466,557,0
DWSH.US,D,20180920,000000,24.357,24.357,24.267,24.267,328,0
DWSH.US,D,20180921,000000,24.187,24.317,24.187,24.317,963,0
DWSH.US,D,20180924,000000,24.645,24.645,24.645,24.645,212,0
DWSH.US,D,20180925,000000,24.665,24.799,24.665,24.799,300,0
DWSH.US,D,20180926,000000,24.815,24.878,24.815,24.878,800,0
DWSH.US,D,20180927,000000,24.935,24.985,24.914,24.985,3610,0
DWSH.US,D,20180928,000000,25.303,25.303,25.012,25.065,66325,0
DWSH.US,D,20181001,000000,25.683,25.683,24.945,25.175,35442,0
DWSH.US,D,20181002,000000,25.135,25.184,25.019,25.112,23427,0
DWSH.US,D,20181003,000000,25.523,25.523,24.955,25.095,39528,0
DWSH.US,D,20181004,000000,25.333,25.413,25.125,25.313,84437,0
DWSH.US,D,20181005,000000,25.513,25.713,25.28,25.568,67762,0
DWSH.US,D,20181008,000000,26.101,26.101,25.453,25.453,31148,0
DWSH.US,D,20181009,000000,25.633,25.751,25.436,25.728,15288,0
