<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWUS.US,D,20191230,000000,24.998,24.998,24.998,24.998,500,0
DWUS.US,D,20191231,000000,25.028,25.126,25.018,25.126,42513,0
DWUS.US,D,20200102,000000,25.171,25.22,25.171,25.22,162,0
DWUS.US,D,20200103,000000,25.161,25.161,25.133,25.155,955,0
DWUS.US,D,20200106,000000,25.168,25.168,25.168,25.168,281,0
DWUS.US,D,20200107,000000,25.146,25.158,25.146,25.158,100,0
DWUS.US,D,20200109,000000,25.448,25.498,25.448,25.476,3018,0
DWUS.US,D,20200110,000000,25.518,25.518,25.443,25.443,2175,0
DWUS.US,D,20200113,000000,25.528,25.687,25.528,25.677,22856,0
DWUS.US,D,20200114,000000,25.977,25.977,25.587,25.597,9783,0
DWUS.US,D,20200115,000000,25.777,25.907,25.707,25.707,4705,0
DWUS.US,D,20200116,000000,25.827,25.857,25.817,25.817,721,0
DWUS.US,D,20200117,000000,25.997,26.067,25.981,26.067,7547,0
DWUS.US,D,20200121,000000,26.127,26.127,26.087,26.087,881,0
DWUS.US,D,20200123,000000,26.137,26.261,26.126,26.261,563,0
DWUS.US,D,20200124,000000,26.307,26.307,26.067,26.087,3137,0
DWUS.US,D,20200127,000000,25.797,25.867,25.786,25.786,9366,0
DWUS.US,D,20200128,000000,26.082,26.082,26.047,26.047,134,0
DWUS.US,D,20200130,000000,25.987,26.047,25.987,26.047,1275,0
DWUS.US,D,20200131,000000,25.947,25.947,25.886,25.886,3045,0
DWUS.US,D,20200203,000000,26.097,26.157,25.957,26.116,9329,0
DWUS.US,D,20200204,000000,26.497,26.497,26.412,26.412,1081,0
DWUS.US,D,20200205,000000,26.547,26.567,26.547,26.556,691,0
DWUS.US,D,20200206,000000,26.726,26.756,26.726,26.737,5335,0
DWUS.US,D,20200207,000000,26.736,26.736,26.716,26.716,200,0
DWUS.US,D,20200210,000000,26.833,26.883,26.833,26.883,310,0
DWUS.US,D,20200212,000000,27.076,27.116,27.026,27.097,13208,0
DWUS.US,D,20200213,000000,27.276,27.276,27.139,27.139,10887,0
DWUS.US,D,20200214,000000,27.306,27.306,27.271,27.271,100,0
DWUS.US,D,20200218,000000,27.286,27.286,27.246,27.275,5731,0
DWUS.US,D,20200219,000000,27.536,27.546,27.454,27.454,503,0
DWUS.US,D,20200220,000000,27.326,27.326,27.269,27.269,8814,0
