<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXGE.US,D,20131021,000000,19.233,19.233,19.233,19.233,14155,0
DXGE.US,D,20131022,000000,20.004,20.004,19.233,20.004,18589,0
DXGE.US,D,20131023,000000,19.643,19.651,19.482,19.583,6246,0
DXGE.US,D,20131024,000000,19.834,19.882,19.695,19.719,34560,0
DXGE.US,D,20131025,000000,19.791,19.797,19.689,19.726,16875,0
DXGE.US,D,20131028,000000,19.692,19.726,19.634,19.634,22564,0
DXGE.US,D,20131029,000000,19.782,19.819,19.695,19.719,5709,0
DXGE.US,D,20131030,000000,19.866,19.866,19.619,19.619,30649,0
DXGE.US,D,20131031,000000,19.704,19.79,19.651,19.75,33011,0
DXGE.US,D,20131101,000000,19.669,19.75,19.657,19.75,9515,0
DXGE.US,D,20131104,000000,19.797,19.797,19.726,19.751,8123,0
DXGE.US,D,20131105,000000,19.671,19.704,19.671,19.69,1820,0
DXGE.US,D,20131106,000000,19.811,19.811,19.758,19.791,7049,0
DXGE.US,D,20131107,000000,19.89,19.89,19.583,19.583,51734,0
DXGE.US,D,20131108,000000,19.583,19.759,19.583,19.749,5913,0
DXGE.US,D,20131111,000000,19.782,19.793,19.782,19.793,4317,0
DXGE.US,D,20131112,000000,19.711,19.711,19.689,19.689,16120,0
DXGE.US,D,20131113,000000,19.518,19.705,19.518,19.69,4301,0
DXGE.US,D,20131114,000000,19.657,19.73,19.643,19.73,29897,0
DXGE.US,D,20131115,000000,19.786,19.841,19.774,19.841,17375,0
DXGE.US,D,20131118,000000,19.924,20.013,19.924,19.965,1379,0
DXGE.US,D,20131119,000000,19.949,19.98,19.92,19.92,34417,0
DXGE.US,D,20131120,000000,19.972,19.988,19.949,19.949,2000,0
DXGE.US,D,20131121,000000,19.965,20.018,19.943,20.018,3249,0
DXGE.US,D,20131122,000000,20.018,20.034,19.973,20.027,8040,0
DXGE.US,D,20131125,000000,20.171,20.171,20.083,20.083,40650,0
DXGE.US,D,20131126,000000,20.18,20.18,20.18,20.18,520,0
DXGE.US,D,20131127,000000,20.234,20.266,20.234,20.257,40471,0
DXGE.US,D,20131129,000000,20.388,20.406,20.373,20.38,6010,0
DXGE.US,D,20131202,000000,20.412,20.412,20.329,20.349,35258,0
DXGE.US,D,20131203,000000,20.103,20.103,19.921,20.004,5895,0
DXGE.US,D,20131204,000000,19.797,19.841,19.651,19.826,5744,0
DXGE.US,D,20131205,000000,19.765,19.765,19.643,19.643,5167,0
DXGE.US,D,20131206,000000,19.89,19.949,19.834,19.949,5067,0
DXGE.US,D,20131209,000000,19.965,19.965,19.89,19.959,10281,0
DXGE.US,D,20131210,000000,19.804,19.804,19.74,19.773,6368,0
DXGE.US,D,20131211,000000,19.791,19.791,19.597,19.597,6122,0
DXGE.US,D,20131212,000000,19.551,19.554,19.503,19.554,2078,0
DXGE.US,D,20131213,000000,19.46,19.556,19.451,19.481,2583,0
DXGE.US,D,20131216,000000,19.782,19.782,19.752,19.773,2807,0
DXGE.US,D,20131217,000000,19.797,19.797,19.69,19.69,2934,0
DXGE.US,D,20131218,000000,19.881,19.927,19.881,19.927,647,0
DXGE.US,D,20131219,000000,20.083,20.195,20.061,20.142,3764,0
DXGE.US,D,20131220,000000,20.311,20.312,20.304,20.304,7302,0
DXGE.US,D,20131223,000000,20.429,20.48,20.429,20.443,2812,0
DXGE.US,D,20131224,000000,20.558,20.578,20.544,20.574,3522,0
DXGE.US,D,20131226,000000,21.52,21.52,20.649,20.734,9334,0
DXGE.US,D,20131227,000000,21.619,21.619,20.594,20.657,25961,0
DXGE.US,D,20131230,000000,20.68,20.72,20.644,20.72,8984,0
DXGE.US,D,20131231,000000,20.826,20.897,20.789,20.85,23460,0
DXGE.US,D,20140102,000000,20.504,20.504,20.219,20.234,22544,0
DXGE.US,D,20140103,000000,20.388,20.42,20.342,20.342,5216,0
DXGE.US,D,20140106,000000,20.397,20.429,20.342,20.397,25003,0
DXGE.US,D,20140107,000000,20.477,20.477,20.406,20.453,17275,0
DXGE.US,D,20140108,000000,20.429,20.483,20.429,20.436,13581,0
DXGE.US,D,20140109,000000,20.52,20.52,20.349,20.38,20688,0
DXGE.US,D,20140110,000000,20.45,20.474,20.373,20.474,4678,0
DXGE.US,D,20140113,000000,20.48,20.48,20.345,20.345,7405,0
