<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXJS.US,D,20130703,000000,21.57,21.824,21.57,21.817,6721,0
DXJS.US,D,20130705,000000,22.558,22.558,21.937,22.256,18333,0
DXJS.US,D,20130708,000000,21.817,22.178,21.767,22.178,23988,0
DXJS.US,D,20130709,000000,22.436,22.614,22.115,22.195,8915,0
DXJS.US,D,20130710,000000,21.84,22.463,21.84,21.995,5611,0
DXJS.US,D,20130711,000000,21.985,22.251,21.985,22.251,4212,0
DXJS.US,D,20130712,000000,22.735,22.735,21.912,22.154,28246,0
DXJS.US,D,20130715,000000,22.543,22.583,22.543,22.583,3166,0
DXJS.US,D,20130716,000000,22.349,22.365,22.154,22.26,6773,0
DXJS.US,D,20130717,000000,22.421,22.421,22.421,22.421,124,0
DXJS.US,D,20130718,000000,22.817,23.132,22.817,22.914,46030,0
DXJS.US,D,20130719,000000,22.536,22.566,22.341,22.551,12760,0
DXJS.US,D,20130722,000000,22.502,22.551,22.365,22.518,5958,0
DXJS.US,D,20130723,000000,22.711,22.711,22.497,22.575,11697,0
DXJS.US,D,20130724,000000,22.598,22.598,22.429,22.509,5167,0
DXJS.US,D,20130725,000000,21.995,22.075,21.92,22.032,8836,0
DXJS.US,D,20130726,000000,21.535,21.662,21.345,21.509,9896,0
DXJS.US,D,20130729,000000,21.079,21.079,20.926,20.926,18667,0
DXJS.US,D,20130730,000000,21.41,21.41,21.202,21.257,4059,0
DXJS.US,D,20130731,000000,21.324,21.324,21.299,21.306,1487,0
DXJS.US,D,20130801,000000,21.952,22.112,21.952,21.995,6878,0
DXJS.US,D,20130802,000000,22.106,22.106,21.882,22.009,6836,0
DXJS.US,D,20130805,000000,22.001,22.178,22.001,22.17,1773,0
DXJS.US,D,20130806,000000,22.082,22.106,22.017,22.034,6193,0
DXJS.US,D,20130807,000000,21.711,21.758,21.501,21.515,5956,0
DXJS.US,D,20130808,000000,21.381,21.516,21.227,21.516,2527,0
DXJS.US,D,20130809,000000,21.509,21.51,21.4,21.492,2538,0
DXJS.US,D,20130812,000000,21.492,21.492,21.426,21.492,1673,0
DXJS.US,D,20130813,000000,21.903,22.06,21.903,22.06,16725,0
DXJS.US,D,20130814,000000,21.912,21.912,21.824,21.824,1362,0
DXJS.US,D,20130815,000000,21.551,21.615,21.355,21.355,17282,0
DXJS.US,D,20130816,000000,21.535,21.671,21.501,21.671,4890,0
DXJS.US,D,20130819,000000,21.615,21.65,21.615,21.631,1610,0
DXJS.US,D,20130820,000000,21.299,21.483,21.299,21.451,2908,0
DXJS.US,D,20130821,000000,21.453,21.453,21.122,21.122,17532,0
DXJS.US,D,20130822,000000,21.066,21.783,21.066,21.647,5415,0
DXJS.US,D,20130823,000000,21.946,21.946,21.758,21.758,3612,0
DXJS.US,D,20130826,000000,21.711,21.711,21.711,21.711,384,0
DXJS.US,D,20130827,000000,21.075,21.152,20.983,20.983,2601,0
DXJS.US,D,20130828,000000,20.935,21.227,20.935,21.218,1673,0
DXJS.US,D,20130829,000000,21.306,21.459,21.306,21.435,2452,0
DXJS.US,D,20130830,000000,20.918,20.918,20.905,20.905,2601,0
DXJS.US,D,20130903,000000,21.411,21.411,21.395,21.395,372,0
DXJS.US,D,20130904,000000,21.41,21.711,21.41,21.711,5317,0
DXJS.US,D,20130905,000000,21.615,21.615,21.501,21.501,248,0
DXJS.US,D,20130906,000000,21.349,21.373,21.187,21.373,5205,0
DXJS.US,D,20130909,000000,21.711,22.333,21.711,22.178,8727,0
DXJS.US,D,20130910,000000,22.358,22.551,22.358,22.542,14053,0
DXJS.US,D,20130911,000000,22.276,22.317,22.001,22.292,81110,0
DXJS.US,D,20130912,000000,22.195,22.195,22.001,22.082,403179,0
DXJS.US,D,20130913,000000,22.13,22.326,22.113,22.326,9259,0
DXJS.US,D,20130916,000000,22.453,22.543,22.362,22.436,41642,0
DXJS.US,D,20130917,000000,22.436,22.543,22.436,22.543,10132,0
DXJS.US,D,20130918,000000,22.304,22.762,22.304,22.762,6447,0
DXJS.US,D,20130919,000000,23.003,23.077,22.753,22.898,17164,0
DXJS.US,D,20130920,000000,22.986,22.986,22.924,22.93,692,0
DXJS.US,D,20130923,000000,22.768,22.81,22.75,22.75,1217,0
DXJS.US,D,20130924,000000,22.802,23.003,22.735,22.776,15733,0
DXJS.US,D,20130925,000000,22.68,22.786,22.649,22.744,8424,0
DXJS.US,D,20130926,000000,22.915,23.042,20.177,23.042,5948,0
DXJS.US,D,20130927,000000,22.824,22.923,22.753,22.872,19391,0
DXJS.US,D,20130930,000000,22.786,22.923,22.786,22.869,1550,0
DXJS.US,D,20131001,000000,22.688,22.776,22.542,22.542,8035,0
DXJS.US,D,20131002,000000,22.154,22.463,22.154,22.463,4460,0
DXJS.US,D,20131003,000000,22.479,22.479,21.985,22.113,13008,0
DXJS.US,D,20131004,000000,21.995,22.213,21.929,22.213,8178,0
DXJS.US,D,20131007,000000,21.873,21.873,21.525,21.783,5081,0
DXJS.US,D,20131008,000000,21.72,21.767,21.631,21.75,6940,0
DXJS.US,D,20131009,000000,22.178,22.308,22.178,22.243,13008,0
DXJS.US,D,20131010,000000,22.641,22.762,22.641,22.724,5324,0
DXJS.US,D,20131011,000000,22.817,22.93,22.776,22.922,14912,0
DXJS.US,D,20131014,000000,23.559,23.559,22.672,22.994,8499,0
DXJS.US,D,20131015,000000,23.012,23.012,22.706,22.772,3281,0
DXJS.US,D,20131016,000000,22.866,22.971,22.862,22.971,3433,0
DXJS.US,D,20131017,000000,22.768,22.947,22.768,22.947,5327,0
DXJS.US,D,20131018,000000,22.923,23.067,22.923,23.067,1117,0
DXJS.US,D,20131021,000000,23.125,23.164,23.09,23.164,97883,0
DXJS.US,D,20131022,000000,23.295,23.325,23.173,23.251,8548,0
DXJS.US,D,20131023,000000,22.453,22.605,22.453,22.605,620,0
DXJS.US,D,20131024,000000,22.888,22.994,22.841,22.963,14372,0
DXJS.US,D,20131025,000000,22.711,22.85,22.706,22.727,41385,0
DXJS.US,D,20131028,000000,22.649,22.85,22.649,22.762,21436,0
DXJS.US,D,20131029,000000,22.986,23.09,22.939,23.077,18957,0
DXJS.US,D,20131030,000000,22.994,23.058,22.614,23.058,4087,0
DXJS.US,D,20131031,000000,22.978,23.021,22.916,22.978,10203,0
DXJS.US,D,20131101,000000,22.688,22.762,22.631,22.762,10283,0
DXJS.US,D,20131104,000000,22.641,22.786,22.598,22.786,8300,0
DXJS.US,D,20131105,000000,22.598,22.68,22.558,22.631,226869,0
DXJS.US,D,20131106,000000,22.923,22.954,22.824,22.93,4709,0
DXJS.US,D,20131107,000000,22.896,22.896,22.06,22.154,71241,0
DXJS.US,D,20131108,000000,22.591,22.776,22.591,22.744,77436,0
DXJS.US,D,20131111,000000,22.744,22.753,22.744,22.744,3594,0
DXJS.US,D,20131112,000000,22.866,22.978,22.833,22.915,10009,0
DXJS.US,D,20131113,000000,22.971,23.125,22.915,23.028,8180,0
DXJS.US,D,20131114,000000,23.406,23.536,23.278,23.505,44479,0
DXJS.US,D,20131115,000000,23.582,23.682,23.568,23.674,10658,0
DXJS.US,D,20131118,000000,23.599,23.666,23.406,23.544,90570,0
DXJS.US,D,20131119,000000,23.536,23.568,23.382,23.479,60189,0
DXJS.US,D,20131120,000000,23.552,23.647,23.497,23.528,23295,0
DXJS.US,D,20131121,000000,23.787,23.858,23.666,23.825,21040,0
DXJS.US,D,20131122,000000,23.657,23.762,23.544,23.739,18460,0
DXJS.US,D,20131125,000000,23.674,23.689,23.513,23.513,52038,0
DXJS.US,D,20131126,000000,23.59,23.59,23.479,23.544,10037,0
DXJS.US,D,20131127,000000,23.697,23.812,23.697,23.771,43614,0
DXJS.US,D,20131129,000000,23.689,23.787,23.689,23.754,13034,0
DXJS.US,D,20131202,000000,23.933,23.987,23.843,23.85,42743,0
DXJS.US,D,20131203,000000,23.559,23.641,23.413,23.528,216948,0
DXJS.US,D,20131204,000000,23.398,23.59,23.229,23.489,51739,0
DXJS.US,D,20131205,000000,23.333,23.342,23.125,23.125,46678,0
DXJS.US,D,20131206,000000,23.528,23.666,23.47,23.641,45969,0
DXJS.US,D,20131209,000000,23.657,23.713,23.576,23.682,28248,0
DXJS.US,D,20131210,000000,23.576,23.689,23.513,23.666,137280,0
DXJS.US,D,20131211,000000,23.521,23.59,23.303,23.367,187087,0
DXJS.US,D,20131212,000000,23.536,23.73,23.536,23.713,5948,0
DXJS.US,D,20131213,000000,23.489,23.489,23.375,23.375,56374,0
DXJS.US,D,20131216,000000,23.155,23.333,23.155,23.309,9787,0
DXJS.US,D,20131217,000000,23.285,23.351,23.176,23.198,9864,0
DXJS.US,D,20131218,000000,23.479,23.825,23.309,23.812,32712,0
DXJS.US,D,20131219,000000,23.389,23.413,23.303,23.351,61455,0
DXJS.US,D,20131220,000000,23.479,23.505,23.389,23.47,9663,0
DXJS.US,D,20131223,000000,23.552,23.713,23.497,23.705,31350,0
DXJS.US,D,20131224,000000,23.384,23.384,23.2,23.253,8442,0
DXJS.US,D,20131226,000000,23.7,23.99,23.7,23.847,75061,0
DXJS.US,D,20131227,000000,24.009,24.274,24.009,24.274,80360,0
DXJS.US,D,20131230,000000,24.556,24.563,24.355,24.5,73685,0
DXJS.US,D,20131231,000000,24.516,24.571,24.435,24.541,88518,0
DXJS.US,D,20140102,000000,24.393,24.509,24.016,24.056,118224,0
DXJS.US,D,20140103,000000,24.056,24.191,23.918,24.175,47719,0
DXJS.US,D,20140106,000000,24.274,24.378,23.983,24.161,62432,0
DXJS.US,D,20140107,000000,24.168,24.378,24.168,24.346,59219,0
DXJS.US,D,20140108,000000,24.581,24.662,24.411,24.494,451373,0
DXJS.US,D,20140109,000000,24.612,24.612,24.37,24.509,125485,0
DXJS.US,D,20140110,000000,24.681,24.681,24.314,24.556,84441,0
DXJS.US,D,20140113,000000,24.227,24.411,24,24.153,118190,0
DXJS.US,D,20140114,000000,24.21,24.581,24.21,24.525,93215,0
DXJS.US,D,20140115,000000,24.62,24.701,24.516,24.684,136365,0
DXJS.US,D,20140116,000000,24.468,24.589,24.366,24.581,92767,0
DXJS.US,D,20140117,000000,24.872,24.93,24.809,24.838,77023,0
DXJS.US,D,20140121,000000,25.01,25.01,24.791,25.002,153919,0
DXJS.US,D,20140122,000000,24.83,24.97,24.791,24.912,132161,0
DXJS.US,D,20140123,000000,24.378,24.435,23.983,24.128,406125,0
DXJS.US,D,20140124,000000,23.612,23.781,23.523,23.577,169219,0
DXJS.US,D,20140127,000000,23.594,23.602,23.149,23.424,107312,0
DXJS.US,D,20140128,000000,23.594,23.724,23.594,23.683,48472,0
DXJS.US,D,20140129,000000,23.45,23.7,23.319,23.643,37458,0
DXJS.US,D,20140130,000000,23.886,23.974,23.602,23.854,64042,0
DXJS.US,D,20140131,000000,23.043,23.424,23.043,23.092,56585,0
DXJS.US,D,20140203,000000,22.921,22.947,22.333,22.386,63184,0
DXJS.US,D,20140204,000000,21.985,22.374,21.895,22.3,113652,0
DXJS.US,D,20140205,000000,22.26,22.26,21.911,22.13,18100,0
DXJS.US,D,20140206,000000,22.284,22.818,22.284,22.728,39234,0
DXJS.US,D,20140207,000000,22.834,23.109,22.777,23.06,39675,0
DXJS.US,D,20140210,000000,23.078,23.078,22.874,22.978,18036,0
DXJS.US,D,20140211,000000,23.078,23.433,23.078,23.378,18404,0
DXJS.US,D,20140212,000000,23.271,23.297,23.133,23.247,56252,0
DXJS.US,D,20140213,000000,22.72,23.175,22.606,23.053,14947,0
DXJS.US,D,20140214,000000,22.852,23.005,22.745,22.936,26052,0
DXJS.US,D,20140218,000000,23.354,23.433,23.247,23.4,33544,0
DXJS.US,D,20140219,000000,23.262,23.369,23.087,23.087,25430,0
DXJS.US,D,20140220,000000,23.092,23.101,22.867,23.069,90217,0
DXJS.US,D,20140221,000000,23.416,23.473,23.231,23.345,12155,0
DXJS.US,D,20140224,000000,23.458,23.7,23.458,23.555,44775,0
DXJS.US,D,20140225,000000,23.546,23.546,23.28,23.409,31712,0
DXJS.US,D,20140226,000000,23.209,23.424,23.162,23.192,66349,0
DXJS.US,D,20140227,000000,23.119,23.216,22.938,23.209,8812,0
DXJS.US,D,20140228,000000,23.092,23.411,23.092,23.239,47787,0
DXJS.US,D,20140303,000000,22.688,22.803,22.554,22.65,103319,0
DXJS.US,D,20140304,000000,23.305,23.433,23.284,23.335,12327,0
DXJS.US,D,20140305,000000,23.305,23.305,23.093,23.099,19653,0
DXJS.US,D,20140306,000000,23.531,23.651,23.467,23.562,20554,0
DXJS.US,D,20140307,000000,23.678,23.814,23.416,23.499,14866,0
DXJS.US,D,20140310,000000,23.467,23.612,23.378,23.499,15272,0
DXJS.US,D,20140311,000000,23.4,23.433,23.184,23.2,6617,0
DXJS.US,D,20140312,000000,22.917,23.141,22.917,23.063,49447,0
DXJS.US,D,20140313,000000,23.053,23.073,22.396,22.495,27384,0
DXJS.US,D,20140314,000000,22.365,22.448,22.106,22.243,116150,0
DXJS.US,D,20140317,000000,22.349,22.503,22.326,22.421,17295,0
DXJS.US,D,20140318,000000,22.544,22.728,22.544,22.636,101311,0
DXJS.US,D,20140319,000000,22.51,22.825,22.453,22.712,11076,0
DXJS.US,D,20140320,000000,22.349,22.436,22.244,22.3,13616,0
DXJS.US,D,20140321,000000,22.396,22.444,22.115,22.205,45490,0
DXJS.US,D,20140324,000000,22.487,22.552,22.357,22.39,15052,0
DXJS.US,D,20140325,000000,22.65,22.673,22.597,22.615,41948,0
DXJS.US,D,20140326,000000,22.867,23.014,22.656,22.712,599113,0
DXJS.US,D,20140327,000000,23.101,23.119,22.921,23.092,30991,0
DXJS.US,D,20140328,000000,23.45,23.621,23.442,23.463,30551,0
DXJS.US,D,20140331,000000,23.629,23.734,23.458,23.562,18285,0
DXJS.US,D,20140401,000000,23.508,23.717,23.508,23.709,14843,0
DXJS.US,D,20140402,000000,23.602,23.806,23.602,23.791,19637,0
DXJS.US,D,20140403,000000,23.734,23.734,23.594,23.671,7076,0
DXJS.US,D,20140404,000000,23.629,23.709,23.32,23.384,50914,0
DXJS.US,D,20140407,000000,23.231,23.328,23.184,23.186,23462,0
DXJS.US,D,20140408,000000,22.487,22.615,22.405,22.405,18871,0
DXJS.US,D,20140409,000000,22.599,22.847,22.487,22.847,33594,0
DXJS.US,D,20140410,000000,22.444,22.444,22.033,22.097,62382,0
DXJS.US,D,20140411,000000,22.082,22.243,22.042,22.043,8996,0
DXJS.US,D,20140414,000000,22.559,22.567,22.226,22.365,29042,0
DXJS.US,D,20140415,000000,22.333,22.453,22.13,22.453,29866,0
DXJS.US,D,20140416,000000,22.867,22.908,22.745,22.903,153772,0
DXJS.US,D,20140417,000000,22.908,23.043,22.834,23.03,16341,0
DXJS.US,D,20140421,000000,23.109,23.141,23.014,23.053,45453,0
DXJS.US,D,20140422,000000,22.754,22.908,22.728,22.852,45960,0
DXJS.US,D,20140423,000000,22.86,22.917,22.811,22.882,6807,0
DXJS.US,D,20140424,000000,22.882,22.882,22.743,22.834,5982,0
DXJS.US,D,20140425,000000,22.874,22.902,22.823,22.823,3530,0
DXJS.US,D,20140428,000000,22.947,23.147,22.882,23.126,151554,0
DXJS.US,D,20140429,000000,23.133,23.222,23.133,23.175,16572,0
DXJS.US,D,20140430,000000,22.89,22.954,22.796,22.898,20882,0
DXJS.US,D,20140501,000000,23.2,23.332,23.2,23.23,6947,0
DXJS.US,D,20140502,000000,23.442,23.442,23.119,23.128,6549,0
DXJS.US,D,20140505,000000,23.014,23.157,23.014,23.119,52337,0
DXJS.US,D,20140506,000000,23.022,23.022,22.86,22.931,19243,0
DXJS.US,D,20140507,000000,22.834,22.852,22.665,22.834,9067,0
DXJS.US,D,20140508,000000,22.65,22.803,22.615,22.615,17585,0
DXJS.US,D,20140509,000000,22.852,22.874,22.734,22.825,4574,0
DXJS.US,D,20140512,000000,22.811,22.941,22.77,22.917,12996,0
DXJS.US,D,20140513,000000,22.96,23.119,22.96,23.055,43087,0
