<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBIZ.US,D,20181130,000000,15.438,15.515,15.438,15.515,887,0
EBIZ.US,D,20181203,000000,16.034,16.034,15.785,15.785,3042,0
EBIZ.US,D,20181204,000000,15.805,15.805,15.438,15.438,2061,0
EBIZ.US,D,20181206,000000,15.009,15.338,15.009,15.338,2078,0
EBIZ.US,D,20181207,000000,15.498,15.498,15.288,15.288,1346,0
EBIZ.US,D,20181210,000000,15.09,15.139,14.851,15.119,1807,0
EBIZ.US,D,20181211,000000,15.268,15.268,15.268,15.268,1050,0
EBIZ.US,D,20181212,000000,15.279,15.468,15.279,15.437,542,0
EBIZ.US,D,20181213,000000,15.348,15.348,15.348,15.348,100,0
EBIZ.US,D,20181217,000000,14.622,14.622,14.335,14.335,1300,0
EBIZ.US,D,20181218,000000,14.275,14.275,14.145,14.145,575,0
EBIZ.US,D,20181219,000000,13.808,13.808,13.808,13.808,137,0
EBIZ.US,D,20190107,000000,14.621,14.642,14.602,14.642,804,0
EBIZ.US,D,20190108,000000,14.772,14.772,14.712,14.712,636,0
EBIZ.US,D,20190109,000000,14.961,15.027,14.961,15.027,386,0
EBIZ.US,D,20190110,000000,14.735,14.841,14.735,14.841,3126,0
EBIZ.US,D,20190111,000000,14.901,14.901,14.901,14.901,324,0
EBIZ.US,D,20190114,000000,14.831,14.881,14.826,14.861,7048,0
EBIZ.US,D,20190115,000000,14.986,15.07,14.986,15.041,1501,0
EBIZ.US,D,20190116,000000,15.109,15.209,15.109,15.209,2750,0
EBIZ.US,D,20190117,000000,15.269,15.388,15.229,15.388,693,0
EBIZ.US,D,20190118,000000,15.498,15.597,15.498,15.587,4364,0
EBIZ.US,D,20190122,000000,15.358,15.358,15.358,15.358,394,0
EBIZ.US,D,20190123,000000,15.279,15.279,15.279,15.279,1941,0
EBIZ.US,D,20190124,000000,15.488,15.488,15.408,15.478,631,0
EBIZ.US,D,20190125,000000,15.658,15.658,15.658,15.658,376,0
EBIZ.US,D,20190128,000000,15.589,15.799,15.577,15.799,1259,0
EBIZ.US,D,20190129,000000,15.726,15.726,15.698,15.707,3840,0
EBIZ.US,D,20190130,000000,15.994,15.994,15.986,15.986,1102,0
EBIZ.US,D,20190131,000000,16.054,16.054,16.054,16.054,480,0
EBIZ.US,D,20190201,000000,16.109,16.139,16.107,16.134,1529,0
EBIZ.US,D,20190204,000000,16.184,16.184,16.184,16.184,682,0
EBIZ.US,D,20190205,000000,16.431,16.67,16.431,16.581,2201,0
EBIZ.US,D,20190206,000000,16.408,16.408,16.408,16.408,727,0
EBIZ.US,D,20190207,000000,16.154,16.154,15.965,16.055,2787,0
EBIZ.US,D,20190208,000000,16.064,16.174,16.064,16.154,1252,0
EBIZ.US,D,20190211,000000,16.252,16.263,16.203,16.253,32071,0
EBIZ.US,D,20190212,000000,16.401,16.501,16.401,16.501,3582,0
