<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECOW.US,D,20190506,000000,21.981,21.981,21.981,21.981,227,0
ECOW.US,D,20190507,000000,21.744,21.744,21.744,21.744,159,0
ECOW.US,D,20190509,000000,21.451,21.451,21.451,21.451,113,0
ECOW.US,D,20190517,000000,20.851,20.851,20.844,20.844,814,0
ECOW.US,D,20190604,000000,21.443,21.451,21.443,21.443,3497,0
ECOW.US,D,20190626,000000,22.374,22.374,22.374,22.374,112,0
ECOW.US,D,20190708,000000,22.47,22.479,22.47,22.479,1118,0
ECOW.US,D,20190722,000000,22.57,22.57,22.533,22.533,797,0
ECOW.US,D,20190723,000000,22.559,22.559,22.559,22.559,269,0
ECOW.US,D,20190725,000000,22.497,22.515,22.452,22.46,11416,0
ECOW.US,D,20190726,000000,22.427,22.427,22.375,22.384,5947,0
ECOW.US,D,20190729,000000,22.32,22.374,22.285,22.373,7435,0
ECOW.US,D,20190730,000000,22.247,22.247,22.234,22.247,847,0
ECOW.US,D,20190731,000000,22.265,22.283,22.104,22.104,1567,0
ECOW.US,D,20190801,000000,22.095,22.115,21.681,21.684,1570,0
ECOW.US,D,20190802,000000,21.587,21.587,21.416,21.416,784,0
ECOW.US,D,20190805,000000,20.988,20.988,20.784,20.784,1869,0
ECOW.US,D,20190806,000000,21.139,21.139,21.078,21.078,352,0
ECOW.US,D,20190807,000000,20.864,21.05,20.864,21.05,1055,0
ECOW.US,D,20190808,000000,21.165,21.165,21.165,21.165,281,0
ECOW.US,D,20190809,000000,20.966,20.97,20.966,20.97,446,0
ECOW.US,D,20190812,000000,20.802,20.802,20.802,20.802,112,0
ECOW.US,D,20190813,000000,20.73,21.059,20.72,21.015,2109,0
ECOW.US,D,20190814,000000,20.567,20.567,20.451,20.451,786,0
ECOW.US,D,20190815,000000,20.424,20.424,20.424,20.424,112,0
ECOW.US,D,20190816,000000,20.577,20.594,20.577,20.594,446,0
ECOW.US,D,20190819,000000,20.73,20.73,20.595,20.598,7165,0
