<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDUT.US,D,20200715,000000,14.899,15.108,14.899,15.108,19205,0
EDUT.US,D,20200716,000000,15.019,15.019,14.679,14.775,4585,0
EDUT.US,D,20200717,000000,15.049,15.049,14.769,15.019,2153,0
EDUT.US,D,20200720,000000,15.178,16.018,15.178,15.562,11625,0
EDUT.US,D,20200721,000000,16.248,16.248,15.668,15.767,5409,0
EDUT.US,D,20200722,000000,15.778,15.788,15.488,15.658,6293,0
EDUT.US,D,20200723,000000,15.848,15.868,15.288,15.378,14206,0
EDUT.US,D,20200724,000000,15.168,15.178,14.809,15.093,8190,0
EDUT.US,D,20200727,000000,15.208,15.458,15.158,15.458,6361,0
EDUT.US,D,20200728,000000,15.338,15.448,15.338,15.388,2386,0
EDUT.US,D,20200729,000000,15.368,15.498,15.098,15.108,7247,0
EDUT.US,D,20200730,000000,15.198,15.508,15.198,15.508,1690,0
EDUT.US,D,20200731,000000,15.518,15.567,15.327,15.432,11833,0
EDUT.US,D,20200803,000000,15.738,16.087,15.738,16.008,6091,0
EDUT.US,D,20200804,000000,15.988,16.397,15.988,16.397,7604,0
EDUT.US,D,20200805,000000,16.457,16.757,16.446,16.737,14322,0
EDUT.US,D,20200806,000000,16.737,17.107,16.607,17.107,18634,0
EDUT.US,D,20200807,000000,17.167,17.167,15.988,16.198,134186,0
EDUT.US,D,20200810,000000,16.298,16.298,15.63,15.868,17534,0
EDUT.US,D,20200811,000000,15.888,16.098,15.508,15.665,5759,0
EDUT.US,D,20200812,000000,15.508,15.838,15.508,15.668,42676,0
EDUT.US,D,20200813,000000,15.857,15.857,15.678,15.782,5120,0
EDUT.US,D,20200814,000000,15.668,15.668,15.333,15.386,15954,0
EDUT.US,D,20200817,000000,15.648,15.648,15.538,15.638,3229,0
EDUT.US,D,20200818,000000,15.538,15.768,15.538,15.748,6790,0
EDUT.US,D,20200819,000000,15.838,15.838,15.518,15.539,21102,0
EDUT.US,D,20200820,000000,15.488,15.728,15.448,15.723,6119,0
EDUT.US,D,20200821,000000,15.768,15.777,15.638,15.743,3141,0
EDUT.US,D,20200824,000000,16.048,16.048,15.538,15.553,7655,0
EDUT.US,D,20200825,000000,15.618,15.748,15.598,15.719,6574,0
EDUT.US,D,20200826,000000,15.858,15.858,15.698,15.778,27957,0
EDUT.US,D,20200827,000000,15.688,15.778,15.588,15.693,9507,0
EDUT.US,D,20200828,000000,15.928,15.928,15.811,15.833,7740,0
EDUT.US,D,20200831,000000,15.978,16.048,15.898,15.984,11926,0
EDUT.US,D,20200901,000000,16.487,17.027,16.487,17.026,17686,0
EDUT.US,D,20200902,000000,17.237,17.237,16.457,16.641,243903,0
EDUT.US,D,20200903,000000,16.487,16.487,15.678,15.748,12294,0
EDUT.US,D,20200904,000000,15.938,15.938,15.218,15.653,13724,0
EDUT.US,D,20200908,000000,15.288,15.468,15.088,15.343,5954,0
EDUT.US,D,20200909,000000,15.463,15.546,15.358,15.541,3138,0
EDUT.US,D,20200910,000000,15.665,15.665,15.293,15.401,4165,0
EDUT.US,D,20200911,000000,15.638,15.638,15.298,15.428,1389,0
EDUT.US,D,20200914,000000,15.598,15.871,15.588,15.871,2676,0
EDUT.US,D,20200915,000000,16.088,16.088,15.938,16.058,777,0
EDUT.US,D,20200916,000000,16.148,16.253,16.128,16.215,2776,0
EDUT.US,D,20200917,000000,15.808,16.186,15.808,16.186,1831,0
