<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EEMA.US,D,20120222,000000,47.039,47.039,47.039,47.039,291,0
EEMA.US,D,20120223,000000,46.971,49.416,46.791,47.14,2965,0
EEMA.US,D,20120224,000000,46.979,46.979,46.979,46.979,120,0
EEMA.US,D,20120227,000000,45.547,48.582,45.547,46.442,2316,0
EEMA.US,D,20120228,000000,46.724,46.824,46.724,46.824,1801,0
EEMA.US,D,20120302,000000,47.464,47.492,47.464,47.492,1434,0
EEMA.US,D,20120305,000000,46.886,46.886,46.886,46.886,424,0
EEMA.US,D,20120307,000000,45.47,45.47,45.179,45.461,2113,0
EEMA.US,D,20120309,000000,47.006,47.006,46.876,46.962,28629,0
EEMA.US,D,20120312,000000,46.299,46.299,46.299,46.299,211,0
EEMA.US,D,20120316,000000,47.021,47.021,47.021,47.021,468,0
EEMA.US,D,20120319,000000,46.757,46.791,46.645,46.645,1226,0
EEMA.US,D,20120320,000000,46.475,46.475,45.99,45.99,468,0
EEMA.US,D,20120321,000000,46.179,46.408,46.152,46.408,16799,0
EEMA.US,D,20120322,000000,45.803,45.854,45.803,45.854,851,0
EEMA.US,D,20120323,000000,45.854,45.871,45.854,45.871,352,0
EEMA.US,D,20120326,000000,46.237,46.399,46.237,46.399,352,0
EEMA.US,D,20120410,000000,44.864,44.864,44.864,44.864,120,0
EEMA.US,D,20120412,000000,46.434,46.434,46.39,46.39,312,0
EEMA.US,D,20120416,000000,46.39,46.39,45.598,45.598,823,0
EEMA.US,D,20120418,000000,45.897,46.094,45.871,45.879,309614,0
EEMA.US,D,20120419,000000,45.658,45.827,45.658,45.827,544,0
EEMA.US,D,20120420,000000,46.205,47.73,45.906,45.906,1412,0
EEMA.US,D,20120423,000000,44.924,45.207,44.839,45.121,4562,0
EEMA.US,D,20120424,000000,45.333,45.333,45.282,45.282,879,0
EEMA.US,D,20120425,000000,45.495,45.658,45.495,45.658,911,0
EEMA.US,D,20120426,000000,45.981,45.981,45.973,45.973,449,0
EEMA.US,D,20120427,000000,45.939,45.999,45.854,45.999,1739,0
EEMA.US,D,20120430,000000,46.186,46.186,45.889,45.889,488,0
EEMA.US,D,20120501,000000,46.546,46.562,46.51,46.51,856,0
EEMA.US,D,20120502,000000,46.262,46.262,46.262,46.262,192,0
EEMA.US,D,20120503,000000,46.364,46.434,46.057,46.228,5006,0
EEMA.US,D,20120504,000000,45.863,46.219,45.43,45.575,4272,0
EEMA.US,D,20120507,000000,45.495,45.787,45.43,45.787,4622,0
EEMA.US,D,20120508,000000,44.789,44.949,44.789,44.949,1770,0
EEMA.US,D,20120509,000000,44.294,44.294,43.894,43.894,3908,0
EEMA.US,D,20120510,000000,44.31,44.32,44.192,44.192,1325,0
EEMA.US,D,20120511,000000,43.902,44.033,43.698,43.698,1299,0
EEMA.US,D,20120514,000000,42.957,43.057,42.957,43.057,998,0
EEMA.US,D,20120515,000000,42.957,42.973,42.77,42.77,732,0
EEMA.US,D,20120516,000000,41.967,42.01,41.644,41.644,1569,0
EEMA.US,D,20120517,000000,41.618,41.755,41.474,41.644,2497,0
EEMA.US,D,20120518,000000,41.414,41.524,40.783,40.783,3098,0
EEMA.US,D,20120521,000000,41.269,41.72,41.269,41.72,1431,0
EEMA.US,D,20120522,000000,41.9,41.967,41.9,41.9,1573,0
EEMA.US,D,20120523,000000,41.073,41.073,40.842,40.977,1709,0
EEMA.US,D,20120524,000000,40.952,40.977,40.946,40.946,382,0
EEMA.US,D,20120525,000000,40.939,40.952,40.621,40.621,1353,0
EEMA.US,D,20120529,000000,41.924,41.924,41.755,41.755,1604,0
EEMA.US,D,20120530,000000,41.319,41.498,41.319,41.498,818,0
EEMA.US,D,20120531,000000,41.507,41.737,41.355,41.737,3248,0
EEMA.US,D,20120601,000000,40.715,40.826,40.56,40.56,3450,0
EEMA.US,D,20120604,000000,40.408,41.217,40.408,40.459,3764,0
EEMA.US,D,20120605,000000,40.696,40.748,40.482,40.748,1073,0
EEMA.US,D,20120606,000000,42.002,42.002,41.975,41.975,1388,0
EEMA.US,D,20120607,000000,42.492,42.785,42.355,42.355,943,0
EEMA.US,D,20120608,000000,41.727,42.027,41.727,41.992,2220,0
EEMA.US,D,20120611,000000,42.086,42.086,41.865,41.908,1099,0
EEMA.US,D,20120612,000000,42.335,42.378,42.335,42.378,468,0
EEMA.US,D,20120613,000000,42.59,42.59,42.284,42.284,593,0
EEMA.US,D,20120614,000000,42.395,42.395,42.215,42.215,348,0
EEMA.US,D,20120615,000000,42.759,42.828,42.679,42.679,564,0
EEMA.US,D,20120618,000000,43.024,43.238,43.024,43.238,1245,0
EEMA.US,D,20120619,000000,43.894,43.965,43.612,43.714,1888,0
EEMA.US,D,20120620,000000,43.449,43.714,43.441,43.698,1827,0
EEMA.US,D,20120621,000000,42.5,42.622,42.097,42.14,1848,0
EEMA.US,D,20120622,000000,41.727,41.884,41.727,41.884,538,0
EEMA.US,D,20120625,000000,41.04,41.108,40.852,41.005,2580,0
EEMA.US,D,20120626,000000,41.368,41.463,41.068,41.444,1247,0
EEMA.US,D,20120627,000000,41.762,41.762,41.754,41.754,237,0
EEMA.US,D,20120628,000000,41.29,41.625,41.255,41.625,787,0
EEMA.US,D,20120629,000000,42.895,43.128,42.895,43.128,481,0
EEMA.US,D,20120702,000000,43.138,43.208,42.983,43.042,1018,0
EEMA.US,D,20120703,000000,43.496,43.978,43.496,43.978,350,0
EEMA.US,D,20120705,000000,43.609,43.749,43.584,43.584,704,0
EEMA.US,D,20120706,000000,43.058,43.058,42.793,42.948,989,0
EEMA.US,D,20120709,000000,42.606,42.664,42.606,42.614,851,0
EEMA.US,D,20120710,000000,42.614,42.622,42.614,42.622,583,0
EEMA.US,D,20120711,000000,42.475,42.475,42.475,42.475,183,0
EEMA.US,D,20120712,000000,41.651,41.856,41.651,41.856,1341,0
EEMA.US,D,20120713,000000,42.236,42.485,42.236,42.485,472,0
EEMA.US,D,20120716,000000,42.14,42.339,42.133,42.278,1281,0
EEMA.US,D,20120717,000000,42.046,42.236,41.673,42.184,226866,0
EEMA.US,D,20120718,000000,41.909,42.081,41.694,42.081,1058,0
EEMA.US,D,20120719,000000,42.614,42.793,41.678,42.793,701,0
EEMA.US,D,20120720,000000,42.391,42.391,42.02,42.02,465,0
EEMA.US,D,20120723,000000,41.651,41.71,40.678,41.307,3879,0
EEMA.US,D,20120724,000000,40.989,40.989,40.827,40.827,525,0
EEMA.US,D,20120727,000000,42.311,43.292,42.311,42.416,2684,0
EEMA.US,D,20120730,000000,42.932,42.932,42.851,42.851,350,0
EEMA.US,D,20120731,000000,43.324,43.324,43.266,43.266,467,0
EEMA.US,D,20120801,000000,43.592,43.73,43.266,43.266,953,0
EEMA.US,D,20120802,000000,42.769,42.887,42.355,42.432,66952,0
EEMA.US,D,20120803,000000,43.669,43.874,43.592,43.592,2562,0
EEMA.US,D,20120806,000000,43.756,43.824,43.756,43.824,583,0
EEMA.US,D,20120807,000000,43.283,44.057,43.283,44.057,263,0
EEMA.US,D,20120808,000000,44.676,44.676,44.033,44.033,1543,0
EEMA.US,D,20120809,000000,45.345,45.345,44.409,44.442,3316,0
EEMA.US,D,20120810,000000,44.367,44.367,44.287,44.367,350,0
EEMA.US,D,20120813,000000,44.007,44.007,44.007,44.007,312,0
EEMA.US,D,20120814,000000,44.469,44.469,44.33,44.33,816,0
EEMA.US,D,20120815,000000,44.033,44.731,43.988,43.988,146548,0
EEMA.US,D,20120816,000000,44.064,44.133,44.064,44.133,688,0
EEMA.US,D,20120817,000000,44.047,44.064,43.832,43.965,4155,0
EEMA.US,D,20120820,000000,43.128,44.064,43.128,44.057,11920,0
EEMA.US,D,20120821,000000,44.256,44.256,44.247,44.247,233,0
EEMA.US,D,20120824,000000,43.496,43.542,43.49,43.49,928,0
EEMA.US,D,20120827,000000,43.496,43.496,43.385,43.385,640,0
EEMA.US,D,20120828,000000,42.802,43.087,42.802,43.087,264,0
EEMA.US,D,20120829,000000,43.025,43.342,43.025,43.232,3581,0
EEMA.US,D,20120830,000000,42.811,42.811,42.811,42.811,244,0
EEMA.US,D,20120904,000000,42.167,42.983,42.167,42.983,432,0
EEMA.US,D,20120905,000000,42.631,42.631,42.631,42.631,119,0
EEMA.US,D,20120912,000000,44.58,44.638,44.58,44.597,1170,0
EEMA.US,D,20120914,000000,46.41,46.548,46.392,46.41,698,0
EEMA.US,D,20120917,000000,46.401,46.401,46.392,46.392,350,0
EEMA.US,D,20120918,000000,45.955,45.955,45.955,45.955,203,0
EEMA.US,D,20120919,000000,46.174,46.174,46.174,46.174,119,0
EEMA.US,D,20120920,000000,45.372,45.372,45.372,45.372,119,0
EEMA.US,D,20120921,000000,46.066,46.066,46.066,46.066,242,0
EEMA.US,D,20120924,000000,45.833,45.833,45.833,45.833,133,0
EEMA.US,D,20120925,000000,46.205,46.205,45.87,45.998,2598,0
EEMA.US,D,20120926,000000,45.042,45.071,45.042,45.042,2328,0
EEMA.US,D,20120927,000000,45.621,46.143,45.621,46.143,1606,0
EEMA.US,D,20120928,000000,45.946,46.008,45.87,46.008,926,0
EEMA.US,D,20121001,000000,46.573,47.038,46.513,46.513,2451,0
EEMA.US,D,20121003,000000,46.187,46.187,46.187,46.187,119,0
EEMA.US,D,20121004,000000,46.668,46.739,46.616,46.616,1259,0
EEMA.US,D,20121005,000000,46.874,46.874,46.874,46.874,119,0
EEMA.US,D,20121009,000000,45.937,45.937,45.937,45.937,154,0
EEMA.US,D,20121010,000000,45.516,45.516,45.516,45.516,159,0
EEMA.US,D,20121012,000000,45.824,45.824,45.824,45.824,325,0
EEMA.US,D,20121015,000000,45.913,45.913,45.88,45.88,698,0
EEMA.US,D,20121017,000000,46.573,46.944,46.573,46.886,18013,0
EEMA.US,D,20121018,000000,46.753,46.753,46.721,46.73,1397,0
EEMA.US,D,20121022,000000,46.417,46.417,46.417,46.417,233,0
EEMA.US,D,20121023,000000,45.708,45.708,45.708,45.708,424,0
EEMA.US,D,20121024,000000,45.955,45.955,45.955,45.955,119,0
EEMA.US,D,20121025,000000,46.282,46.282,46.282,46.282,350,0
EEMA.US,D,20121026,000000,45.747,45.963,45.747,45.963,1516,0
EEMA.US,D,20121101,000000,46.821,46.821,46.685,46.685,2484,0
EEMA.US,D,20121102,000000,46.658,46.658,46.658,46.658,233,0
EEMA.US,D,20121106,000000,46.658,46.658,46.658,46.658,119,0
EEMA.US,D,20121109,000000,46.238,46.238,45.816,45.937,22245,0
EEMA.US,D,20121115,000000,45.268,45.268,45.268,45.268,119,0
EEMA.US,D,20121116,000000,45.122,45.122,45.018,45.018,465,0
EEMA.US,D,20121119,000000,45.259,45.87,45.259,45.87,288,0
EEMA.US,D,20121120,000000,45.695,45.747,45.686,45.747,2328,0
EEMA.US,D,20121123,000000,46.909,46.909,46.865,46.865,874,0
EEMA.US,D,20121126,000000,46.169,47.014,46.169,47.014,2540,0
EEMA.US,D,20121127,000000,46.771,46.978,46.739,46.978,322378,0
EEMA.US,D,20121128,000000,46.401,46.865,46.401,46.865,1872,0
EEMA.US,D,20121129,000000,47.218,47.218,47.191,47.191,465,0
EEMA.US,D,20121130,000000,47.441,47.673,47.271,47.381,17004,0
EEMA.US,D,20121203,000000,47.579,48.007,47.381,47.485,5937,0
EEMA.US,D,20121204,000000,47.835,47.835,47.512,47.518,13381,0
EEMA.US,D,20121205,000000,48.292,48.292,48.094,48.094,1004,0
EEMA.US,D,20121206,000000,48.155,48.292,48.102,48.136,22698,0
EEMA.US,D,20121207,000000,48.911,49.178,48.273,48.328,5959,0
EEMA.US,D,20121210,000000,48.497,48.677,48.497,48.668,2998,0
EEMA.US,D,20121211,000000,48.862,49.029,48.862,49.012,1990,0
EEMA.US,D,20121214,000000,48.918,48.936,48.918,48.936,698,0
EEMA.US,D,20121217,000000,49.048,49.231,49.048,49.073,3535,0
EEMA.US,D,20121218,000000,48.55,48.815,48.55,48.703,2679,0
EEMA.US,D,20121219,000000,48.661,48.72,48.569,48.651,14220,0
EEMA.US,D,20121220,000000,48.523,49.563,48.523,48.883,1642,0
EEMA.US,D,20121221,000000,48.164,48.541,47.854,48.24,18160,0
EEMA.US,D,20121224,000000,48.488,48.488,48.488,48.488,233,0
EEMA.US,D,20121227,000000,48.585,48.593,48.223,48.223,854,0
EEMA.US,D,20121228,000000,48.773,49.112,48.773,49.082,1431,0
EEMA.US,D,20121231,000000,49.142,50.345,49.142,49.475,3848,0
EEMA.US,D,20130102,000000,51.866,51.866,50.688,50.963,8751,0
EEMA.US,D,20130103,000000,51.032,51.032,50.485,50.551,3580,0
EEMA.US,D,20130104,000000,50.861,50.861,50.391,50.467,1383,0
EEMA.US,D,20130107,000000,49.917,49.934,49.917,49.926,2211,0
EEMA.US,D,20130108,000000,49.341,49.647,49.341,49.582,1417,0
EEMA.US,D,20130109,000000,49.857,50.09,49.857,49.983,13612,0
EEMA.US,D,20130110,000000,50.2,50.352,50.138,50.338,3584,0
EEMA.US,D,20130111,000000,49.926,50.058,49.926,50.058,3173,0
EEMA.US,D,20130114,000000,50.844,50.844,49.907,49.926,3992,0
EEMA.US,D,20130115,000000,49.88,50.009,49.88,49.897,3311,0
EEMA.US,D,20130116,000000,50.258,54.419,49.572,49.572,2144394,0
EEMA.US,D,20130117,000000,50.009,50.673,50.009,50.045,20531,0
EEMA.US,D,20130118,000000,51.195,51.195,50.114,50.234,27812,0
EEMA.US,D,20130122,000000,50.277,50.277,49.786,49.897,38560,0
EEMA.US,D,20130123,000000,49.888,49.902,49.333,49.538,30989,0
EEMA.US,D,20130124,000000,49.475,49.735,49.151,49.227,17727,0
