<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFAS.US,D,20161116,000000,12.178,12.178,12.178,12.178,244,0
EFAS.US,D,20161117,000000,12.229,12.229,12.229,12.229,3945,0
EFAS.US,D,20161118,000000,12.116,12.116,12.116,12.116,2928,0
EFAS.US,D,20161121,000000,12.185,12.185,12.185,12.185,120,0
EFAS.US,D,20161125,000000,12.353,12.353,12.353,12.353,1536,0
EFAS.US,D,20161128,000000,12.278,12.278,12.278,12.278,643,0
EFAS.US,D,20161129,000000,12.229,12.229,12.229,12.229,265,0
EFAS.US,D,20161205,000000,12.462,12.541,12.462,12.541,894,0
EFAS.US,D,20161206,000000,12.676,12.676,12.676,12.676,194,0
EFAS.US,D,20161208,000000,12.811,12.811,12.811,12.811,186,0
EFAS.US,D,20161212,000000,12.862,12.862,12.862,12.862,420,0
EFAS.US,D,20161213,000000,12.983,12.983,12.983,12.983,306,0
EFAS.US,D,20161214,000000,12.949,12.958,12.888,12.888,430,0
EFAS.US,D,20170111,000000,13.041,13.064,13.041,13.064,413,0
EFAS.US,D,20170123,000000,13.17,13.17,13.156,13.156,483,0
EFAS.US,D,20170125,000000,13.384,13.386,13.384,13.386,259,0
EFAS.US,D,20170127,000000,13.303,13.303,13.303,13.303,117,0
EFAS.US,D,20170130,000000,13.164,13.164,13.164,13.164,612,0
EFAS.US,D,20170131,000000,13.228,13.228,13.228,13.228,482,0
EFAS.US,D,20170203,000000,13.21,13.234,13.21,13.234,2386,0
EFAS.US,D,20170206,000000,13.058,13.079,13.058,13.063,837,0
EFAS.US,D,20170207,000000,13.045,13.063,13.045,13.063,1344,0
EFAS.US,D,20170213,000000,13.408,13.408,13.298,13.298,1224,0
EFAS.US,D,20170215,000000,13.343,13.343,13.343,13.343,1029,0
EFAS.US,D,20170216,000000,13.358,13.358,13.358,13.358,1214,0
EFAS.US,D,20170217,000000,13.318,13.318,13.216,13.253,1582,0
EFAS.US,D,20170222,000000,13.16,13.21,13.16,13.21,628,0
EFAS.US,D,20170223,000000,13.309,13.309,13.309,13.309,244,0
EFAS.US,D,20170224,000000,13.063,13.063,13.063,13.063,117,0
EFAS.US,D,20170227,000000,13.112,13.112,13.112,13.112,400,0
EFAS.US,D,20170228,000000,13.097,13.168,13.097,13.168,3636,0
EFAS.US,D,20170302,000000,13.315,13.315,13.267,13.267,243,0
EFAS.US,D,20170303,000000,13.277,13.277,13.277,13.277,117,0
EFAS.US,D,20170306,000000,13.323,13.323,13.297,13.297,608,0
EFAS.US,D,20170308,000000,13.157,13.157,13.157,13.157,304,0
EFAS.US,D,20170310,000000,13.362,13.406,13.362,13.406,1393,0
EFAS.US,D,20170313,000000,13.438,13.456,13.417,13.456,4017,0
EFAS.US,D,20170315,000000,13.466,13.466,13.399,13.443,721,0
EFAS.US,D,20170317,000000,13.605,13.641,13.605,13.641,1509,0
