<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMB.US,D,20071219,000000,65.285,65.407,65.285,65.407,74135,0
EMB.US,D,20071220,000000,65.466,65.466,65.434,65.434,2322,0
EMB.US,D,20071221,000000,65.582,65.612,65.28,65.358,36373,0
EMB.US,D,20071224,000000,65.478,65.478,65.478,65.478,103,0
EMB.US,D,20071226,000000,65.453,65.522,65.453,65.522,630,0
EMB.US,D,20071227,000000,65.428,65.428,65.323,65.373,2016,0
EMB.US,D,20071228,000000,65.393,65.399,65.373,65.399,4488,0
EMB.US,D,20071231,000000,65.5,65.517,65.487,65.487,2472,0
EMB.US,D,20080102,000000,65.358,65.604,65.358,65.576,11760,0
EMB.US,D,20080103,000000,65.758,65.758,65.695,65.695,3560,0
EMB.US,D,20080104,000000,65.742,65.742,65.687,65.73,2790,0
EMB.US,D,20080107,000000,65.814,65.873,65.71,65.873,17020,0
EMB.US,D,20080108,000000,66.057,66.057,65.42,66.036,70723,0
EMB.US,D,20080109,000000,66.051,66.051,65.984,65.984,2166,0
EMB.US,D,20080110,000000,65.966,66.045,65.966,66.045,451,0
EMB.US,D,20080111,000000,65.922,65.953,65.804,65.804,2790,0
EMB.US,D,20080114,000000,65.972,66.032,65.972,66.032,20278,0
EMB.US,D,20080115,000000,66.077,66.139,66.077,66.139,161110,0
EMB.US,D,20080116,000000,66.127,66.23,65.977,66.23,4794,0
EMB.US,D,20080117,000000,66.216,66.216,66.1,66.17,70723,0
EMB.US,D,20080118,000000,65.948,66.216,65.94,66.209,6650,0
EMB.US,D,20080122,000000,65.909,65.917,65.621,65.894,9285,0
EMB.US,D,20080123,000000,65.935,66.07,65.844,65.909,18571,0
EMB.US,D,20080124,000000,66.083,66.083,65.753,65.922,41628,0
EMB.US,D,20080125,000000,65.948,66.07,65.948,66.028,2166,0
EMB.US,D,20080128,000000,65.977,65.999,65.977,65.999,3092,0
EMB.US,D,20080129,000000,66.051,66.051,65.887,65.887,1851,0
EMB.US,D,20080130,000000,65.837,66.089,65.837,66.089,3711,0
EMB.US,D,20080131,000000,66.1,66.124,66.007,66.108,932,0
EMB.US,D,20080201,000000,66.089,66.089,65.627,65.804,11304,0
EMB.US,D,20080204,000000,65.829,65.829,65.829,65.829,1708,0
EMB.US,D,20080205,000000,65.87,65.87,65.582,65.681,17955,0
EMB.US,D,20080206,000000,65.681,65.71,65.681,65.71,2942,0
EMB.US,D,20080207,000000,65.589,65.589,65.28,65.478,17332,0
EMB.US,D,20080208,000000,65.145,65.222,65.07,65.222,11304,0
EMB.US,D,20080211,000000,65.268,65.268,65.095,65.191,6650,0
EMB.US,D,20080212,000000,65.159,65.209,65.044,65.209,5100,0
EMB.US,D,20080213,000000,65.185,65.331,65.185,65.331,4950,0
EMB.US,D,20080214,000000,65.351,65.351,65.276,65.323,5417,0
EMB.US,D,20080215,000000,65.285,65.453,65.285,65.453,1402,0
EMB.US,D,20080219,000000,65.145,65.145,64.958,64.958,3400,0
EMB.US,D,20080221,000000,65.026,65.026,64.813,64.886,2472,0
EMB.US,D,20080222,000000,65.126,65.126,65.126,65.126,2632,0
EMB.US,D,20080225,000000,65.172,65.209,65.172,65.209,3252,0
EMB.US,D,20080226,000000,65.166,65.276,65.166,65.268,1708,0
EMB.US,D,20080227,000000,65.365,65.434,65.365,65.399,31879,0
EMB.US,D,20080228,000000,65.331,65.338,65.331,65.338,336449,0
EMB.US,D,20080229,000000,65.51,65.533,65.44,65.527,4649,0
EMB.US,D,20080303,000000,65.298,65.298,65.088,65.268,5417,0
EMB.US,D,20080304,000000,65.105,65.268,65.055,65.185,6345,0
EMB.US,D,20080305,000000,65.258,65.276,65.197,65.276,5260,0
EMB.US,D,20080306,000000,65.28,65.28,65.18,65.18,1402,0
EMB.US,D,20080307,000000,65.132,65.132,65.07,65.112,5568,0
EMB.US,D,20080310,000000,65.132,65.132,65.12,65.12,2016,0
EMB.US,D,20080311,000000,65.062,65.062,64.969,65.062,2322,0
EMB.US,D,20080312,000000,65.145,65.145,65.095,65.095,8511,0
EMB.US,D,20080313,000000,65.12,65.151,64.868,64.936,9285,0
EMB.US,D,20080314,000000,65.151,65.222,65.062,65.222,10840,0
EMB.US,D,20080317,000000,65.004,65.088,64.958,65.088,1094,0
EMB.US,D,20080318,000000,64.977,65.413,64.958,65.413,10225,0
EMB.US,D,20080319,000000,65.46,65.487,65.268,65.487,3252,0
EMB.US,D,20080320,000000,65.202,65.478,65.202,65.478,3252,0
EMB.US,D,20080324,000000,65.466,65.487,65.252,65.487,6650,0
EMB.US,D,20080325,000000,65.323,65.51,65.323,65.358,8360,0
EMB.US,D,20080326,000000,65.471,65.487,65.393,65.487,11446,0
EMB.US,D,20080327,000000,65.276,65.466,65.276,65.466,3400,0
EMB.US,D,20080328,000000,65.407,65.407,65.139,65.338,6036,0
EMB.US,D,20080331,000000,65.378,65.378,65.31,65.316,3560,0
