<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMCB.US,D,20120313,000000,51.635,51.635,51.548,51.62,86438,0
EMCB.US,D,20120314,000000,51.604,51.652,51.587,51.587,264483,0
EMCB.US,D,20120315,000000,51.477,51.482,51.454,51.468,25062,0
EMCB.US,D,20120316,000000,51.459,51.541,51.459,51.541,18341,0
EMCB.US,D,20120319,000000,51.541,51.668,51.541,51.553,15458,0
EMCB.US,D,20120320,000000,51.494,51.503,51.482,51.489,18645,0
EMCB.US,D,20120321,000000,51.489,51.562,51.454,51.511,4005,0
EMCB.US,D,20120322,000000,51.454,51.468,51.436,51.468,9268,0
EMCB.US,D,20120323,000000,51.436,51.436,51.388,51.422,7656,0
EMCB.US,D,20120326,000000,51.401,51.447,51.388,51.422,37521,0
EMCB.US,D,20120327,000000,51.422,51.454,51.416,51.443,13867,0
EMCB.US,D,20120328,000000,51.447,51.573,51.422,51.562,27606,0
EMCB.US,D,20120329,000000,51.436,51.436,51.367,51.409,14036,0
EMCB.US,D,20120330,000000,51.442,51.442,51.358,51.358,7321,0
EMCB.US,D,20120402,000000,51.422,51.422,51.294,51.367,10127,0
EMCB.US,D,20120403,000000,51.383,51.411,51.356,51.37,9837,0
EMCB.US,D,20120404,000000,51.383,51.383,51.266,51.266,15197,0
EMCB.US,D,20120405,000000,51.283,51.29,51.245,51.245,2570,0
EMCB.US,D,20120409,000000,51.388,51.388,51.216,51.288,46886,0
EMCB.US,D,20120410,000000,51.477,51.477,51.112,51.112,5807,0
EMCB.US,D,20120411,000000,51.388,51.388,51.058,51.112,13356,0
EMCB.US,D,20120412,000000,51.169,51.189,51.169,51.189,4265,0
EMCB.US,D,20120413,000000,51.261,51.261,51.217,51.217,3192,0
EMCB.US,D,20120416,000000,51.271,51.271,51.242,51.263,10583,0
EMCB.US,D,20120417,000000,51.322,51.322,51.291,51.322,10037,0
EMCB.US,D,20120418,000000,51.312,51.43,51.312,51.388,4899,0
EMCB.US,D,20120419,000000,51.422,51.468,51.373,51.373,55457,0
EMCB.US,D,20120420,000000,51.977,51.977,51.363,51.411,11381,0
EMCB.US,D,20120423,000000,51.692,51.692,51.491,51.498,3644,0
EMCB.US,D,20120424,000000,51.491,51.491,51.411,51.479,5381,0
EMCB.US,D,20120425,000000,51.602,51.602,51.463,51.545,33828,0
EMCB.US,D,20120426,000000,51.457,51.608,51.457,51.57,27714,0
EMCB.US,D,20120427,000000,51.545,51.602,51.545,51.565,4206,0
EMCB.US,D,20120430,000000,51.435,51.868,51.435,51.749,13975,0
EMCB.US,D,20120501,000000,51.952,51.952,51.753,51.761,18815,0
EMCB.US,D,20120502,000000,51.777,51.824,51.75,51.75,76506,0
EMCB.US,D,20120503,000000,51.794,51.952,51.794,51.916,158347,0
EMCB.US,D,20120504,000000,51.916,52.019,51.916,51.946,21699,0
EMCB.US,D,20120507,000000,51.876,51.925,51.876,51.882,19183,0
EMCB.US,D,20120508,000000,51.845,51.949,51.845,51.882,91782,0
EMCB.US,D,20120509,000000,51.848,51.864,51.603,51.675,55516,0
EMCB.US,D,20120510,000000,51.713,51.713,51.603,51.603,24273,0
EMCB.US,D,20120511,000000,51.675,51.675,51.56,51.596,41574,0
EMCB.US,D,20120514,000000,51.977,51.977,51.349,51.419,5605,0
EMCB.US,D,20120515,000000,51.463,51.463,51.127,51.185,16667,0
EMCB.US,D,20120516,000000,51.065,51.134,50.915,50.97,14601,0
EMCB.US,D,20120517,000000,50.953,50.953,50.717,50.757,11754,0
EMCB.US,D,20120518,000000,50.914,50.914,50.203,50.203,14436,0
EMCB.US,D,20120521,000000,50.173,50.369,50.173,50.369,22396,0
EMCB.US,D,20120522,000000,50.556,50.642,50.556,50.564,6945,0
EMCB.US,D,20120523,000000,50.46,50.46,50.369,50.382,8149,0
EMCB.US,D,20120524,000000,50.564,50.571,50.408,50.408,6149,0
EMCB.US,D,20120525,000000,50.28,50.347,50.28,50.341,1810,0
EMCB.US,D,20120529,000000,50.516,50.516,50.423,50.5,4124,0
EMCB.US,D,20120530,000000,50.388,50.423,50.382,50.423,1477,0
EMCB.US,D,20120531,000000,50.279,50.4,50.279,50.4,8398,0
EMCB.US,D,20120601,000000,49.943,50.149,49.943,50.098,20451,0
EMCB.US,D,20120604,000000,49.862,50.165,49.862,50.083,2060,0
EMCB.US,D,20120605,000000,50.093,50.47,50.093,50.137,3481,0
EMCB.US,D,20120606,000000,50.527,50.554,50.358,50.358,2795,0
EMCB.US,D,20120607,000000,50.795,50.829,50.795,50.829,365,0
EMCB.US,D,20120608,000000,50.951,51.101,50.951,51.101,592,0
EMCB.US,D,20120611,000000,51.014,51.113,51.014,51.113,8198,0
EMCB.US,D,20120612,000000,51.042,51.106,51.042,51.064,2725,0
EMCB.US,D,20120613,000000,50.765,51.101,50.765,51.093,5122,0
EMCB.US,D,20120614,000000,51.35,51.35,51.185,51.185,1959,0
EMCB.US,D,20120615,000000,51.398,51.489,51.352,51.442,7554,0
EMCB.US,D,20120618,000000,51.473,51.689,51.473,51.651,10656,0
EMCB.US,D,20120619,000000,51.465,51.779,51.465,51.771,5544,0
EMCB.US,D,20120620,000000,51.878,52.001,51.84,51.93,14107,0
EMCB.US,D,20120621,000000,51.875,51.905,51.875,51.875,4021,0
EMCB.US,D,20120622,000000,52.831,52.831,51.717,51.749,2858,0
EMCB.US,D,20120625,000000,51.962,51.962,51.588,51.756,2712,0
EMCB.US,D,20120626,000000,51.71,51.756,51.71,51.726,3189,0
EMCB.US,D,20120627,000000,52.457,52.457,51.868,51.913,4543,0
EMCB.US,D,20120628,000000,52.143,52.143,51.905,51.921,7799,0
EMCB.US,D,20120629,000000,52.198,52.206,52.031,52.031,15211,0
EMCB.US,D,20120702,000000,51.553,52.252,51.553,52.252,1990,0
EMCB.US,D,20120703,000000,52.334,52.391,52.049,52.391,10711,0
EMCB.US,D,20120705,000000,52.747,52.747,52.508,52.655,7964,0
EMCB.US,D,20120706,000000,53.045,53.045,52.687,52.772,8665,0
EMCB.US,D,20120709,000000,52.772,52.84,52.74,52.802,20042,0
EMCB.US,D,20120710,000000,52.802,52.825,52.407,52.71,10426,0
EMCB.US,D,20120711,000000,52.755,52.875,52.755,52.84,1477,0
EMCB.US,D,20120712,000000,52.91,53.017,52.91,53.003,5978,0
EMCB.US,D,20120713,000000,53.05,53.133,53.05,53.12,4227,0
EMCB.US,D,20120716,000000,53.638,53.638,53.287,53.31,11969,0
EMCB.US,D,20120717,000000,53.502,53.533,53.365,53.365,20631,0
EMCB.US,D,20120718,000000,56.402,56.402,53.324,53.508,42706,0
EMCB.US,D,20120719,000000,53.576,53.576,53.54,53.576,1826,0
EMCB.US,D,20120720,000000,53.643,53.643,53.526,53.607,3872,0
EMCB.US,D,20120723,000000,53.432,53.432,53.297,53.297,4386,0
EMCB.US,D,20120724,000000,53.305,53.305,53.161,53.305,6474,0
EMCB.US,D,20120725,000000,53.305,53.305,53.196,53.196,27237,0
EMCB.US,D,20120726,000000,53.217,53.348,53.217,53.232,34336,0
EMCB.US,D,20120727,000000,53.654,53.654,53.153,53.351,14835,0
EMCB.US,D,20120730,000000,53.562,53.602,53.361,53.602,6428,0
EMCB.US,D,20120731,000000,53.69,53.743,53.69,53.732,2499,0
EMCB.US,D,20120801,000000,53.846,53.865,53.754,53.754,2019,0
EMCB.US,D,20120802,000000,53.902,53.902,53.79,53.79,1289,0
EMCB.US,D,20120803,000000,54.02,54.044,54.004,54.004,8725,0
EMCB.US,D,20120806,000000,54.209,54.26,54.193,54.252,14069,0
EMCB.US,D,20120807,000000,54.3,54.3,54.215,54.235,17079,0
EMCB.US,D,20120808,000000,54.3,54.375,54.193,54.333,47182,0
EMCB.US,D,20120809,000000,54.913,54.913,54.128,54.239,5297,0
EMCB.US,D,20120810,000000,54.135,54.2,54.063,54.178,12810,0
EMCB.US,D,20120813,000000,54.232,54.232,54.167,54.167,6897,0
EMCB.US,D,20120814,000000,54.193,54.193,54.167,54.167,2725,0
EMCB.US,D,20120815,000000,54,54.654,54,54.654,3837,0
EMCB.US,D,20120816,000000,54.063,54.063,53.914,53.928,7765,0
EMCB.US,D,20120817,000000,54.02,54.127,53.98,53.98,13768,0
EMCB.US,D,20120820,000000,54.3,54.3,54.069,54.08,6851,0
EMCB.US,D,20120821,000000,54.217,54.217,54.193,54.193,736,0
EMCB.US,D,20120822,000000,54.324,54.324,54.291,54.312,6788,0
EMCB.US,D,20120823,000000,54.509,54.521,54.449,54.521,16322,0
EMCB.US,D,20120824,000000,54.433,54.433,54.291,54.382,2859,0
EMCB.US,D,20120827,000000,54.466,54.499,54.408,54.474,10096,0
EMCB.US,D,20120828,000000,54.466,54.533,54.435,54.509,56465,0
EMCB.US,D,20120829,000000,54.499,54.512,54.474,54.512,15707,0
EMCB.US,D,20120830,000000,54.446,54.466,54.286,54.336,157549,0
EMCB.US,D,20120831,000000,54.525,54.603,54.525,54.548,3356,0
EMCB.US,D,20120904,000000,55.11,55.115,54.499,54.553,21935,0
EMCB.US,D,20120905,000000,54.671,54.77,54.618,54.705,21206,0
EMCB.US,D,20120906,000000,54.799,54.867,54.651,54.785,50352,0
EMCB.US,D,20120907,000000,55.006,55.11,54.964,55.11,19561,0
EMCB.US,D,20120910,000000,55.092,55.092,54.971,55.005,8514,0
EMCB.US,D,20120911,000000,55.021,55.186,54.971,55.046,329064,0
EMCB.US,D,20120912,000000,55.28,55.281,55.155,55.237,71456,0
EMCB.US,D,20120913,000000,55.564,55.564,55.146,55.186,17146,0
EMCB.US,D,20120914,000000,55.245,55.35,55.245,55.342,171351,0
EMCB.US,D,20120917,000000,55.792,55.792,55.245,55.37,29873,0
EMCB.US,D,20120918,000000,55.865,55.865,55.224,55.32,97161,0
EMCB.US,D,20120919,000000,55.486,55.486,55.32,55.35,16801,0
EMCB.US,D,20120920,000000,55.35,55.35,55.267,55.292,8657,0
EMCB.US,D,20120921,000000,55.292,55.32,55.237,55.32,5715,0
EMCB.US,D,20120924,000000,55.383,55.383,55.284,55.37,11611,0
EMCB.US,D,20120925,000000,55.35,55.35,55.225,55.298,11350,0
EMCB.US,D,20120926,000000,55.236,55.334,55.123,55.252,27607,0
EMCB.US,D,20120927,000000,55.452,55.452,55.201,55.284,3573,0
EMCB.US,D,20120928,000000,55.406,55.406,55.346,55.383,6443,0
EMCB.US,D,20121001,000000,55.581,55.581,55.406,55.524,7688,0
EMCB.US,D,20121002,000000,55.651,55.674,55.624,55.624,4138,0
EMCB.US,D,20121003,000000,55.986,55.986,55.645,55.724,16052,0
EMCB.US,D,20121004,000000,55.855,55.855,55.778,55.805,13654,0
EMCB.US,D,20121005,000000,55.827,55.918,55.827,55.918,14087,0
EMCB.US,D,20121008,000000,56.121,56.121,55.759,55.841,20863,0
EMCB.US,D,20121009,000000,55.903,55.932,55.833,55.91,6916,0
EMCB.US,D,20121010,000000,55.903,56.113,55.895,56.113,5323,0
EMCB.US,D,20121011,000000,56.04,56.264,56.04,56.264,8564,0
EMCB.US,D,20121012,000000,56.376,56.468,56.376,56.44,2315,0
EMCB.US,D,20121015,000000,56.432,56.461,56.388,56.453,14198,0
EMCB.US,D,20121016,000000,56.685,56.685,56.534,56.637,10723,0
EMCB.US,D,20121017,000000,56.879,56.879,56.651,56.749,13497,0
EMCB.US,D,20121018,000000,56.67,56.84,56.67,56.796,6178,0
EMCB.US,D,20121019,000000,56.852,56.852,56.776,56.776,2346,0
EMCB.US,D,20121022,000000,56.8,56.8,56.672,56.688,16055,0
EMCB.US,D,20121023,000000,56.551,56.617,56.464,56.597,13808,0
EMCB.US,D,20121024,000000,56.503,56.503,56.385,56.448,3717,0
EMCB.US,D,20121025,000000,56.448,56.448,56.295,56.305,28548,0
EMCB.US,D,20121026,000000,56.448,56.448,56.325,56.325,9339,0
EMCB.US,D,20121031,000000,56.53,56.551,56.442,56.442,6256,0
EMCB.US,D,20121101,000000,56.487,56.487,56.413,56.413,24863,0
EMCB.US,D,20121102,000000,56.378,56.53,56.378,56.499,17982,0
EMCB.US,D,20121105,000000,56.597,56.597,56.508,56.53,16360,0
EMCB.US,D,20121106,000000,56.626,56.626,56.492,56.492,8690,0
EMCB.US,D,20121107,000000,56.603,56.633,56.516,56.597,10452,0
EMCB.US,D,20121108,000000,56.53,56.545,56.391,56.457,7111,0
EMCB.US,D,20121109,000000,56.299,56.32,56.218,56.295,6672,0
EMCB.US,D,20121112,000000,56.385,56.385,56.192,56.371,11720,0
EMCB.US,D,20121113,000000,56.046,56.332,56.046,56.241,18192,0
EMCB.US,D,20121114,000000,56.234,56.234,56.041,56.189,7437,0
EMCB.US,D,20121115,000000,56.102,56.173,55.896,56.046,16736,0
EMCB.US,D,20121116,000000,55.882,56.074,55.882,55.993,10780,0
EMCB.US,D,20121119,000000,56,56.041,55.979,56.041,11513,0
EMCB.US,D,20121120,000000,55.972,56.074,55.903,56.007,19438,0
EMCB.US,D,20121121,000000,56.108,56.108,56.026,56.102,6095,0
EMCB.US,D,20121123,000000,56.508,56.508,56.204,56.271,1645,0
EMCB.US,D,20121126,000000,56.391,56.391,56.219,56.364,13304,0
EMCB.US,D,20121127,000000,56.488,56.488,56.295,56.488,6126,0
EMCB.US,D,20121128,000000,56.48,56.576,56.452,56.553,16167,0
EMCB.US,D,20121129,000000,56.568,56.628,56.562,56.619,5378,0
EMCB.US,D,20121130,000000,56.712,56.712,56.546,56.682,10791,0
EMCB.US,D,20121203,000000,56.682,56.682,56.458,56.526,7829,0
EMCB.US,D,20121204,000000,56.626,56.697,56.568,56.682,10837,0
EMCB.US,D,20121205,000000,56.816,57.233,56.612,57.233,6414,0
EMCB.US,D,20121206,000000,56.83,56.83,56.667,56.823,22284,0
EMCB.US,D,20121207,000000,56.973,56.973,56.663,56.663,6605,0
EMCB.US,D,20121210,000000,57.055,57.055,56.695,56.791,18044,0
EMCB.US,D,20121211,000000,57.124,57.124,56.703,56.788,20309,0
EMCB.US,D,20121212,000000,56.673,56.851,56.673,56.811,9351,0
EMCB.US,D,20121213,000000,56.816,56.857,56.775,56.838,15063,0
EMCB.US,D,20121214,000000,56.823,56.922,56.823,56.857,6917,0
EMCB.US,D,20121217,000000,56.877,56.943,56.877,56.929,11984,0
EMCB.US,D,20121218,000000,57.104,57.104,56.823,56.916,27349,0
EMCB.US,D,20121219,000000,57.002,57.078,57.002,57.061,9952,0
EMCB.US,D,20121220,000000,57.138,57.169,57.084,57.163,4788,0
EMCB.US,D,20121221,000000,57.163,57.198,57.092,57.198,3731,0
