<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMIF.US,D,20090619,000000,18.664,18.664,18.239,18.304,10947,0
EMIF.US,D,20090622,000000,18.149,18.149,17.698,17.848,5903,0
EMIF.US,D,20090623,000000,17.692,17.84,17.692,17.788,14036,0
EMIF.US,D,20090624,000000,18.022,18.274,18.022,18.169,11876,0
EMIF.US,D,20090625,000000,18.067,18.267,18.051,18.254,30573,0
EMIF.US,D,20090626,000000,18.409,18.583,18.409,18.583,7825,0
EMIF.US,D,20090629,000000,18.545,18.598,18.492,18.598,4034,0
EMIF.US,D,20090630,000000,18.974,19.158,18.56,18.56,7293,0
EMIF.US,D,20090701,000000,18.671,18.889,18.664,18.792,22688,0
EMIF.US,D,20090702,000000,18.77,18.77,18.247,18.282,12014,0
EMIF.US,D,20090706,000000,18.216,18.216,18.104,18.155,1984,0
EMIF.US,D,20090707,000000,18.186,18.186,17.916,17.953,2636,0
EMIF.US,D,20090708,000000,17.916,17.916,17.258,17.361,5604,0
EMIF.US,D,20090709,000000,19.525,19.525,17.678,17.788,1681,0
EMIF.US,D,20090710,000000,17.182,17.719,17.182,17.719,2004,0
EMIF.US,D,20090713,000000,17.594,17.931,17.541,17.863,2150,0
EMIF.US,D,20090714,000000,18,18.08,18,18.073,2945,0
EMIF.US,D,20090715,000000,19.525,19.525,18.471,18.846,3222,0
EMIF.US,D,20090716,000000,18.974,19.167,18.965,19.046,3572,0
EMIF.US,D,20090717,000000,19.518,19.518,19.078,19.152,4162,0
EMIF.US,D,20090720,000000,17.925,19.765,17.925,19.765,6723,0
EMIF.US,D,20090721,000000,19.901,19.901,19.587,19.676,8022,0
EMIF.US,D,20090722,000000,19.676,19.765,19.639,19.729,6565,0
EMIF.US,D,20090723,000000,19.414,20.674,19.414,20.649,25242,0
EMIF.US,D,20090724,000000,20.349,20.349,19.966,20.006,10965,0
