<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMXC.US,D,20170726,000000,47.441,47.548,47.441,47.51,1205,0
EMXC.US,D,20170728,000000,47.286,47.286,47.286,47.286,156,0
EMXC.US,D,20170731,000000,47.192,47.192,47.192,47.192,268,0
EMXC.US,D,20170802,000000,47.426,47.599,47.426,47.599,1200,0
EMXC.US,D,20170803,000000,47.239,47.239,47.239,47.239,108,0
EMXC.US,D,20170804,000000,47.37,47.426,47.37,47.426,4544,0
EMXC.US,D,20170809,000000,46.97,46.97,46.97,46.97,322,0
EMXC.US,D,20170814,000000,46.684,46.761,46.684,46.761,376,0
EMXC.US,D,20170816,000000,46.987,46.987,46.987,46.987,108,0
EMXC.US,D,20170818,000000,46.792,46.903,46.792,46.847,6236,0
EMXC.US,D,20170823,000000,47.65,47.65,47.65,47.65,429,0
EMXC.US,D,20170824,000000,47.77,47.884,47.77,47.884,750,0
EMXC.US,D,20170825,000000,48.082,48.082,48.082,48.082,214,0
EMXC.US,D,20170830,000000,47.947,47.947,47.947,47.947,194,0
EMXC.US,D,20170901,000000,48.311,48.386,48.311,48.359,968,0
EMXC.US,D,20170906,000000,47.92,48.06,47.92,48.06,1713,0
EMXC.US,D,20170908,000000,48.208,48.217,48.19,48.19,1661,0
EMXC.US,D,20170911,000000,48.611,48.611,48.601,48.601,536,0
EMXC.US,D,20170913,000000,48.359,48.359,48.208,48.237,1907,0
EMXC.US,D,20170914,000000,48.351,48.351,48.351,48.351,536,0
EMXC.US,D,20170915,000000,48.499,48.674,48.499,48.674,536,0
EMXC.US,D,20170918,000000,48.909,48.909,48.816,48.816,3106,0
EMXC.US,D,20170922,000000,48.396,48.396,48.361,48.361,268,0
EMXC.US,D,20170925,000000,48.097,48.097,47.875,47.875,3197,0
EMXC.US,D,20170926,000000,47.594,47.604,47.594,47.594,2356,0
EMXC.US,D,20170927,000000,47.343,47.343,47.147,47.147,2680,0
EMXC.US,D,20170928,000000,47.062,47.166,47.062,47.166,1057,0
EMXC.US,D,20170929,000000,47.501,47.63,47.501,47.63,521,0
EMXC.US,D,20171003,000000,47.866,47.875,47.844,47.875,3248,0
EMXC.US,D,20171004,000000,48.181,48.181,48.181,48.181,212,0
EMXC.US,D,20171006,000000,48.051,48.172,48.051,48.172,283,0
EMXC.US,D,20171009,000000,48.041,48.041,48.041,48.041,245,0
EMXC.US,D,20171010,000000,48.592,48.62,48.563,48.563,1752,0
EMXC.US,D,20171013,000000,49.666,49.666,49.6,49.6,1464,0
EMXC.US,D,20171016,000000,49.682,49.683,49.645,49.647,2312,0
EMXC.US,D,20171017,000000,49.213,49.301,49.213,49.301,394,0
EMXC.US,D,20171019,000000,48.937,49.022,48.937,49.022,599,0
EMXC.US,D,20171020,000000,49.134,49.134,49.106,49.106,429,0
EMXC.US,D,20171026,000000,48.546,48.657,48.546,48.657,3065,0
EMXC.US,D,20171030,000000,48.835,48.835,48.835,48.835,293,0
EMXC.US,D,20171031,000000,49.199,49.199,49.199,49.199,572,0
EMXC.US,D,20171101,000000,49.674,49.683,49.609,49.609,550,0
EMXC.US,D,20171103,000000,49.048,49.048,49.048,49.048,162,0
EMXC.US,D,20171106,000000,49.703,49.703,49.703,49.703,189,0
EMXC.US,D,20171107,000000,49.32,49.32,49.134,49.134,717,0
EMXC.US,D,20171108,000000,49.368,49.403,49.368,49.403,723,0
EMXC.US,D,20171109,000000,49.058,49.058,49.058,49.058,939,0
EMXC.US,D,20171114,000000,48.351,48.351,48.351,48.351,536,0
EMXC.US,D,20171120,000000,49.372,49.376,49.372,49.376,2731,0
EMXC.US,D,20171121,000000,49.805,49.805,49.805,49.805,295,0
EMXC.US,D,20171122,000000,50.029,50.029,50.029,50.029,322,0
EMXC.US,D,20171124,000000,49.992,49.992,49.992,49.992,322,0
EMXC.US,D,20171127,000000,49.674,49.674,49.507,49.507,830,0
EMXC.US,D,20171128,000000,49.898,49.898,49.795,49.843,1054,0
EMXC.US,D,20171129,000000,49.525,49.525,49.404,49.404,536,0
EMXC.US,D,20171130,000000,49.087,49.16,49.077,49.15,31160,0
EMXC.US,D,20171204,000000,49.078,49.078,48.945,48.945,536,0
EMXC.US,D,20171206,000000,48.275,48.386,48.19,48.331,1400,0
EMXC.US,D,20171207,000000,47.966,48.396,47.966,48.284,4138,0
EMXC.US,D,20171208,000000,48.611,48.657,48.611,48.62,664,0
EMXC.US,D,20171212,000000,48.433,48.443,48.405,48.405,627,0
EMXC.US,D,20171213,000000,48.955,48.955,48.955,48.955,320,0
EMXC.US,D,20171214,000000,48.89,48.89,48.89,48.89,492,0
EMXC.US,D,20171215,000000,48.807,49.012,48.807,48.883,3916,0
EMXC.US,D,20171218,000000,49.368,49.6,49.368,49.6,1050,0
EMXC.US,D,20171219,000000,49.442,49.442,49.263,49.263,2002,0
EMXC.US,D,20171221,000000,49.547,49.547,49.547,49.547,321,0
EMXC.US,D,20171222,000000,49.67,49.754,49.66,49.754,967,0
EMXC.US,D,20171226,000000,49.764,49.783,49.764,49.783,365,0
EMXC.US,D,20171227,000000,50.016,50.065,50.016,50.017,2040,0
EMXC.US,D,20171228,000000,50.564,50.564,50.48,50.48,776,0
EMXC.US,D,20171229,000000,50.843,50.867,50.805,50.839,7099,0
EMXC.US,D,20180102,000000,51.414,51.414,51.264,51.375,1131,0
EMXC.US,D,20180103,000000,51.783,51.865,51.783,51.865,548,0
EMXC.US,D,20180104,000000,51.99,52.045,51.913,51.913,3161,0
EMXC.US,D,20180105,000000,52.356,52.413,52.356,52.413,502,0
EMXC.US,D,20180108,000000,52.318,52.4,52.318,52.4,1216,0
EMXC.US,D,20180109,000000,52.299,52.308,52.128,52.244,9113,0
EMXC.US,D,20180110,000000,51.782,51.827,51.782,51.827,684,0
EMXC.US,D,20180111,000000,51.999,52.216,51.999,52.187,478,0
EMXC.US,D,20180112,000000,52.336,52.53,52.336,52.53,372,0
EMXC.US,D,20180116,000000,52.832,52.832,52.734,52.734,2606,0
EMXC.US,D,20180117,000000,53.37,53.37,53.336,53.337,2002,0
EMXC.US,D,20180118,000000,53.324,53.324,53.324,53.324,142,0
EMXC.US,D,20180119,000000,53.431,53.446,53.416,53.446,1631,0
EMXC.US,D,20180123,000000,53.685,53.934,53.685,53.858,8975,0
EMXC.US,D,20180124,000000,54.439,54.439,54.176,54.204,3167,0
EMXC.US,D,20180125,000000,54.817,55.136,54.684,54.726,6234,0
EMXC.US,D,20180126,000000,54.807,55.089,54.754,55.065,13249,0
EMXC.US,D,20180129,000000,54.533,54.6,54.448,54.533,7397,0
EMXC.US,D,20180130,000000,53.893,53.959,53.632,53.632,1884,0
EMXC.US,D,20180131,000000,54.383,54.383,54.063,54.076,1059,0
EMXC.US,D,20180201,000000,53.855,53.855,53.845,53.855,1134,0
EMXC.US,D,20180202,000000,52.785,52.785,52.583,52.583,610,0
EMXC.US,D,20180205,000000,51.472,51.472,51.472,51.472,3389,0
EMXC.US,D,20180206,000000,50.612,51.819,50.612,51.809,2378,0
EMXC.US,D,20180207,000000,51.856,51.856,51.782,51.782,435,0
EMXC.US,D,20180208,000000,50.688,50.688,50.027,50.027,1477,0
EMXC.US,D,20180209,000000,49.24,49.24,49.24,49.24,935,0
EMXC.US,D,20180212,000000,50.98,51.282,50.932,51.159,5116,0
EMXC.US,D,20180213,000000,51.367,51.384,51.367,51.384,1093,0
EMXC.US,D,20180214,000000,52.416,52.416,52.318,52.337,33531,0
EMXC.US,D,20180215,000000,53.063,53.072,53.063,53.072,107,0
EMXC.US,D,20180216,000000,52.744,52.744,52.744,52.744,212,0
EMXC.US,D,20180220,000000,51.81,51.81,51.81,51.81,308,0
EMXC.US,D,20180221,000000,52.488,52.488,52.488,52.488,286,0
EMXC.US,D,20180223,000000,52.725,52.932,52.725,52.932,2281,0
EMXC.US,D,20180226,000000,53.021,53.021,53.021,53.021,224,0
EMXC.US,D,20180228,000000,52.129,52.129,51.612,51.612,425,0
EMXC.US,D,20180301,000000,51.705,51.847,51.472,51.472,1721,0
EMXC.US,D,20180302,000000,51.056,51.056,50.882,50.904,1096,0
EMXC.US,D,20180305,000000,51.357,51.357,51.357,51.357,795,0
EMXC.US,D,20180313,000000,53.135,53.135,53.072,53.072,860,0
EMXC.US,D,20180314,000000,53.121,53.121,52.752,52.752,829,0
EMXC.US,D,20180315,000000,52.488,52.488,52.488,52.488,157,0
EMXC.US,D,20180320,000000,51.913,51.913,51.913,51.913,107,0
EMXC.US,D,20180323,000000,51.375,51.375,50.999,50.999,302,0
EMXC.US,D,20180326,000000,51.66,51.66,51.602,51.602,373,0
EMXC.US,D,20180327,000000,51.874,51.874,51.724,51.724,509,0
EMXC.US,D,20180329,000000,51.715,51.715,51.715,51.715,107,0
EMXC.US,D,20180402,000000,50.955,50.955,50.955,50.955,212,0
EMXC.US,D,20180403,000000,51.472,51.472,51.424,51.472,412,0
EMXC.US,D,20180404,000000,50.857,50.857,50.857,50.857,225,0
EMXC.US,D,20180406,000000,51.357,51.357,50.904,50.904,232,0
EMXC.US,D,20180409,000000,50.959,50.959,50.932,50.932,628,0
EMXC.US,D,20180410,000000,51.234,51.244,51.234,51.244,425,0
EMXC.US,D,20180411,000000,51.393,51.508,51.393,51.393,3766,0
EMXC.US,D,20180412,000000,51.425,51.425,51.425,51.425,265,0
