<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMXF.US,D,20201014,000000,36.228,36.228,36.155,36.155,390,0
EMXF.US,D,20201016,000000,35.999,35.999,35.999,35.999,111,0
EMXF.US,D,20201019,000000,36.119,36.119,36.119,36.119,159,0
EMXF.US,D,20201023,000000,36.714,36.714,36.714,36.714,373,0
EMXF.US,D,20201026,000000,36.357,36.357,36.254,36.254,1440,0
EMXF.US,D,20201027,000000,36.416,36.416,36.368,36.368,190,0
EMXF.US,D,20201028,000000,35.831,35.831,35.563,35.563,1888,0
EMXF.US,D,20201029,000000,35.831,35.942,35.801,35.942,1110,0
EMXF.US,D,20201102,000000,35.999,36.059,35.999,36.059,689,0
EMXF.US,D,20201104,000000,37.567,37.567,37.567,37.567,141,0
EMXF.US,D,20201105,000000,38.132,38.132,38.132,38.132,270,0
EMXF.US,D,20201106,000000,38.152,38.453,38.152,38.453,617,0
EMXF.US,D,20201110,000000,38.778,38.778,38.44,38.44,3185,0
EMXF.US,D,20201111,000000,38.47,38.47,38.47,38.47,1072,0
EMXF.US,D,20201112,000000,38.568,38.708,38.568,38.658,3748,0
EMXF.US,D,20201113,000000,38.797,38.868,38.785,38.868,548,0
EMXF.US,D,20201118,000000,39.68,39.68,39.283,39.283,3530,0
EMXF.US,D,20201119,000000,39.194,39.279,39.194,39.279,747,0
EMXF.US,D,20201123,000000,39.749,39.807,39.74,39.807,1618,0
EMXF.US,D,20201124,000000,40.176,40.315,40.176,40.299,3043,0
EMXF.US,D,20201125,000000,39.878,39.878,39.72,39.789,1279,0
EMXF.US,D,20201130,000000,39.7,39.7,39.272,39.272,3934,0
EMXF.US,D,20201201,000000,39.858,40.176,39.848,40.176,949,0
EMXF.US,D,20201202,000000,39.759,40.087,39.759,40.087,1075,0
EMXF.US,D,20201203,000000,40.345,40.355,40.345,40.355,217,0
EMXF.US,D,20201207,000000,40.89,40.89,40.89,40.89,296,0
EMXF.US,D,20201208,000000,40.821,40.821,40.821,40.821,798,0
EMXF.US,D,20201209,000000,41.029,41.029,40.612,40.689,405,0
EMXF.US,D,20201210,000000,40.563,41.018,40.563,41.018,276,0
EMXF.US,D,20201211,000000,40.821,40.821,40.821,40.821,491,0
EMXF.US,D,20201214,000000,40.771,40.771,40.771,40.771,925,0
EMXF.US,D,20201215,000000,40.801,40.801,40.801,40.801,288,0
EMXF.US,D,20201216,000000,41.199,41.199,40.89,41.149,497,0
EMXF.US,D,20201217,000000,41.438,41.438,41.438,41.438,478,0
EMXF.US,D,20201218,000000,41.319,41.319,41.03,41.239,2321,0
EMXF.US,D,20201221,000000,40.542,41.02,40.532,40.858,1940,0
EMXF.US,D,20201222,000000,40.781,40.781,40.502,40.711,1486,0
EMXF.US,D,20201223,000000,40.96,41.11,40.96,41.019,3402,0
EMXF.US,D,20201224,000000,40.91,40.91,40.681,40.764,921,0
EMXF.US,D,20201229,000000,41.169,41.388,41.09,41.359,5972,0
EMXF.US,D,20201230,000000,41.827,41.827,41.827,41.827,461,0
EMXF.US,D,20201231,000000,41.747,41.807,41.717,41.801,3439,0
EMXF.US,D,20210104,000000,42.375,42.396,42.175,42.175,719,0
EMXF.US,D,20210105,000000,42.335,42.892,42.335,42.837,657,0
EMXF.US,D,20210106,000000,42.853,43.012,42.743,42.743,3564,0
EMXF.US,D,20210107,000000,43.077,43.13,43.077,43.13,310,0
EMXF.US,D,20210108,000000,44.108,44.148,43.829,43.829,2765,0
EMXF.US,D,20210111,000000,43.6,43.789,43.6,43.736,1747,0
EMXF.US,D,20210112,000000,43.759,44.055,43.759,44.055,1008,0
EMXF.US,D,20210113,000000,44.128,44.377,44.048,44.175,1789,0
EMXF.US,D,20210114,000000,44.506,44.715,44.506,44.646,1773,0
EMXF.US,D,20210115,000000,44.008,44.008,43.883,43.883,2205,0
EMXF.US,D,20210119,000000,44.915,44.915,44.642,44.642,1683,0
EMXF.US,D,20210120,000000,45.393,45.532,45.393,45.519,913,0
EMXF.US,D,20210121,000000,45.741,45.741,45.403,45.642,1755,0
EMXF.US,D,20210122,000000,45.024,45.383,44.974,45.383,1405,0
EMXF.US,D,20210125,000000,45.801,45.801,45.323,45.544,7958,0
EMXF.US,D,20210126,000000,45.184,45.204,45.104,45.204,2338,0
EMXF.US,D,20210127,000000,44.257,44.476,44.038,44.068,6487,0
EMXF.US,D,20210128,000000,44.018,44.437,43.859,44.359,1976,0
EMXF.US,D,20210129,000000,43.62,43.62,43.092,43.401,3672,0
EMXF.US,D,20210201,000000,44.048,44.168,44.028,44.068,1746,0
EMXF.US,D,20210202,000000,44.865,44.926,44.812,44.926,2272,0
EMXF.US,D,20210203,000000,45.014,45.273,45.014,45.203,1013,0
EMXF.US,D,20210204,000000,44.885,45.004,44.875,44.968,4700,0
EMXF.US,D,20210205,000000,45.164,45.263,45.074,45.263,2641,0
EMXF.US,D,20210208,000000,45.373,45.373,45.074,45.114,9529,0
EMXF.US,D,20210209,000000,45.522,46.02,45.463,45.991,3766,0
EMXF.US,D,20210210,000000,46.379,46.379,46.133,46.16,4132,0
EMXF.US,D,20210211,000000,46.518,46.867,46.518,46.708,1884,0
EMXF.US,D,20210212,000000,46.479,46.887,46.14,46.732,3082,0
EMXF.US,D,20210216,000000,46.847,46.947,46.704,46.748,8743,0
EMXF.US,D,20210217,000000,46.638,46.857,46.429,46.857,9471,0
EMXF.US,D,20210218,000000,45.921,45.951,45.921,45.951,4650,0
EMXF.US,D,20210219,000000,46.319,46.528,46.319,46.373,926,0
EMXF.US,D,20210222,000000,45.273,45.512,45.184,45.184,2678,0
EMXF.US,D,20210223,000000,44.965,45.385,44.785,45.385,3760,0
EMXF.US,D,20210224,000000,44.636,44.974,44.556,44.945,1610,0
EMXF.US,D,20210225,000000,44.775,44.775,44.007,44.007,1884,0
EMXF.US,D,20210226,000000,43.331,43.48,43.331,43.391,1087,0
EMXF.US,D,20210301,000000,44.526,44.576,44.366,44.366,1653,0
EMXF.US,D,20210302,000000,44.078,44.078,43.985,43.985,722,0
EMXF.US,D,20210303,000000,44.367,44.367,44.11,44.11,1062,0
EMXF.US,D,20210304,000000,43.87,43.889,42.962,43.003,3418,0
EMXF.US,D,20210305,000000,43.062,43.325,43.045,43.325,512,0
EMXF.US,D,20210308,000000,42.474,42.524,42.235,42.235,1695,0
EMXF.US,D,20210309,000000,42.554,43.072,42.554,42.838,3102,0
EMXF.US,D,20210310,000000,42.962,43.072,42.942,43.072,1274,0
EMXF.US,D,20210311,000000,44.138,44.456,44.068,44.436,7501,0
EMXF.US,D,20210312,000000,43.64,43.759,43.62,43.759,4924,0
EMXF.US,D,20210315,000000,43.789,43.849,43.789,43.849,1119,0
EMXF.US,D,20210316,000000,44.148,44.158,44.048,44.096,730,0
EMXF.US,D,20210317,000000,43.53,44.237,43.513,44.142,2084,0
EMXF.US,D,20210318,000000,43.789,43.789,43.391,43.391,692,0
EMXF.US,D,20210319,000000,43.49,43.862,43.49,43.862,5908,0
EMXF.US,D,20210322,000000,43.739,43.968,43.739,43.869,1357,0
EMXF.US,D,20210323,000000,43.172,43.22,43.172,43.22,509,0
EMXF.US,D,20210324,000000,42.434,42.604,42.154,42.154,2751,0
EMXF.US,D,20210325,000000,42.165,42.544,42.165,42.484,22265,0
EMXF.US,D,20210326,000000,42.824,43.404,42.824,43.404,280,0
EMXF.US,D,20210329,000000,43.062,43.062,42.833,42.993,1220,0
EMXF.US,D,20210330,000000,43.346,43.346,43.289,43.289,703,0
EMXF.US,D,20210331,000000,43.55,43.63,43.55,43.574,923,0
EMXF.US,D,20210401,000000,44.028,44.158,44.028,44.028,2801,0
EMXF.US,D,20210405,000000,44.276,44.277,44.108,44.167,10248,0
EMXF.US,D,20210406,000000,44.526,44.526,44.249,44.249,3132,0
EMXF.US,D,20210407,000000,43.839,43.839,43.839,43.839,424,0
EMXF.US,D,20210408,000000,44.286,44.286,44.106,44.106,6511,0
EMXF.US,D,20210409,000000,43.689,43.809,43.689,43.77,8098,0
EMXF.US,D,20210412,000000,43.331,43.351,43.221,43.241,5511,0
EMXF.US,D,20210413,000000,43.152,43.382,43.152,43.382,936,0
EMXF.US,D,20210414,000000,43.859,44.158,43.628,43.628,6276,0
EMXF.US,D,20210415,000000,43.978,44.257,43.978,44.085,3433,0
EMXF.US,D,20210416,000000,44.217,44.236,44.217,44.217,2461,0
EMXF.US,D,20210419,000000,44.227,44.297,44.128,44.134,3507,0
EMXF.US,D,20210420,000000,44.237,44.237,43.952,43.989,1493,0
EMXF.US,D,20210421,000000,43.759,44.307,43.759,44.202,5445,0
EMXF.US,D,20210423,000000,44.377,44.715,44.377,44.612,1689,0
EMXF.US,D,20210426,000000,44.735,44.815,44.727,44.727,955,0
EMXF.US,D,20210427,000000,44.735,44.855,44.706,44.707,2201,0
EMXF.US,D,20210428,000000,45.064,45.081,44.974,45.081,1712,0
EMXF.US,D,20210430,000000,44.347,44.455,44.131,44.135,3552,0
EMXF.US,D,20210503,000000,44.088,44.377,44.088,44.199,6254,0
EMXF.US,D,20210504,000000,43.739,43.739,43.48,43.531,2577,0
EMXF.US,D,20210505,000000,43.709,43.709,43.709,43.709,275,0
EMXF.US,D,20210506,000000,44.158,44.195,43.929,44.195,2874,0
EMXF.US,D,20210507,000000,44.476,44.974,44.476,44.855,3813,0
EMXF.US,D,20210510,000000,44.636,44.636,44.217,44.217,54996,0
EMXF.US,D,20210511,000000,43.231,43.64,43.122,43.64,2320,0
EMXF.US,D,20210512,000000,42.962,42.992,42.33,42.345,8385,0
EMXF.US,D,20210513,000000,42.644,42.723,42.534,42.569,1325,0
EMXF.US,D,20210514,000000,43.41,43.41,43.363,43.363,216,0
EMXF.US,D,20210517,000000,42.992,43.181,42.992,43.159,2149,0
EMXF.US,D,20210518,000000,43.789,44.028,43.789,43.867,1852,0
EMXF.US,D,20210519,000000,43.58,43.7,43.58,43.7,750,0
EMXF.US,D,20210520,000000,44.138,44.138,44.138,44.138,407,0
EMXF.US,D,20210521,000000,44.028,44.028,43.77,43.77,946,0
EMXF.US,D,20210524,000000,44.287,44.357,44.257,44.262,1404,0
EMXF.US,D,20210525,000000,44.805,44.805,44.697,44.697,1169,0
EMXF.US,D,20210526,000000,44.845,45.214,44.845,45.142,4525,0
EMXF.US,D,20210527,000000,45.204,45.313,45.124,45.313,3616,0
EMXF.US,D,20210528,000000,45.551,45.551,45.473,45.473,320,0
EMXF.US,D,20210601,000000,46.578,46.578,46.408,46.482,2202,0
EMXF.US,D,20210602,000000,46.478,46.547,46.429,46.517,3475,0
EMXF.US,D,20210603,000000,46.11,46.23,46.02,46.032,1168,0
EMXF.US,D,20210604,000000,46.394,46.588,46.394,46.588,2852,0
EMXF.US,D,20210607,000000,46.329,46.334,46.329,46.331,954,0
EMXF.US,D,20210608,000000,46.17,46.21,46.127,46.164,2358,0
EMXF.US,D,20210609,000000,46.12,46.12,46.12,46.12,1015,0
EMXF.US,D,20210610,000000,46.5,46.65,46.5,46.5474,987,0
EMXF.US,D,20210611,000000,46.42,46.4979,46.36,46.4979,6156,0
EMXF.US,D,20210614,000000,46.68,46.75,46.65,46.6545,2226,0
EMXF.US,D,20210615,000000,46.56,46.56,46.4156,46.4156,2229,0
EMXF.US,D,20210617,000000,46.04,46.19,46.0117,46.0418,1895,0
EMXF.US,D,20210618,000000,46.04,46.1,45.7372,45.7372,2483,0
EMXF.US,D,20210621,000000,45.75,46.01,45.75,46,2062,0
EMXF.US,D,20210622,000000,45.6,45.7442,45.6,45.7442,1067,0
EMXF.US,D,20210623,000000,46.169,46.169,46.0653,46.0653,272,0
EMXF.US,D,20210624,000000,46.3701,46.4676,46.37,46.4676,1427,0
EMXF.US,D,20210625,000000,46.72,46.72,46.63,46.639,1471,0
EMXF.US,D,20210628,000000,46.65,46.6875,46.6032,46.6875,1578,0
EMXF.US,D,20210629,000000,46.58,46.6437,46.525,46.6437,9733,0
EMXF.US,D,20210630,000000,46.6,46.6,46.49,46.49,1102,0
EMXF.US,D,20210701,000000,46.445,46.445,46.1,46.2386,5181,0
EMXF.US,D,20210702,000000,45.96,46.08,45.96,45.99,638,0
EMXF.US,D,20210706,000000,45.66,45.66,45.34,45.45,1648,0
EMXF.US,D,20210707,000000,45.63,45.63,45.49,45.5588,1501,0
EMXF.US,D,20210708,000000,44.69,44.85,44.6875,44.6875,1374,0
EMXF.US,D,20210709,000000,45.31,45.3119,45.26,45.3119,458,0
EMXF.US,D,20210712,000000,45.32,45.52,45.32,45.52,2478,0
EMXF.US,D,20210713,000000,45.47,45.53,45.2574,45.2574,2142,0
EMXF.US,D,20210714,000000,46.12,46.17,45.513,45.513,1238,0
