<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENZL.US,D,20100908,000000,19.238,19.386,19.23,19.307,313846,0
ENZL.US,D,20100909,000000,19.507,19.507,19.258,19.337,172563,0
ENZL.US,D,20100910,000000,19.415,19.415,19.315,19.386,29378,0
ENZL.US,D,20100913,000000,19.678,19.7,19.529,19.687,321849,0
ENZL.US,D,20100914,000000,19.602,19.943,19.564,19.843,102739,0
ENZL.US,D,20100915,000000,19.642,19.65,19.514,19.617,166385,0
ENZL.US,D,20100916,000000,19.442,19.442,19.302,19.378,173853,0
ENZL.US,D,20100917,000000,19.451,19.5,19.421,19.472,14134,0
ENZL.US,D,20100920,000000,19.72,19.836,19.617,19.795,166273,0
ENZL.US,D,20100921,000000,19.795,20.021,19.714,19.879,219901,0
ENZL.US,D,20100922,000000,19.863,20.122,19.843,19.955,87616,0
ENZL.US,D,20100923,000000,19.617,19.801,19.602,19.622,94769,0
ENZL.US,D,20100924,000000,19.814,19.863,19.795,19.85,18226,0
ENZL.US,D,20100927,000000,20.083,20.083,19.814,19.886,12321,0
ENZL.US,D,20100928,000000,19.814,20.035,19.745,20.029,13212,0
ENZL.US,D,20100929,000000,19.814,19.872,19.778,19.819,10937,0
ENZL.US,D,20100930,000000,19.745,19.745,19.353,19.442,36439,0
ENZL.US,D,20101001,000000,19.928,21.134,19.906,20.113,40180,0
ENZL.US,D,20101004,000000,20.077,20.105,19.843,19.906,28333,0
ENZL.US,D,20101005,000000,20.341,20.384,20.122,20.349,28795,0
ENZL.US,D,20101006,000000,20.517,20.517,19.642,20.341,41894,0
ENZL.US,D,20101007,000000,20.478,20.478,20.077,20.184,28280,0
ENZL.US,D,20101008,000000,20.239,20.407,20.206,20.391,35533,0
ENZL.US,D,20101011,000000,20.455,20.455,20.263,20.271,23455,0
ENZL.US,D,20101012,000000,20.263,20.455,20.256,20.455,21893,0
ENZL.US,D,20101013,000000,20.563,20.755,20.526,20.655,18412,0
ENZL.US,D,20101014,000000,20.706,20.711,20.547,20.618,97199,0
ENZL.US,D,20101015,000000,20.633,20.633,20.442,20.535,27920,0
ENZL.US,D,20101018,000000,20.612,20.834,20.612,20.791,16666,0
ENZL.US,D,20101019,000000,20.229,20.249,20.029,20.029,21017,0
ENZL.US,D,20101020,000000,20.064,20.506,20.064,20.434,31692,0
ENZL.US,D,20101021,000000,20.371,20.555,20.164,20.271,29587,0
ENZL.US,D,20101022,000000,20.563,20.563,20.384,20.426,3713,0
ENZL.US,D,20101025,000000,20.711,20.891,20.69,20.718,41201,0
ENZL.US,D,20101026,000000,20.384,20.426,20.313,20.399,32056,0
ENZL.US,D,20101027,000000,20.263,20.263,20.07,20.206,15012,0
ENZL.US,D,20101028,000000,20.598,20.633,20.541,20.571,50621,0
ENZL.US,D,20101029,000000,20.926,20.997,20.884,20.96,22612,0
ENZL.US,D,20101101,000000,21.141,21.141,20.827,20.827,8296,0
ENZL.US,D,20101102,000000,21.332,21.404,21.317,21.353,14451,0
ENZL.US,D,20101103,000000,21.455,21.597,21.324,21.589,41970,0
ENZL.US,D,20101104,000000,22.237,22.237,22.144,22.201,29234,0
ENZL.US,D,20101105,000000,22.01,22.074,21.823,22.058,26759,0
ENZL.US,D,20101108,000000,21.688,21.752,21.524,21.711,51276,0
ENZL.US,D,20101109,000000,21.966,21.966,21.317,21.317,41095,0
ENZL.US,D,20101110,000000,21.775,21.832,21.517,21.832,29592,0
ENZL.US,D,20101111,000000,21.645,21.645,21.469,21.546,98382,0
ENZL.US,D,20101112,000000,21.418,21.479,21.162,21.312,24198,0
ENZL.US,D,20101115,000000,21.611,21.653,21.389,21.423,34429,0
ENZL.US,D,20101116,000000,21.276,21.276,20.942,21.046,53199,0
ENZL.US,D,20101117,000000,21.041,21.152,21.005,21.055,33049,0
ENZL.US,D,20101118,000000,21.296,21.38,21.27,21.374,11227,0
ENZL.US,D,20101119,000000,21.118,21.255,21.041,21.255,14394,0
ENZL.US,D,20101122,000000,21.095,21.248,20.997,21.248,17837,0
ENZL.US,D,20101123,000000,20.755,20.768,20.442,20.463,37720,0
ENZL.US,D,20101124,000000,20.675,20.947,20.627,20.884,51192,0
ENZL.US,D,20101126,000000,20.448,20.463,20.371,20.371,25666,0
ENZL.US,D,20101129,000000,20.313,20.442,20.155,20.442,18172,0
ENZL.US,D,20101130,000000,20.164,20.349,20.164,20.263,10171,0
ENZL.US,D,20101201,000000,20.434,20.612,20.384,20.598,12165,0
ENZL.US,D,20101202,000000,20.371,20.783,20.371,20.755,18101,0
ENZL.US,D,20101203,000000,20.706,21.025,20.706,20.968,24731,0
ENZL.US,D,20101206,000000,20.847,20.898,20.8,20.898,12829,0
ENZL.US,D,20101207,000000,20.968,21.055,20.735,20.742,22582,0
ENZL.US,D,20101208,000000,20.655,20.655,20.47,20.498,95387,0
ENZL.US,D,20101209,000000,20.426,20.426,20.29,20.419,70196,0
ENZL.US,D,20101210,000000,20.363,20.363,20.284,20.299,22153,0
ENZL.US,D,20101213,000000,20.541,20.711,20.541,20.59,25687,0
ENZL.US,D,20101214,000000,20.547,20.563,20.426,20.434,18772,0
