<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQRR.US,D,20170726,000000,37.182,37.191,36.98,36.997,2853,0
EQRR.US,D,20170727,000000,36.944,36.944,36.732,36.742,843,0
EQRR.US,D,20170728,000000,36.824,36.834,36.824,36.834,655,0
EQRR.US,D,20170731,000000,36.944,37.048,36.944,37.048,997,0
EQRR.US,D,20170801,000000,36.962,36.962,36.767,36.843,2880,0
EQRR.US,D,20170802,000000,36.806,36.806,36.806,36.806,1113,0
EQRR.US,D,20170809,000000,36.518,36.518,36.463,36.463,467,0
EQRR.US,D,20170810,000000,36.043,36.043,36.043,36.043,109,0
EQRR.US,D,20170814,000000,36.043,36.149,36.043,36.149,497,0
EQRR.US,D,20170817,000000,35.63,35.63,35.258,35.258,275,0
EQRR.US,D,20170821,000000,35.17,35.17,35.06,35.06,433,0
EQRR.US,D,20170823,000000,35.482,35.482,35.482,35.482,1417,0
EQRR.US,D,20170824,000000,35.665,35.665,35.665,35.665,109,0
EQRR.US,D,20170828,000000,35.665,35.814,35.593,35.594,2403,0
EQRR.US,D,20170829,000000,35.602,35.602,35.399,35.399,655,0
EQRR.US,D,20170831,000000,35.73,35.976,35.73,35.976,2284,0
EQRR.US,D,20170901,000000,35.976,35.976,35.976,35.976,1739,0
EQRR.US,D,20170905,000000,35.602,35.602,35.602,35.602,165,0
EQRR.US,D,20170906,000000,35.907,35.907,35.907,35.907,109,0
EQRR.US,D,20170908,000000,35.762,35.762,35.762,35.762,109,0
EQRR.US,D,20170911,000000,36.235,36.235,36.231,36.231,220,0
EQRR.US,D,20170912,000000,36.578,36.578,36.578,36.578,219,0
EQRR.US,D,20170915,000000,36.834,36.834,36.834,36.834,219,0
EQRR.US,D,20170918,000000,37.239,37.239,37.239,37.239,326,0
EQRR.US,D,20170922,000000,39.481,39.481,39.481,39.481,109,0
EQRR.US,D,20170926,000000,38.184,38.424,38.184,38.424,3375,0
EQRR.US,D,20170928,000000,38.606,38.765,38.606,38.765,1577,0
EQRR.US,D,20170929,000000,38.896,38.968,38.863,38.947,975,0
EQRR.US,D,20171002,000000,38.877,38.96,38.803,38.96,1204,0
