<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGD.US,D,20160727,000000,49.132,49.239,49.109,49.124,5841,0
ESGD.US,D,20160802,000000,49.265,49.265,49.202,49.202,315,0
ESGD.US,D,20160803,000000,49.086,49.086,49.024,49.024,447,0
ESGD.US,D,20160808,000000,49.712,49.712,49.698,49.698,461,0
ESGD.US,D,20160809,000000,50.214,50.214,50.143,50.143,918,0
ESGD.US,D,20160815,000000,50.839,50.848,50.822,50.822,2541,0
ESGD.US,D,20160816,000000,50.679,50.679,50.679,50.679,223,0
ESGD.US,D,20160819,000000,50.445,50.445,50.445,50.445,295,0
ESGD.US,D,20160824,000000,50.908,50.936,50.848,50.848,3007,0
ESGD.US,D,20160825,000000,50.581,50.581,50.581,50.581,130,0
ESGD.US,D,20160829,000000,50.339,50.339,50.329,50.33,2755,0
ESGD.US,D,20160830,000000,50.33,50.33,50.33,50.33,895,0
ESGD.US,D,20160831,000000,50.168,50.168,50.168,50.168,285,0
ESGD.US,D,20160901,000000,50.507,50.553,50.33,50.553,1565,0
ESGD.US,D,20160902,000000,50.946,50.946,50.946,50.946,114,0
ESGD.US,D,20160909,000000,50.946,50.946,50.474,50.474,1946,0
ESGD.US,D,20160912,000000,49.926,49.926,49.926,49.926,125,0
ESGD.US,D,20160913,000000,49.784,49.784,49.784,49.784,143,0
ESGD.US,D,20160920,000000,50.097,50.106,50.097,50.106,223,0
ESGD.US,D,20160923,000000,50.955,51.018,50.955,51.018,4249,0
ESGD.US,D,20160926,000000,50.525,50.525,50.452,50.452,2347,0
ESGD.US,D,20160927,000000,50.294,50.294,50.294,50.294,112,0
ESGD.US,D,20160928,000000,51.028,51.028,51.021,51.021,345,0
ESGD.US,D,20160929,000000,50.83,50.83,50.474,50.474,1902,0
ESGD.US,D,20160930,000000,50.491,50.848,50.491,50.848,2219,0
ESGD.US,D,20161003,000000,50.633,50.633,50.516,50.516,1199,0
ESGD.US,D,20161012,000000,49.543,49.543,49.543,49.543,197,0
ESGD.US,D,20161013,000000,49.166,49.416,49.166,49.415,1605,0
ESGD.US,D,20161014,000000,49.461,49.461,49.461,49.461,587,0
ESGD.US,D,20161017,000000,49.362,49.363,49.353,49.353,931,0
ESGD.US,D,20161020,000000,49.945,49.945,49.945,49.945,120,0
ESGD.US,D,20161021,000000,49.65,49.883,49.65,49.868,2152,0
ESGD.US,D,20161024,000000,49.981,49.981,49.766,49.798,1268,0
ESGD.US,D,20161025,000000,49.694,49.739,49.694,49.739,258,0
ESGD.US,D,20161026,000000,49.622,49.622,49.605,49.605,1063,0
ESGD.US,D,20161027,000000,49.561,49.561,49.561,49.561,170,0
ESGD.US,D,20161028,000000,49.469,49.469,49.469,49.469,335,0
ESGD.US,D,20161031,000000,49.542,49.542,49.535,49.535,802,0
ESGD.US,D,20161101,000000,49.551,49.561,49.551,49.561,1505,0
ESGD.US,D,20161103,000000,48.989,48.989,48.98,48.98,12369,0
ESGD.US,D,20161104,000000,48.772,48.772,48.504,48.576,19945,0
ESGD.US,D,20161107,000000,49.075,49.075,49.075,49.075,228,0
ESGD.US,D,20161108,000000,49.058,49.445,49.058,49.202,6753,0
ESGD.US,D,20161109,000000,49.069,49.354,49.069,49.265,5113,0
ESGD.US,D,20161111,000000,48.613,48.836,48.613,48.818,999,0
ESGD.US,D,20161114,000000,48.701,48.701,48.441,48.576,3016,0
ESGD.US,D,20161115,000000,48.629,48.755,48.613,48.755,939,0
ESGD.US,D,20161116,000000,48.469,48.469,48.396,48.396,505,0
ESGD.US,D,20161117,000000,48.68,48.68,48.638,48.638,268,0
ESGD.US,D,20161118,000000,48.264,48.264,48.135,48.135,820,0
ESGD.US,D,20161121,000000,48.381,48.381,48.381,48.381,394,0
ESGD.US,D,20161122,000000,48.491,48.595,48.491,48.595,518,0
ESGD.US,D,20161128,000000,48.487,48.487,48.441,48.441,1276,0
ESGD.US,D,20161129,000000,48.46,48.755,48.46,48.755,394,0
ESGD.US,D,20161201,000000,48.389,48.389,48.389,48.389,113,0
ESGD.US,D,20161207,000000,50.014,50.014,50.014,50.014,112,0
ESGD.US,D,20161208,000000,50.025,50.025,50.025,50.025,908,0
ESGD.US,D,20161209,000000,50.097,50.164,50.097,50.164,2944,0
ESGD.US,D,20161212,000000,50.072,50.087,50.016,50.034,2474,0
ESGD.US,D,20161213,000000,50.506,50.572,50.504,50.572,1243,0
ESGD.US,D,20161214,000000,50.428,50.428,49.917,49.917,1153,0
ESGD.US,D,20161215,000000,49.622,49.622,49.622,49.622,117,0
ESGD.US,D,20161219,000000,49.677,49.774,49.62,49.62,1686,0
ESGD.US,D,20161221,000000,49.775,49.775,49.721,49.758,7539,0
ESGD.US,D,20161222,000000,49.775,49.775,49.686,49.695,2365,0
ESGD.US,D,20161223,000000,49.721,49.785,49.721,49.766,1622,0
ESGD.US,D,20161227,000000,49.785,49.785,49.785,49.785,137,0
ESGD.US,D,20161228,000000,49.579,49.579,49.549,49.561,4109,0
ESGD.US,D,20161229,000000,49.678,49.75,49.66,49.713,6669,0
ESGD.US,D,20161230,000000,49.927,49.927,49.91,49.91,2320,0
ESGD.US,D,20170103,000000,49.991,50.054,49.98,50.035,1392,0
ESGD.US,D,20170104,000000,50.411,50.555,50.411,50.555,3854,0
ESGD.US,D,20170105,000000,50.859,51.155,50.859,51.155,1573,0
ESGD.US,D,20170106,000000,51.03,51.03,50.849,50.957,2690,0
ESGD.US,D,20170109,000000,50.715,50.868,50.715,50.815,1474,0
ESGD.US,D,20170110,000000,50.957,50.957,50.877,50.877,1092,0
