<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGE.US,D,20160725,000000,25.081,25.081,25.077,25.077,2133,0
ESGE.US,D,20160728,000000,25.312,25.312,25.312,25.312,217,0
ESGE.US,D,20160802,000000,25.189,25.198,25.189,25.198,615,0
ESGE.US,D,20160808,000000,25.998,25.998,25.998,25.998,451,0
ESGE.US,D,20160809,000000,26.177,26.177,26.156,26.156,1087,0
ESGE.US,D,20160810,000000,26.26,26.26,26.26,26.26,217,0
ESGE.US,D,20160811,000000,26.383,26.383,26.383,26.383,437,0
ESGE.US,D,20160817,000000,26.462,26.462,26.267,26.45,2394,0
ESGE.US,D,20160819,000000,26.467,26.467,26.467,26.467,366,0
ESGE.US,D,20160822,000000,26.452,26.452,26.277,26.277,818,0
ESGE.US,D,20160823,000000,26.388,26.388,26.388,26.388,217,0
ESGE.US,D,20160824,000000,26.196,26.26,26.187,26.187,11742,0
ESGE.US,D,20160829,000000,26.062,26.08,26.062,26.08,7312,0
ESGE.US,D,20160831,000000,26.089,26.089,25.965,25.965,784,0
ESGE.US,D,20160901,000000,25.998,26.04,25.998,26.04,437,0
ESGE.US,D,20160902,000000,26.33,26.33,26.33,26.33,221,0
ESGE.US,D,20160907,000000,27.049,27.058,27.022,27.022,7334,0
ESGE.US,D,20160908,000000,27.058,27.058,26.945,26.945,1308,0
ESGE.US,D,20160909,000000,26.588,26.588,26.126,26.126,45384,0
ESGE.US,D,20160912,000000,25.813,25.813,25.745,25.745,437,0
ESGE.US,D,20160916,000000,25.794,25.794,25.794,25.794,217,0
ESGE.US,D,20160919,000000,26.163,26.163,26.163,26.163,27409,0
ESGE.US,D,20160923,000000,26.803,26.803,26.803,26.803,217,0
ESGE.US,D,20160926,000000,26.471,26.471,26.232,26.232,9851,0
ESGE.US,D,20160927,000000,26.475,26.554,26.475,26.554,758,0
ESGE.US,D,20160928,000000,26.618,26.751,26.43,26.751,4189,0
ESGE.US,D,20160929,000000,26.691,26.691,26.43,26.434,8474,0
ESGE.US,D,20160930,000000,26.415,26.544,26.415,26.494,7837,0
ESGE.US,D,20161003,000000,26.48,26.644,26.48,26.644,2831,0
ESGE.US,D,20161004,000000,26.644,26.644,26.485,26.485,2831,0
