<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGU.US,D,20170106,000000,46.498,46.498,46.498,46.498,300,0
ESGU.US,D,20170109,000000,46.301,46.376,46.293,46.32,1126,0
ESGU.US,D,20170110,000000,46.237,46.395,46.237,46.395,217,0
ESGU.US,D,20170117,000000,46.218,46.218,46.218,46.218,267,0
ESGU.US,D,20170118,000000,46.218,46.218,46.218,46.218,218,0
ESGU.US,D,20170124,000000,46.386,46.544,46.355,46.544,4090,0
ESGU.US,D,20170127,000000,46.759,46.759,46.759,46.759,359,0
ESGU.US,D,20170207,000000,46.87,46.87,46.86,46.86,1818,0
ESGU.US,D,20170210,000000,47.459,47.459,47.097,47.097,2147,0
ESGU.US,D,20170227,000000,48.036,48.288,48.036,48.288,963,0
ESGU.US,D,20170308,000000,48.401,48.401,48.401,48.401,213,0
ESGU.US,D,20170309,000000,48.356,48.356,48.356,48.356,397,0
ESGU.US,D,20170314,000000,48.376,48.376,48.376,48.376,316,0
ESGU.US,D,20170321,000000,48.12,48.159,48.091,48.091,2427,0
ESGU.US,D,20170323,000000,48.298,48.298,48.298,48.298,327,0
ESGU.US,D,20170330,000000,48.524,48.524,48.524,48.524,209,0
ESGU.US,D,20170403,000000,48.394,48.394,48.394,48.394,101,0
ESGU.US,D,20170406,000000,48.436,48.436,48.418,48.418,573,0
ESGU.US,D,20170413,000000,48.14,48.14,48.14,48.14,201,0
ESGU.US,D,20170425,000000,49.018,49.018,49.018,49.018,260,0
ESGU.US,D,20170502,000000,49.096,49.096,49.096,49.096,203,0
ESGU.US,D,20170508,000000,49.301,49.301,49.301,49.301,959,0
ESGU.US,D,20170511,000000,49.086,49.199,49.086,49.199,284,0
ESGU.US,D,20170515,000000,49.364,49.364,49.364,49.364,1035,0
ESGU.US,D,20170517,000000,49.03,49.03,49.023,49.023,4661,0
ESGU.US,D,20170522,000000,49.113,49.19,49.113,49.19,430,0
ESGU.US,D,20170524,000000,49.337,49.433,49.337,49.433,2226,0
ESGU.US,D,20170526,000000,49.724,49.724,49.698,49.714,1494,0
ESGU.US,D,20170602,000000,50.206,50.206,50.206,50.206,190,0
ESGU.US,D,20170605,000000,50.232,50.232,50.172,50.213,687,0
ESGU.US,D,20170608,000000,50.059,50.059,50.059,50.059,397,0
ESGU.US,D,20170613,000000,50.26,50.26,50.228,50.237,959,0
ESGU.US,D,20170615,000000,50.007,50.019,50.007,50.019,246,0
ESGU.US,D,20170616,000000,50.091,50.111,49.965,50.081,18810,0
ESGU.US,D,20170620,000000,50.383,50.383,50.383,50.383,320,0
ESGU.US,D,20170623,000000,50.173,50.289,50.173,50.289,424,0
ESGU.US,D,20170627,000000,50.293,50.293,49.985,49.985,599,0
ESGU.US,D,20170630,000000,50.02,50.123,50.02,50.123,669,0
ESGU.US,D,20170706,000000,49.847,49.867,49.834,49.867,874,0
ESGU.US,D,20170711,000000,50.057,50.057,50.057,50.057,420,0
ESGU.US,D,20170718,000000,50.699,50.731,50.633,50.731,1161,0
ESGU.US,D,20170726,000000,51.097,51.112,51.097,51.112,480,0
ESGU.US,D,20170727,000000,51.132,51.132,51.132,51.132,141,0
ESGU.US,D,20170731,000000,51.01,51.01,51.01,51.01,424,0
ESGU.US,D,20170802,000000,50.887,50.887,50.887,50.887,3186,0
ESGU.US,D,20170803,000000,50.869,50.945,50.869,50.917,18807,0
ESGU.US,D,20170808,000000,51.199,51.199,51.199,51.199,1192,0
ESGU.US,D,20170811,000000,50.349,50.349,50.349,50.349,101,0
ESGU.US,D,20170814,000000,50.887,50.927,50.633,50.897,1603,0
ESGU.US,D,20170816,000000,50.907,50.907,50.907,50.907,315,0
ESGU.US,D,20170823,000000,50.471,50.498,50.471,50.498,343,0
ESGU.US,D,20170824,000000,50.455,50.527,50.455,50.527,190583,0
ESGU.US,D,20170825,000000,50.623,50.623,50.508,50.547,4398,0
ESGU.US,D,20170828,000000,50.434,50.434,50.434,50.434,217,0
ESGU.US,D,20170830,000000,50.78,50.819,50.78,50.819,1461,0
ESGU.US,D,20170831,000000,50.954,51.074,50.954,51.074,1067,0
ESGU.US,D,20170901,000000,51.225,51.226,51.19,51.19,745,0
ESGU.US,D,20170907,000000,50.93,50.93,50.93,50.93,101,0
ESGU.US,D,20170908,000000,50.927,50.927,50.927,50.927,101,0
ESGU.US,D,20170911,000000,51.292,51.436,51.292,51.416,2341,0
ESGU.US,D,20170912,000000,51.603,51.603,51.603,51.603,116,0
ESGU.US,D,20170913,000000,51.621,51.621,51.621,51.621,101,0
ESGU.US,D,20170914,000000,51.535,51.535,51.492,51.5,9716,0
ESGU.US,D,20170915,000000,51.636,51.636,51.636,51.636,124,0
ESGU.US,D,20170920,000000,51.786,51.786,51.697,51.697,1845,0
ESGU.US,D,20170925,000000,51.688,51.688,51.688,51.688,167,0
ESGU.US,D,20170926,000000,51.626,51.629,51.616,51.629,619,0
ESGU.US,D,20170927,000000,51.568,51.776,51.549,51.767,1057,0
ESGU.US,D,20170928,000000,51.734,51.815,51.734,51.815,578,0
ESGU.US,D,20171003,000000,52.279,52.279,52.279,52.279,132,0
ESGU.US,D,20171004,000000,52.326,52.411,52.295,52.295,1998,0
ESGU.US,D,20171005,000000,52.463,52.657,52.463,52.657,7566,0
ESGU.US,D,20171006,000000,52.599,52.636,52.599,52.609,613,0
ESGU.US,D,20171009,000000,52.704,52.704,52.507,52.507,1119,0
ESGU.US,D,20171011,000000,52.694,52.694,52.694,52.694,256,0
ESGU.US,D,20171012,000000,52.752,52.778,52.704,52.704,1440,0
ESGU.US,D,20171013,000000,52.873,52.873,52.837,52.847,1072,0
ESGU.US,D,20171016,000000,52.864,52.864,52.837,52.837,1720,0
ESGU.US,D,20171017,000000,52.988,52.988,52.855,52.875,1019,0
ESGU.US,D,20171018,000000,52.999,53.031,52.998,53.031,399,0
ESGU.US,D,20171019,000000,52.95,53.044,52.915,53.035,786,0
ESGU.US,D,20171023,000000,53.384,53.384,53.086,53.086,813,0
ESGU.US,D,20171024,000000,53.329,53.329,53.213,53.213,1380,0
ESGU.US,D,20171025,000000,53.058,53.058,52.837,52.837,3758,0
ESGU.US,D,20171026,000000,53.083,53.127,53.083,53.127,32786,0
ESGU.US,D,20171027,000000,53.478,53.556,53.469,53.508,24933,0
ESGU.US,D,20171030,000000,53.499,53.499,53.279,53.284,6335,0
ESGU.US,D,20171101,000000,53.499,53.499,53.479,53.479,897,0
ESGU.US,D,20171102,000000,53.303,53.528,53.303,53.528,25920,0
ESGU.US,D,20171103,000000,53.632,53.668,53.469,53.668,4705,0
ESGU.US,D,20171106,000000,53.668,53.744,53.668,53.704,3346,0
ESGU.US,D,20171107,000000,53.651,53.651,53.651,53.651,10498,0
ESGU.US,D,20171108,000000,53.716,53.792,53.687,53.792,14474,0
ESGU.US,D,20171109,000000,53.347,53.537,53.347,53.537,4067,0
ESGU.US,D,20171110,000000,53.399,53.528,53.399,53.528,3034,0
ESGU.US,D,20171113,000000,53.499,53.546,53.453,53.479,5313,0
ESGU.US,D,20171114,000000,53.273,53.438,53.273,53.398,3114,0
ESGU.US,D,20171115,000000,53.208,53.292,53.208,53.213,975,0
ESGU.US,D,20171116,000000,53.632,53.64,53.56,53.603,1935,0
ESGU.US,D,20171117,000000,53.489,53.523,53.385,53.449,3230,0
ESGU.US,D,20171120,000000,53.594,53.594,53.449,53.489,9064,0
ESGU.US,D,20171121,000000,53.715,53.83,53.677,53.82,5613,0
ESGU.US,D,20171122,000000,53.82,53.82,53.759,53.819,2000,0
ESGU.US,D,20171124,000000,53.815,53.916,53.801,53.916,3560,0
ESGU.US,D,20171127,000000,53.933,53.933,53.93,53.93,772,0
ESGU.US,D,20171128,000000,54.369,54.369,54.369,54.369,399,0
ESGU.US,D,20171129,000000,54.519,54.519,54.339,54.397,5921,0
ESGU.US,D,20171130,000000,54.723,54.993,54.723,54.869,675,0
ESGU.US,D,20171201,000000,54.86,54.86,54.369,54.651,1942,0
ESGU.US,D,20171204,000000,55.105,55.105,54.775,54.803,1405,0
ESGU.US,D,20171205,000000,54.811,54.811,54.571,54.571,4595,0
ESGU.US,D,20171207,000000,54.369,54.603,54.293,54.519,3545,0
ESGU.US,D,20171208,000000,54.757,54.757,54.757,54.757,593,0
ESGU.US,D,20171211,000000,54.808,54.966,54.808,54.958,9542,0
ESGU.US,D,20171212,000000,55.038,55.047,55.021,55.047,3099,0
ESGU.US,D,20171213,000000,55.184,55.203,55.135,55.184,2139,0
ESGU.US,D,20171214,000000,55.076,55.076,54.9,54.9,1232,0
ESGU.US,D,20171215,000000,55.39,55.39,55.38,55.38,4825,0
ESGU.US,D,20171218,000000,55.682,55.682,55.584,55.584,2149,0
ESGU.US,D,20171219,000000,55.413,55.413,55.308,55.317,1563,0
ESGU.US,D,20171220,000000,55.621,55.621,55.261,55.332,1984,0
ESGU.US,D,20171221,000000,55.423,55.512,55.423,55.49,1717,0
ESGU.US,D,20171222,000000,55.517,55.517,55.363,55.363,524,0
ESGU.US,D,20171226,000000,55.299,55.316,55.289,55.316,4892,0
ESGU.US,D,20171227,000000,55.317,55.317,55.317,55.317,289,0
ESGU.US,D,20171228,000000,55.393,55.393,55.393,55.393,819,0
ESGU.US,D,20171229,000000,55.403,55.403,55.362,55.363,4222,0
ESGU.US,D,20180102,000000,55.373,55.507,55.373,55.49,1187,0
ESGU.US,D,20180103,000000,55.806,55.962,55.806,55.962,1863,0
ESGU.US,D,20180104,000000,56.234,56.257,56.206,56.257,1081,0
ESGU.US,D,20180105,000000,56.504,56.513,56.358,56.512,7702,0
ESGU.US,D,20180108,000000,56.665,56.723,56.558,56.686,9456,0
ESGU.US,D,20180109,000000,56.636,56.957,56.636,56.957,1543,0
ESGU.US,D,20180110,000000,56.57,56.57,56.532,56.532,590,0
ESGU.US,D,20180111,000000,56.857,56.857,56.857,56.857,395,0
ESGU.US,D,20180112,000000,57.321,57.462,57.321,57.462,647,0
ESGU.US,D,20180116,000000,57.568,57.568,57.4,57.4,562,0
ESGU.US,D,20180117,000000,57.812,57.932,57.812,57.932,10983,0
ESGU.US,D,20180118,000000,57.699,57.908,57.699,57.908,1572,0
ESGU.US,D,20180119,000000,57.917,57.927,57.91,57.91,1000,0
ESGU.US,D,20180122,000000,58.25,58.412,58.212,58.412,2444,0
ESGU.US,D,20180123,000000,58.724,58.733,58.609,58.63,7798,0
ESGU.US,D,20180124,000000,58.612,58.715,58.525,58.658,1491,0
ESGU.US,D,20180125,000000,58.981,58.981,58.658,58.658,705,0
ESGU.US,D,20180126,000000,59.126,59.39,59.126,59.36,3154,0
ESGU.US,D,20180129,000000,59.199,59.237,59.182,59.237,1380,0
ESGU.US,D,20180130,000000,58.753,58.753,58.439,58.439,9064,0
ESGU.US,D,20180131,000000,58.516,58.516,58.486,58.516,1528,0
ESGU.US,D,20180201,000000,58.303,58.579,58.303,58.429,1925,0
ESGU.US,D,20180202,000000,57.863,57.863,57.162,57.162,664,0
ESGU.US,D,20180205,000000,56.855,57.083,55.049,55.049,1742,0
ESGU.US,D,20180206,000000,55.299,55.299,54.809,54.809,515716,0
ESGU.US,D,20180207,000000,55.743,56.066,55.743,56.066,460,0
ESGU.US,D,20180208,000000,55.686,55.686,54.519,54.519,1599,0
ESGU.US,D,20180209,000000,54.137,54.137,52.727,53.789,3559,0
ESGU.US,D,20180212,000000,54.757,55.289,54.576,55.289,4970,0
ESGU.US,D,20180213,000000,54.642,55.166,54.642,55.142,1456,0
ESGU.US,D,20180214,000000,54.841,55.943,54.841,55.943,25821,0
ESGU.US,D,20180215,000000,56.228,56.408,56.228,56.408,592,0
ESGU.US,D,20180216,000000,56.286,56.947,56.286,56.613,2109,0
ESGU.US,D,20180220,000000,56.456,56.864,56.424,56.57,6584,0
ESGU.US,D,20180221,000000,56.6,56.93,56.6,56.93,3029,0
ESGU.US,D,20180222,000000,57.908,57.908,56.201,56.201,4901,0
ESGU.US,D,20180223,000000,56.484,56.513,56.484,56.496,1456,0
ESGU.US,D,20180226,000000,57.075,57.359,57.075,57.349,8331,0
ESGU.US,D,20180227,000000,57.65,57.767,57.036,57.036,2236,0
ESGU.US,D,20180228,000000,57.235,57.235,56.447,56.447,5719,0
ESGU.US,D,20180301,000000,56.457,56.457,55.287,55.592,5821,0
ESGU.US,D,20180302,000000,55.097,55.639,55.097,55.639,20489,0
ESGU.US,D,20180305,000000,55.811,56.542,55.811,56.542,1092,0
ESGU.US,D,20180306,000000,56.547,56.703,56.366,56.617,2694,0
ESGU.US,D,20180307,000000,56.447,56.674,56.137,56.674,9136,0
ESGU.US,D,20180308,000000,56.977,56.977,56.732,56.855,3420,0
ESGU.US,D,20180309,000000,57.27,57.868,57.225,57.868,8592,0
ESGU.US,D,20180312,000000,57.888,57.927,57.868,57.927,9888,0
ESGU.US,D,20180313,000000,58.089,58.089,57.481,57.481,8199,0
ESGU.US,D,20180314,000000,57.67,57.67,57.13,57.186,23549,0
ESGU.US,D,20180315,000000,57.216,57.375,57.072,57.206,4136,0
ESGU.US,D,20180316,000000,57.301,57.394,57.263,57.394,3811,0
ESGU.US,D,20180319,000000,57.148,57.148,56.352,56.419,12574,0
ESGU.US,D,20180320,000000,56.531,56.6,56.503,56.57,2699,0
ESGU.US,D,20180321,000000,56.791,56.791,56.674,56.674,5643,0
ESGU.US,D,20180322,000000,56,56,55.952,55.952,4295,0
ESGU.US,D,20180323,000000,55.37,55.37,53.916,53.964,28564,0
ESGU.US,D,20180326,000000,54.599,55.35,54.551,55.296,3273,0
ESGU.US,D,20180327,000000,55.619,55.619,54.382,54.382,7047,0
ESGU.US,D,20180328,000000,54.018,54.504,54,54.305,2706,0
ESGU.US,D,20180329,000000,54.552,55.103,54.332,55.019,8299,0
ESGU.US,D,20180402,000000,53.791,53.849,53.343,53.704,6025,0
ESGU.US,D,20180403,000000,53.924,54.269,53.657,54.269,3397,0
ESGU.US,D,20180404,000000,54.037,55.055,54.037,55.055,1316,0
ESGU.US,D,20180405,000000,55.299,55.299,55.299,55.299,180,0
ESGU.US,D,20180406,000000,55.276,55.276,53.952,53.981,8978,0
ESGU.US,D,20180409,000000,54.552,55.123,54.322,54.322,5351,0
ESGU.US,D,20180410,000000,55.103,55.42,54.972,55.323,3894,0
ESGU.US,D,20180411,000000,55.065,55.286,54.99,55.065,11203,0
ESGU.US,D,20180412,000000,55.487,55.647,55.487,55.61,2958,0
ESGU.US,D,20180413,000000,55.932,55.932,55.296,55.497,3234,0
ESGU.US,D,20180416,000000,55.903,56.009,55.799,55.856,3356,0
ESGU.US,D,20180417,000000,56.297,56.457,56.297,56.457,15008,0
ESGU.US,D,20180418,000000,56.627,56.627,56.601,56.601,599,0
ESGU.US,D,20180419,000000,56.361,56.361,56.02,56.123,2406,0
ESGU.US,D,20180420,000000,56.161,56.161,55.624,55.625,2732,0
ESGU.US,D,20180423,000000,55.847,55.847,55.656,55.656,3721,0
ESGU.US,D,20180424,000000,56.113,56.113,54.752,54.771,19410,0
ESGU.US,D,20180425,000000,54.771,55.017,54.771,55.017,547,0
ESGU.US,D,20180426,000000,55.4,55.799,55.4,55.761,21703,0
ESGU.US,D,20180427,000000,55.884,55.884,55.604,55.604,2062,0
ESGU.US,D,20180502,000000,55.306,55.306,55.254,55.276,4046,0
ESGU.US,D,20180503,000000,54.79,54.972,54.219,54.807,44150,0
ESGU.US,D,20180504,000000,55.266,55.6,55.257,55.6,3113,0
ESGU.US,D,20180507,000000,55.778,55.875,55.721,55.854,18308,0
ESGU.US,D,20180508,000000,55.665,55.684,55.497,55.666,34155,0
ESGU.US,D,20180509,000000,55.99,56.295,55.814,56.2,84240,0
ESGU.US,D,20180510,000000,56.513,56.839,56.513,56.771,5143,0
ESGU.US,D,20180511,000000,56.893,56.959,56.767,56.847,15170,0
ESGU.US,D,20180514,000000,57.127,57.127,56.846,56.846,4422,0
ESGU.US,D,20180515,000000,56.484,56.543,56.402,56.417,14143,0
ESGU.US,D,20180516,000000,56.553,56.772,56.553,56.657,3649,0
ESGU.US,D,20180517,000000,56.647,56.847,56.523,56.523,1130,0
ESGU.US,D,20180518,000000,56.684,56.684,56.461,56.563,7100,0
ESGU.US,D,20180521,000000,56.949,57.018,56.852,56.874,1884,0
ESGU.US,D,20180522,000000,57.095,57.095,56.969,57.048,1640,0
ESGU.US,D,20180523,000000,56.533,56.941,56.503,56.941,1211,0
ESGU.US,D,20180524,000000,56.631,56.883,56.631,56.883,2112,0
ESGU.US,D,20180525,000000,56.801,56.811,56.657,56.733,2591,0
ESGU.US,D,20180529,000000,56.438,56.438,55.854,56,4354,0
ESGU.US,D,20180530,000000,56.504,56.932,56.455,56.839,18076,0
ESGU.US,D,20180531,000000,56.657,56.657,56.476,56.484,990,0
ESGU.US,D,20180601,000000,56.913,57.095,56.913,57.028,1866,0
ESGU.US,D,20180604,000000,57.095,57.343,57.095,57.343,2807,0
ESGU.US,D,20180605,000000,57.309,57.369,57.309,57.361,7223,0
ESGU.US,D,20180606,000000,57.494,57.78,57.392,57.78,108820,0
ESGU.US,D,20180607,000000,57.712,57.811,57.639,57.809,16799,0
ESGU.US,D,20180608,000000,57.703,57.991,57.703,57.991,7842,0
ESGU.US,D,20180611,000000,57.895,58.217,57.895,58.18,10325,0
ESGU.US,D,20180612,000000,58.152,58.189,58.046,58.113,1291,0
ESGU.US,D,20180613,000000,58.094,58.247,58.05,58.113,2442,0
ESGU.US,D,20180614,000000,58.142,58.142,58.095,58.133,832,0
ESGU.US,D,20180615,000000,57.747,58.055,57.732,58.055,4413,0
ESGU.US,D,20180618,000000,57.829,58.027,57.664,58.027,6457,0
ESGU.US,D,20180619,000000,57.591,57.742,57.58,57.708,6038,0
ESGU.US,D,20180620,000000,57.941,58.009,57.895,57.912,9588,0
ESGU.US,D,20180621,000000,57.829,57.829,57.543,57.562,3341,0
ESGU.US,D,20180622,000000,57.618,57.689,57.589,57.689,2860,0
ESGU.US,D,20180625,000000,57.436,57.436,56.563,56.563,3033,0
ESGU.US,D,20180626,000000,56.999,57.134,56.999,57.134,1405,0
ESGU.US,D,20180627,000000,57.192,57.361,56.866,56.866,3225,0
ESGU.US,D,20180628,000000,56.447,56.827,56.437,56.827,16308,0
ESGU.US,D,20180629,000000,57.192,57.355,57.154,57.25,7747,0
ESGU.US,D,20180702,000000,56.744,56.806,56.571,56.806,9564,0
ESGU.US,D,20180703,000000,57.241,57.26,56.936,56.943,2012,0
ESGU.US,D,20180705,000000,57,57.337,56.99,57.337,25923,0
ESGU.US,D,20180706,000000,57.46,57.884,57.298,57.874,11961,0
ESGU.US,D,20180709,000000,58.234,58.234,58.195,58.214,6047,0
ESGU.US,D,20180710,000000,58.426,58.521,58.369,58.511,2717,0
ESGU.US,D,20180711,000000,58.224,58.234,58.13,58.13,6224,0
ESGU.US,D,20180712,000000,58.597,58.674,58.55,58.617,13414,0
ESGU.US,D,20180713,000000,58.674,58.721,58.674,58.721,1136,0
ESGU.US,D,20180716,000000,58.847,58.847,58.58,58.631,6837,0
ESGU.US,D,20180717,000000,58.501,58.979,58.501,58.942,8807,0
ESGU.US,D,20180718,000000,58.894,59.058,58.894,59.018,1840,0
ESGU.US,D,20180719,000000,58.969,58.969,58.808,58.837,54404,0
ESGU.US,D,20180720,000000,58.874,58.875,58.75,58.768,27123,0
ESGU.US,D,20180723,000000,58.646,58.865,58.646,58.865,933,0
ESGU.US,D,20180724,000000,59.246,59.246,58.91,58.91,1406,0
ESGU.US,D,20180725,000000,59.126,59.389,59.091,59.372,5553,0
ESGU.US,D,20180726,000000,59.535,59.544,59.489,59.544,6260,0
ESGU.US,D,20180727,000000,59.753,59.753,58.979,59.03,12519,0
ESGU.US,D,20180730,000000,59.189,59.189,58.706,58.73,11489,0
ESGU.US,D,20180731,000000,58.979,59.164,58.959,59.111,7404,0
ESGU.US,D,20180801,000000,59.276,59.276,59.003,59.05,9429,0
ESGU.US,D,20180802,000000,58.847,59.42,58.847,59.36,1223,0
ESGU.US,D,20180803,000000,59.514,59.649,59.491,59.649,20814,0
ESGU.US,D,20180806,000000,59.621,59.971,59.621,59.887,7201,0
ESGU.US,D,20180807,000000,60.089,60.136,60.069,60.136,4593,0
ESGU.US,D,20180808,000000,59.916,60.079,59.916,60.069,5522,0
ESGU.US,D,20180809,000000,60.156,60.156,59.982,60.014,6291,0
ESGU.US,D,20180810,000000,59.724,59.724,59.372,59.419,10172,0
ESGU.US,D,20180813,000000,59.362,59.449,59.232,59.295,1992,0
ESGU.US,D,20180814,000000,59.668,59.678,59.6,59.601,2607,0
ESGU.US,D,20180815,000000,59.429,59.429,58.942,59.189,3755,0
ESGU.US,D,20180816,000000,59.59,59.84,59.564,59.62,13371,0
ESGU.US,D,20180817,000000,59.59,59.952,59.59,59.87,10604,0
ESGU.US,D,20180820,000000,60.059,60.059,59.869,60.02,2049,0
ESGU.US,D,20180821,000000,60.185,60.355,60.185,60.241,23583,0
ESGU.US,D,20180822,000000,60.015,60.214,60.015,60.156,13082,0
ESGU.US,D,20180823,000000,60.204,60.204,60.041,60.111,11655,0
ESGU.US,D,20180824,000000,60.364,60.478,60.364,60.445,13021,0
ESGU.US,D,20180827,000000,60.603,60.958,60.603,60.929,10589,0
ESGU.US,D,20180828,000000,61.015,61.015,60.885,60.958,12500,0
ESGU.US,D,20180829,000000,61.109,61.36,61.015,61.322,8532,0
ESGU.US,D,20180830,000000,61.197,61.264,60.958,61.054,4383,0
ESGU.US,D,20180831,000000,61.063,61.109,60.919,60.92,9154,0
ESGU.US,D,20180904,000000,61.063,61.063,60.76,60.987,15988,0
ESGU.US,D,20180905,000000,60.75,60.796,60.593,60.796,5723,0
ESGU.US,D,20180906,000000,60.861,60.861,60.44,60.638,5270,0
ESGU.US,D,20180907,000000,60.433,60.603,60.293,60.386,11859,0
ESGU.US,D,20180910,000000,60.788,60.788,60.519,60.613,12065,0
ESGU.US,D,20180911,000000,60.585,60.841,60.585,60.805,12901,0
ESGU.US,D,20180912,000000,60.861,60.861,60.618,60.796,5304,0
