<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESPO.US,D,20181019,000000,29.892,29.892,29.39,29.39,8920,0
ESPO.US,D,20181022,000000,29.622,29.632,29.416,29.51,9935,0
ESPO.US,D,20181023,000000,28.745,29.135,28.507,29.094,6586,0
ESPO.US,D,20181024,000000,28.725,28.725,27.639,27.639,14782,0
ESPO.US,D,20181025,000000,27.551,28.152,27.551,28.018,2216,0
ESPO.US,D,20181026,000000,27.132,27.534,26.982,27.201,4118,0
ESPO.US,D,20181029,000000,27.501,27.591,26.165,26.165,54203,0
ESPO.US,D,20181030,000000,26.614,26.872,26.614,26.682,4790,0
ESPO.US,D,20181031,000000,27.639,27.873,27.581,27.798,8614,0
ESPO.US,D,20181101,000000,28.157,28.665,28.157,28.665,6506,0
ESPO.US,D,20181102,000000,29.264,29.294,28.75,28.894,3549,0
ESPO.US,D,20181105,000000,28.855,28.855,28.457,28.595,4443,0
ESPO.US,D,20181106,000000,28.556,28.805,28.556,28.655,7727,0
ESPO.US,D,20181107,000000,29.144,29.522,29.094,29.469,6759,0
ESPO.US,D,20181108,000000,29.384,29.532,29.044,29.049,2470,0
ESPO.US,D,20181109,000000,28.087,28.087,27.758,27.758,6037,0
ESPO.US,D,20181112,000000,27.728,27.728,27.132,27.132,3010,0
ESPO.US,D,20181113,000000,27.499,27.695,27.341,27.391,7314,0
ESPO.US,D,20181114,000000,27.708,27.748,27.461,27.501,2884,0
ESPO.US,D,20181115,000000,27.738,28.028,27.738,28.008,2279,0
ESPO.US,D,20181116,000000,27.112,27.381,27.112,27.381,12531,0
ESPO.US,D,20181119,000000,27.304,27.304,26.654,26.654,2962,0
ESPO.US,D,20181120,000000,25.796,26.334,25.796,26.145,3131,0
ESPO.US,D,20181121,000000,26.673,26.753,26.673,26.753,643,0
ESPO.US,D,20181123,000000,26.644,26.644,26.574,26.574,379,0
ESPO.US,D,20181126,000000,27.201,27.221,27.112,27.112,409,0
