<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUFN.US,D,20100203,000000,15.842,15.842,15.842,15.842,1020,0
EUFN.US,D,20100209,000000,14.73,14.779,14.73,14.779,2556,0
EUFN.US,D,20100211,000000,14.624,14.779,14.624,14.779,1421,0
EUFN.US,D,20100212,000000,14.392,14.392,14.392,14.392,710,0
EUFN.US,D,20100216,000000,14.704,14.704,14.704,14.704,710,0
EUFN.US,D,20100217,000000,15.237,15.237,15.237,15.237,354,0
EUFN.US,D,20100218,000000,15.218,15.244,15.083,15.244,7754,0
EUFN.US,D,20100219,000000,15.105,15.105,15.105,15.105,311,0
EUFN.US,D,20100224,000000,15.074,15.083,15.074,15.083,710,0
EUFN.US,D,20100225,000000,14.961,14.961,14.961,14.961,270,0
EUFN.US,D,20100226,000000,15.188,15.188,15.188,15.188,142,0
EUFN.US,D,20100301,000000,14.941,14.955,14.941,14.955,2916,0
EUFN.US,D,20100303,000000,15.518,15.518,15.518,15.518,142,0
EUFN.US,D,20100319,000000,16.244,16.244,16.039,16.039,1138,0
EUFN.US,D,20100322,000000,15.765,15.765,15.735,15.735,854,0
EUFN.US,D,20100323,000000,16.054,16.054,16.054,16.054,142,0
EUFN.US,D,20100405,000000,16.632,16.632,16.632,16.632,142,0
EUFN.US,D,20100408,000000,16.117,16.195,16.117,16.195,2556,0
EUFN.US,D,20100409,000000,16.597,16.637,16.597,16.637,612,0
EUFN.US,D,20100412,000000,16.863,16.87,16.863,16.87,1848,0
EUFN.US,D,20100413,000000,16.899,16.899,16.899,16.899,142,0
EUFN.US,D,20100416,000000,17.067,17.067,16.689,16.689,286,0
EUFN.US,D,20100419,000000,16.278,16.468,16.278,16.468,426,0
EUFN.US,D,20100422,000000,15.927,15.94,15.927,15.94,1703,0
EUFN.US,D,20100423,000000,16.026,16.026,15.998,15.998,4117,0
EUFN.US,D,20100427,000000,15.702,15.702,15.228,15.307,2556,0
EUFN.US,D,20100428,000000,15.273,15.315,15.228,15.244,8092,0
EUFN.US,D,20100429,000000,15.526,15.526,15.526,15.526,1421,0
EUFN.US,D,20100504,000000,14.906,14.906,14.598,14.605,4132,0
EUFN.US,D,20100505,000000,14.075,14.223,14.075,14.131,3507,0
EUFN.US,D,20100506,000000,13.807,13.807,12.328,13.053,7399,0
EUFN.US,D,20100507,000000,13.37,13.37,12.815,12.963,9560,0
EUFN.US,D,20100510,000000,14.742,14.834,14.605,14.624,22422,0
EUFN.US,D,20100511,000000,14.21,14.616,14.104,14.418,4400,0
EUFN.US,D,20100513,000000,14.385,14.471,14.286,14.286,1207,0
EUFN.US,D,20100514,000000,13.73,13.752,13.456,13.491,12071,0
EUFN.US,D,20100517,000000,13.672,13.682,13.504,13.638,3267,0
EUFN.US,D,20100518,000000,13.822,13.899,13.307,13.343,5712,0
EUFN.US,D,20100519,000000,13.37,13.406,13.307,13.322,8054,0
EUFN.US,D,20100520,000000,12.865,13.139,12.801,12.969,12503,0
EUFN.US,D,20100521,000000,13.379,13.379,13.379,13.379,625,0
EUFN.US,D,20100525,000000,12.588,12.835,12.42,12.815,10143,0
EUFN.US,D,20100526,000000,12.969,12.977,12.638,12.638,9005,0
EUFN.US,D,20100527,000000,13.167,13.525,13.161,13.406,19429,0
EUFN.US,D,20100528,000000,13.427,13.427,13.167,13.167,5249,0
EUFN.US,D,20100601,000000,13.422,13.422,13.076,13.076,1194,0
EUFN.US,D,20100602,000000,13.076,13.281,13.076,13.281,3001,0
EUFN.US,D,20100603,000000,13.245,13.245,13.245,13.245,142,0
EUFN.US,D,20100604,000000,12.759,12.759,12.37,12.376,23648,0
EUFN.US,D,20100607,000000,12.556,12.556,12.301,12.301,854,0
EUFN.US,D,20100608,000000,12.337,12.407,12.259,12.407,2696,0
EUFN.US,D,20100609,000000,12.385,12.385,12.385,12.385,1703,0
EUFN.US,D,20100610,000000,12.928,13.097,12.801,13.097,157818,0
EUFN.US,D,20100611,000000,13.161,13.266,13.161,13.217,5030,0
EUFN.US,D,20100614,000000,13.623,13.623,13.456,13.456,426,0
EUFN.US,D,20100615,000000,13.834,14.009,13.834,13.999,2840,0
EUFN.US,D,20100616,000000,13.928,14.004,13.914,14.004,1588,0
EUFN.US,D,20100617,000000,14.166,14.166,14.009,14.07,8878,0
EUFN.US,D,20100618,000000,14.216,14.272,14.161,14.161,2072,0
EUFN.US,D,20100621,000000,14.441,14.441,14.204,14.204,710,0
EUFN.US,D,20100622,000000,14.143,14.143,13.569,13.906,2413,0
EUFN.US,D,20100623,000000,13.834,14.139,13.781,13.841,1277,0
EUFN.US,D,20100624,000000,13.759,13.764,13.561,13.561,567,0
EUFN.US,D,20100625,000000,13.538,13.66,13.441,13.569,2980,0
EUFN.US,D,20100628,000000,13.585,13.59,13.519,13.532,1277,0
EUFN.US,D,20100629,000000,12.977,12.977,12.977,12.977,1417,0
EUFN.US,D,20100630,000000,12.967,12.967,12.845,12.845,1138,0
EUFN.US,D,20100701,000000,13.123,13.123,13.032,13.032,1848,0
EUFN.US,D,20100702,000000,13.11,13.11,13.09,13.101,792,0
EUFN.US,D,20100706,000000,13.441,13.575,13.328,13.328,8805,0
EUFN.US,D,20100708,000000,14.294,14.349,13.914,14.272,10228,0
EUFN.US,D,20100709,000000,14.334,14.385,14.334,14.385,622814,0
EUFN.US,D,20100712,000000,14.258,14.341,14.21,14.307,239744,0
EUFN.US,D,20100713,000000,14.645,14.772,14.624,14.772,12851,0
EUFN.US,D,20100714,000000,14.598,14.735,14.539,14.735,26181,0
EUFN.US,D,20100715,000000,14.624,14.696,14.539,14.696,1515,0
EUFN.US,D,20100716,000000,14.49,14.49,14.181,14.181,5312,0
EUFN.US,D,20100719,000000,14.223,14.223,14.223,14.223,142384,0
EUFN.US,D,20100720,000000,13.992,14.402,13.992,14.402,139753,0
EUFN.US,D,20100721,000000,14.464,14.464,14.053,14.123,92213,0
EUFN.US,D,20100722,000000,14.616,14.786,14.616,14.786,32597,0
EUFN.US,D,20100723,000000,14.59,16.117,14.59,14.941,30256,0
EUFN.US,D,20100726,000000,14.919,15.138,14.919,15.138,11078,0
EUFN.US,D,20100727,000000,15.835,15.842,15.547,15.729,12170,0
EUFN.US,D,20100728,000000,15.799,15.799,15.637,15.637,13274,0
EUFN.US,D,20100729,000000,15.624,15.723,15.624,15.723,461,0
EUFN.US,D,20100730,000000,15.484,15.558,15.484,15.558,1561,0
EUFN.US,D,20100802,000000,16.112,16.398,16.112,16.398,35502,0
EUFN.US,D,20100803,000000,16.335,16.505,16.329,16.406,182954,0
EUFN.US,D,20100804,000000,16.32,16.342,16.195,16.308,32230,0
EUFN.US,D,20100805,000000,16.228,16.32,16.165,16.32,21762,0
EUFN.US,D,20100806,000000,16.159,16.32,16.13,16.222,27063,0
EUFN.US,D,20100809,000000,16.308,16.342,16.258,16.258,20054,0
EUFN.US,D,20100810,000000,16.004,16.195,15.842,16.144,14392,0
EUFN.US,D,20100811,000000,15.539,15.539,15.209,15.209,23006,0
EUFN.US,D,20100812,000000,14.983,15.123,14.983,15.09,7359,0
EUFN.US,D,20100813,000000,15.053,15.152,14.991,15.003,2032,0
EUFN.US,D,20100816,000000,14.928,15.074,14.928,14.961,24445,0
EUFN.US,D,20100817,000000,15.278,15.37,15.278,15.315,11907,0
EUFN.US,D,20100818,000000,15.293,15.343,15.209,15.343,9629,0
EUFN.US,D,20100819,000000,15.287,15.287,14.807,14.928,14358,0
EUFN.US,D,20100820,000000,14.667,14.704,14.561,14.696,16468,0
EUFN.US,D,20100823,000000,14.758,14.898,14.681,14.681,2099,0
EUFN.US,D,20100824,000000,14.406,14.435,14.302,14.435,156779,0
EUFN.US,D,20100825,000000,14.223,14.236,14.188,14.236,2176,0
EUFN.US,D,20100826,000000,14.483,14.569,14.37,14.37,216629,0
EUFN.US,D,20100827,000000,14.406,14.63,14.406,14.616,3387,0
EUFN.US,D,20100830,000000,14.441,14.441,14.328,14.328,2498,0
EUFN.US,D,20100831,000000,14.272,14.554,14.181,14.441,429914,0
EUFN.US,D,20100901,000000,14.827,15.123,14.827,15.105,32522,0
EUFN.US,D,20100902,000000,15.158,15.25,15.123,15.25,171388,0
