<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EWEB.US,D,20201112,000000,14.84,14.93,14.5,14.5329,14128,0
EWEB.US,D,20201113,000000,14.86,15.12,14.86,15.12,7253,0
EWEB.US,D,20201116,000000,15.5,15.58,15,15.03,30069,0
EWEB.US,D,20201117,000000,14.89,14.89,14.75,14.79,56079,0
EWEB.US,D,20201118,000000,14.89,14.89,14.5915,14.5915,8831,0
EWEB.US,D,20201119,000000,14.72,14.84,14.72,14.805,5047,0
EWEB.US,D,20201120,000000,14.87,15.15,14.87,15.0842,6270,0
EWEB.US,D,20201123,000000,15.23,15.25,15.01,15.05,34559,0
EWEB.US,D,20201124,000000,15.3,15.3,15.115,15.24,19427,0
EWEB.US,D,20201125,000000,15.1,15.1,15.03,15.03,7320,0
EWEB.US,D,20201127,000000,15.17,15.359,15.058,15.3267,8863,0
EWEB.US,D,20201130,000000,15.23,15.23,14.859,14.98,15309,0
EWEB.US,D,20201201,000000,15.09,15.09,14.91,14.94,5770,0
EWEB.US,D,20201202,000000,14.87,14.89,14.61,14.84,7398,0
EWEB.US,D,20201203,000000,15.02,15.149,15,15.0693,3823,0
EWEB.US,D,20201204,000000,15.28,15.28,15.21,15.23,5560,0
EWEB.US,D,20201207,000000,15.27,15.27,15.1,15.175,10774,0
EWEB.US,D,20201208,000000,15.26,15.42,15.26,15.385,66731,0
EWEB.US,D,20201209,000000,15.319,15.359,15.105,15.105,5715,0
EWEB.US,D,20201210,000000,15.09,15.375,15.09,15.35,4358,0
EWEB.US,D,20201211,000000,15.23,15.4,15.23,15.295,16880,0
EWEB.US,D,20201214,000000,15.22,15.22,15.145,15.16,56787,0
EWEB.US,D,20201215,000000,15.08,15.19,15.06,15.17,3645,0
EWEB.US,D,20201216,000000,15.17,15.39,15.17,15.35,48126,0
EWEB.US,D,20201217,000000,15.45,15.595,15.4439,15.55,15242,0
EWEB.US,D,20201218,000000,15.64,15.64,15.45,15.56,15232,0
EWEB.US,D,20201221,000000,15.23,15.51,15.23,15.44,13356,0
EWEB.US,D,20201222,000000,15.31,15.41,15.22,15.32,13442,0
EWEB.US,D,20201223,000000,15.3775,15.44,15.32,15.4098,23037,0
EWEB.US,D,20201224,000000,15.24,15.3033,15.07,15.235,9861,0
EWEB.US,D,20201228,000000,15.24,15.24,14.87,14.965,18985,0
EWEB.US,D,20201229,000000,15.15,15.54,15.15,15.5,16075,0
EWEB.US,D,20201230,000000,15.7,16.15,15.7,16.1193,18967,0
EWEB.US,D,20201231,000000,16.15,16.15,15.97,16.07,8190,0
EWEB.US,D,20210104,000000,16.21,16.24,15.86,15.96,19911,0
EWEB.US,D,20210105,000000,16.06,16.6473,16.06,16.6473,12417,0
EWEB.US,D,20210106,000000,16.48,16.59,15.99,16.11,30007,0
EWEB.US,D,20210107,000000,16.16,16.27,16.0548,16.235,6759,0
