<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EWJE.US,D,20190311,000000,31.255,31.255,31.255,31.255,635,0
EWJE.US,D,20190318,000000,31.663,31.681,31.663,31.681,528,0
EWJE.US,D,20190322,000000,31.693,31.693,31.693,31.693,316,0
EWJE.US,D,20190326,000000,32.193,32.193,32.193,32.193,106,0
EWJE.US,D,20190402,000000,32.154,32.154,32.154,32.154,106,0
EWJE.US,D,20190416,000000,32.184,32.184,32.184,32.184,190,0
EWJE.US,D,20190417,000000,32.135,32.135,32.135,32.135,144,0
EWJE.US,D,20190422,000000,31.994,31.994,31.994,31.994,106,0
EWJE.US,D,20190501,000000,32.164,32.164,32.164,32.164,316,0
EWJE.US,D,20190510,000000,31.16,31.16,30.876,30.876,422,0
EWJE.US,D,20190516,000000,30.962,30.962,30.962,30.962,106,0
EWJE.US,D,20190520,000000,30.782,30.782,30.782,30.782,128,0
EWJE.US,D,20190530,000000,30.829,30.829,30.64,30.64,316,0
EWJE.US,D,20190610,000000,31.302,31.505,31.302,31.505,212,0
EWJE.US,D,20190612,000000,31.435,31.435,31.435,31.435,106,0
EWJE.US,D,20190723,000000,31.877,31.877,31.877,31.877,2,0
EWJE.US,D,20190724,000000,31.877,31.877,31.877,31.877,2,0
EWJE.US,D,20190725,000000,31.877,31.877,31.877,31.877,2,0
EWJE.US,D,20190726,000000,31.877,31.877,31.877,31.877,2,0
EWJE.US,D,20190730,000000,31.877,31.877,31.877,31.877,2,0
EWJE.US,D,20190731,000000,31.877,31.877,31.877,31.877,2,0
EWJE.US,D,20190801,000000,31.877,31.877,31.877,31.877,1,0
EWJE.US,D,20190802,000000,31.877,31.877,31.877,31.877,1,0
EWJE.US,D,20190806,000000,31.022,31.022,31.022,31.022,106,0
EWJE.US,D,20190905,000000,31.473,31.473,31.473,31.473,416,0
EWJE.US,D,20190910,000000,32.02,32.02,32.02,32.02,105,0
EWJE.US,D,20190911,000000,32.338,32.338,32.338,32.338,418,0
EWJE.US,D,20190912,000000,32.598,32.598,32.598,32.598,416,0
EWJE.US,D,20190913,000000,32.857,32.857,32.857,32.857,416,0
EWJE.US,D,20190916,000000,32.947,32.947,32.947,32.947,105,0
EWJE.US,D,20190919,000000,33.154,33.154,33.154,33.154,416,0
EWJE.US,D,20190920,000000,33.26,33.26,33.26,33.26,126,0
EWJE.US,D,20190926,000000,33.482,33.509,33.482,33.509,836,0
EWJE.US,D,20190927,000000,33.125,33.125,33.058,33.058,524,0
EWJE.US,D,20190930,000000,32.837,32.982,32.837,32.982,210,0
EWJE.US,D,20191001,000000,33.044,33.048,33.044,33.048,225,0
EWJE.US,D,20191002,000000,32.751,32.751,32.751,32.751,110,0
EWJE.US,D,20191007,000000,33.083,33.083,32.934,33.083,832,0
EWJE.US,D,20191010,000000,32.866,33.029,32.866,33.029,430,0
EWJE.US,D,20191011,000000,33.529,33.529,33.529,33.529,105,0
EWJE.US,D,20191014,000000,33.499,33.499,33.499,33.499,227,0
EWJE.US,D,20191016,000000,33.588,33.597,33.588,33.597,209,0
EWJE.US,D,20191017,000000,33.599,33.599,33.598,33.598,221,0
EWJE.US,D,20191018,000000,33.475,33.475,33.469,33.469,209,0
EWJE.US,D,20191022,000000,33.872,33.872,33.872,33.872,105,0
EWJE.US,D,20191023,000000,34.008,34.008,34.008,34.008,105,0
EWJE.US,D,20191024,000000,34.067,34.067,34.067,34.067,105,0
EWJE.US,D,20191101,000000,34.585,34.585,34.585,34.585,105,0
EWJE.US,D,20191104,000000,34.777,34.777,34.777,34.777,835,0
EWJE.US,D,20191112,000000,35.186,35.186,35.186,35.186,112,0
EWJE.US,D,20191113,000000,34.826,34.979,34.826,34.979,416,0
EWJE.US,D,20191114,000000,34.681,34.71,34.681,34.71,315,0
EWJE.US,D,20191115,000000,34.959,34.97,34.957,34.97,1751,0
EWJE.US,D,20191118,000000,35.075,35.083,35.046,35.061,660,0
EWJE.US,D,20191125,000000,35.253,35.257,35.253,35.257,214,0
EWJE.US,D,20191126,000000,35.098,35.141,35.098,35.141,110,0
EWJE.US,D,20191129,000000,34.854,34.854,34.826,34.839,474,0
EWJE.US,D,20191206,000000,35.581,35.608,35.581,35.608,527,0
EWJE.US,D,20191210,000000,35.315,35.315,35.315,35.315,527,0
EWJE.US,D,20191211,000000,35.42,35.437,35.42,35.437,210,0
EWJE.US,D,20191212,000000,35.229,35.489,35.229,35.489,3235,0
EWJE.US,D,20191213,000000,35.286,35.449,35.286,35.449,1041,0
EWJE.US,D,20191216,000000,35.537,35.537,35.537,35.537,308,0
EWJE.US,D,20191218,000000,35.342,35.342,35.342,35.342,473,0
EWJE.US,D,20191220,000000,35.41,35.414,35.41,35.414,616,0
EWJE.US,D,20191223,000000,35.332,35.39,35.332,35.334,1364,0
EWJE.US,D,20191227,000000,35.302,35.312,35.302,35.312,617,0
EWJE.US,D,20191230,000000,35.045,35.045,34.932,34.932,153,0
EWJE.US,D,20200102,000000,35.419,35.419,35.4,35.4,322,0
EWJE.US,D,20200106,000000,35.158,35.263,35.158,35.194,5319,0
EWJE.US,D,20200107,000000,35.234,35.273,35.209,35.234,1527,0
EWJE.US,D,20200108,000000,35.312,35.312,35.236,35.236,3786,0
EWJE.US,D,20200109,000000,35.342,35.357,35.298,35.298,1535,0
EWJE.US,D,20200121,000000,35.107,35.107,35.107,35.107,224,0
EWJE.US,D,20200122,000000,35.106,35.151,35.078,35.151,5227,0
EWJE.US,D,20200123,000000,35.097,35.175,35.053,35.141,5965,0
EWJE.US,D,20200127,000000,34.335,34.335,34.31,34.31,665,0
EWJE.US,D,20200128,000000,34.507,34.579,34.507,34.539,6060,0
EWJE.US,D,20200129,000000,34.517,34.569,34.436,34.436,4352,0
EWJE.US,D,20200131,000000,34.119,34.119,33.748,33.75,784,0
EWJE.US,D,20200203,000000,34.111,34.111,34.086,34.086,103,0
EWJE.US,D,20200204,000000,34.657,34.657,34.657,34.657,103,0
EWJE.US,D,20200205,000000,34.881,34.998,34.881,34.978,10543,0
EWJE.US,D,20200207,000000,34.86,34.86,34.779,34.779,857,0
EWJE.US,D,20200210,000000,34.589,34.784,34.589,34.754,1680,0
EWJE.US,D,20200212,000000,34.696,34.696,34.696,34.696,423,0
EWJE.US,D,20200213,000000,34.53,34.53,34.432,34.432,709,0
EWJE.US,D,20200214,000000,34.246,34.246,34.137,34.137,583,0
EWJE.US,D,20200218,000000,33.914,33.914,33.562,33.562,2527,0
EWJE.US,D,20200219,000000,33.621,33.658,33.516,33.516,6572,0
EWJE.US,D,20200220,000000,33.23,33.23,33.23,33.23,538,0
EWJE.US,D,20200224,000000,31.837,31.881,31.708,31.708,2943,0
EWJE.US,D,20200225,000000,31.93,31.93,31.93,31.93,1159,0
EWJE.US,D,20200226,000000,31.979,31.979,31.791,31.791,103,0
EWJE.US,D,20200227,000000,31.08,31.373,30.748,30.748,8444,0
EWJE.US,D,20200228,000000,30.2,30.629,29.993,30.419,1736,0
EWJE.US,D,20200302,000000,30.756,30.756,30.756,30.756,351,0
EWJE.US,D,20200304,000000,31.02,31.04,31.02,31.04,433,0
EWJE.US,D,20200305,000000,30.766,30.766,30.599,30.599,455,0
EWJE.US,D,20200310,000000,29.081,29.622,29.081,29.622,309,0
