<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EWJV.US,D,20190308,000000,22.504,22.504,22.504,22.504,1615,0
EWJV.US,D,20190312,000000,22.597,22.819,22.597,22.819,539,0
EWJV.US,D,20190318,000000,22.951,22.951,22.951,22.951,108,0
EWJV.US,D,20190322,000000,23.043,23.05,23.043,23.05,432,0
EWJV.US,D,20190325,000000,22.977,22.977,22.977,22.977,216,0
EWJV.US,D,20190326,000000,23.34,23.34,23.237,23.237,539,0
EWJV.US,D,20190328,000000,23.182,23.182,23.182,23.182,216,0
EWJV.US,D,20190401,000000,23.33,23.33,23.33,23.33,1615,0
EWJV.US,D,20190410,000000,23.168,23.168,23.168,23.168,431,0
EWJV.US,D,20190411,000000,23.089,23.089,23.089,23.089,10883,0
EWJV.US,D,20190422,000000,23.099,23.099,23.099,23.099,216,0
EWJV.US,D,20190423,000000,23.247,23.247,23.247,23.247,1092,0
EWJV.US,D,20190425,000000,22.903,22.96,22.897,22.931,2370,0
EWJV.US,D,20190506,000000,22.967,22.967,22.967,22.967,216,0
EWJV.US,D,20190510,000000,22.395,22.526,22.395,22.526,2155,0
EWJV.US,D,20190520,000000,22.262,22.262,22.262,22.262,1078,0
EWJV.US,D,20190523,000000,22.073,22.073,22.073,22.073,399,0
EWJV.US,D,20190528,000000,22.31,22.31,22.31,22.31,112,0
EWJV.US,D,20190624,000000,22.963,22.963,22.963,22.963,423,0
EWJV.US,D,20190626,000000,22.89,22.89,22.89,22.89,263,0
EWJV.US,D,20190628,000000,23.009,23.009,23.009,23.009,1587,0
EWJV.US,D,20190705,000000,23.297,23.297,23.297,23.297,2136,0
EWJV.US,D,20190715,000000,23.322,23.322,23.322,23.322,212,0
EWJV.US,D,20190718,000000,22.886,22.886,22.886,22.886,322,0
EWJV.US,D,20190725,000000,23.105,23.105,23.105,23.105,105,0
EWJV.US,D,20190729,000000,22.886,22.886,22.886,22.886,1057,0
EWJV.US,D,20190807,000000,22.32,22.32,22.168,22.168,635,0
EWJV.US,D,20190812,000000,22.064,22.093,22.064,22.093,400,0
EWJV.US,D,20190814,000000,21.744,21.744,21.744,21.744,3171,0
EWJV.US,D,20190823,000000,22.054,22.054,22.054,22.054,120,0
EWJV.US,D,20190827,000000,22.168,22.168,22.168,22.168,105,0
EWJV.US,D,20190829,000000,22.243,22.243,22.243,22.243,423,0
EWJV.US,D,20190830,000000,22.423,22.423,22.423,22.423,105,0
EWJV.US,D,20190905,000000,22.65,22.65,22.649,22.649,212,0
EWJV.US,D,20190906,000000,22.717,22.717,22.717,22.717,105,0
EWJV.US,D,20190910,000000,23.057,23.057,23.057,23.057,528,0
EWJV.US,D,20190911,000000,23.521,23.521,23.521,23.521,528,0
EWJV.US,D,20190912,000000,23.729,23.738,23.72,23.738,3478,0
EWJV.US,D,20190913,000000,23.931,23.936,23.931,23.931,793,0
EWJV.US,D,20190917,000000,23.864,23.864,23.864,23.864,676,0
EWJV.US,D,20190918,000000,23.731,23.738,23.731,23.738,424,0
EWJV.US,D,20190919,000000,23.936,24.036,23.936,23.975,16647,0
EWJV.US,D,20190923,000000,23.842,23.909,23.842,23.909,406,0
EWJV.US,D,20190924,000000,24.005,24.005,24.005,24.005,392,0
EWJV.US,D,20190927,000000,23.88,23.88,23.833,23.833,424,0
EWJV.US,D,20190930,000000,23.654,23.738,23.654,23.738,433,0
EWJV.US,D,20191001,000000,23.823,23.823,23.7,23.7,3528,0
EWJV.US,D,20191002,000000,23.501,23.501,23.501,23.501,107,0
EWJV.US,D,20191009,000000,23.597,23.597,23.592,23.592,1703,0
EWJV.US,D,20191014,000000,23.861,23.861,23.861,23.861,212,0
EWJV.US,D,20191015,000000,23.985,24.211,23.985,24.211,635,0
EWJV.US,D,20191016,000000,24.147,24.147,24.147,24.147,206,0
EWJV.US,D,20191021,000000,24.277,24.277,24.238,24.268,2789,0
EWJV.US,D,20191024,000000,24.447,24.447,24.447,24.447,371,0
EWJV.US,D,20191029,000000,24.606,24.619,24.606,24.619,263,0
EWJV.US,D,20191031,000000,24.522,24.522,24.522,24.522,238,0
EWJV.US,D,20191101,000000,24.807,24.807,24.807,24.807,486,0
EWJV.US,D,20191104,000000,24.856,24.856,24.856,24.856,578,0
EWJV.US,D,20191111,000000,25.168,25.231,25.168,25.231,754,0
EWJV.US,D,20191113,000000,25.177,25.177,25.177,25.177,3224,0
EWJV.US,D,20191114,000000,24.959,24.977,24.959,24.977,331,0
EWJV.US,D,20191115,000000,25.129,25.19,25.129,25.148,6183,0
EWJV.US,D,20191118,000000,25.091,25.091,25.091,25.091,257,0
EWJV.US,D,20191119,000000,25.168,25.168,25.168,25.168,5050,0
EWJV.US,D,20191120,000000,24.949,24.949,24.887,24.887,105,0
EWJV.US,D,20191125,000000,25.119,25.148,25.119,25.148,1352,0
EWJV.US,D,20191126,000000,25.044,25.073,25.017,25.054,742,0
EWJV.US,D,20191129,000000,24.879,24.882,24.79,24.857,6811,0
EWJV.US,D,20191202,000000,24.858,24.858,24.832,24.832,213,0
EWJV.US,D,20191203,000000,24.751,24.931,24.751,24.931,3192,0
EWJV.US,D,20191204,000000,25.207,25.207,25.187,25.187,356,0
EWJV.US,D,20191206,000000,25.48,25.534,25.463,25.463,9747,0
EWJV.US,D,20191210,000000,25.353,25.363,25.351,25.351,795,0
EWJV.US,D,20191212,000000,25.465,25.465,25.422,25.422,1100,0
EWJV.US,D,20191216,000000,25.553,25.582,25.553,25.577,5696,0
EWJV.US,D,20191217,000000,25.457,25.491,25.176,25.176,2221,0
EWJV.US,D,20191218,000000,25.442,25.456,25.441,25.447,2120,0
EWJV.US,D,20191220,000000,25.446,25.504,25.446,25.476,20191,0
EWJV.US,D,20191223,000000,25.33,25.348,25.32,25.328,25937,0
EWJV.US,D,20191224,000000,25.243,25.263,25.215,25.218,6642,0
EWJV.US,D,20191226,000000,25.233,25.248,25.233,25.248,601,0
EWJV.US,D,20191227,000000,25.34,25.34,25.267,25.267,2689,0
EWJV.US,D,20191230,000000,25.223,25.223,25.121,25.151,14722,0
EWJV.US,D,20191231,000000,25.029,25.083,25.029,25.083,1132,0
EWJV.US,D,20200102,000000,25.369,25.379,25.369,25.379,2394,0
EWJV.US,D,20200103,000000,25.097,25.289,25.097,25.287,1445,0
EWJV.US,D,20200106,000000,25.174,25.203,25.174,25.198,941,0
EWJV.US,D,20200107,000000,25.184,25.184,25.173,25.18,624,0
EWJV.US,D,20200108,000000,25.136,25.446,25.136,25.301,7532,0
EWJV.US,D,20200109,000000,25.291,25.31,25.291,25.301,5932,0
EWJV.US,D,20200110,000000,25.176,25.176,25.057,25.057,6256,0
EWJV.US,D,20200113,000000,25.203,25.203,25.203,25.203,374,0
EWJV.US,D,20200114,000000,25.161,25.194,25.131,25.192,2889,0
EWJV.US,D,20200115,000000,25.106,25.106,25.077,25.097,18459,0
EWJV.US,D,20200116,000000,25.054,25.115,25.054,25.094,8844,0
EWJV.US,D,20200117,000000,25.156,25.173,25.154,25.171,2016,0
EWJV.US,D,20200121,000000,25.233,25.233,25.197,25.198,4014,0
EWJV.US,D,20200122,000000,25.166,25.185,25.107,25.124,3491,0
EWJV.US,D,20200123,000000,25.116,25.278,25.105,25.169,23786,0
EWJV.US,D,20200124,000000,25.015,25.029,25.015,25.02,523,0
EWJV.US,D,20200127,000000,24.623,24.68,24.583,24.588,2206,0
EWJV.US,D,20200128,000000,24.796,24.796,24.758,24.769,21512,0
