<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EWZS.US,D,20101004,000000,20.787,20.943,20.558,20.633,83566,0
EWZS.US,D,20101005,000000,21.157,21.157,20.667,21.052,58178,0
EWZS.US,D,20101006,000000,21.173,21.173,20.973,20.997,208105,0
EWZS.US,D,20101007,000000,21.53,21.53,20.895,20.997,152007,0
EWZS.US,D,20101008,000000,21.012,21.498,21.012,21.477,58068,0
EWZS.US,D,20101011,000000,22.382,22.382,21.567,21.582,73384,0
EWZS.US,D,20101012,000000,21.936,21.945,21.366,21.728,107404,0
EWZS.US,D,20101013,000000,21.711,22.33,21.711,22.275,53477,0
EWZS.US,D,20101014,000000,22.545,22.545,22.005,22.104,96193,0
EWZS.US,D,20101015,000000,22.29,22.29,22.035,22.207,60170,0
EWZS.US,D,20101018,000000,22.284,22.29,22.089,22.089,96578,0
EWZS.US,D,20101019,000000,21.966,22.089,19.473,21.381,114030,0
EWZS.US,D,20101020,000000,21.49,21.945,21.49,21.72,76264,0
EWZS.US,D,20101021,000000,21.958,22.075,21.442,21.591,81315,0
EWZS.US,D,20101022,000000,21.591,21.728,21.435,21.506,21063,0
EWZS.US,D,20101025,000000,21.758,21.797,21.611,21.711,42220,0
EWZS.US,D,20101026,000000,21.789,21.875,21.514,21.82,28461,0
EWZS.US,D,20101027,000000,21.867,21.867,21.458,21.49,34062,0
EWZS.US,D,20101028,000000,21.805,21.805,21.536,21.651,24040,0
EWZS.US,D,20101029,000000,21.45,21.936,21.45,21.936,32830,0
EWZS.US,D,20101101,000000,22.181,22.214,22.019,22.207,34694,0
EWZS.US,D,20101102,000000,22.823,22.823,22.367,22.56,55538,0
EWZS.US,D,20101103,000000,22.86,22.86,22.33,22.644,53862,0
EWZS.US,D,20101104,000000,23.36,23.36,22.868,23.169,274240,0
EWZS.US,D,20101105,000000,23.36,23.36,22.953,23.053,186918,0
EWZS.US,D,20101108,000000,22.959,22.959,22.637,22.851,34016,0
EWZS.US,D,20101109,000000,22.989,23.097,22.343,22.392,73681,0
EWZS.US,D,20101110,000000,22.605,24.297,21.907,22.23,111898,0
EWZS.US,D,20101111,000000,22.221,22.275,22.123,22.244,75819,0
EWZS.US,D,20101112,000000,21.805,22.214,21.805,22.035,45254,0
EWZS.US,D,20101115,000000,22.275,22.312,22.097,22.097,14422,0
EWZS.US,D,20101116,000000,21.92,21.92,21.273,21.273,36865,0
EWZS.US,D,20101117,000000,21.327,21.828,21.327,21.611,75998,0
EWZS.US,D,20101118,000000,22.244,22.25,22.059,22.174,26815,0
EWZS.US,D,20101119,000000,22.321,22.352,22.097,22.214,63452,0
EWZS.US,D,20101122,000000,21.966,22.321,21.945,22.312,15494,0
EWZS.US,D,20101123,000000,21.958,21.958,21.521,21.635,11396,0
EWZS.US,D,20101124,000000,22.25,22.25,22.097,22.244,15877,0
EWZS.US,D,20101126,000000,22.244,22.244,21.835,22.089,3083,0
EWZS.US,D,20101129,000000,22.059,22.198,21.765,22.198,7168,0
EWZS.US,D,20101130,000000,22.128,22.545,21.899,22.521,20657,0
EWZS.US,D,20101201,000000,22.29,22.652,22.221,22.297,80729,0
EWZS.US,D,20101202,000000,22.86,22.86,22.321,22.529,19102,0
EWZS.US,D,20101203,000000,22.597,22.759,22.33,22.745,7164,0
EWZS.US,D,20101206,000000,22.284,22.944,22.284,22.921,19632,0
EWZS.US,D,20101207,000000,23.097,23.16,22.521,22.521,21252,0
EWZS.US,D,20101208,000000,22.782,22.782,22.221,22.321,7143,0
EWZS.US,D,20101209,000000,22.29,22.29,21.85,22.104,20143,0
EWZS.US,D,20101210,000000,22.097,22.097,21.643,21.958,8857,0
EWZS.US,D,20101213,000000,22.321,22.482,22.097,22.482,39092,0
EWZS.US,D,20101214,000000,22.605,22.713,22.449,22.605,19727,0
EWZS.US,D,20101215,000000,22.567,22.66,22.33,22.33,11175,0
EWZS.US,D,20101216,000000,22.721,22.721,22.237,22.33,19209,0
EWZS.US,D,20101217,000000,22.359,22.359,22.135,22.266,27051,0
EWZS.US,D,20101220,000000,22.449,22.521,22.214,22.367,84955,0
